 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time     E_fold  tau_1  delta_m15     r_peak     frac 
  -20.93973  0.05613  1.67869     14.30655  1.17502  0.71172  32.56416  0.11498     0.23385  4021.13974   3170.92254  1.21552         4797.33362     20.94635    0.491  58591.23605   3.14098  1.82771    74937.10037  47.01425  18.76395  58682.48054    51.36794       44.41385   38.21398   75.79056   91.5    0.04187  -19.87722   0.9556 
   -9.50673  0.02224   1.4295     14.30527  1.98023  0.58477  27.45204  0.13202     0.48612  5053.63698    9302.5563  3.50475         3727.29277     21.54966  1.96966  58602.66905   4.18225  0.61067    92122.14717  47.29083  18.78278  58679.73375     50.7952        43.8002   45.42529   83.12513   81.0    0.04635  -21.74822  0.99469 
   -21.9794  0.00385  1.35465     13.80474  1.29041  1.04593  33.01312  0.08978     0.33471  4524.65434    9287.6672  0.59105          3265.2351     21.38323  1.34265  58590.19639   4.03167  0.12724   540398.87998  46.38321  18.83333  58676.98695    50.90736       43.86037   44.00742  100.38245   69.0    0.04937  -21.06087  0.99809 
  -13.73902  0.00761  2.89258      13.8653  1.78049  1.34994   6.47114  0.29534     0.17466  7275.85457   9254.78025  2.90026         2246.58124     21.43281  1.50501  58598.43676    2.0435  0.04922  2572349.07387  45.18648  18.80157  58687.97414    51.14022        44.1082   40.16598   94.30114   56.5     0.0905  -21.48835  0.99788 
    -7.6783  0.00333  2.21692      14.4911  1.80585  0.39387  16.53464  0.10924      0.4906  3313.22103   4977.69604  4.42068         3223.64375     21.37177  1.30765  58604.49748   1.08274   0.0551    85863.43876  46.90022  19.03048  58682.48054    51.11256        44.0701   48.89713   88.01484   85.0    0.05789  -21.02208  0.99866 
   -8.47936  0.05921  2.31782     14.09279    1.082  0.56796  18.05389   0.1187     0.45217  3714.37458   8651.78275  4.25063         4301.80953     21.30343  1.11727  58603.69642   1.48583  1.06902   352070.91813  46.02628   18.7836  58676.98695    50.94914       43.89566   48.89713   95.34941   82.5    0.05873  -20.93719  0.94193 
   -7.31352  0.00199  0.90165     14.10092  1.53441  1.11891   18.4384  0.29007     0.46316  7230.25525   7807.16784  1.02396         3933.81149     21.39242  1.37135  58604.86226   5.74987   0.0366    72775.60099  47.68272  18.83509  58679.73375    51.18451       44.16375   46.45228   85.56998   70.5    0.06682  -21.31463  0.99983 
   -5.28121  0.02455  0.88613     14.13946  1.69943  1.51011   36.0877  0.14387     0.43938  6373.38811   9445.36863  4.22155         2996.02383     21.40638  1.41615  58606.89457   8.74434  0.88607    65191.16963  47.78997  18.86058  58674.24015    50.96878       43.88225   60.32328   93.04788   73.0    0.04403  -21.24335  0.99687 
  -15.16631  0.08422  1.59119     14.09216  2.11774  1.04008   27.5524  0.07663     0.04529  5465.76994   9761.34091  0.31724         3592.78601     21.45554  1.58586  58597.00947   4.91009  2.32039   325689.47629  46.67847  18.80306  58682.48054    51.22731       44.24215   44.65278   77.59005   60.5    0.06752  -21.58939  0.97764 
   -4.30551  0.09184  0.97642     14.24229  1.50969  0.58614  18.08321  0.19074     0.36931  6314.04682   8937.36858  2.99712         2906.07548     21.46452  1.61901  58607.87027   4.30049  1.66072    43793.40997  47.82705  18.96361  58671.49336    50.99761       43.89487   65.77202   89.12084   67.5    0.05479  -21.51444  0.99036 
   -8.19713  0.01027  1.21655     14.05841  1.81164  0.86037  22.99143  0.12604     0.30285   5032.1145   3735.22407  3.38546         3057.82688     21.55793   2.0075  58603.97865   3.47292  0.23604     190247.426  47.07734  18.76505  58685.22734    51.10906        44.0966   36.67285    90.4597   85.0    0.04975  -21.79026  0.99829 
   -8.19341  0.00897  1.68915     14.12623  1.37024  0.73072   29.9987  0.08886     0.16587  4904.68684   7260.10181  1.77463         3575.16627     21.28874  1.08011  58603.98237   4.30479  0.26906   202998.75202  46.64281  18.69484  58679.73375    51.44997       44.51711   40.38787   72.07554   71.5    0.06111  -21.01928   0.9943 
  -19.77537   0.0024  1.62789     14.27674  1.93918  0.58784  17.05419  0.25438     0.01738  5804.59309   9741.31009  1.56994         2024.17299     21.38335  1.34301  58592.40041   3.42769  0.04091   133415.78643  47.00801  18.78778  58682.48054    51.10313       44.08233   44.00742   88.01484   61.5    0.06169  -21.19234  0.99952 
   -9.63146  0.00484  1.20575      14.1625  1.57323  1.21017  17.91182  0.13929     0.03018  3135.26691   8514.04745  1.58297         4451.97751     21.28462  1.06991  58602.54432   1.05031  0.08669   100490.97343    47.301  18.82035  58676.98695    50.89129       43.82654   51.53409   93.70852   80.5     0.0465  -20.73465  0.99929 
  -14.11531  0.00122  4.28067      14.1696  1.68963  1.23084  44.87089  0.04758     0.03431  2738.90498   4853.53831  3.86527         4714.12369     21.04761  0.61993  58598.06047   2.00792  0.05454  1316516.58958  45.11419  18.72414  58676.98695    51.34537       44.37895   51.34199    73.3457   87.5    0.04937  -20.35451  0.99449 
  -14.67092  0.01124  1.33781      14.0832  2.04313  0.96851  16.23049  0.26125     0.01597  6734.37371   5585.36613  0.79829         3444.43869     21.48757  1.70725  58597.50486    4.3909  0.18242   231472.14864  46.96185  18.89801  58682.48054    50.96717       43.86387    61.9883  102.68398   66.5     0.0607  -21.77287  0.99867 
  -21.43921  0.06726  1.16406     13.96412  1.42988  1.11131  12.86444  0.21498     0.41904  4828.70423   5348.26921  0.29301         2220.10993     21.33666   1.2061  58590.73657   1.78928  0.86523   212237.25368  46.96538    18.852  58679.73375    51.10025       44.10813   46.45228   75.79056   75.5    0.05776  -20.87615  0.99196 
  -14.33389  0.00179   1.2838     14.00758  1.35971  1.05942  16.03802  0.30347     0.20397  5790.08438   8988.13112  3.30998         2931.98571     21.33984  1.21498  58597.84189   3.20736  0.02876   200958.17488  46.88219  18.82818  58682.48054    51.17551       44.15629   45.05569   86.96657   72.0    0.04788  -20.96379  0.99965 
