Median Percentile16 Percentile84
8.336050186700637576e-01 4.796439727969697975e-01 1.290082454644865040e+00
8.271308294192070143e-01 3.957761367283185172e-01 1.337449130307869716e+00
7.215993783804346418e-01 3.935762833320085030e-01 1.312877885961346802e+00
7.842238501653229221e-01 4.021588469294568591e-01 1.265698031558679659e+00
5.441255263053279556e-01 3.218355827320362184e-01 1.239302853992057862e+00
7.714480685237818935e-01 3.968743308519646074e-01 1.307526804279174337e+00
7.356742391333057629e-01 3.907977711938185883e-01 1.257832722454419905e+00
6.454979220682036667e-01 4.219261388287203762e-01 1.118124488033866326e+00
7.415023205868185308e-01 4.510527340229096849e-01 1.165452590727520388e+00
7.535206831962073526e-01 3.182552476978503520e-01 1.236291233061799222e+00
7.228364909954506645e-01 4.718750441806444096e-01 1.251508069147267754e+00
6.809773560011298521e-01 4.093238104594693616e-01 1.216745253470626897e+00
6.787068449687793104e-01 3.963462833928959594e-01 1.284852497867865928e+00
7.714456612479633213e-01 4.339066208239359956e-01 1.164135539772768180e+00
7.852865473967933774e-01 3.823707214554475931e-01 1.288881113259061628e+00
7.741037612538368418e-01 4.098098879570618580e-01 1.373241651170281186e+00
8.617695905492978037e-01 4.988970600224981178e-01 1.353262678433003741e+00
6.923491428120801539e-01 4.622612844800694787e-01 1.330454908644177037e+00
7.775040041350662623e-01 4.393236888059204315e-01 1.428489800155723577e+00
7.415580049210724889e-01 4.214756967712778302e-01 1.361988886090691908e+00
7.459273771962686705e-01 4.458346913363941399e-01 1.403797517562371810e+00
8.313877570914833814e-01 5.129090953192891877e-01 1.416969321266363435e+00
7.397974183331269549e-01 5.216725211752635261e-01 1.406185374174656388e+00
7.244576710159350563e-01 5.330562925099933125e-01 1.321375806470977077e+00
6.930643711215034308e-01 4.484347546812755270e-01 1.358086907413079691e+00
6.668825156749971228e-01 4.643176660399647160e-01 1.350847093905505281e+00
7.577068815937366697e-01 4.776458810063194393e-01 1.378866194996354544e+00
6.536764702189957754e-01 4.549658112385880915e-01 1.296110664835016468e+00
6.867388905158031687e-01 4.649963866528860623e-01 1.263818826427159925e+00
7.680731957994951786e-01 5.073486372076072559e-01 1.238907579716114649e+00
8.150431901889304553e-01 5.010338682997393933e-01 1.289670819905065491e+00
7.355466920318389779e-01 4.925133900814077093e-01 1.262530070992004649e+00
7.567822830347851193e-01 3.995379250918949521e-01 1.304743043490898424e+00
8.228213046869796710e-01 4.512856475881396601e-01 1.319442951440402689e+00
7.661593539492947968e-01 4.154466244162542954e-01 1.348287896775787864e+00
7.634741926520898225e-01 4.619327106309734643e-01 1.335608989600358010e+00
7.595443343852559259e-01 4.640450010053904784e-01 1.350338727340574918e+00
7.808335795822499703e-01 4.618358392665519729e-01 1.344015961126492353e+00
7.207573310918854448e-01 3.751012390762065163e-01 1.354130284436948273e+00
7.580158738923216122e-01 5.286619279588772313e-01 1.286750744364310917e+00
7.608497749766746088e-01 5.048491194868729437e-01 1.304655699568425753e+00
7.388081411062058512e-01 5.110944643215259431e-01 1.284806075394416158e+00
7.480517578351876251e-01 4.759736969523259975e-01 1.297511981202726927e+00
7.785036179308393312e-01 5.097295775670042106e-01 1.320078703036165368e+00
7.777567964448719451e-01 5.526853254742406518e-01 1.311679038731488722e+00
8.185552035566475704e-01 5.147216816342309320e-01 1.310743679943970674e+00
8.653927910914021027e-01 5.218035389998815221e-01 1.365389493692309442e+00
8.374740679146721600e-01 5.766082544950894562e-01 1.401889056115451782e+00
8.297651105870903487e-01 5.987907919261746814e-01 1.423037516094108446e+00
8.176099806612002752e-01 5.508610290053246317e-01 1.424937972253662588e+00
8.500806628915618113e-01 6.142527251346425743e-01 1.419520001766497508e+00
8.181826921563370991e-01 5.690082208906257488e-01 1.418009570544832121e+00
8.112539835065937233e-01 5.698444532452564548e-01 1.437367915130181473e+00
8.607835734443417541e-01 5.671800378413136556e-01 1.435821124842072027e+00
8.500669283357273898e-01 5.798244775092128434e-01 1.438777887470774619e+00
8.686490077146910016e-01 5.443599060794145350e-01 1.436283441349171186e+00
8.632716337235893933e-01 5.360979446709850382e-01 1.444004807795392420e+00
8.827891738978448366e-01 5.594201061913046669e-01 1.480990808222131250e+00
9.037166770053175480e-01 5.645748325467362383e-01 1.481730457048004990e+00
9.134352235957399202e-01 5.358880619694886827e-01 1.501390931304993570e+00
9.078554117935080381e-01 5.460346289922466401e-01 1.524065491147431839e+00
8.988077853298257480e-01 5.578639965078713292e-01 1.523998414513851651e+00
9.038822467711559172e-01 4.796606901708923010e-01 1.494131808538331940e+00
8.911598034349097475e-01 4.802830932179766865e-01 1.448909207403442423e+00
8.773038432928899066e-01 5.344837009490414070e-01 1.408211116125980711e+00
8.949582340477808540e-01 4.548395441553474972e-01 1.392372946980906079e+00
9.146499266627758917e-01 4.785045220486541795e-01 1.430145642253672467e+00
9.399675802607765362e-01 5.870144767473390868e-01 1.495991316498686441e+00
9.759691294431638298e-01 5.711403209023064864e-01 1.568050570169136515e+00
9.719956167027345995e-01 5.307931114478764423e-01 1.525272806196874331e+00
