Median Percentile16 Percentile84
2.083081679127774422e+00 1.370553234250540209e+00 2.649888650109651689e+00
2.037831731010924852e+00 1.426517089289361495e+00 2.763421180425723378e+00
2.086177277790932649e+00 1.376409158531204824e+00 2.756968416943070377e+00
2.008604128182413628e+00 1.333659005234141492e+00 2.663446356961809425e+00
2.104571110901421349e+00 1.448969353386991621e+00 2.671917606437562487e+00
2.066060267062851175e+00 1.330237650091830037e+00 2.717449636687643721e+00
2.098536362523540255e+00 1.315864782710020719e+00 2.806839839964528682e+00
2.090077480230827511e+00 1.310222350499000710e+00 2.829754096809919073e+00
2.096337166317195688e+00 1.304524704957861658e+00 2.778028922604091733e+00
2.061055232914103641e+00 1.286033890731500096e+00 2.781056111363767513e+00
2.031242132087457630e+00 1.333055834661786454e+00 2.598915434369394095e+00
2.005961473068858858e+00 1.262012826408141608e+00 2.728133068453400867e+00
1.987248747651376934e+00 1.396304636970046698e+00 2.594252528818632442e+00
2.009605964300153591e+00 1.406750163498500683e+00 2.563520266620478605e+00
1.965784059664964722e+00 1.443902282173883167e+00 2.519450301417983429e+00
1.928124541275713533e+00 1.350893621946610557e+00 2.504456880806066543e+00
1.915536696078649070e+00 1.436965765753376312e+00 2.561494930905610090e+00
1.910828039477097562e+00 1.260792220621138826e+00 2.561320194405041661e+00
1.913884404436467568e+00 1.320491762548683612e+00 2.574065645795026391e+00
1.880508652066796849e+00 1.399013042736832135e+00 2.511878493580456340e+00
1.862693573337816488e+00 1.406766849471611458e+00 2.443980152893492352e+00
1.850660216643443601e+00 1.371924387013482738e+00 2.446938704872015702e+00
1.829711203418229459e+00 1.392723653498608716e+00 2.470233247936797660e+00
1.859192368832207842e+00 1.379322498308610312e+00 2.492978902093621052e+00
1.839373516248047569e+00 1.302875521827913108e+00 2.337076458375732635e+00
1.819768559006732067e+00 1.280956628576913836e+00 2.485498264039904370e+00
1.796054096330840455e+00 1.241019378721458732e+00 2.457175612753295546e+00
1.801033624176418435e+00 1.204271360122697532e+00 2.386146139062433225e+00
1.823447642156629467e+00 1.263392454013382959e+00 2.520900990329939972e+00
1.820978562985438698e+00 1.188750591175867122e+00 2.521299266406730855e+00
1.840830073280712575e+00 1.303099311294924068e+00 2.487256044650723474e+00
1.845078192220061197e+00 1.221951610205701533e+00 2.415784413694213484e+00
1.812752005070609407e+00 1.211937317287411719e+00 2.468320348316603408e+00
1.801919309385319412e+00 1.245127929327350058e+00 2.595484004643421549e+00
1.848520703820470290e+00 1.282848020012717694e+00 2.554941976945257931e+00
1.821945730312895861e+00 1.278177459326792498e+00 2.539074547839946572e+00
1.811629496891086433e+00 1.270541646125826984e+00 2.548388857101768767e+00
1.818339610060753175e+00 1.328063578670866551e+00 2.525401547554488868e+00
1.785606179497758905e+00 1.411796182985830983e+00 2.507642091246999438e+00
1.807780554116807714e+00 1.326181125905427471e+00 2.426137103885375623e+00
1.756837455102666867e+00 1.292383940689478372e+00 2.356902527598111252e+00
1.778450837048855426e+00 1.269987061151704344e+00 2.372951536910041792e+00
1.768098975330676836e+00 1.243879457752916640e+00 2.384453432852009058e+00
1.750630060203388627e+00 1.363854543664531516e+00 2.336156435270580367e+00
1.788748121625172383e+00 1.277776114450674294e+00 2.410236606254733793e+00
1.727731310242136331e+00 1.357531326671387539e+00 2.372117103357339829e+00
1.773309582419486441e+00 1.261286681102104401e+00 2.401481938163906982e+00
1.794897975383636934e+00 1.359793184319974424e+00 2.249712712633834766e+00
1.760390840735588602e+00 1.310891053252560390e+00 2.337651582912074755e+00
1.759505836454580585e+00 1.345663947282720985e+00 2.346836813461013804e+00
1.806648547741077859e+00 1.314538808447308638e+00 2.295756467748257812e+00
1.796065462619002684e+00 1.358190315755984034e+00 2.296479521408117286e+00
1.800316984177217083e+00 1.388208825770840260e+00 2.307359298234895384e+00
1.774609662604387683e+00 1.352449174796086284e+00 2.242091605877549743e+00
1.762934946611177889e+00 1.325129714357204502e+00 2.249678133596440865e+00
1.754046620095002673e+00 1.425755285278161422e+00 2.220409961337455940e+00
1.774404713646786425e+00 1.435219667213683881e+00 2.225123930858707855e+00
1.769393827550455711e+00 1.457775354014927416e+00 2.209272674214742604e+00
1.765450426455824839e+00 1.383209781559396445e+00 2.132289222991537780e+00
1.789768903435674963e+00 1.400154404061956237e+00 2.177186529490720002e+00
1.769922262867291929e+00 1.403547215630017275e+00 2.123787404368052467e+00
1.775369323536661881e+00 1.400019702663840571e+00 2.181514173306747129e+00
1.719234308326584637e+00 1.428001069299908110e+00 2.203640140561578420e+00
1.751720857145400156e+00 1.404888244190807489e+00 2.122177223573076255e+00
1.747284240584799253e+00 1.405308633800551155e+00 2.066478111461070633e+00
1.743147515323675512e+00 1.347818358976226039e+00 2.089028473304071820e+00
