Median Percentile16 Percentile84
2.162863673421024924e+00 1.176216734780405782e+00 2.794641661470997906e+00
2.241169706734412070e+00 1.234015076799711785e+00 2.615022165524523601e+00
2.263458733492570651e+00 9.814192153178106226e-01 2.651971220385947792e+00
2.245240765616017597e+00 9.658190825243275768e-01 2.635324383023573969e+00
2.191709663939231056e+00 1.237078801713512366e+00 2.662497064819753678e+00
2.133275633489703171e+00 1.225680262799543563e+00 2.691799129069385899e+00
2.113675644248449892e+00 1.078807290130081364e+00 2.629326880870045180e+00
2.108739223361026482e+00 1.298962302318891870e+00 2.713775884853073972e+00
2.138423490505845237e+00 1.286682971502753903e+00 2.759248858296333484e+00
2.115229974234194010e+00 1.330730350460412437e+00 2.723561428122990069e+00
2.131961927895214437e+00 1.226594230282563869e+00 2.871964594977415075e+00
2.156580580774104750e+00 1.263193728593267506e+00 2.776192695850323577e+00
2.140870442921423145e+00 1.465991690351777788e+00 2.764565837255939851e+00
2.104877231914012992e+00 1.421432780483278036e+00 2.742642673112182017e+00
2.138196608205345850e+00 1.355371783125272067e+00 2.657993096151188617e+00
2.092704293097573220e+00 1.423277282592084969e+00 2.648567562253343333e+00
2.026892234478335553e+00 1.492344884501075608e+00 2.643723220261401163e+00
2.002462470360445668e+00 1.471321165611621629e+00 2.649574860372312823e+00
1.967967977157324633e+00 1.458853424112920072e+00 2.608531211351682089e+00
1.918063852537161385e+00 1.499915112737582046e+00 2.509666444353375159e+00
1.962340398452868007e+00 1.594131525120868975e+00 2.559597867229359558e+00
1.879499550779377692e+00 1.325950381412841494e+00 2.549145945894831122e+00
1.903983313937555932e+00 1.194426393515884088e+00 2.539002012919448159e+00
1.894157802754658615e+00 1.157030040587719633e+00 2.497811680981357529e+00
1.950102107026244536e+00 1.220202288306282190e+00 2.439776425026320084e+00
1.921758921889580973e+00 1.164059494700283359e+00 2.417463524855853141e+00
1.805917415781357338e+00 1.403622349025140492e+00 2.340583875047152596e+00
1.807352216413669499e+00 1.227575965791125379e+00 2.305870309396736761e+00
1.858528058869611144e+00 1.355169138175580379e+00 2.301402251039601499e+00
1.896075565703900789e+00 1.373441237338409282e+00 2.341016406608287248e+00
1.949425779187516916e+00 1.316723891850344552e+00 2.396902116394778570e+00
2.006965264244187974e+00 1.312241516490481708e+00 2.426417810947808729e+00
1.991446968078178559e+00 1.152500467875384960e+00 2.447521022123992918e+00
2.014965689011870786e+00 1.207705717760098940e+00 2.554665558948362225e+00
1.996580142899203159e+00 1.243291526187837670e+00 2.533029310952669366e+00
2.013408777935543181e+00 1.399297485056579582e+00 2.550064762627231918e+00
1.960281439915585455e+00 1.301878457131559808e+00 2.526411775696521200e+00
1.923309207071299598e+00 1.376992773035175199e+00 2.495940633152581967e+00
1.956494697194449683e+00 1.402449666762731750e+00 2.498695316263669142e+00
1.965779959313210146e+00 1.480077439487942792e+00 2.510096371336843823e+00
1.901160322929067448e+00 1.216845485474065125e+00 2.486441884169329430e+00
1.880141039983066253e+00 1.248664774556903501e+00 2.508319385400064050e+00
1.903026843157140657e+00 1.186614035200397987e+00 2.457573453171743250e+00
1.862350596867736963e+00 1.197662013433428374e+00 2.468300461099890430e+00
1.950171966036477356e+00 1.322276444666600215e+00 2.423326284085100202e+00
1.806715426455909768e+00 1.344950465291966601e+00 2.391715108022090863e+00
1.877536237250504891e+00 1.244143535052283367e+00 2.355924152962703744e+00
1.834076624007380918e+00 1.201353482942146611e+00 2.331705514605211249e+00
1.831918570233548316e+00 1.209041363465382046e+00 2.306298963515868827e+00
1.833264883336713780e+00 1.245974158443188040e+00 2.278546129971285694e+00
1.794480777441874064e+00 1.413489662620937004e+00 2.276831608700807141e+00
1.850856050736933600e+00 1.343999706096126179e+00 2.276013469937723688e+00
1.817835177113391154e+00 1.377483434765466308e+00 2.271306808549121037e+00
1.824532571740965503e+00 1.453576021488384162e+00 2.252308707526885279e+00
1.840517815394536738e+00 1.430798299020616282e+00 2.245616452338536906e+00
1.835965865961358912e+00 1.480257329563268165e+00 2.265881129548189321e+00
1.806236964859390337e+00 1.417779470196780522e+00 2.291605916415069277e+00
1.798976571125103341e+00 1.433327286687684943e+00 2.311096422500835246e+00
1.797035808344747965e+00 1.411500650514594613e+00 2.258372977318960917e+00
1.781754410297694324e+00 1.461760545877397233e+00 2.219201418611786991e+00
1.783316918005414919e+00 1.437760120738503566e+00 2.167763574020637574e+00
1.792890925965164417e+00 1.414235629221255675e+00 2.157173223367773840e+00
1.759604881892291361e+00 1.495321310555656424e+00 2.137660434640695772e+00
1.778714814775942843e+00 1.423938848695809112e+00 2.116578906663673099e+00
1.721982226192079413e+00 1.408404067262253978e+00 2.086377899826107996e+00
1.671709458744112586e+00 1.377282214488095402e+00 2.088958483845245073e+00
1.710486650839956768e+00 1.457174509747742652e+00 2.103860986686133749e+00
1.780613963703020275e+00 1.361769251244806966e+00 2.163892484362783808e+00
1.704547890486280970e+00 1.348485027232238842e+00 2.114879066431087473e+00
1.654597695748619923e+00 1.356083051950483620e+00 2.119629016431067381e+00
1.790293667447524717e+00 1.335299591882469050e+00 2.128968234445699714e+00
1.754542469957026452e+00 1.302260456190754034e+00 2.111756112603450752e+00
1.711357678206987476e+00 1.275362590853193145e+00 2.106851107159047221e+00
1.731230938569674915e+00 1.240259757943397823e+00 2.096563134421131291e+00
1.708607363704649051e+00 1.190559531816128613e+00 2.124079517897116798e+00
1.681278142935171527e+00 1.200986400231327300e+00 2.142431660848502339e+00
1.653133712817639100e+00 1.195039245925936244e+00 2.092181981402547741e+00
1.655592451858915126e+00 1.196738384749935546e+00 2.023611871824146480e+00
1.644469076999102608e+00 1.159691195725899737e+00 2.030430951358181524e+00
1.664768102652204318e+00 1.220348055993182079e+00 1.992260680948995999e+00
1.603131938524151812e+00 1.204658117429693309e+00 2.004447878828051532e+00
1.568776436455548762e+00 1.097808017078470755e+00 1.951470164428227960e+00
1.557688555091951255e+00 1.063945904872479309e+00 1.907953960692405193e+00
1.594509093569920655e+00 1.042571590678402105e+00 1.919098778043706321e+00
1.591162502073717011e+00 1.058438282760000293e+00 1.933260535624423904e+00
1.625006481661298796e+00 1.104001305822028822e+00 1.967148311155495932e+00
1.630201419757168368e+00 1.138960425849092628e+00 1.975025230723461700e+00
1.633442521941876668e+00 1.194324059331478116e+00 1.982844388231254529e+00
1.610876715816911497e+00 1.207087774264741231e+00 1.998308753638250446e+00
1.621297147744079181e+00 1.243514289678768092e+00 2.019873449082925543e+00
1.619240542269917871e+00 1.275859238047214905e+00 2.040958536907397036e+00
1.624479489474335292e+00 1.257995846980855426e+00 2.065593675352547454e+00
1.656304080235493803e+00 1.294527620954323277e+00 2.072166227446777587e+00
1.657746248233010089e+00 1.219592191559216721e+00 2.060646389436021408e+00
1.658526435835123714e+00 1.240147309141459431e+00 2.084337145455953610e+00
1.626076346134085693e+00 1.317251494364933162e+00 2.048229481292872745e+00
1.567297584137005373e+00 1.271389928487271392e+00 2.020639763419006751e+00
1.602517765135571093e+00 1.270819791388609010e+00 1.978132717978232868e+00
1.582590886216596271e+00 1.248603630836270684e+00 1.932123165302656931e+00
1.510536036858025177e+00 1.165477166969386857e+00 1.889469334756137542e+00
1.507049232810921513e+00 1.192904303778274056e+00 1.860203763103728924e+00
1.561311479467241581e+00 1.158301771072534514e+00 1.842174693220525183e+00
1.540897671053674589e+00 1.173718524532527452e+00 1.834206757569791790e+00
1.519627083275245649e+00 1.113448088084171728e+00 1.892158812930873513e+00
1.531667401232120529e+00 1.147355710721732258e+00 1.892665953840796611e+00
1.509047771495728441e+00 1.156809295222410716e+00 1.874704259363161096e+00
1.541741614299366292e+00 1.119208988688679574e+00 1.890509529152215151e+00
1.522150973766044357e+00 1.130594394407249403e+00 1.899764634202065761e+00
1.531481928057852659e+00 1.270635211175063395e+00 1.866096781015895933e+00
1.526147509603896113e+00 1.142841478282128564e+00 1.829278557524458781e+00
1.534994508337127028e+00 1.141340420588192295e+00 1.807192924280862867e+00
1.532072678354245099e+00 1.129904642239019097e+00 1.796178573828656866e+00
1.472631714535677316e+00 1.148189593725920998e+00 1.786139101923765127e+00
1.545411406115366315e+00 1.102475425238218509e+00 1.680829996046570907e+00
1.548089832612287609e+00 1.081272065040720598e+00 1.712894191348188322e+00
1.428359457109619868e+00 1.037303900183717209e+00 1.667358677245835530e+00
1.472280770220284252e+00 9.950653721919120454e-01 1.620398136565112113e+00
1.327415111358629218e+00 9.813682774757610527e-01 1.680701603839397373e+00
1.277005761899418168e+00 9.885029212415699096e-01 1.665539347580658802e+00
1.227487451680804753e+00 9.517046629549393844e-01 1.654146279314490542e+00
1.275883545289746346e+00 1.025145315431951420e+00 1.631131290285892099e+00
1.331039791763738211e+00 1.039197171203702252e+00 1.641537019191328994e+00
1.355689643253225940e+00 1.041546838999397595e+00 1.611511627496902133e+00
1.325554454040605457e+00 1.043177511738465180e+00 1.573159762227652081e+00
1.211715009281242317e+00 1.048939195170943472e+00 1.541231622958114666e+00
1.295296830223873208e+00 9.879733679670786861e-01 1.531268556329982378e+00
1.321925280700676719e+00 1.029151111076389569e+00 1.527105554497958595e+00
1.334685407529598189e+00 1.002904882938348896e+00 1.494382818756977649e+00
1.324308737886205289e+00 1.002624170900788592e+00 1.464858651509753917e+00
1.236620903050860143e+00 1.024190432968861142e+00 1.443202603951087681e+00
