          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 59424.426018  19.5165  19.6657  0.1913        P48         ZTF       g  False      AB   False                  ZTF 
 59424.578175  19.1777  19.2745  0.3019      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
  59425.57254  19.7401   19.837  0.2496      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 59426.385763  19.7181  19.8673  0.1663        P48         ZTF       g  False      AB   False                  ZTF 
 59426.405752  19.7176  19.8212  0.1455        P48         ZTF       r  False      AB   False                  ZTF 
 59428.383229   19.739  19.8426  0.1093        P48         ZTF       r  False      AB   False                  ZTF 
 59428.427106  19.9347   20.084  0.1824        P48         ZTF       g  False      AB   False                  ZTF 
 59429.552701  20.1129  20.2098  0.3158      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 59430.378958  19.9995  20.1031  0.1408        P48         ZTF       r  False      AB   False                  ZTF 
 59430.407164  20.3894  20.5387  0.2286        P48         ZTF       g  False      AB   False                  ZTF 
 59431.610612  19.7421  19.8389  0.2653      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 59433.538912   19.878  20.0103    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 59434.458578  19.7028  19.7996    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59435.361134  20.4377  20.5413   0.179        P48         ZTF       r  False      AB   False                  ZTF 
 59437.538248  19.9383  20.0706    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 59438.468567  19.6839  19.7808    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59440.473381  19.9581  20.0904    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 59441.476835  20.0395  20.1718    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59442.459327  20.1545  20.2513    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
  59444.41645   20.048  20.1448    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59445.466268  19.7832    19.88    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59446.396677  19.2017  19.2985    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59452.489743   20.012  20.1088    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59453.473073  19.4586  19.5554    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59455.426552  19.9815  20.0783    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59457.412639  20.0284  20.1253    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59461.424112  20.1731    20.27    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59462.406995  20.4645  20.5968    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
  59464.40925  20.1605  20.2573    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59465.394662  20.0081   20.105    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59466.395473  20.3212  20.4535    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59467.400138  20.3755  20.5078    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59468.395013  20.0635  20.1604    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59470.367827  19.5004  19.5973    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59474.438395  19.7156  19.8125    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59480.499368  19.3955  19.4924    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
