 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB  mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
   -6.76808  0.49245   3.5431     13.88001  1.65961    1.105  3.08717  0.11277     0.01206    3066.337   7045.56363  0.72398         3682.81549     20.81205  0.36039  60440.56997  0.17315  1.52028  3361850.95459  44.86351   18.2371  60510.32211     51.3507        44.5592   35.90544   46.8836   88.0    0.08498  -20.68156  0.90034 
   -6.63366  0.36756  3.32121     13.83589  2.06867  1.09183  1.43507   0.1587     0.01543  3137.61641   7528.68078  0.66486         2757.18572     20.92866   0.4714  60440.70438  0.08428  0.52747  4511507.57951  44.88762  18.24321  60507.28253    51.29735       44.52233   33.57177  46.20784   89.0    0.07594  -20.78169  0.97594 
   -6.25728  0.01074  3.67654     13.87576   1.7039  0.89583  4.18645  0.07931     0.01021  3432.74445   6858.64137  0.85168         3161.95131     20.81182  0.36021  60441.08076  0.29428  0.04498  3789810.44234  44.79079  18.23436  60510.32211    51.04727       44.21826   37.24901  51.98381   85.5    0.08434  -20.68946  0.99657 
   -6.54831  0.21286  2.68841      13.7804  1.29326   0.9158   3.3839  0.09468     0.01173  3105.67959   7688.40723  0.36907         4760.79265     20.76761  0.32534  60440.78973   0.1947   0.7203  2386076.99757  45.14386  18.25497  60508.94907    51.18408       44.39144   32.12016  48.96281   84.0    0.08983  -20.66028  0.95822 
   -7.95486  0.40063  3.28601     13.78819  1.48111  1.27544  4.01136  0.08531     0.01222  3535.58628   7290.62729  0.21627         4022.08696     20.73367  0.30088  60439.38318  0.29912  1.60708  3938690.66614  44.81074  18.22679  60510.32211    51.11236       44.25043   44.34117  56.37215   83.5    0.08307  -20.62227  0.89346 
   -5.41609  0.47271   4.4899      13.9486  1.81741  1.10082   4.1666  0.06648     0.01208  3805.96282   6608.06005  0.41382         2933.42076     20.57009  0.20645  60441.92195  0.36003  1.96958  4310695.60915  44.58928  18.24858  60510.32211    51.29528       44.52824   32.12016  45.41456   85.0    0.07894  -20.55001  0.83112 
   -5.92779   0.4072  3.43828     13.99578  1.88851  0.90368  2.28561  0.14293     0.01361  2872.98519   6628.79221  0.69862         3366.49927     20.81866  0.36592  60441.41025  0.11254  0.93071  2113735.89651  45.14723  18.24127  60511.10544    51.05921       44.21065   39.17433  55.83447   91.5    0.08193  -20.67202  0.95026 
   -6.15619  0.49269  4.99066     14.15457  1.97606  0.88319  5.67489  0.05789     0.01282  4169.32284   6619.12921  0.13581         2890.40831     20.57269  0.20769  60441.18186  0.58846  2.79594  2242779.63904  44.81754  18.23737  60509.21319    50.87664        43.9777   39.34775  67.38643   86.0     0.0888  -20.55755  0.76302 
   -6.90707  0.02643  4.71888     13.92547  2.03545  1.42045  2.12147  0.17291     0.02283  3559.79957   6548.61317  0.76866         3011.45146     20.55797  0.20077  60440.43097  0.16037  0.05608  5932228.32007  44.45661   18.2441  60510.32211    51.04403       44.19968   38.33212   54.5849   84.0    0.08926  -20.54125   0.9946 
   -6.82081  0.17932   3.1597     13.89008  1.58931  0.79724  3.36124  0.10655     0.01082  3167.28692   7088.92406  0.84782         2904.13297     20.83398  0.37906  60440.51723  0.20114  0.60273  2444285.00834  45.08261  18.22579  60509.21319    51.10532       44.26316   40.08475  54.92405   87.0    0.08357   -20.7039  0.96397 
