 log(Bfield)      Mns    Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma  mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)     M_Ni  Peak_mag     Peak_MJD 
    14.18725  1.65795  3.06156       0.88012         3247.64553  0.00123  0.23261     0.01767  1.02618     17.82112   6475.74041     -2.7324  0.17519  10169.30147  0.00037   58701.5476  52.31879  0.04148  17.15769     58732.14 
    14.00952   1.7045  2.92907       1.10838         3099.79057  0.00177  0.25446     0.01819  0.98143     18.53979   8977.92308    -2.65167  0.24007  10374.81362  0.00193  58701.62833   52.3278  0.05871  17.16917     58731.88 
    13.92368  1.92622  3.46361       1.08526         2757.25692  0.00104  0.25604     0.02394  0.96175     18.70975   3682.95453    -2.70852  0.41653  11093.25758  0.00285  58701.57148   52.3821   0.0343  17.16212     58731.87 
    13.60781   1.5606  2.75445       0.86964         2972.39736  0.00148   0.2632     0.02011  1.03226     18.92941   8139.79541    -2.83569  0.56394  11096.20758  0.00472  58701.44431  52.39565  0.05015  17.18201     58731.88 
    13.58277  1.65354  2.83633       0.74042           2894.618  0.01294  0.16635     0.01238  1.61287     17.45604   6885.23358    -2.62542  0.65833  11140.19073  0.00016  58701.65458  52.47486  0.52163  17.16419     58731.87 
     14.1638  1.70736  3.20321       0.54993         3185.18141  0.04983   0.1371     0.01454  1.80373     16.30659   8959.41474     -2.5081  0.19697   11880.8947    1e-05   58701.7719  52.54786  2.08956  17.15004  58732.05612 
    14.09235  2.14988  3.60894       0.67044         3027.91062  0.00109  0.11918     0.01072  2.22239     16.29115    5513.1835    -2.81728  0.30079   11553.9135    1e-05  58701.46272  52.55381  0.04901  17.14818  58732.33579 
    14.16852  1.79532  3.32607       0.95089          2948.6467  0.04737  0.29898      0.0251  0.87118     16.89339   9870.75971    -2.73002  0.21685  10846.15072    4e-05  58701.54998  52.34319  1.48782  17.13495  58732.05612 
    14.01159  1.75209  3.01961       0.60575         3063.80294  0.01405  0.25123     0.02197  1.01539     17.13358   6099.47449    -2.72876  0.25524  11577.19535    8e-05  58701.55124  52.42944  0.47246  17.16091  58732.05612 
    13.80897  1.80471  2.96818       1.23632         2836.41493  0.00153  0.19979     0.01247  1.34627      17.2258   4072.65261    -2.87269  0.40758  10403.28898    9e-05  58701.40731  52.38631   0.0575  17.15624     58731.88 
