Median Percentile16 Percentile84
6.720514991172200636e-01 4.243702459462703747e-01 7.842380452188341122e-01
4.970513725117207682e-01 2.847197366472061231e-01 6.818412397987230200e-01
6.653086873966723713e-01 4.846085298905016270e-01 7.438865367203749690e-01
5.828398510226479035e-01 3.019080298627112580e-01 7.032189149416304685e-01
6.545075330904220889e-01 4.323334396014198999e-01 7.766787422419381137e-01
6.522232058585335501e-01 4.899822492846260258e-01 9.142626813923631079e-01
6.509731611697497922e-01 4.616605520583605959e-01 8.599288719204887244e-01
5.071033716479620423e-01 3.077103291304745247e-01 7.893996525972969414e-01
5.500290258772195795e-01 3.344483857956352391e-01 8.321593698391702709e-01
5.301810479507309548e-01 3.524143369366425360e-01 8.756454831081759149e-01
6.749091049954610844e-01 4.545280740238685779e-01 1.042335875868942496e+00
5.789703553995028118e-01 4.717807494622632825e-01 8.737241547701005695e-01
5.897751571738985010e-01 3.370465892279277953e-01 9.082208139750194142e-01
6.289713186579453108e-01 3.811571265787206952e-01 8.243782262174492725e-01
6.423843441238106244e-01 3.577573285269256553e-01 7.745899124573228933e-01
7.052753366783377498e-01 4.825372757810225677e-01 9.479762286961262996e-01
6.697158434990164722e-01 5.002520267282580813e-01 9.138642763366632282e-01
6.705257379866178535e-01 4.142707140874024030e-01 9.321902718097305751e-01
6.627056914102983365e-01 3.898315331083030411e-01 9.472336635297929908e-01
6.453942181734473316e-01 3.480671518573687506e-01 9.209560739932797224e-01
6.759001672621848256e-01 3.888221597080750991e-01 1.290015526878580898e+00
6.539762397342595568e-01 3.857480748917537228e-01 8.593511204025724437e-01
5.950195961090554153e-01 2.130079290091916877e-01 9.559796429150623220e-01
6.119323801266567386e-01 3.646345873827708806e-01 9.363024221298750227e-01
5.684095878107656707e-01 3.771043777444300082e-01 9.187320397230912539e-01
5.769749504662181616e-01 -5.061981681754998408e-02 9.111671280990792932e-01
5.711202161650597020e-01 2.967173112063992702e-01 9.517831156423464112e-01
6.035668148815503953e-01 3.012257021994790285e-01 9.631810896518263609e-01
5.771260282378145590e-01 3.792202766771778366e-01 9.480607810168399929e-01
6.223303239952462373e-01 3.856729195004015565e-01 9.670954274737296741e-01
7.013949046890527450e-01 4.204031303728329449e-01 9.386672191727775116e-01
6.476487661380576633e-01 3.465231215639743012e-01 9.399014662578980550e-01
6.809304475098703069e-01 3.232208052532699050e-01 9.177749072900885929e-01
7.000647302244862313e-01 2.674683877250811359e-01 9.998468560893912782e-01
7.032770994728199110e-01 3.839661899082438268e-01 9.742968685685619024e-01
6.790369556736838286e-01 3.246270397044755396e-01 1.005526533664810929e+00
6.956440905327561097e-01 2.940396750843722873e-01 1.021195412072741338e+00
7.290991164112933243e-01 3.275336905891584327e-01 1.158527365034820011e+00
7.427522788075459070e-01 3.012602401335447433e-01 1.018221185066623402e+00
5.820002778947677147e-01 3.443839576292783144e-01 9.571987012640621462e-01
6.778728328368831546e-01 3.922171802657721251e-01 9.680377144831288083e-01
7.164307301885277646e-01 4.182936836505081191e-01 1.070788425052422888e+00
6.935044432959371896e-01 4.301026276817669358e-01 1.094418996562995572e+00
6.389227056984913000e-01 3.183549434363466824e-01 1.062839769382494470e+00
6.852792912364003008e-01 4.830371602630427752e-01 1.094142848355722730e+00
7.004510051729816444e-01 3.420170623036052904e-01 1.053417239402882011e+00
7.713907621322915187e-01 3.187629848124928222e-01 1.118064427466159971e+00
7.257356517472068891e-01 4.822542201964485908e-01 1.145129727049011281e+00
7.643292270821212542e-01 4.807913106932545366e-01 1.148062911327984104e+00
7.614129209742276361e-01 5.014403605951218701e-01 1.166201737423264939e+00
8.458962056742138635e-01 5.148762888783472436e-01 1.189960346325724450e+00
7.987156613950114892e-01 5.803145317584642582e-01 1.186975621221287414e+00
7.456965407934291745e-01 4.475183757109940097e-01 1.189546474965734291e+00
8.183808182630520900e-01 5.462837860441517313e-01 1.178193746808802178e+00
7.431464054709677747e-01 4.638991845870190645e-01 1.155180565551787719e+00
8.382615118714967783e-01 4.887962115024163667e-01 1.171862443697226031e+00
7.923254451060617320e-01 3.927389239289271750e-01 1.117831617676032341e+00
7.968002597888784733e-01 3.860860638794231803e-01 1.075286556358070245e+00
8.017223616836678390e-01 5.579242987138247623e-01 1.165842226822233929e+00
8.553926085621412767e-01 3.969372282969154675e-01 1.157202422490604787e+00
8.389997902927645024e-01 5.257014235275309089e-01 1.168798282850030956e+00
7.783679521479431873e-01 4.370600696402635599e-01 1.171397521067274239e+00
7.111556903611966352e-01 4.196288344765563560e-01 1.155888285656429648e+00
7.034208156484510477e-01 4.441557380265608868e-01 1.188881280031205634e+00
7.212009178974841950e-01 3.985932829451669379e-01 1.108555810798149910e+00
6.781408230450550745e-01 4.047115238261547177e-01 1.053297151001729048e+00
8.591841774745745397e-01 3.714196845629707533e-01 1.083087605382169860e+00
8.814593714944251035e-01 4.018812552354795176e-01 1.151006975770291874e+00
7.223446978761688397e-01 4.149198885253865821e-01 1.115413968329770578e+00
8.698009880506903935e-01 4.524856285105909315e-01 1.155850758202875639e+00
9.960982908686095705e-01 4.830453096953096215e-01 1.186342949310990713e+00
8.935890104926692556e-01 5.263699699524613251e-01 1.213129154218279604e+00
9.018361426412010440e-01 5.545523490018320345e-01 1.165562579677855259e+00
9.014916316311365474e-01 5.789211087392933663e-01 1.230263329835650898e+00
9.255892401709944206e-01 4.958391072108269126e-01 1.184487512990453295e+00
8.427995220118222885e-01 4.533424903330769418e-01 1.174261856482397448e+00
8.286872769521200777e-01 4.524819024267483503e-01 1.186175913238191937e+00
7.406245767735466501e-01 4.492211847646415679e-01 1.009069370871829463e+00
7.573059487204418794e-01 5.974880086844853722e-01 1.078633054723614260e+00
7.661068506009233170e-01 5.397885740675314459e-01 1.076993208500585775e+00
7.309512942955520565e-01 4.161036985915919084e-01 1.091959315199233505e+00
7.436822192799311670e-01 3.515829699171815204e-01 1.103735385411430459e+00
8.309397570571479541e-01 4.626716969327663298e-01 1.141130050665204676e+00
7.842887012652268730e-01 5.238958041836752066e-01 1.122483112439795594e+00
8.550427604474676313e-01 5.318826665172564638e-01 1.133497906083155593e+00
8.680556129456635794e-01 5.981023102860218987e-01 1.273504538033082722e+00
8.936647915315162338e-01 5.036015074973954064e-01 1.208690768725532605e+00
9.238892635329302161e-01 6.362968776246364921e-01 1.242139259206322510e+00
