"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-19.000 -21.295 -0.129 -21.240 -0.115 -21.076 -0.112 -21.038 -0.116 -20.876 -0.156 20.491 0.363 1.513 0.030 44.459 42.955
-18.600 -21.333 -0.123 -21.279 -0.108 -21.114 -0.106 -21.076 -0.110 -20.913 -0.151 20.502 0.342 1.539 0.029 44.474 42.944
-18.200 -21.372 -0.117 -21.318 -0.103 -21.154 -0.101 -21.116 -0.105 -20.951 -0.146 20.499 0.322 1.567 0.028 44.490 42.933
-17.800 -21.410 -0.114 -21.357 -0.100 -21.194 -0.098 -21.155 -0.102 -20.990 -0.143 20.479 0.302 1.597 0.027 44.505 42.921
-17.400 -21.449 -0.111 -21.396 -0.098 -21.234 -0.096 -21.196 -0.100 -21.029 -0.140 20.443 0.283 1.630 0.026 44.519 42.906
-17.000 -21.488 -0.110 -21.436 -0.097 -21.274 -0.095 -21.236 -0.099 -21.069 -0.139 20.389 0.263 1.665 0.024 44.533 42.888
-16.600 -21.526 -0.109 -21.475 -0.096 -21.315 -0.096 -21.278 -0.099 -21.110 -0.138 20.322 0.242 1.703 0.023 44.547 42.866
-16.200 -21.565 -0.110 -21.515 -0.097 -21.357 -0.096 -21.319 -0.100 -21.151 -0.139 20.244 0.219 1.742 0.022 44.560 42.837
-15.800 -21.603 -0.110 -21.554 -0.098 -21.398 -0.098 -21.360 -0.101 -21.191 -0.140 20.158 0.195 1.783 0.020 44.573 42.799
-15.400 -21.641 -0.112 -21.593 -0.100 -21.439 -0.099 -21.402 -0.103 -21.232 -0.141 20.066 0.170 1.826 0.018 44.586 42.753
-15.000 -21.678 -0.113 -21.632 -0.101 -21.480 -0.101 -21.443 -0.105 -21.273 -0.142 19.970 0.145 1.870 0.016 44.598 42.696
-14.600 -21.715 -0.114 -21.671 -0.103 -21.521 -0.103 -21.484 -0.107 -21.313 -0.144 19.870 0.120 1.916 0.013 44.610 42.628
-14.200 -21.752 -0.116 -21.709 -0.105 -21.562 -0.105 -21.525 -0.109 -21.353 -0.146 19.768 0.097 1.962 0.011 44.622 42.547
-13.800 -21.789 -0.117 -21.747 -0.106 -21.602 -0.106 -21.565 -0.111 -21.393 -0.148 19.663 0.076 2.010 0.009 44.634 42.454
-13.400 -21.824 -0.118 -21.784 -0.107 -21.641 -0.108 -21.605 -0.112 -21.432 -0.150 19.557 0.060 2.059 0.007 44.645 42.358
-13.000 -21.860 -0.118 -21.821 -0.108 -21.681 -0.109 -21.645 -0.114 -21.471 -0.152 19.450 0.050 2.109 0.006 44.656 42.288
-12.600 -21.894 -0.119 -21.856 -0.109 -21.719 -0.110 -21.683 -0.115 -21.510 -0.153 19.341 0.048 2.159 0.006 44.667 42.286
-12.200 -21.928 -0.119 -21.892 -0.109 -21.757 -0.112 -21.721 -0.116 -21.547 -0.155 19.232 0.054 2.210 0.007 44.678 42.348
-11.800 -21.961 -0.119 -21.926 -0.109 -21.794 -0.112 -21.759 -0.117 -21.585 -0.156 19.121 0.065 2.262 0.009 44.688 42.433
-11.400 -21.993 -0.119 -21.959 -0.109 -21.830 -0.113 -21.795 -0.118 -21.621 -0.157 19.009 0.076 2.315 0.011 44.698 42.514
-11.000 -22.024 -0.119 -21.992 -0.109 -21.865 -0.113 -21.831 -0.118 -21.657 -0.157 18.896 0.088 2.368 0.013 44.707 42.585
-10.600 -22.054 -0.118 -22.023 -0.109 -21.899 -0.113 -21.865 -0.119 -21.691 -0.158 18.782 0.099 2.422 0.015 44.716 42.645
-10.200 -22.083 -0.118 -22.054 -0.108 -21.932 -0.113 -21.899 -0.119 -21.725 -0.158 18.665 0.109 2.476 0.018 44.724 42.695
-9.800 -22.111 -0.117 -22.083 -0.107 -21.964 -0.113 -21.931 -0.119 -21.758 -0.158 18.547 0.118 2.530 0.020 44.732 42.737
-9.400 -22.137 -0.116 -22.111 -0.107 -21.995 -0.113 -21.962 -0.118 -21.790 -0.157 18.427 0.126 2.585 0.022 44.740 42.772
-9.000 -22.163 -0.116 -22.138 -0.106 -22.025 -0.112 -21.992 -0.118 -21.821 -0.156 18.305 0.132 2.641 0.024 44.746 42.801
-8.600 -22.187 -0.115 -22.163 -0.105 -22.053 -0.112 -22.021 -0.117 -21.851 -0.155 18.181 0.138 2.696 0.025 44.753 42.824
-8.200 -22.209 -0.114 -22.187 -0.105 -22.081 -0.111 -22.049 -0.116 -21.879 -0.154 18.055 0.142 2.752 0.027 44.758 42.843
-7.800 -22.231 -0.114 -22.210 -0.104 -22.106 -0.110 -22.075 -0.115 -21.907 -0.153 17.928 0.145 2.807 0.029 44.764 42.858
-7.400 -22.251 -0.113 -22.231 -0.103 -22.131 -0.109 -22.100 -0.114 -21.933 -0.151 17.801 0.147 2.863 0.030 44.768 42.868
-7.000 -22.269 -0.113 -22.251 -0.103 -22.154 -0.108 -22.124 -0.113 -21.958 -0.150 17.673 0.148 2.918 0.031 44.772 42.875
-6.600 -22.286 -0.112 -22.269 -0.102 -22.176 -0.108 -22.146 -0.112 -21.982 -0.148 17.545 0.148 2.972 0.032 44.776 42.878
-6.200 -22.302 -0.112 -22.286 -0.102 -22.196 -0.107 -22.167 -0.111 -22.005 -0.146 17.416 0.147 3.026 0.033 44.778 42.878
-5.800 -22.316 -0.112 -22.302 -0.102 -22.215 -0.106 -22.186 -0.110 -22.027 -0.144 17.288 0.144 3.080 0.033 44.781 42.873
-5.400 -22.329 -0.112 -22.316 -0.102 -22.232 -0.106 -22.204 -0.109 -22.047 -0.142 17.160 0.141 3.132 0.033 44.783 42.864
-5.000 -22.340 -0.112 -22.328 -0.103 -22.248 -0.105 -22.221 -0.109 -22.066 -0.140 17.032 0.136 3.184 0.033 44.784 42.849
-4.600 -22.350 -0.113 -22.339 -0.104 -22.262 -0.105 -22.236 -0.108 -22.084 -0.138 16.905 0.129 3.234 0.032 44.784 42.828
-4.200 -22.358 -0.113 -22.349 -0.104 -22.275 -0.105 -22.249 -0.108 -22.100 -0.136 16.778 0.121 3.284 0.031 44.785 42.801
-3.800 -22.365 -0.114 -22.357 -0.105 -22.286 -0.105 -22.261 -0.108 -22.115 -0.135 16.651 0.112 3.333 0.030 44.784 42.769
-3.400 -22.371 -0.115 -22.364 -0.106 -22.296 -0.106 -22.272 -0.108 -22.130 -0.134 16.523 0.104 3.381 0.028 44.783 42.734
-3.000 -22.375 -0.115 -22.369 -0.107 -22.305 -0.106 -22.282 -0.108 -22.143 -0.132 16.395 0.096 3.428 0.027 44.782 42.698
-2.600 -22.379 -0.115 -22.373 -0.107 -22.313 -0.106 -22.290 -0.108 -22.155 -0.131 16.267 0.090 3.474 0.026 44.780 42.666
-2.200 -22.380 -0.116 -22.376 -0.107 -22.319 -0.106 -22.297 -0.108 -22.165 -0.130 16.139 0.086 3.520 0.025 44.777 42.644
-1.800 -22.381 -0.115 -22.378 -0.108 -22.324 -0.106 -22.303 -0.108 -22.175 -0.130 16.011 0.085 3.565 0.025 44.775 42.634
-1.400 -22.381 -0.115 -22.378 -0.107 -22.328 -0.107 -22.308 -0.108 -22.184 -0.129 15.884 0.086 3.609 0.027 44.771 42.638
-1.000 -22.379 -0.114 -22.378 -0.107 -22.331 -0.106 -22.312 -0.108 -22.192 -0.128 15.758 0.091 3.652 0.029 44.768 42.654
-0.600 -22.376 -0.114 -22.376 -0.106 -22.333 -0.106 -22.315 -0.107 -22.198 -0.127 15.633 0.097 3.693 0.031 44.764 42.677
-0.200 -22.372 -0.112 -22.374 -0.106 -22.334 -0.106 -22.316 -0.107 -22.204 -0.126 15.509 0.104 3.734 0.035 44.759 42.703
0.200 -22.368 -0.111 -22.370 -0.104 -22.334 -0.105 -22.317 -0.106 -22.208 -0.124 15.394 0.113 3.770 0.039 44.755 42.732
0.600 -22.362 -0.109 -22.365 -0.103 -22.332 -0.104 -22.317 -0.105 -22.212 -0.123 15.268 0.122 3.810 0.043 44.750 42.758
1.000 -22.355 -0.107 -22.359 -0.101 -22.330 -0.103 -22.316 -0.104 -22.215 -0.122 15.150 0.132 3.846 0.047 44.745 42.784
1.400 -22.347 -0.105 -22.353 -0.099 -22.327 -0.102 -22.313 -0.103 -22.217 -0.121 15.052 0.143 3.875 0.052 44.740 42.810
1.800 -22.339 -0.103 -22.345 -0.097 -22.323 -0.101 -22.310 -0.102 -22.218 -0.120 14.945 0.154 3.906 0.058 44.734 42.833
2.200 -22.329 -0.101 -22.337 -0.095 -22.318 -0.100 -22.306 -0.101 -22.218 -0.119 14.814 0.163 3.945 0.063 44.727 42.849
2.600 -22.319 -0.098 -22.327 -0.093 -22.313 -0.098 -22.301 -0.100 -22.217 -0.118 14.707 0.174 3.974 0.068 44.721 42.867
3.000 -22.308 -0.096 -22.317 -0.091 -22.306 -0.097 -22.296 -0.099 -22.215 -0.118 14.604 0.185 4.000 0.074 44.715 42.883
3.400 -22.296 -0.095 -22.307 -0.089 -22.299 -0.096 -22.289 -0.097 -22.213 -0.118 14.504 0.197 4.025 0.081 44.708 42.899
3.800 -22.284 -0.093 -22.295 -0.088 -22.290 -0.095 -22.282 -0.096 -22.210 -0.118 14.406 0.208 4.049 0.087 44.702 42.912
4.200 -22.271 -0.093 -22.283 -0.087 -22.282 -0.093 -22.274 -0.095 -22.207 -0.119 14.311 0.219 4.070 0.093 44.695 42.924
4.600 -22.257 -0.092 -22.271 -0.086 -22.272 -0.092 -22.265 -0.094 -22.203 -0.120 14.239 0.231 4.081 0.099 44.688 42.938
5.000 -22.243 -0.092 -22.257 -0.085 -22.262 -0.091 -22.256 -0.093 -22.198 -0.121 14.155 0.242 4.096 0.106 44.681 42.949
5.400 -22.229 -0.092 -22.244 -0.084 -22.252 -0.089 -22.246 -0.092 -22.193 -0.122 14.069 0.252 4.112 0.112 44.674 42.957
5.800 -22.213 -0.092 -22.230 -0.084 -22.241 -0.088 -22.236 -0.091 -22.187 -0.123 13.951 0.260 4.142 0.118 44.666 42.959
6.200 -22.198 -0.093 -22.215 -0.084 -22.229 -0.087 -22.226 -0.090 -22.181 -0.124 13.866 0.270 4.157 0.124 44.658 42.964
