"Time (MJD)" g-4769.9 g-4769.9_err i-7774.3 i-7774.3_err r-6370.44 r-6370.44_err z-9154.88 z-9154.88_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-14.000 -21.513 -0.080 -21.314 -0.068 -21.223 -0.067 -21.163 -0.084 19.053 2.006 1.794 0.231 44.480 43.715
-13.600 -21.534 -0.076 -21.341 -0.065 -21.252 -0.064 -21.192 -0.080 18.938 1.957 1.829 0.232 44.487 43.711
-13.200 -21.555 -0.072 -21.367 -0.063 -21.280 -0.061 -21.220 -0.076 18.821 1.905 1.866 0.233 44.493 43.705
-12.800 -21.576 -0.069 -21.394 -0.060 -21.308 -0.059 -21.249 -0.073 18.702 1.851 1.904 0.234 44.500 43.699
-12.400 -21.596 -0.067 -21.420 -0.059 -21.335 -0.058 -21.277 -0.070 18.581 1.795 1.943 0.234 44.506 43.692
-12.000 -21.616 -0.065 -21.447 -0.058 -21.363 -0.057 -21.306 -0.068 18.457 1.739 1.983 0.235 44.512 43.684
-11.600 -21.636 -0.063 -21.473 -0.057 -21.390 -0.056 -21.334 -0.066 18.333 1.682 2.023 0.234 44.518 43.675
-11.200 -21.655 -0.061 -21.499 -0.056 -21.417 -0.055 -21.362 -0.064 18.208 1.625 2.065 0.234 44.524 43.666
-10.800 -21.673 -0.060 -21.525 -0.055 -21.443 -0.055 -21.390 -0.063 18.082 1.569 2.108 0.234 44.529 43.655
-10.400 -21.691 -0.058 -21.551 -0.054 -21.469 -0.054 -21.417 -0.061 17.956 1.514 2.151 0.233 44.535 43.645
-10.000 -21.708 -0.057 -21.576 -0.053 -21.495 -0.053 -21.444 -0.060 17.832 1.460 2.195 0.233 44.540 43.634
-9.600 -21.725 -0.055 -21.601 -0.052 -21.520 -0.052 -21.471 -0.058 17.708 1.407 2.239 0.232 44.546 43.622
-9.200 -21.741 -0.053 -21.626 -0.050 -21.545 -0.051 -21.497 -0.057 17.585 1.355 2.283 0.231 44.551 43.610
-8.800 -21.757 -0.051 -21.650 -0.049 -21.569 -0.050 -21.523 -0.055 17.464 1.304 2.328 0.230 44.555 43.597
-8.400 -21.772 -0.049 -21.673 -0.047 -21.593 -0.048 -21.549 -0.053 17.345 1.255 2.373 0.228 44.560 43.584
-8.000 -21.786 -0.046 -21.696 -0.044 -21.616 -0.046 -21.574 -0.051 17.230 1.207 2.417 0.227 44.565 43.569
-7.600 -21.800 -0.043 -21.719 -0.042 -21.639 -0.043 -21.598 -0.048 17.118 1.159 2.461 0.225 44.569 43.554
-7.200 -21.812 -0.040 -21.741 -0.039 -21.661 -0.041 -21.622 -0.046 17.011 1.113 2.504 0.223 44.573 43.537
-6.800 -21.824 -0.036 -21.762 -0.035 -21.683 -0.038 -21.645 -0.043 16.911 1.066 2.546 0.220 44.577 43.519
-6.400 -21.835 -0.032 -21.782 -0.031 -21.703 -0.035 -21.668 -0.041 16.821 1.018 2.586 0.217 44.581 43.497
-6.000 -21.846 -0.028 -21.802 -0.027 -21.723 -0.031 -21.690 -0.038 16.744 0.969 2.622 0.213 44.585 43.473
-5.600 -21.855 -0.024 -21.821 -0.023 -21.743 -0.028 -21.711 -0.035 16.685 0.916 2.653 0.207 44.590 43.442
-5.200 -21.863 -0.019 -21.839 -0.019 -21.761 -0.025 -21.732 -0.033 16.650 0.856 2.677 0.199 44.594 43.402
-4.800 -21.870 -0.015 -21.856 -0.015 -21.779 -0.022 -21.751 -0.031 16.643 0.786 2.693 0.187 44.598 43.350
-4.400 -21.877 -0.011 -21.873 -0.011 -21.796 -0.020 -21.770 -0.029 16.640 0.705 2.707 0.172 44.602 43.284
