"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4735.89 g-4735.89_err g-4746.48 g-4746.48_err i-7645.77 i-7645.77_err orange-6629.82 orange-6629.82_err r-6198.96 r-6198.96_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-50.000 -20.288 -0.103 -20.288 -0.103 -20.255 -0.090 -20.121 -0.097 -20.091 -0.100 -20.039 -0.106 -19.802 -0.168 17.457 0.649 1.228 0.052 43.999 42.812
-49.600 -20.314 -0.101 -20.314 -0.100 -20.282 -0.088 -20.147 -0.095 -20.117 -0.098 -20.065 -0.104 -19.825 -0.166 17.468 0.669 1.242 0.054 44.010 42.835
-49.200 -20.340 -0.098 -20.339 -0.098 -20.308 -0.086 -20.173 -0.093 -20.143 -0.096 -20.091 -0.102 -19.848 -0.164 17.481 0.689 1.256 0.056 44.021 42.859
-48.800 -20.366 -0.096 -20.365 -0.096 -20.335 -0.084 -20.200 -0.092 -20.169 -0.094 -20.116 -0.101 -19.871 -0.162 17.493 0.710 1.270 0.059 44.032 42.882
-48.400 -20.392 -0.094 -20.391 -0.094 -20.361 -0.082 -20.226 -0.090 -20.195 -0.092 -20.142 -0.099 -19.894 -0.160 17.507 0.730 1.284 0.061 44.043 42.905
-48.000 -20.418 -0.092 -20.417 -0.092 -20.388 -0.080 -20.253 -0.089 -20.221 -0.091 -20.168 -0.097 -19.917 -0.159 17.521 0.750 1.298 0.063 44.054 42.927
-47.600 -20.444 -0.090 -20.443 -0.090 -20.414 -0.078 -20.279 -0.087 -20.248 -0.089 -20.194 -0.096 -19.940 -0.157 17.536 0.771 1.312 0.066 44.065 42.950
-47.200 -20.470 -0.089 -20.469 -0.088 -20.441 -0.077 -20.305 -0.086 -20.274 -0.088 -20.220 -0.094 -19.963 -0.156 17.552 0.792 1.327 0.068 44.076 42.972
-46.800 -20.496 -0.087 -20.495 -0.086 -20.467 -0.076 -20.332 -0.085 -20.300 -0.087 -20.245 -0.093 -19.986 -0.154 17.569 0.813 1.341 0.071 44.087 42.994
-46.400 -20.522 -0.085 -20.521 -0.085 -20.494 -0.074 -20.358 -0.084 -20.326 -0.086 -20.271 -0.092 -20.009 -0.153 17.587 0.834 1.356 0.073 44.098 43.016
-46.000 -20.548 -0.084 -20.547 -0.083 -20.520 -0.073 -20.384 -0.082 -20.352 -0.085 -20.297 -0.091 -20.032 -0.152 17.606 0.855 1.371 0.076 44.109 43.038
-45.600 -20.574 -0.083 -20.573 -0.082 -20.547 -0.072 -20.411 -0.082 -20.378 -0.084 -20.323 -0.090 -20.054 -0.150 17.626 0.877 1.385 0.079 44.121 43.060
-45.200 -20.600 -0.081 -20.599 -0.081 -20.573 -0.071 -20.437 -0.081 -20.404 -0.083 -20.348 -0.089 -20.077 -0.149 17.648 0.899 1.400 0.081 44.132 43.081
-44.800 -20.626 -0.080 -20.625 -0.080 -20.600 -0.070 -20.463 -0.080 -20.430 -0.082 -20.374 -0.088 -20.100 -0.148 17.672 0.921 1.414 0.084 44.143 43.103
-44.400 -20.652 -0.079 -20.651 -0.078 -20.626 -0.069 -20.489 -0.079 -20.456 -0.081 -20.399 -0.087 -20.122 -0.147 17.697 0.943 1.429 0.087 44.154 43.124
-44.000 -20.677 -0.078 -20.677 -0.077 -20.652 -0.068 -20.515 -0.078 -20.482 -0.080 -20.424 -0.086 -20.145 -0.146 17.723 0.965 1.444 0.089 44.166 43.145
-43.600 -20.703 -0.077 -20.703 -0.076 -20.678 -0.068 -20.541 -0.078 -20.508 -0.080 -20.450 -0.085 -20.167 -0.145 17.751 0.988 1.458 0.092 44.177 43.166
-43.200 -20.729 -0.076 -20.728 -0.076 -20.704 -0.067 -20.566 -0.077 -20.533 -0.079 -20.475 -0.085 -20.190 -0.144 17.780 1.010 1.472 0.095 44.189 43.187
-42.800 -20.754 -0.075 -20.754 -0.075 -20.730 -0.066 -20.592 -0.077 -20.559 -0.078 -20.500 -0.084 -20.212 -0.143 17.811 1.033 1.487 0.098 44.200 43.208
-42.400 -20.780 -0.075 -20.779 -0.074 -20.755 -0.066 -20.617 -0.076 -20.584 -0.078 -20.525 -0.083 -20.234 -0.142 17.842 1.056 1.501 0.101 44.211 43.229
-42.000 -20.805 -0.074 -20.805 -0.073 -20.781 -0.065 -20.642 -0.076 -20.609 -0.078 -20.549 -0.083 -20.256 -0.142 17.876 1.079 1.515 0.104 44.223 43.249
-41.600 -20.830 -0.073 -20.830 -0.073 -20.806 -0.065 -20.668 -0.075 -20.634 -0.077 -20.574 -0.082 -20.278 -0.141 17.910 1.102 1.529 0.106 44.234 43.269
-41.200 -20.855 -0.073 -20.855 -0.072 -20.832 -0.064 -20.692 -0.075 -20.659 -0.077 -20.598 -0.082 -20.300 -0.140 17.945 1.125 1.543 0.109 44.246 43.289
-40.800 -20.880 -0.072 -20.880 -0.071 -20.857 -0.064 -20.717 -0.075 -20.683 -0.076 -20.622 -0.082 -20.321 -0.139 17.982 1.147 1.557 0.112 44.257 43.309
-40.400 -20.905 -0.071 -20.904 -0.071 -20.882 -0.064 -20.742 -0.074 -20.707 -0.076 -20.646 -0.081 -20.343 -0.139 18.020 1.170 1.571 0.115 44.268 43.329
-40.000 -20.929 -0.071 -20.929 -0.070 -20.906 -0.063 -20.766 -0.074 -20.731 -0.076 -20.670 -0.081 -20.364 -0.138 18.059 1.193 1.585 0.118 44.280 43.348
-39.600 -20.953 -0.070 -20.953 -0.070 -20.931 -0.063 -20.790 -0.074 -20.755 -0.075 -20.693 -0.080 -20.385 -0.137 18.098 1.215 1.599 0.121 44.291 43.367
-39.200 -20.977 -0.070 -20.977 -0.069 -20.955 -0.063 -20.814 -0.074 -20.779 -0.075 -20.717 -0.080 -20.406 -0.137 18.138 1.238 1.612 0.124 44.302 43.386
-38.800 -21.001 -0.069 -21.001 -0.069 -20.979 -0.063 -20.837 -0.073 -20.802 -0.075 -20.740 -0.080 -20.427 -0.136 18.179 1.260 1.626 0.126 44.313 43.404
-38.400 -21.025 -0.069 -21.025 -0.068 -21.003 -0.062 -20.861 -0.073 -20.826 -0.075 -20.762 -0.080 -20.448 -0.136 18.219 1.281 1.639 0.129 44.324 43.422
-38.000 -21.048 -0.068 -21.048 -0.068 -21.026 -0.062 -20.884 -0.073 -20.848 -0.074 -20.785 -0.079 -20.468 -0.135 18.260 1.303 1.652 0.132 44.335 43.440
-37.600 -21.072 -0.068 -21.071 -0.068 -21.050 -0.062 -20.907 -0.073 -20.871 -0.074 -20.807 -0.079 -20.489 -0.134 18.301 1.323 1.666 0.135 44.346 43.458
-37.200 -21.094 -0.068 -21.094 -0.067 -21.073 -0.061 -20.929 -0.072 -20.894 -0.074 -20.829 -0.079 -20.509 -0.134 18.342 1.344 1.679 0.137 44.357 43.475
-36.800 -21.117 -0.067 -21.117 -0.067 -21.095 -0.061 -20.952 -0.072 -20.916 -0.073 -20.851 -0.078 -20.529 -0.133 18.382 1.364 1.692 0.140 44.367 43.491
-36.400 -21.139 -0.067 -21.139 -0.066 -21.118 -0.061 -20.974 -0.072 -20.937 -0.073 -20.872 -0.078 -20.549 -0.133 18.422 1.383 1.705 0.143 44.378 43.507
-36.000 -21.162 -0.066 -21.161 -0.066 -21.140 -0.060 -20.995 -0.071 -20.959 -0.073 -20.894 -0.078 -20.568 -0.132 18.461 1.402 1.718 0.145 44.388 43.523
-35.600 -21.183 -0.066 -21.183 -0.065 -21.162 -0.060 -21.017 -0.071 -20.980 -0.073 -20.915 -0.078 -20.588 -0.131 18.499 1.420 1.731 0.148 44.398 43.539
-35.200 -21.205 -0.065 -21.205 -0.065 -21.184 -0.059 -21.038 -0.071 -21.001 -0.072 -20.935 -0.077 -20.607 -0.131 18.535 1.437 1.744 0.150 44.408 43.554
-34.800 -21.226 -0.065 -21.226 -0.064 -21.205 -0.059 -21.059 -0.070 -21.022 -0.072 -20.956 -0.077 -20.626 -0.130 18.571 1.453 1.758 0.153 44.418 43.568
