"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4735.89 g-4735.89_err g-4746.48 g-4746.48_err i-7645.77 i-7645.77_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6198.96 r-6198.96_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-18.000 -20.700 -0.115 -20.699 -0.115 -20.641 -0.099 -20.488 -0.085 -20.461 -0.086 -20.417 -0.089 -20.249 -0.119 -20.220 -0.127 18.358 0.017 1.380 0.001 44.188 41.425
-17.600 -20.742 -0.110 -20.741 -0.110 -20.684 -0.095 -20.533 -0.082 -20.506 -0.083 -20.462 -0.085 -20.293 -0.115 -20.264 -0.124 18.296 0.025 1.413 0.002 44.203 41.614
-17.200 -20.784 -0.107 -20.783 -0.107 -20.728 -0.092 -20.578 -0.080 -20.551 -0.081 -20.508 -0.084 -20.338 -0.113 -20.309 -0.121 18.212 0.038 1.449 0.003 44.217 41.811
-16.800 -20.826 -0.105 -20.825 -0.104 -20.771 -0.090 -20.623 -0.080 -20.596 -0.081 -20.553 -0.084 -20.384 -0.112 -20.354 -0.120 18.109 0.052 1.488 0.005 44.230 41.954
-16.400 -20.868 -0.103 -20.866 -0.103 -20.813 -0.090 -20.668 -0.081 -20.641 -0.082 -20.599 -0.085 -20.429 -0.112 -20.399 -0.120 17.992 0.064 1.530 0.006 44.242 42.059
-16.000 -20.908 -0.102 -20.907 -0.102 -20.855 -0.090 -20.713 -0.082 -20.687 -0.083 -20.644 -0.086 -20.475 -0.113 -20.445 -0.120 17.863 0.075 1.573 0.007 44.254 42.140
-15.600 -20.949 -0.102 -20.947 -0.101 -20.897 -0.090 -20.757 -0.084 -20.731 -0.085 -20.689 -0.088 -20.521 -0.114 -20.490 -0.121 17.727 0.084 1.618 0.008 44.265 42.201
-15.200 -20.988 -0.101 -20.987 -0.101 -20.938 -0.090 -20.801 -0.086 -20.775 -0.087 -20.734 -0.090 -20.566 -0.115 -20.535 -0.122 17.585 0.091 1.665 0.010 44.276 42.245
-14.800 -21.027 -0.101 -21.026 -0.100 -20.978 -0.091 -20.844 -0.087 -20.819 -0.088 -20.778 -0.092 -20.610 -0.116 -20.580 -0.123 17.440 0.095 1.713 0.010 44.287 42.275
-14.400 -21.064 -0.100 -21.063 -0.100 -21.017 -0.091 -20.885 -0.088 -20.861 -0.090 -20.820 -0.093 -20.654 -0.118 -20.624 -0.124 17.294 0.097 1.762 0.011 44.297 42.294
-14.000 -21.101 -0.099 -21.100 -0.099 -21.055 -0.090 -20.926 -0.089 -20.902 -0.091 -20.862 -0.094 -20.697 -0.118 -20.667 -0.125 17.146 0.098 1.812 0.012 44.306 42.306
-13.600 -21.136 -0.098 -21.135 -0.097 -21.092 -0.090 -20.966 -0.089 -20.942 -0.091 -20.903 -0.095 -20.739 -0.119 -20.709 -0.125 16.999 0.097 1.863 0.012 44.315 42.312
-13.200 -21.171 -0.096 -21.170 -0.096 -21.128 -0.088 -21.005 -0.089 -20.981 -0.091 -20.943 -0.095 -20.780 -0.119 -20.750 -0.126 16.851 0.095 1.915 0.013 44.324 42.313
-12.800 -21.204 -0.094 -21.203 -0.094 -21.162 -0.087 -21.042 -0.088 -21.019 -0.090 -20.981 -0.094 -20.820 -0.119 -20.790 -0.125 16.704 0.093 1.967 0.013 44.332 42.310
-12.400 -21.235 -0.092 -21.234 -0.091 -21.195 -0.085 -21.078 -0.087 -21.055 -0.089 -21.018 -0.093 -20.859 -0.118 -20.828 -0.125 16.559 0.090 2.019 0.013 44.339 42.304
-12.000 -21.265 -0.089 -21.265 -0.089 -21.226 -0.083 -21.112 -0.086 -21.090 -0.088 -21.053 -0.092 -20.896 -0.117 -20.866 -0.124 16.416 0.087 2.071 0.013 44.346 42.294
-11.600 -21.294 -0.087 -21.293 -0.086 -21.256 -0.080 -21.144 -0.084 -21.123 -0.086 -21.087 -0.090 -20.931 -0.116 -20.902 -0.123 16.275 0.083 2.123 0.013 44.353 42.280
-11.200 -21.321 -0.084 -21.320 -0.084 -21.284 -0.077 -21.175 -0.082 -21.154 -0.084 -21.119 -0.088 -20.965 -0.115 -20.936 -0.121 16.138 0.079 2.175 0.013 44.359 42.261
-10.800 -21.346 -0.081 -21.346 -0.081 -21.311 -0.075 -21.205 -0.079 -21.184 -0.082 -21.149 -0.086 -20.998 -0.113 -20.969 -0.120 16.005 0.073 2.225 0.012 44.365 42.235
