"Time (MJD)" g-4810.16 g-4810.16_err i-7503.03 i-7503.03_err r-6155.47 r-6155.47_err z-8668.36 z-8668.36_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-28.000 -20.499 -0.152 -21.217 -0.109 -20.898 -0.106 -20.865 -0.136 17.143 2.973 1.668 0.491 44.234 43.442
-27.600 -20.526 -0.148 -21.255 -0.104 -20.933 -0.102 -20.901 -0.130 17.111 3.038 1.702 0.513 44.248 43.465
-27.200 -20.553 -0.145 -21.292 -0.098 -20.969 -0.098 -20.937 -0.125 17.082 3.106 1.736 0.536 44.262 43.488
-26.800 -20.580 -0.142 -21.330 -0.093 -21.005 -0.095 -20.973 -0.121 17.056 3.174 1.770 0.559 44.276 43.512
-26.400 -20.607 -0.140 -21.367 -0.089 -21.041 -0.092 -21.009 -0.117 17.033 3.242 1.806 0.583 44.291 43.535
-26.000 -20.634 -0.138 -21.403 -0.085 -21.077 -0.090 -21.046 -0.113 17.011 3.307 1.841 0.608 44.306 43.558
-25.600 -20.662 -0.137 -21.439 -0.082 -21.113 -0.089 -21.083 -0.110 16.990 3.366 1.878 0.632 44.321 43.580
-25.200 -20.689 -0.136 -21.475 -0.079 -21.150 -0.088 -21.119 -0.107 16.967 3.416 1.915 0.655 44.336 43.600
-24.800 -20.716 -0.136 -21.509 -0.077 -21.186 -0.087 -21.156 -0.105 16.941 3.455 1.954 0.677 44.350 43.619
-24.400 -20.743 -0.136 -21.544 -0.075 -21.223 -0.086 -21.193 -0.103 16.910 3.482 1.993 0.698 44.365 43.636
-24.000 -20.770 -0.136 -21.577 -0.073 -21.259 -0.086 -21.230 -0.102 16.872 3.494 2.035 0.718 44.378 43.651
-23.600 -20.797 -0.137 -21.610 -0.073 -21.295 -0.086 -21.266 -0.101 16.825 3.489 2.078 0.735 44.392 43.663
-23.200 -20.823 -0.138 -21.641 -0.072 -21.331 -0.086 -21.303 -0.100 16.770 3.467 2.123 0.750 44.405 43.673
-22.800 -20.849 -0.139 -21.672 -0.073 -21.367 -0.086 -21.339 -0.099 16.705 3.429 2.170 0.763 44.417 43.681
-22.400 -20.876 -0.141 -21.702 -0.073 -21.403 -0.087 -21.375 -0.099 16.632 3.377 2.218 0.774 44.429 43.686
-22.000 -20.901 -0.142 -21.731 -0.074 -21.438 -0.088 -21.411 -0.098 16.554 3.316 2.269 0.783 44.440 43.689
-21.600 -20.927 -0.144 -21.759 -0.075 -21.473 -0.089 -21.446 -0.098 16.473 3.247 2.321 0.791 44.451 43.692
-21.200 -20.952 -0.145 -21.787 -0.076 -21.508 -0.090 -21.482 -0.098 16.390 3.174 2.374 0.797 44.462 43.693
-20.800 -20.977 -0.146 -21.813 -0.077 -21.542 -0.090 -21.517 -0.097 16.306 3.099 2.428 0.802 44.473 43.693
-20.400 -21.002 -0.148 -21.839 -0.078 -21.576 -0.091 -21.551 -0.097 16.224 3.023 2.483 0.807 44.483 43.694
-20.000 -21.026 -0.149 -21.864 -0.080 -21.609 -0.092 -21.585 -0.097 16.143 2.947 2.538 0.810 44.494 43.694
