"Time (MJD)" g-4671.78 g-4671.78_err i-7457.89 i-7457.89_err r-6141.12 r-6141.12_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-63.000 -19.329 -0.208 -19.338 -0.189 -19.348 -0.205 13.106 0.930 1.209 0.130 43.487 42.384
-62.600 -19.351 -0.206 -19.360 -0.187 -19.370 -0.203 13.103 0.930 1.222 0.131 43.496 42.393
-62.200 -19.373 -0.204 -19.382 -0.185 -19.392 -0.201 13.100 0.931 1.235 0.132 43.505 42.401
-61.800 -19.396 -0.203 -19.405 -0.183 -19.415 -0.200 13.097 0.931 1.248 0.134 43.514 42.410
-61.400 -19.418 -0.202 -19.428 -0.182 -19.438 -0.198 13.093 0.930 1.262 0.135 43.523 42.419
-61.000 -19.441 -0.201 -19.451 -0.181 -19.461 -0.197 13.089 0.930 1.276 0.137 43.532 42.428
-60.600 -19.464 -0.200 -19.474 -0.181 -19.484 -0.197 13.085 0.929 1.290 0.138 43.541 42.437
-60.200 -19.487 -0.200 -19.497 -0.181 -19.508 -0.196 13.080 0.928 1.304 0.140 43.550 42.446
-59.800 -19.510 -0.200 -19.520 -0.181 -19.531 -0.196 13.076 0.927 1.319 0.141 43.559 42.454
-59.400 -19.533 -0.200 -19.544 -0.181 -19.555 -0.196 13.071 0.926 1.334 0.143 43.569 42.463
-59.000 -19.557 -0.201 -19.568 -0.182 -19.579 -0.197 13.066 0.924 1.350 0.145 43.578 42.471
-58.600 -19.580 -0.202 -19.592 -0.183 -19.603 -0.197 13.061 0.923 1.366 0.146 43.587 42.480
-58.200 -19.604 -0.202 -19.616 -0.184 -19.627 -0.198 13.056 0.921 1.382 0.148 43.597 42.488
-57.800 -19.628 -0.203 -19.640 -0.185 -19.651 -0.199 13.051 0.919 1.398 0.149 43.606 42.497
-57.400 -19.652 -0.205 -19.664 -0.186 -19.676 -0.200 13.046 0.917 1.414 0.151 43.616 42.505
-57.000 -19.676 -0.206 -19.689 -0.188 -19.700 -0.201 13.041 0.915 1.431 0.152 43.625 42.514
-56.600 -19.700 -0.207 -19.713 -0.189 -19.725 -0.202 13.035 0.913 1.448 0.154 43.635 42.523
-56.200 -19.725 -0.208 -19.738 -0.191 -19.750 -0.203 13.030 0.911 1.466 0.155 43.645 42.531
-55.800 -19.749 -0.210 -19.762 -0.192 -19.774 -0.204 13.025 0.909 1.484 0.157 43.655 42.540
-55.400 -19.774 -0.211 -19.787 -0.194 -19.799 -0.206 13.020 0.906 1.502 0.159 43.664 42.548
-55.000 -19.798 -0.213 -19.812 -0.196 -19.824 -0.207 13.014 0.904 1.520 0.160 43.674 42.557
-54.600 -19.823 -0.214 -19.837 -0.197 -19.850 -0.208 13.009 0.902 1.538 0.162 43.684 42.566
-54.200 -19.848 -0.216 -19.862 -0.199 -19.875 -0.210 13.004 0.900 1.557 0.164 43.694 42.575
-53.800 -19.873 -0.217 -19.887 -0.201 -19.900 -0.211 12.998 0.898 1.576 0.166 43.704 42.583
-53.400 -19.897 -0.218 -19.913 -0.202 -19.925 -0.212 12.993 0.896 1.596 0.167 43.714 42.592
-53.000 -19.922 -0.220 -19.938 -0.204 -19.951 -0.213 12.988 0.894 1.615 0.169 43.724 42.601
-52.600 -19.947 -0.221 -19.963 -0.205 -19.976 -0.215 12.983 0.892 1.635 0.171 43.733 42.610
-52.200 -19.973 -0.222 -19.989 -0.206 -20.002 -0.216 12.977 0.890 1.656 0.173 43.743 42.619
-51.800 -19.998 -0.223 -20.014 -0.208 -20.028 -0.217 12.972 0.888 1.676 0.175 43.753 42.628
-51.400 -20.023 -0.224 -20.040 -0.209 -20.053 -0.218 12.967 0.887 1.697 0.177 43.763 42.637
-51.000 -20.048 -0.225 -20.065 -0.210 -20.079 -0.219 12.961 0.885 1.718 0.179 43.773 42.646
-50.600 -20.073 -0.226 -20.091 -0.211 -20.104 -0.219 12.956 0.883 1.739 0.181 43.784 42.655
-50.200 -20.098 -0.227 -20.116 -0.212 -20.130 -0.220 12.951 0.881 1.761 0.183 43.794 42.664
-49.800 -20.124 -0.228 -20.142 -0.212 -20.156 -0.221 12.945 0.880 1.783 0.185 43.804 42.673
-49.400 -20.149 -0.228 -20.167 -0.213 -20.181 -0.221 12.940 0.878 1.805 0.187 43.814 42.683
-49.000 -20.174 -0.229 -20.193 -0.214 -20.207 -0.221 12.935 0.877 1.828 0.189 43.824 42.692
-48.600 -20.199 -0.229 -20.219 -0.214 -20.233 -0.222 12.929 0.875 1.850 0.191 43.834 42.701
-48.200 -20.224 -0.229 -20.244 -0.214 -20.259 -0.222 12.924 0.874 1.873 0.193 43.844 42.710
-47.800 -20.250 -0.229 -20.270 -0.214 -20.284 -0.222 12.919 0.872 1.897 0.196 43.854 42.719
-47.400 -20.275 -0.229 -20.295 -0.214 -20.310 -0.221 12.913 0.871 1.920 0.198 43.864 42.729
-47.000 -20.300 -0.229 -20.321 -0.214 -20.335 -0.221 12.908 0.870 1.944 0.200 43.874 42.738
-46.600 -20.325 -0.229 -20.346 -0.214 -20.361 -0.221 12.902 0.868 1.968 0.202 43.884 42.747
-46.200 -20.350 -0.228 -20.371 -0.213 -20.386 -0.220 12.897 0.867 1.993 0.205 43.894 42.756
-45.800 -20.375 -0.228 -20.397 -0.213 -20.412 -0.220 12.892 0.866 2.017 0.207 43.904 42.766
-45.400 -20.400 -0.227 -20.422 -0.212 -20.437 -0.219 12.886 0.865 2.042 0.210 43.913 42.775
-45.000 -20.425 -0.226 -20.447 -0.211 -20.463 -0.218 12.881 0.863 2.067 0.212 43.923 42.784
-44.600 -20.449 -0.225 -20.472 -0.210 -20.488 -0.217 12.875 0.862 2.093 0.214 43.933 42.793
-44.200 -20.474 -0.224 -20.497 -0.209 -20.513 -0.216 12.870 0.861 2.118 0.217 43.943 42.803
-43.800 -20.499 -0.223 -20.522 -0.208 -20.538 -0.214 12.864 0.860 2.144 0.220 43.953 42.812
-43.400 -20.523 -0.222 -20.547 -0.207 -20.563 -0.213 12.859 0.859 2.170 0.222 43.963 42.821
-43.000 -20.548 -0.220 -20.572 -0.205 -20.588 -0.211 12.853 0.858 2.196 0.225 43.972 42.830
-42.600 -20.572 -0.219 -20.597 -0.203 -20.613 -0.210 12.848 0.857 2.223 0.227 43.982 42.839
-42.200 -20.596 -0.217 -20.621 -0.202 -20.638 -0.208 12.842 0.857 2.249 0.230 43.992 42.848
-41.800 -20.620 -0.215 -20.646 -0.200 -20.662 -0.206 12.837 0.856 2.276 0.233 44.001 42.858
-41.400 -20.644 -0.213 -20.670 -0.198 -20.687 -0.204 12.831 0.855 2.303 0.235 44.011 42.867
-41.000 -20.668 -0.211 -20.694 -0.196 -20.711 -0.202 12.825 0.854 2.331 0.238 44.020 42.876
-40.600 -20.692 -0.209 -20.719 -0.193 -20.735 -0.199 12.820 0.854 2.358 0.241 44.029 42.885
-40.200 -20.715 -0.207 -20.743 -0.191 -20.760 -0.197 12.814 0.853 2.386 0.244 44.039 42.894
-39.800 -20.739 -0.205 -20.766 -0.188 -20.783 -0.195 12.808 0.852 2.414 0.247 44.048 42.903
-39.400 -20.762 -0.202 -20.790 -0.186 -20.807 -0.192 12.803 0.852 2.442 0.249 44.057 42.912
-39.000 -20.785 -0.200 -20.813 -0.183 -20.831 -0.189 12.797 0.852 2.470 0.252 44.067 42.921
-38.600 -20.808 -0.197 -20.837 -0.180 -20.854 -0.187 12.791 0.851 2.498 0.255 44.076 42.930
-38.200 -20.831 -0.194 -20.860 -0.177 -20.878 -0.184 12.785 0.851 2.526 0.258 44.085 42.938
-37.800 -20.853 -0.191 -20.883 -0.174 -20.901 -0.181 12.780 0.851 2.555 0.261 44.094 42.947
-37.400 -20.876 -0.188 -20.906 -0.171 -20.924 -0.178 12.774 0.851 2.583 0.264 44.102 42.956
-37.000 -20.898 -0.185 -20.928 -0.168 -20.946 -0.175 12.768 0.851 2.612 0.267 44.111 42.965
-36.600 -20.920 -0.182 -20.951 -0.164 -20.969 -0.172 12.762 0.851 2.641 0.270 44.120 42.974
-36.200 -20.942 -0.179 -20.973 -0.161 -20.991 -0.168 12.756 0.851 2.669 0.274 44.129 42.982
-35.800 -20.963 -0.176 -20.995 -0.158 -21.013 -0.165 12.751 0.851 2.698 0.277 44.137 42.991
-35.400 -20.985 -0.173 -21.017 -0.154 -21.035 -0.162 12.745 0.851 2.727 0.280 44.146 43.000
-35.000 -21.006 -0.169 -21.038 -0.151 -21.057 -0.158 12.739 0.852 2.756 0.283 44.154 43.008
-34.600 -21.027 -0.166 -21.060 -0.147 -21.079 -0.155 12.733 0.852 2.785 0.287 44.162 43.017
-34.200 -21.047 -0.162 -21.081 -0.143 -21.100 -0.152 12.728 0.853 2.814 0.290 44.170 43.025
-33.800 -21.068 -0.159 -21.101 -0.140 -21.121 -0.148 12.722 0.854 2.843 0.293 44.178 43.034
-33.400 -21.088 -0.156 -21.122 -0.136 -21.141 -0.145 12.716 0.855 2.871 0.297 44.186 43.042
-33.000 -21.108 -0.152 -21.142 -0.132 -21.162 -0.142 12.711 0.856 2.900 0.300 44.194 43.050
-32.600 -21.128 -0.148 -21.162 -0.128 -21.182 -0.138 12.705 0.857 2.929 0.304 44.202 43.058
-32.200 -21.147 -0.145 -21.182 -0.125 -21.202 -0.135 12.700 0.859 2.957 0.308 44.210 43.067
-31.800 -21.166 -0.141 -21.202 -0.121 -21.222 -0.131 12.695 0.860 2.985 0.311 44.217 43.075
