"Time (MJD)" g-4810.16 g-4810.16_err i-7503.03 i-7503.03_err r-6155.47 r-6155.47_err y-9613.6 y-9613.6_err z-8668.36 z-8668.36_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-25.000 -19.534 -0.075 -19.540 -0.065 -19.458 -0.072 -19.345 -0.089 -19.254 -0.122 13.890 0.098 1.202 0.011 43.583 41.582
-24.600 -19.554 -0.072 -19.562 -0.063 -19.481 -0.069 -19.368 -0.086 -19.276 -0.119 13.862 0.090 1.217 0.011 43.591 41.550
-24.200 -19.573 -0.068 -19.584 -0.060 -19.504 -0.067 -19.390 -0.084 -19.299 -0.116 13.832 0.083 1.233 0.010 43.599 41.519
-23.800 -19.593 -0.066 -19.606 -0.058 -19.527 -0.064 -19.413 -0.081 -19.321 -0.114 13.800 0.076 1.250 0.009 43.606 41.489
-23.400 -19.613 -0.063 -19.629 -0.057 -19.550 -0.063 -19.436 -0.079 -19.344 -0.112 13.767 0.070 1.267 0.009 43.613 41.461
-23.000 -19.632 -0.061 -19.651 -0.055 -19.573 -0.061 -19.459 -0.078 -19.367 -0.110 13.732 0.065 1.284 0.008 43.621 41.435
-22.600 -19.651 -0.059 -19.672 -0.054 -19.596 -0.060 -19.482 -0.076 -19.390 -0.108 13.696 0.061 1.301 0.008 43.628 41.413
-22.200 -19.671 -0.058 -19.694 -0.054 -19.619 -0.059 -19.505 -0.075 -19.413 -0.107 13.658 0.058 1.319 0.008 43.635 41.393
-21.800 -19.690 -0.057 -19.716 -0.053 -19.642 -0.058 -19.529 -0.074 -19.436 -0.105 13.619 0.054 1.338 0.007 43.642 41.374
-21.400 -19.709 -0.056 -19.737 -0.053 -19.664 -0.057 -19.552 -0.073 -19.459 -0.104 13.578 0.052 1.357 0.007 43.649 41.358
-21.000 -19.727 -0.055 -19.759 -0.052 -19.687 -0.057 -19.575 -0.072 -19.482 -0.103 13.536 0.049 1.376 0.007 43.656 41.342
-20.600 -19.746 -0.055 -19.780 -0.052 -19.709 -0.057 -19.598 -0.071 -19.505 -0.102 13.493 0.047 1.396 0.007 43.663 41.328
-20.200 -19.764 -0.055 -19.801 -0.052 -19.732 -0.056 -19.620 -0.071 -19.528 -0.101 13.449 0.044 1.416 0.007 43.669 41.314
-19.800 -19.782 -0.056 -19.822 -0.053 -19.754 -0.056 -19.643 -0.070 -19.551 -0.101 13.404 0.042 1.436 0.006 43.676 41.301
-19.400 -19.800 -0.056 -19.843 -0.053 -19.775 -0.056 -19.666 -0.070 -19.574 -0.100 13.358 0.040 1.457 0.006 43.682 41.287
-19.000 -19.817 -0.057 -19.863 -0.053 -19.797 -0.056 -19.688 -0.070 -19.597 -0.100 13.312 0.039 1.477 0.006 43.689 41.274
-18.600 -19.834 -0.057 -19.883 -0.053 -19.818 -0.056 -19.711 -0.069 -19.619 -0.099 13.266 0.037 1.498 0.006 43.695 41.260
-18.200 -19.851 -0.058 -19.903 -0.053 -19.840 -0.056 -19.733 -0.069 -19.642 -0.099 13.220 0.035 1.520 0.006 43.701 41.245
-17.800 -19.868 -0.059 -19.923 -0.054 -19.861 -0.057 -19.754 -0.069 -19.664 -0.098 13.173 0.033 1.541 0.005 43.707 41.229
-17.400 -19.885 -0.060 -19.943 -0.054 -19.881 -0.057 -19.776 -0.069 -19.686 -0.098 13.127 0.031 1.563 0.005 43.713 41.212
-17.000 -19.901 -0.060 -19.962 -0.054 -19.901 -0.057 -19.798 -0.069 -19.708 -0.097 13.081 0.030 1.585 0.005 43.719 41.194
-16.600 -19.917 -0.061 -19.981 -0.054 -19.922 -0.057 -19.819 -0.068 -19.730 -0.097 13.035 0.028 1.607 0.005 43.725 41.175
-16.200 -19.932 -0.062 -20.000 -0.055 -19.941 -0.057 -19.839 -0.068 -19.752 -0.097 12.990 0.026 1.628 0.005 43.731 41.155
