"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-27.000 -18.924 -0.083 -18.879 -0.077 -18.748 -0.101 -18.719 -0.115 14.364 0.221 0.856 0.016 43.347 41.719
-26.600 -18.960 -0.080 -18.916 -0.074 -18.786 -0.097 -18.757 -0.111 14.323 0.210 0.874 0.016 43.360 41.709
-26.200 -18.996 -0.077 -18.954 -0.072 -18.825 -0.094 -18.795 -0.108 14.274 0.198 0.894 0.016 43.373 41.696
-25.800 -19.033 -0.076 -18.992 -0.071 -18.864 -0.091 -18.834 -0.105 14.221 0.185 0.914 0.015 43.386 41.680
-25.400 -19.070 -0.075 -19.029 -0.070 -18.903 -0.089 -18.873 -0.103 14.163 0.172 0.934 0.014 43.399 41.661
-25.000 -19.106 -0.075 -19.067 -0.070 -18.943 -0.088 -18.912 -0.101 14.103 0.159 0.956 0.014 43.411 41.641
-24.600 -19.143 -0.076 -19.105 -0.071 -18.982 -0.087 -18.951 -0.099 14.042 0.146 0.978 0.013 43.423 41.618
-24.200 -19.179 -0.077 -19.143 -0.072 -19.022 -0.086 -18.990 -0.099 13.982 0.134 1.001 0.012 43.436 41.593
-23.800 -19.215 -0.078 -19.181 -0.074 -19.061 -0.086 -19.029 -0.098 13.923 0.122 1.024 0.011 43.448 41.566
-23.400 -19.251 -0.080 -19.218 -0.075 -19.100 -0.087 -19.067 -0.098 13.867 0.110 1.047 0.011 43.461 41.536
-23.000 -19.287 -0.082 -19.255 -0.077 -19.138 -0.087 -19.105 -0.098 13.814 0.099 1.070 0.010 43.473 41.502
-22.600 -19.322 -0.084 -19.292 -0.079 -19.176 -0.088 -19.143 -0.099 13.765 0.088 1.094 0.009 43.486 41.464
-22.200 -19.357 -0.086 -19.328 -0.081 -19.213 -0.089 -19.180 -0.100 13.719 0.077 1.117 0.008 43.498 41.422
-21.800 -19.392 -0.088 -19.364 -0.083 -19.250 -0.091 -19.217 -0.101 13.677 0.068 1.140 0.007 43.511 41.376
-21.400 -19.426 -0.090 -19.400 -0.085 -19.287 -0.092 -19.253 -0.102 13.637 0.059 1.163 0.006 43.523 41.327
-21.000 -19.460 -0.092 -19.435 -0.087 -19.323 -0.093 -19.289 -0.103 13.599 0.051 1.186 0.006 43.535 41.277
-20.600 -19.493 -0.094 -19.469 -0.089 -19.358 -0.095 -19.324 -0.104 13.563 0.044 1.209 0.005 43.547 41.232
-20.200 -19.526 -0.096 -19.503 -0.090 -19.393 -0.096 -19.359 -0.105 13.529 0.040 1.232 0.005 43.559 41.198
-19.800 -19.558 -0.097 -19.537 -0.092 -19.427 -0.097 -19.393 -0.106 13.496 0.038 1.255 0.004 43.571 41.183
-19.400 -19.590 -0.099 -19.569 -0.093 -19.460 -0.098 -19.426 -0.107 13.463 0.037 1.278 0.005 43.583 41.192
-19.000 -19.621 -0.100 -19.602 -0.094 -19.493 -0.099 -19.459 -0.107 13.432 0.039 1.301 0.005 43.594 41.221
-18.600 -19.652 -0.101 -19.633 -0.095 -19.525 -0.100 -19.491 -0.108 13.401 0.042 1.324 0.005 43.605 41.262
-18.200 -19.681 -0.102 -19.664 -0.096 -19.557 -0.100 -19.522 -0.109 13.370 0.045 1.347 0.006 43.616 41.308
-17.800 -19.711 -0.102 -19.694 -0.097 -19.588 -0.101 -19.553 -0.109 13.340 0.049 1.370 0.007 43.627 41.355
-17.400 -19.739 -0.103 -19.724 -0.097 -19.618 -0.101 -19.583 -0.109 13.309 0.053 1.393 0.007 43.637 41.400
-17.000 -19.767 -0.103 -19.752 -0.097 -19.647 -0.101 -19.613 -0.109 13.278 0.057 1.416 0.008 43.647 41.440
-16.600 -19.794 -0.104 -19.780 -0.098 -19.676 -0.101 -19.641 -0.109 13.247 0.061 1.439 0.009 43.657 41.477
-16.200 -19.820 -0.104 -19.807 -0.098 -19.704 -0.101 -19.669 -0.109 13.216 0.064 1.461 0.009 43.667 41.510
-15.800 -19.846 -0.104 -19.834 -0.098 -19.731 -0.101 -19.696 -0.109 13.184 0.067 1.484 0.010 43.676 41.539
-15.400 -19.870 -0.104 -19.859 -0.098 -19.758 -0.101 -19.723 -0.109 13.152 0.070 1.506 0.010 43.685 41.564
-15.000 -19.894 -0.104 -19.884 -0.098 -19.783 -0.101 -19.749 -0.109 13.119 0.072 1.529 0.011 43.693 41.585
-14.600 -19.917 -0.104 -19.908 -0.098 -19.808 -0.100 -19.774 -0.108 13.085 0.073 1.551 0.011 43.701 41.603
-14.200 -19.939 -0.104 -19.930 -0.098 -19.832 -0.100 -19.798 -0.108 13.050 0.074 1.573 0.012 43.709 41.617
-13.800 -19.961 -0.105 -19.953 -0.098 -19.855 -0.100 -19.821 -0.108 13.014 0.075 1.595 0.012 43.716 41.627
-13.400 -19.981 -0.105 -19.974 -0.097 -19.878 -0.099 -19.844 -0.107 12.976 0.075 1.618 0.012 43.723 41.634
-13.000 -20.001 -0.105 -19.994 -0.097 -19.899 -0.099 -19.866 -0.107 12.938 0.075 1.640 0.012 43.730 41.638
-12.600 -20.020 -0.105 -20.013 -0.097 -19.920 -0.098 -19.886 -0.106 12.897 0.074 1.661 0.013 43.736 41.639
-12.200 -20.037 -0.105 -20.032 -0.097 -19.940 -0.098 -19.907 -0.106 12.855 0.072 1.683 0.013 43.741 41.637
