"Time (MJD)" G-5850.88 G-5850.88_err cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-36.000 -16.627 -0.149 -16.522 -0.139 -16.361 -0.157 -16.243 -0.181 -16.187 -0.196 -15.953 -0.303 12.031 2.367 0.360 0.089 42.287 41.767
-35.600 -16.723 -0.142 -16.620 -0.133 -16.461 -0.151 -16.344 -0.175 -16.287 -0.189 -16.049 -0.295 20.691 0.263 0.212 0.002 42.770 41.216
-35.200 -16.821 -0.138 -16.720 -0.128 -16.562 -0.146 -16.446 -0.169 -16.389 -0.183 -16.145 -0.288 20.516 0.145 0.224 0.001 42.802 40.992
-34.800 -16.918 -0.134 -16.820 -0.124 -16.665 -0.141 -16.549 -0.163 -16.492 -0.177 -16.243 -0.281 20.311 0.059 0.237 0.001 42.833 40.637
-34.400 -17.017 -0.131 -16.921 -0.121 -16.769 -0.138 -16.654 -0.159 -16.596 -0.172 -16.341 -0.275 20.086 0.140 0.251 0.002 42.863 41.043
-34.000 -17.116 -0.130 -17.022 -0.119 -16.874 -0.135 -16.759 -0.155 -16.702 -0.168 -16.439 -0.269 19.848 0.267 0.266 0.003 42.893 41.356
-33.600 -17.215 -0.128 -17.125 -0.118 -16.979 -0.132 -16.865 -0.151 -16.807 -0.163 -16.538 -0.263 19.604 0.398 0.282 0.005 42.922 41.563
-33.200 -17.314 -0.128 -17.227 -0.116 -17.085 -0.130 -16.972 -0.148 -16.914 -0.159 -16.638 -0.258 19.360 0.530 0.299 0.008 42.952 41.720
-32.800 -17.414 -0.127 -17.330 -0.115 -17.191 -0.128 -17.080 -0.144 -17.021 -0.155 -16.738 -0.253 19.118 0.661 0.317 0.010 42.982 41.849
-32.400 -17.514 -0.126 -17.433 -0.114 -17.298 -0.125 -17.187 -0.141 -17.128 -0.151 -16.837 -0.249 18.882 0.790 0.337 0.013 43.012 41.960
-32.000 -17.613 -0.126 -17.536 -0.113 -17.405 -0.123 -17.295 -0.138 -17.235 -0.147 -16.937 -0.244 18.654 0.916 0.358 0.017 43.043 42.058
-31.600 -17.713 -0.125 -17.638 -0.112 -17.511 -0.120 -17.402 -0.134 -17.342 -0.143 -17.036 -0.240 18.435 1.037 0.379 0.020 43.074 42.146
-31.200 -17.812 -0.124 -17.741 -0.110 -17.617 -0.118 -17.509 -0.130 -17.449 -0.139 -17.135 -0.236 18.225 1.153 0.402 0.025 43.105 42.226
-30.800 -17.911 -0.122 -17.843 -0.107 -17.723 -0.114 -17.616 -0.126 -17.555 -0.134 -17.233 -0.232 18.024 1.263 0.427 0.029 43.136 42.299
-30.400 -18.010 -0.120 -17.944 -0.104 -17.828 -0.111 -17.722 -0.122 -17.661 -0.129 -17.330 -0.228 17.833 1.365 0.452 0.034 43.168 42.367
-30.000 -18.108 -0.117 -18.045 -0.101 -17.932 -0.107 -17.827 -0.117 -17.765 -0.124 -17.426 -0.224 17.652 1.459 0.478 0.039 43.200 42.430
-29.600 -18.205 -0.115 -18.145 -0.097 -18.036 -0.103 -17.931 -0.112 -17.868 -0.119 -17.521 -0.220 17.482 1.543 0.506 0.044 43.232 42.488
-29.200 -18.301 -0.112 -18.244 -0.093 -18.138 -0.099 -18.033 -0.106 -17.970 -0.113 -17.615 -0.217 17.325 1.616 0.535 0.049 43.264 42.543
-28.800 -18.396 -0.108 -18.342 -0.089 -18.238 -0.094 -18.134 -0.101 -18.070 -0.107 -17.707 -0.213 17.181 1.678 0.564 0.055 43.296 42.593
-28.400 -18.491 -0.104 -18.439 -0.084 -18.337 -0.089 -18.233 -0.095 -18.168 -0.100 -17.797 -0.210 17.055 1.728 0.595 0.060 43.329 42.640
-28.000 -18.584 -0.101 -18.534 -0.079 -18.434 -0.084 -18.329 -0.089 -18.264 -0.094 -17.886 -0.207 16.952 1.766 0.625 0.065 43.362 42.684
-27.600 -18.676 -0.097 -18.628 -0.074 -18.530 -0.080 -18.424 -0.083 -18.358 -0.087 -17.973 -0.204 16.876 1.792 0.656 0.070 43.396 42.725
-27.200 -18.766 -0.093 -18.721 -0.069 -18.622 -0.075 -18.516 -0.076 -18.449 -0.080 -18.057 -0.202 16.837 1.807 0.686 0.074 43.431 42.765
-26.800 -18.855 -0.089 -18.812 -0.064 -18.713 -0.070 -18.604 -0.070 -18.537 -0.073 -18.139 -0.200 16.844 1.813 0.715 0.077 43.467 42.803
-26.400 -18.942 -0.085 -18.901 -0.060 -18.800 -0.066 -18.690 -0.065 -18.621 -0.067 -18.220 -0.198 16.905 1.813 0.742 0.079 43.505 42.841
-26.000 -19.027 -0.081 -18.989 -0.055 -18.885 -0.062 -18.772 -0.059 -18.703 -0.061 -18.297 -0.197 17.026 1.810 0.766 0.081 43.545 42.879
-25.600 -19.110 -0.077 -19.073 -0.050 -18.966 -0.059 -18.851 -0.055 -18.780 -0.056 -18.373 -0.196 17.214 1.806 0.786 0.081 43.588 42.919
-25.200 -19.190 -0.072 -19.155 -0.045 -19.044 -0.056 -18.925 -0.051 -18.854 -0.053 -18.446 -0.195 17.475 1.811 0.803 0.081 43.632 42.961
-24.800 -19.267 -0.068 -19.233 -0.040 -19.118 -0.053 -18.995 -0.049 -18.924 -0.051 -18.516 -0.195 17.809 1.832 0.816 0.081 43.679 43.007
-24.400 -19.341 -0.064 -19.309 -0.035 -19.188 -0.050 -19.062 -0.047 -18.989 -0.050 -18.585 -0.196 18.206 1.876 0.826 0.082 43.728 43.059
-24.000 -19.411 -0.061 -19.380 -0.029 -19.255 -0.049 -19.125 -0.047 -19.051 -0.051 -18.651 -0.197 18.647 1.948 0.833 0.083 43.777 43.117
-23.600 -19.478 -0.057 -19.447 -0.025 -19.318 -0.048 -19.184 -0.046 -19.110 -0.052 -18.715 -0.198 19.080 2.044 0.840 0.085 43.824 43.177
-23.200 -19.541 -0.055 -19.510 -0.024 -19.377 -0.047 -19.240 -0.047 -19.166 -0.053 -18.777 -0.199 19.402 2.139 0.850 0.089 43.863 43.231
-22.800 -19.601 -0.053 -19.569 -0.026 -19.433 -0.048 -19.294 -0.047 -19.220 -0.055 -18.837 -0.201 19.522 2.184 0.867 0.091 43.891 43.268
-22.400 -19.657 -0.053 -19.623 -0.030 -19.487 -0.049 -19.345 -0.048 -19.271 -0.057 -18.895 -0.203 19.493 2.165 0.890 0.093 43.911 43.285
