"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err g-4793.46 g-4793.46_err i-7589.41 i-7589.41_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6120.65 r-6120.65_err r-6366.38 r-6366.38_err z-8970.57 z-8970.57_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-20.000 -21.032 -0.162 -21.025 -0.159 -20.956 -0.144 -20.759 -0.148 -20.704 -0.150 -20.644 -0.154 -20.417 -0.173 -20.359 -0.182 -20.088 -0.272 24.374 1.113 1.206 0.049 44.563 43.573
-19.600 -21.050 -0.159 -21.043 -0.156 -20.975 -0.141 -20.781 -0.145 -20.727 -0.148 -20.667 -0.151 -20.441 -0.170 -20.382 -0.179 -20.109 -0.270 24.124 1.121 1.229 0.051 44.562 43.577
-19.200 -21.069 -0.156 -21.062 -0.153 -20.995 -0.139 -20.804 -0.143 -20.750 -0.146 -20.691 -0.149 -20.464 -0.169 -20.406 -0.178 -20.130 -0.268 23.863 1.130 1.253 0.053 44.560 43.581
-18.800 -21.087 -0.154 -21.080 -0.151 -21.014 -0.137 -20.826 -0.142 -20.773 -0.144 -20.714 -0.147 -20.488 -0.167 -20.429 -0.176 -20.152 -0.267 23.592 1.139 1.279 0.056 44.558 43.585
-18.400 -21.105 -0.152 -21.098 -0.149 -21.034 -0.135 -20.849 -0.141 -20.796 -0.143 -20.738 -0.146 -20.512 -0.166 -20.453 -0.176 -20.174 -0.266 23.313 1.149 1.306 0.059 44.555 43.589
-18.000 -21.123 -0.151 -21.116 -0.148 -21.053 -0.134 -20.871 -0.140 -20.820 -0.142 -20.762 -0.145 -20.537 -0.166 -20.477 -0.175 -20.195 -0.266 23.028 1.159 1.333 0.061 44.552 43.593
-17.600 -21.141 -0.150 -21.134 -0.147 -21.072 -0.134 -20.894 -0.139 -20.843 -0.142 -20.786 -0.145 -20.561 -0.166 -20.501 -0.176 -20.217 -0.266 22.738 1.169 1.362 0.065 44.548 43.596
-17.200 -21.159 -0.150 -21.152 -0.147 -21.091 -0.134 -20.917 -0.139 -20.867 -0.141 -20.811 -0.145 -20.586 -0.167 -20.526 -0.176 -20.239 -0.267 22.444 1.180 1.393 0.068 44.545 43.600
-16.800 -21.177 -0.150 -21.170 -0.147 -21.110 -0.134 -20.940 -0.139 -20.891 -0.141 -20.835 -0.145 -20.610 -0.167 -20.550 -0.177 -20.261 -0.267 22.149 1.190 1.424 0.072 44.541 43.603
-16.400 -21.194 -0.150 -21.188 -0.147 -21.129 -0.134 -20.963 -0.139 -20.915 -0.142 -20.860 -0.145 -20.635 -0.168 -20.575 -0.178 -20.283 -0.269 21.853 1.199 1.456 0.075 44.538 43.605
-16.000 -21.212 -0.150 -21.205 -0.147 -21.148 -0.134 -20.986 -0.139 -20.939 -0.142 -20.885 -0.145 -20.660 -0.170 -20.599 -0.180 -20.306 -0.270 21.557 1.209 1.490 0.080 44.534 43.608
-15.600 -21.229 -0.150 -21.223 -0.147 -21.167 -0.135 -21.010 -0.139 -20.963 -0.142 -20.910 -0.146 -20.685 -0.171 -20.624 -0.181 -20.328 -0.271 21.262 1.217 1.525 0.084 44.530 43.610
-15.200 -21.246 -0.151 -21.240 -0.148 -21.186 -0.135 -21.033 -0.140 -20.987 -0.142 -20.934 -0.146 -20.710 -0.172 -20.649 -0.183 -20.350 -0.273 20.968 1.225 1.561 0.088 44.526 43.612
-14.800 -21.264 -0.151 -21.258 -0.148 -21.205 -0.136 -21.056 -0.140 -21.011 -0.143 -20.960 -0.147 -20.736 -0.174 -20.673 -0.185 -20.373 -0.275 20.676 1.232 1.598 0.093 44.522 43.613
-14.400 -21.281 -0.151 -21.275 -0.148 -21.223 -0.136 -21.080 -0.140 -21.036 -0.143 -20.985 -0.147 -20.761 -0.175 -20.698 -0.187 -20.395 -0.277 20.387 1.238 1.637 0.098 44.518 43.614
-14.000 -21.298 -0.151 -21.292 -0.149 -21.242 -0.136 -21.103 -0.140 -21.060 -0.143 -21.010 -0.147 -20.786 -0.177 -20.723 -0.189 -20.417 -0.280 20.101 1.244 1.676 0.103 44.514 43.615
-13.600 -21.315 -0.151 -21.309 -0.149 -21.260 -0.136 -21.126 -0.140 -21.085 -0.143 -21.035 -0.147 -20.811 -0.179 -20.748 -0.191 -20.439 -0.282 19.819 1.248 1.717 0.108 44.511 43.615
-13.200 -21.332 -0.151 -21.326 -0.149 -21.279 -0.136 -21.150 -0.140 -21.109 -0.143 -21.060 -0.147 -20.836 -0.180 -20.773 -0.193 -20.462 -0.284 19.540 1.251 1.759 0.114 44.507 43.615
-12.800 -21.348 -0.151 -21.343 -0.148 -21.297 -0.136 -21.173 -0.139 -21.134 -0.142 -21.085 -0.147 -20.861 -0.182 -20.797 -0.194 -20.484 -0.287 19.266 1.253 1.802 0.120 44.504 43.614
-12.400 -21.365 -0.151 -21.360 -0.148 -21.315 -0.135 -21.197 -0.138 -21.158 -0.142 -21.111 -0.147 -20.887 -0.183 -20.822 -0.196 -20.506 -0.289 18.997 1.254 1.846 0.125 44.500 43.613
-12.000 -21.382 -0.150 -21.377 -0.147 -21.333 -0.135 -21.220 -0.137 -21.182 -0.141 -21.136 -0.146 -20.911 -0.184 -20.846 -0.198 -20.528 -0.292 18.732 1.254 1.892 0.132 44.497 43.612
-11.600 -21.399 -0.149 -21.394 -0.147 -21.352 -0.134 -21.243 -0.136 -21.207 -0.140 -21.161 -0.145 -20.936 -0.185 -20.871 -0.200 -20.550 -0.294 18.472 1.252 1.939 0.138 44.494 43.611
-11.200 -21.415 -0.148 -21.410 -0.146 -21.370 -0.133 -21.266 -0.135 -21.231 -0.138 -21.186 -0.144 -20.961 -0.186 -20.895 -0.201 -20.572 -0.297 18.218 1.250 1.987 0.144 44.491 43.609
-10.800 -21.432 -0.147 -21.427 -0.144 -21.388 -0.131 -21.290 -0.133 -21.255 -0.137 -21.211 -0.143 -20.985 -0.187 -20.919 -0.203 -20.593 -0.299 17.969 1.247 2.036 0.151 44.488 43.606
