"Time (MJD)" G-5850.88 G-5850.88_err cyan-5182.42 cyan-5182.42_err g-4735.89 g-4735.89_err g-4746.48 g-4746.48_err i-7645.77 i-7645.77_err orange-6629.82 orange-6629.82_err r-6198.96 r-6198.96_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-31.000 -20.982 -0.088 -20.981 -0.088 -20.915 -0.072 -20.790 -0.069 -20.721 -0.069 -20.688 -0.071 -20.636 -0.078 -20.429 -0.136 18.842 0.245 1.583 0.021 44.352 42.767
-30.600 -20.994 -0.087 -20.993 -0.086 -20.928 -0.071 -20.804 -0.068 -20.735 -0.068 -20.702 -0.070 -20.651 -0.077 -20.443 -0.135 18.744 0.257 1.601 0.022 44.353 42.791
-30.200 -21.006 -0.086 -21.005 -0.085 -20.941 -0.070 -20.818 -0.066 -20.750 -0.066 -20.717 -0.068 -20.665 -0.075 -20.456 -0.134 18.643 0.270 1.620 0.024 44.354 42.814
-29.800 -21.018 -0.085 -21.017 -0.084 -20.954 -0.069 -20.832 -0.065 -20.764 -0.065 -20.732 -0.067 -20.680 -0.074 -20.470 -0.134 18.539 0.284 1.640 0.025 44.355 42.837
-29.400 -21.030 -0.084 -21.029 -0.084 -20.967 -0.068 -20.846 -0.064 -20.779 -0.064 -20.746 -0.066 -20.695 -0.073 -20.483 -0.133 18.432 0.298 1.660 0.027 44.355 42.860
-29.000 -21.042 -0.084 -21.040 -0.083 -20.980 -0.068 -20.860 -0.062 -20.793 -0.063 -20.761 -0.065 -20.709 -0.072 -20.496 -0.133 18.322 0.312 1.681 0.029 44.356 42.882
-28.600 -21.053 -0.083 -21.052 -0.083 -20.992 -0.067 -20.874 -0.061 -20.808 -0.062 -20.776 -0.064 -20.724 -0.071 -20.510 -0.132 18.210 0.327 1.702 0.031 44.356 42.903
-28.200 -21.065 -0.083 -21.063 -0.082 -21.005 -0.067 -20.888 -0.060 -20.823 -0.061 -20.790 -0.063 -20.739 -0.071 -20.523 -0.132 18.097 0.341 1.724 0.033 44.356 42.923
-27.800 -21.076 -0.083 -21.075 -0.082 -21.017 -0.066 -20.902 -0.060 -20.837 -0.060 -20.805 -0.063 -20.753 -0.070 -20.536 -0.132 17.981 0.356 1.746 0.036 44.356 42.943
-27.400 -21.087 -0.083 -21.086 -0.082 -21.030 -0.066 -20.916 -0.059 -20.852 -0.059 -20.820 -0.062 -20.768 -0.070 -20.549 -0.132 17.865 0.371 1.769 0.038 44.356 42.962
-27.000 -21.098 -0.083 -21.097 -0.082 -21.042 -0.066 -20.930 -0.058 -20.866 -0.058 -20.834 -0.061 -20.783 -0.069 -20.563 -0.132 17.747 0.385 1.792 0.040 44.356 42.979
-26.600 -21.110 -0.083 -21.109 -0.082 -21.055 -0.066 -20.944 -0.057 -20.881 -0.058 -20.849 -0.061 -20.797 -0.069 -20.576 -0.133 17.628 0.400 1.816 0.043 44.356 42.996
-26.200 -21.121 -0.083 -21.120 -0.082 -21.067 -0.066 -20.958 -0.056 -20.895 -0.057 -20.863 -0.060 -20.812 -0.069 -20.589 -0.133 17.509 0.414 1.840 0.046 44.356 43.013
-25.800 -21.131 -0.083 -21.130 -0.083 -21.079 -0.066 -20.972 -0.055 -20.909 -0.056 -20.878 -0.060 -20.826 -0.069 -20.602 -0.133 17.390 0.428 1.865 0.048 44.355 43.028
-25.400 -21.142 -0.083 -21.141 -0.083 -21.091 -0.065 -20.986 -0.055 -20.924 -0.056 -20.892 -0.059 -20.840 -0.069 -20.615 -0.134 17.270 0.441 1.890 0.051 44.355 43.042
-25.000 -21.153 -0.084 -21.152 -0.083 -21.103 -0.065 -20.999 -0.054 -20.938 -0.055 -20.907 -0.059 -20.855 -0.068 -20.627 -0.135 17.150 0.454 1.915 0.054 44.354 43.055
-24.600 -21.163 -0.084 -21.162 -0.083 -21.114 -0.065 -21.013 -0.053 -20.952 -0.055 -20.921 -0.058 -20.869 -0.068 -20.640 -0.135 17.030 0.467 1.941 0.057 44.354 43.067
-24.200 -21.174 -0.084 -21.173 -0.083 -21.126 -0.065 -21.026 -0.052 -20.966 -0.054 -20.935 -0.058 -20.883 -0.068 -20.653 -0.136 16.910 0.478 1.968 0.059 44.353 43.079
-23.800 -21.184 -0.084 -21.183 -0.084 -21.137 -0.065 -21.039 -0.051 -20.980 -0.053 -20.949 -0.058 -20.897 -0.068 -20.665 -0.137 16.791 0.489 1.995 0.062 44.353 43.089
-23.400 -21.194 -0.084 -21.193 -0.084 -21.149 -0.065 -21.052 -0.050 -20.993 -0.052 -20.963 -0.057 -20.911 -0.068 -20.678 -0.137 16.672 0.500 2.022 0.065 44.352 43.099
-23.000 -21.204 -0.085 -21.203 -0.084 -21.160 -0.065 -21.065 -0.049 -21.007 -0.052 -20.977 -0.057 -20.925 -0.068 -20.690 -0.138 16.553 0.509 2.050 0.068 44.352 43.108
-22.600 -21.214 -0.085 -21.213 -0.084 -21.171 -0.065 -21.078 -0.047 -21.021 -0.051 -20.990 -0.056 -20.938 -0.068 -20.703 -0.139 16.436 0.518 2.077 0.071 44.351 43.115
-22.200 -21.223 -0.085 -21.223 -0.084 -21.182 -0.064 -21.091 -0.046 -21.034 -0.050 -21.004 -0.055 -20.952 -0.068 -20.715 -0.140 16.319 0.526 2.106 0.074 44.350 43.122
-21.800 -21.233 -0.085 -21.232 -0.084 -21.192 -0.064 -21.103 -0.045 -21.047 -0.049 -21.017 -0.055 -20.965 -0.067 -20.727 -0.140 16.203 0.533 2.134 0.077 44.350 43.128
-21.400 -21.242 -0.085 -21.242 -0.084 -21.203 -0.064 -21.115 -0.043 -21.060 -0.048 -21.030 -0.054 -20.978 -0.067 -20.739 -0.141 16.088 0.539 2.163 0.080 44.349 43.133
-21.000 -21.251 -0.085 -21.251 -0.084 -21.213 -0.063 -21.128 -0.042 -21.073 -0.047 -21.043 -0.054 -20.991 -0.067 -20.750 -0.142 15.975 0.544 2.192 0.082 44.348 43.138
-20.600 -21.260 -0.085 -21.260 -0.084 -21.224 -0.063 -21.139 -0.040 -21.085 -0.046 -21.056 -0.053 -21.004 -0.067 -20.762 -0.143 15.863 0.549 2.221 0.085 44.348 43.141
-20.200 -21.269 -0.085 -21.269 -0.084 -21.234 -0.063 -21.151 -0.039 -21.098 -0.045 -21.068 -0.052 -21.017 -0.067 -20.774 -0.144 15.752 0.552 2.251 0.088 44.347 43.144
-19.800 -21.278 -0.084 -21.277 -0.084 -21.243 -0.062 -21.163 -0.037 -21.110 -0.044 -21.081 -0.052 -21.029 -0.066 -20.785 -0.144 15.643 0.555 2.281 0.090 44.346 43.146
