"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err g-4793.46 g-4793.46_err i-7589.41 i-7589.41_err orange-6629.82 orange-6629.82_err r-6120.65 r-6120.65_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-14.000 -22.617 -0.055 -22.616 -0.053 -22.597 -0.054 -22.508 -0.055 -22.483 -0.054 -22.456 -0.061 -22.359 -0.126 16.990 0.140 3.633 0.039 44.894 42.973
-13.600 -22.616 -0.054 -22.615 -0.052 -22.597 -0.053 -22.510 -0.054 -22.485 -0.053 -22.459 -0.060 -22.362 -0.125 16.903 0.137 3.659 0.038 44.891 42.959
-13.200 -22.615 -0.053 -22.614 -0.051 -22.596 -0.053 -22.512 -0.053 -22.487 -0.052 -22.461 -0.059 -22.365 -0.124 16.814 0.133 3.685 0.038 44.888 42.944
-12.800 -22.614 -0.052 -22.613 -0.051 -22.596 -0.052 -22.514 -0.053 -22.489 -0.051 -22.464 -0.058 -22.369 -0.123 16.722 0.130 3.713 0.038 44.885 42.929
-12.400 -22.613 -0.052 -22.612 -0.050 -22.596 -0.051 -22.516 -0.052 -22.492 -0.051 -22.467 -0.057 -22.372 -0.122 16.627 0.126 3.742 0.037 44.882 42.914
-12.000 -22.611 -0.051 -22.611 -0.050 -22.596 -0.051 -22.518 -0.052 -22.494 -0.050 -22.470 -0.057 -22.376 -0.121 16.531 0.123 3.771 0.037 44.879 42.898
-11.600 -22.610 -0.051 -22.609 -0.050 -22.595 -0.051 -22.519 -0.051 -22.496 -0.050 -22.472 -0.056 -22.379 -0.121 16.434 0.120 3.802 0.037 44.876 42.883
-11.200 -22.608 -0.051 -22.608 -0.050 -22.595 -0.051 -22.521 -0.051 -22.499 -0.050 -22.475 -0.056 -22.383 -0.120 16.335 0.116 3.833 0.036 44.872 42.866
-10.800 -22.607 -0.051 -22.607 -0.050 -22.595 -0.051 -22.523 -0.051 -22.501 -0.050 -22.478 -0.056 -22.386 -0.119 16.235 0.113 3.866 0.036 44.869 42.850
-10.400 -22.605 -0.052 -22.605 -0.050 -22.594 -0.051 -22.525 -0.051 -22.504 -0.050 -22.481 -0.056 -22.390 -0.119 16.134 0.110 3.899 0.036 44.866 42.833
-10.000 -22.603 -0.052 -22.603 -0.050 -22.594 -0.051 -22.527 -0.051 -22.506 -0.050 -22.484 -0.056 -22.393 -0.119 16.032 0.107 3.933 0.035 44.862 42.815
-9.600 -22.601 -0.052 -22.602 -0.051 -22.593 -0.051 -22.529 -0.052 -22.509 -0.050 -22.487 -0.056 -22.397 -0.118 15.929 0.103 3.968 0.035 44.859 42.797
-9.200 -22.600 -0.053 -22.600 -0.051 -22.592 -0.052 -22.531 -0.052 -22.511 -0.050 -22.490 -0.056 -22.400 -0.118 15.826 0.100 4.004 0.034 44.855 42.778
-8.800 -22.598 -0.053 -22.598 -0.052 -22.591 -0.052 -22.533 -0.052 -22.513 -0.051 -22.493 -0.056 -22.404 -0.118 15.723 0.096 4.041 0.034 44.852 42.759
-8.400 -22.595 -0.054 -22.596 -0.052 -22.591 -0.052 -22.535 -0.053 -22.516 -0.051 -22.496 -0.057 -22.407 -0.118 15.619 0.093 4.079 0.033 44.848 42.738
-8.000 -22.593 -0.054 -22.594 -0.053 -22.590 -0.053 -22.537 -0.053 -22.518 -0.052 -22.499 -0.057 -22.411 -0.118 15.515 0.090 4.117 0.033 44.845 42.717
-7.600 -22.591 -0.055 -22.592 -0.053 -22.589 -0.053 -22.539 -0.053 -22.521 -0.052 -22.502 -0.057 -22.414 -0.117 15.411 0.086 4.156 0.032 44.842 42.695
-7.200 -22.589 -0.055 -22.590 -0.054 -22.588 -0.054 -22.540 -0.054 -22.523 -0.053 -22.505 -0.058 -22.418 -0.117 15.307 0.083 4.196 0.032 44.838 42.673
-6.800 -22.586 -0.056 -22.587 -0.054 -22.587 -0.054 -22.542 -0.054 -22.526 -0.053 -22.508 -0.058 -22.421 -0.117 15.203 0.079 4.237 0.031 44.835 42.650
-6.400 -22.584 -0.056 -22.585 -0.055 -22.585 -0.054 -22.544 -0.055 -22.528 -0.054 -22.511 -0.059 -22.424 -0.117 15.099 0.076 4.278 0.030 44.831 42.627
-6.000 -22.581 -0.057 -22.583 -0.055 -22.584 -0.055 -22.546 -0.055 -22.531 -0.054 -22.514 -0.059 -22.428 -0.117 14.995 0.073 4.320 0.030 44.828 42.605
-5.600 -22.579 -0.057 -22.580 -0.056 -22.583 -0.055 -22.548 -0.056 -22.533 -0.055 -22.517 -0.060 -22.431 -0.117 14.892 0.071 4.363 0.029 44.824 42.583
-5.200 -22.576 -0.058 -22.577 -0.056 -22.581 -0.055 -22.550 -0.056 -22.536 -0.055 -22.520 -0.060 -22.434 -0.118 14.789 0.068 4.407 0.029 44.821 42.563
-4.800 -22.573 -0.058 -22.575 -0.057 -22.580 -0.056 -22.552 -0.057 -22.538 -0.056 -22.523 -0.060 -22.438 -0.118 14.687 0.066 4.451 0.029 44.817 42.544
-4.400 -22.570 -0.058 -22.572 -0.057 -22.578 -0.056 -22.553 -0.057 -22.541 -0.056 -22.525 -0.061 -22.441 -0.118 14.585 0.065 4.496 0.029 44.814 42.529
-4.000 -22.567 -0.059 -22.569 -0.057 -22.577 -0.056 -22.555 -0.057 -22.543 -0.056 -22.528 -0.061 -22.444 -0.118 14.484 0.064 4.541 0.029 44.811 42.516
-3.600 -22.564 -0.059 -22.566 -0.058 -22.575 -0.057 -22.557 -0.058 -22.546 -0.057 -22.531 -0.062 -22.447 -0.118 14.384 0.063 4.587 0.029 44.807 42.506
-3.200 -22.561 -0.059 -22.563 -0.058 -22.573 -0.057 -22.558 -0.058 -22.548 -0.057 -22.534 -0.062 -22.451 -0.118 14.285 0.063 4.633 0.030 44.804 42.500
-2.800 -22.558 -0.060 -22.560 -0.058 -22.571 -0.057 -22.560 -0.058 -22.550 -0.058 -22.537 -0.062 -22.454 -0.118 14.187 0.063 4.680 0.031 44.801 42.497
-2.400 -22.554 -0.060 -22.557 -0.058 -22.569 -0.057 -22.561 -0.059 -22.553 -0.058 -22.539 -0.063 -22.457 -0.118 14.090 0.064 4.727 0.032 44.798 42.496
-2.000 -22.551 -0.060 -22.554 -0.059 -22.567 -0.057 -22.563 -0.059 -22.555 -0.058 -22.542 -0.063 -22.460 -0.118 13.994 0.066 4.774 0.034 44.794 42.499
-1.600 -22.548 -0.060 -22.550 -0.059 -22.565 -0.057 -22.564 -0.059 -22.557 -0.059 -22.545 -0.063 -22.463 -0.118 13.899 0.067 4.822 0.035 44.791 42.503
-1.200 -22.544 -0.060 -22.547 -0.059 -22.563 -0.058 -22.565 -0.060 -22.559 -0.059 -22.547 -0.063 -22.465 -0.118 13.805 0.069 4.870 0.037 44.788 42.508
-0.800 -22.540 -0.060 -22.543 -0.059 -22.561 -0.058 -22.567 -0.060 -22.561 -0.059 -22.550 -0.064 -22.468 -0.118 13.717 0.071 4.916 0.039 44.785 42.515
-0.400 -22.536 -0.060 -22.540 -0.059 -22.558 -0.058 -22.568 -0.060 -22.563 -0.059 -22.552 -0.064 -22.471 -0.118 13.627 0.073 4.964 0.041 44.782 42.521
