"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4671.78 g-4671.78_err g-4746.48 g-4746.48_err i-7457.89 i-7457.89_err orange-6629.82 orange-6629.82_err r-6141.12 r-6141.12_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-16.000 -20.465 -0.076 -20.448 -0.073 -20.344 -0.065 -20.098 -0.067 -20.039 -0.068 -19.970 -0.072 -19.770 -0.101 21.413 1.951 1.060 0.090 44.226 43.517
-15.600 -20.499 -0.071 -20.483 -0.068 -20.380 -0.060 -20.134 -0.063 -20.075 -0.065 -20.006 -0.068 -19.804 -0.096 26.774 0.696 0.884 0.019 44.457 43.238
-15.200 -20.534 -0.066 -20.517 -0.063 -20.415 -0.057 -20.170 -0.060 -20.111 -0.061 -20.042 -0.064 -19.839 -0.091 26.621 0.724 0.903 0.021 44.465 43.265
-14.800 -20.568 -0.062 -20.551 -0.059 -20.450 -0.053 -20.207 -0.058 -20.147 -0.059 -20.078 -0.061 -19.874 -0.087 26.435 0.748 0.923 0.022 44.472 43.288
-14.400 -20.601 -0.059 -20.585 -0.056 -20.485 -0.051 -20.243 -0.056 -20.184 -0.056 -20.115 -0.059 -19.910 -0.083 26.217 0.769 0.945 0.024 44.478 43.308
-14.000 -20.634 -0.056 -20.618 -0.053 -20.519 -0.049 -20.279 -0.054 -20.220 -0.055 -20.151 -0.057 -19.945 -0.080 25.966 0.786 0.968 0.025 44.482 43.324
-13.600 -20.667 -0.053 -20.651 -0.051 -20.553 -0.047 -20.315 -0.053 -20.256 -0.053 -20.188 -0.055 -19.981 -0.077 25.683 0.800 0.993 0.027 44.485 43.337
-13.200 -20.698 -0.051 -20.683 -0.049 -20.586 -0.046 -20.350 -0.051 -20.292 -0.052 -20.224 -0.054 -20.016 -0.074 25.368 0.811 1.019 0.028 44.486 43.348
-12.800 -20.729 -0.049 -20.714 -0.047 -20.618 -0.044 -20.385 -0.050 -20.328 -0.051 -20.260 -0.053 -20.051 -0.071 25.030 0.818 1.047 0.030 44.487 43.355
-12.400 -20.759 -0.047 -20.744 -0.045 -20.650 -0.043 -20.420 -0.049 -20.363 -0.050 -20.295 -0.051 -20.086 -0.068 24.672 0.821 1.076 0.032 44.485 43.359
