"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4671.78 g-4671.78_err g-4746.48 g-4746.48_err g-4793.46 g-4793.46_err i-7589.41 i-7589.41_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6120.65 r-6120.65_err r-6141.12 r-6141.12_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-69.000 -20.604 -0.091 -20.601 -0.088 -20.599 -0.087 -20.579 -0.077 -20.517 -0.074 -20.516 -0.074 -20.499 -0.076 -20.478 -0.081 -20.398 -0.114 -20.377 -0.125 15.077 0.207 1.710 0.031 44.032 42.314
-68.600 -20.625 -0.089 -20.622 -0.087 -20.619 -0.085 -20.600 -0.076 -20.539 -0.072 -20.537 -0.072 -20.521 -0.075 -20.500 -0.080 -20.420 -0.112 -20.399 -0.124 15.060 0.201 1.730 0.031 44.040 42.309
-68.200 -20.645 -0.088 -20.642 -0.085 -20.640 -0.084 -20.621 -0.074 -20.561 -0.071 -20.560 -0.071 -20.543 -0.073 -20.522 -0.078 -20.441 -0.111 -20.420 -0.123 15.040 0.195 1.750 0.030 44.048 42.302
-67.800 -20.666 -0.086 -20.663 -0.084 -20.661 -0.082 -20.642 -0.073 -20.583 -0.069 -20.582 -0.070 -20.565 -0.072 -20.544 -0.077 -20.463 -0.110 -20.441 -0.121 15.020 0.188 1.771 0.030 44.056 42.295
-67.400 -20.687 -0.085 -20.684 -0.083 -20.682 -0.081 -20.664 -0.072 -20.606 -0.068 -20.604 -0.068 -20.587 -0.071 -20.567 -0.076 -20.485 -0.108 -20.463 -0.120 14.997 0.181 1.792 0.029 44.064 42.287
-67.000 -20.708 -0.084 -20.705 -0.081 -20.703 -0.080 -20.685 -0.071 -20.628 -0.067 -20.627 -0.068 -20.610 -0.070 -20.589 -0.075 -20.507 -0.107 -20.484 -0.119 14.973 0.175 1.814 0.028 44.071 42.278
-66.600 -20.729 -0.083 -20.726 -0.080 -20.724 -0.079 -20.707 -0.070 -20.651 -0.067 -20.649 -0.067 -20.633 -0.069 -20.612 -0.074 -20.529 -0.106 -20.506 -0.118 14.948 0.168 1.837 0.028 44.079 42.268
-66.200 -20.750 -0.082 -20.747 -0.080 -20.745 -0.078 -20.729 -0.069 -20.673 -0.066 -20.672 -0.066 -20.656 -0.069 -20.635 -0.073 -20.551 -0.106 -20.528 -0.117 14.922 0.161 1.860 0.027 44.087 42.257
-65.800 -20.771 -0.081 -20.768 -0.079 -20.766 -0.077 -20.751 -0.069 -20.696 -0.065 -20.695 -0.065 -20.678 -0.068 -20.658 -0.073 -20.573 -0.105 -20.550 -0.116 14.895 0.154 1.884 0.026 44.095 42.246
-65.400 -20.792 -0.081 -20.789 -0.078 -20.788 -0.077 -20.773 -0.068 -20.719 -0.065 -20.718 -0.065 -20.702 -0.067 -20.681 -0.072 -20.595 -0.104 -20.572 -0.116 14.867 0.147 1.908 0.025 44.103 42.233
-65.000 -20.813 -0.080 -20.811 -0.078 -20.809 -0.076 -20.794 -0.068 -20.742 -0.064 -20.741 -0.065 -20.725 -0.067 -20.704 -0.071 -20.618 -0.104 -20.594 -0.115 14.839 0.140 1.932 0.025 44.111 42.218
-64.600 -20.834 -0.080 -20.832 -0.077 -20.830 -0.076 -20.817 -0.067 -20.766 -0.064 -20.764 -0.064 -20.748 -0.067 -20.728 -0.071 -20.640 -0.103 -20.616 -0.115 14.810 0.133 1.958 0.024 44.119 42.203
-64.200 -20.855 -0.079 -20.853 -0.077 -20.852 -0.075 -20.839 -0.067 -20.789 -0.064 -20.787 -0.064 -20.771 -0.066 -20.751 -0.071 -20.663 -0.103 -20.638 -0.114 14.781 0.125 1.983 0.023 44.126 42.186
-63.800 -20.877 -0.079 -20.875 -0.076 -20.874 -0.075 -20.861 -0.067 -20.812 -0.064 -20.811 -0.064 -20.795 -0.066 -20.774 -0.070 -20.685 -0.102 -20.660 -0.114 14.752 0.118 2.009 0.022 44.134 42.168
-63.400 -20.898 -0.078 -20.896 -0.076 -20.895 -0.075 -20.883 -0.067 -20.836 -0.063 -20.834 -0.064 -20.818 -0.066 -20.798 -0.070 -20.708 -0.102 -20.683 -0.113 14.724 0.111 2.036 0.021 44.142 42.149
-63.000 -20.920 -0.078 -20.918 -0.076 -20.917 -0.075 -20.906 -0.067 -20.859 -0.063 -20.858 -0.063 -20.842 -0.066 -20.821 -0.070 -20.731 -0.101 -20.705 -0.113 14.695 0.104 2.063 0.020 44.150 42.128
-62.600 -20.941 -0.078 -20.940 -0.076 -20.938 -0.074 -20.928 -0.066 -20.883 -0.063 -20.881 -0.063 -20.865 -0.066 -20.845 -0.070 -20.753 -0.101 -20.727 -0.112 14.667 0.097 2.090 0.019 44.158 42.105
-62.200 -20.963 -0.078 -20.961 -0.076 -20.960 -0.074 -20.950 -0.066 -20.906 -0.063 -20.905 -0.063 -20.889 -0.065 -20.869 -0.070 -20.776 -0.101 -20.750 -0.112 14.639 0.090 2.117 0.018 44.166 42.082
