"Time (MJD)" B-4369.53 B-4369.53_err V-5467.57 V-5467.57_err g-4671.78 g-4671.78_err i-7457.89 i-7457.89_err r-6141.12 r-6141.12_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
61.200 -19.019 -0.080 -19.184 -0.070 -19.582 -0.056 -19.930 -0.115 -20.016 -0.073 5.676 0.135 5.929 0.358 43.415 41.909
61.600 -19.018 -0.079 -19.184 -0.074 -19.586 -0.058 -19.923 -0.120 -20.010 -0.073 5.694 0.125 5.882 0.327 43.413 41.871
62.000 -19.017 -0.078 -19.183 -0.077 -19.590 -0.058 -19.918 -0.125 -20.004 -0.069 5.711 0.115 5.834 0.294 43.412 41.822
62.400 -19.014 -0.075 -19.181 -0.079 -19.594 -0.055 -19.912 -0.129 -19.998 -0.063 5.728 0.104 5.785 0.260 43.410 41.762
62.800 -19.009 -0.072 -19.177 -0.080 -19.596 -0.050 -19.906 -0.132 -19.992 -0.053 5.745 0.093 5.735 0.225 43.407 41.686
63.200 -19.003 -0.068 -19.171 -0.080 -19.595 -0.043 -19.899 -0.135 -19.986 -0.041 5.761 0.082 5.685 0.190 43.404 41.591
63.600 -18.994 -0.066 -19.163 -0.081 -19.592 -0.037 -19.891 -0.138 -19.979 -0.031 5.773 0.073 5.640 0.161 43.401 41.486
64.000 -18.982 -0.065 -19.152 -0.082 -19.586 -0.036 -19.883 -0.140 -19.973 -0.029 5.769 0.072 5.629 0.157 43.398 41.465
64.400 -18.968 -0.068 -19.138 -0.084 -19.576 -0.041 -19.873 -0.142 -19.965 -0.040 5.739 0.081 5.672 0.187 43.396 41.574
64.800 -18.951 -0.073 -19.122 -0.086 -19.562 -0.049 -19.862 -0.145 -19.958 -0.056 5.699 0.091 5.740 0.226 43.394 41.682
65.200 -18.932 -0.077 -19.103 -0.089 -19.546 -0.056 -19.850 -0.147 -19.950 -0.074 5.656 0.100 5.810 0.261 43.391 41.762
65.600 -18.910 -0.082 -19.082 -0.092 -19.527 -0.063 -19.837 -0.149 -19.941 -0.091 5.614 0.107 5.877 0.292 43.388 41.819
66.000 -18.887 -0.085 -19.059 -0.094 -19.506 -0.067 -19.822 -0.151 -19.931 -0.107 5.573 0.114 5.936 0.320 43.384 41.863
66.400 -18.863 -0.088 -19.034 -0.096 -19.483 -0.069 -19.807 -0.153 -19.921 -0.122 5.536 0.120 5.984 0.347 43.380 41.898
66.800 -18.838 -0.090 -19.008 -0.098 -19.458 -0.071 -19.791 -0.154 -19.910 -0.135 5.502 0.126 6.021 0.373 43.374 41.929
67.200 -18.812 -0.093 -18.981 -0.099 -19.433 -0.072 -19.774 -0.155 -19.899 -0.147 5.471 0.133 6.046 0.401 43.368 41.957
67.600 -18.786 -0.097 -18.954 -0.102 -19.407 -0.074 -19.757 -0.156 -19.886 -0.156 5.442 0.141 6.066 0.430 43.362 41.984
68.000 -18.760 -0.102 -18.926 -0.105 -19.381 -0.079 -19.739 -0.156 -19.872 -0.163 5.413 0.149 6.088 0.460 43.356 42.011
68.400 -18.734 -0.108 -18.898 -0.108 -19.355 -0.085 -19.721 -0.156 -19.858 -0.168 5.384 0.156 6.111 0.490 43.349 42.035
68.800 -18.709 -0.116 -18.871 -0.112 -19.329 -0.092 -19.703 -0.156 -19.842 -0.171 5.356 0.163 6.132 0.518 43.343 42.055
69.200 -18.684 -0.123 -18.844 -0.117 -19.303 -0.099 -19.685 -0.154 -19.825 -0.172 5.331 0.170 6.146 0.544 43.337 42.071
69.600 -18.659 -0.129 -18.817 -0.120 -19.276 -0.105 -19.667 -0.152 -19.807 -0.170 5.308 0.176 6.151 0.567 43.331 42.082
70.000 -18.635 -0.135 -18.791 -0.123 -19.249 -0.110 -19.648 -0.148 -19.788 -0.167 5.290 0.183 6.145 0.587 43.324 42.091
70.400 -18.611 -0.140 -18.765 -0.125 -19.222 -0.113 -19.629 -0.143 -19.767 -0.161 5.274 0.190 6.127 0.607 43.316 42.097
70.800 -18.588 -0.143 -18.739 -0.125 -19.195 -0.114 -19.610 -0.137 -19.745 -0.153 5.263 0.197 6.097 0.625 43.308 42.102
71.200 -18.565 -0.144 -18.714 -0.124 -19.167 -0.113 -19.590 -0.129 -19.721 -0.143 5.255 0.205 6.055 0.642 43.299 42.104
71.600 -18.542 -0.144 -18.690 -0.121 -19.138 -0.110 -19.570 -0.119 -19.695 -0.130 5.252 0.214 6.000 0.659 43.290 42.103
72.000 -18.520 -0.143 -18.666 -0.116 -19.109 -0.106 -19.549 -0.107 -19.668 -0.117 5.251 0.225 5.935 0.677 43.281 42.101
72.400 -18.499 -0.142 -18.642 -0.110 -19.080 -0.099 -19.527 -0.094 -19.640 -0.101 5.256 0.237 5.857 0.695 43.271 42.095
72.800 -18.478 -0.139 -18.619 -0.103 -19.051 -0.092 -19.504 -0.079 -19.609 -0.085 5.267 0.254 5.762 0.714 43.260 42.085
73.200 -18.457 -0.137 -18.597 -0.097 -19.022 -0.085 -19.479 -0.063 -19.578 -0.067 5.291 0.278 5.639 0.739 43.249 42.069
73.600 -18.436 -0.136 -18.575 -0.091 -18.993 -0.078 -19.453 -0.047 -19.544 -0.050 5.344 0.316 5.456 0.772 43.238 42.041
74.000 -18.416 -0.136 -18.553 -0.087 -18.965 -0.074 -19.425 -0.033 -19.509 -0.037 5.448 0.372 5.177 0.802 43.226 41.995
74.400 -18.396 -0.137 -18.532 -0.087 -18.939 -0.074 -19.394 -0.030 -19.473 -0.033 5.527 0.393 4.951 0.782 43.212 41.953
74.800 -18.375 -0.141 -18.511 -0.092 -18.914 -0.078 -19.360 -0.040 -19.435 -0.041 5.499 0.350 4.905 0.708 43.195 41.941
75.200 -18.356 -0.146 -18.491 -0.099 -18.892 -0.086 -19.324 -0.054 -19.397 -0.053 5.499 0.308 4.809 0.625 43.178 41.918
75.600 -18.336 -0.152 -18.471 -0.108 -18.870 -0.095 -19.287 -0.068 -19.358 -0.065 5.532 0.280 4.663 0.554 43.162 41.882
76.000 -18.316 -0.159 -18.452 -0.117 -18.849 -0.104 -19.249 -0.081 -19.319 -0.075 5.580 0.260 4.500 0.494 43.146 41.838
76.400 -18.298 -0.165 -18.433 -0.126 -18.829 -0.113 -19.212 -0.091 -19.280 -0.082 5.634 0.245 4.336 0.442 43.130 41.789
76.800 -18.279 -0.171 -18.415 -0.134 -18.810 -0.121 -19.176 -0.099 -19.242 -0.086 5.692 0.233 4.176 0.397 43.115 41.737
77.200 -18.261 -0.176 -18.398 -0.140 -18.792 -0.127 -19.142 -0.104 -19.204 -0.087 5.752 0.224 4.024 0.359 43.101 41.685
77.600 -18.243 -0.180 -18.382 -0.145 -18.775 -0.132 -19.109 -0.106 -19.169 -0.085 5.812 0.217 3.880 0.327 43.088 41.634
78.000 -18.226 -0.182 -18.366 -0.148 -18.759 -0.135 -19.079 -0.106 -19.135 -0.079 5.873 0.213 3.744 0.300 43.075 41.584
78.400 -18.210 -0.183 -18.352 -0.149 -18.744 -0.137 -19.052 -0.104 -19.103 -0.071 5.935 0.212 3.616 0.278 43.063 41.537
78.800 -18.193 -0.183 -18.337 -0.148 -18.731 -0.138 -19.027 -0.099 -19.075 -0.060 5.998 0.215 3.497 0.260 43.052 41.492
79.200 -18.177 -0.181 -18.323 -0.146 -18.720 -0.138 -19.007 -0.092 -19.049 -0.047 6.061 0.221 3.386 0.245 43.042 41.453
79.600 -18.162 -0.179 -18.310 -0.142 -18.710 -0.137 -18.990 -0.084 -19.027 -0.035 6.120 0.233 3.289 0.237 43.034 41.431
80.000 -18.146 -0.175 -18.297 -0.137 -18.702 -0.135 -18.978 -0.075 -19.009 -0.030 6.160 0.255 3.224 0.247 43.028 41.452
80.400 -18.131 -0.172 -18.284 -0.131 -18.696 -0.134 -18.970 -0.067 -18.995 -0.038 6.153 0.290 3.225 0.292 43.026 41.522
80.800 -18.115 -0.168 -18.271 -0.126 -18.692 -0.133 -18.967 -0.061 -18.985 -0.053 6.082 0.324 3.309 0.361 43.028 41.605
81.200 -18.100 -0.164 -18.257 -0.120 -18.689 -0.133 -18.969 -0.061 -18.979 -0.070 5.973 0.338 3.446 0.422 43.032 41.683
81.600 -18.084 -0.162 -18.244 -0.116 -18.686 -0.133 -18.975 -0.066 -18.975 -0.087 5.866 0.337 3.587 0.466 43.036 41.750
82.000 -18.068 -0.160 -18.230 -0.115 -18.685 -0.134 -18.984 -0.073 -18.974 -0.102 5.777 0.333 3.710 0.501 43.038 41.808
82.400 -18.052 -0.160 -18.216 -0.116 -18.684 -0.136 -18.995 -0.082 -18.976 -0.116 5.701 0.331 3.822 0.536 43.041 41.858
82.800 -18.035 -0.160 -18.201 -0.118 -18.682 -0.139 -19.006 -0.091 -18.978 -0.129 5.633 0.331 3.925 0.570 43.044 41.900
83.200 -18.019 -0.162 -18.186 -0.121 -18.680 -0.142 -19.016 -0.099 -18.982 -0.139 5.573 0.330 4.021 0.601 43.046 41.935
83.600 -18.003 -0.163 -18.170 -0.125 -18.676 -0.145 -19.024 -0.108 -18.987 -0.149 5.521 0.327 4.105 0.624 43.047 41.960
84.000 -17.987 -0.164 -18.155 -0.127 -18.672 -0.149 -19.028 -0.117 -18.992 -0.156 5.475 0.320 4.176 0.636 43.048 41.975
84.400 -17.972 -0.164 -18.140 -0.129 -18.666 -0.152 -19.027 -0.126 -18.997 -0.162 5.436 0.310 4.236 0.636 43.048 41.981
84.800 -17.958 -0.164 -18.125 -0.130 -18.658 -0.155 -19.024 -0.134 -19.001 -0.166 5.402 0.296 4.285 0.627 43.047 41.980
85.200 -17.944 -0.163 -18.111 -0.129 -18.650 -0.157 -19.017 -0.142 -19.006 -0.169 5.373 0.282 4.325 0.612 43.046 41.973
85.600 -17.932 -0.161 -18.098 -0.127 -18.640 -0.159 -19.007 -0.148 -19.009 -0.170 5.348 0.266 4.356 0.591 43.044 41.961
86.000 -17.922 -0.158 -18.086 -0.124 -18.629 -0.160 -18.996 -0.154 -19.011 -0.171 5.328 0.251 4.378 0.567 43.042 41.945
86.400 -17.913 -0.154 -18.075 -0.120 -18.617 -0.160 -18.982 -0.157 -19.012 -0.171 5.314 0.237 4.389 0.541 43.039 41.927
86.800 -17.907 -0.150 -18.067 -0.115 -18.606 -0.160 -18.966 -0.159 -19.012 -0.170 5.305 0.223 4.389 0.514 43.036 41.905
87.200 -17.903 -0.146 -18.061 -0.111 -18.594 -0.158 -18.950 -0.159 -19.010 -0.169 5.306 0.211 4.372 0.485 43.033 41.881
87.600 -17.902 -0.143 -18.057 -0.108 -18.583 -0.155 -18.932 -0.157 -19.007 -0.167 5.315 0.199 4.338 0.455 43.030 41.852
88.000 -17.904 -0.139 -18.057 -0.105 -18.572 -0.151 -18.913 -0.152 -19.002 -0.165 5.335 0.188 4.287 0.421 43.026 41.816
88.400 -17.908 -0.136 -18.060 -0.104 -18.561 -0.146 -18.894 -0.146 -18.996 -0.161 5.363 0.177 4.221 0.386 43.021 41.774
88.800 -17.914 -0.133 -18.064 -0.103 -18.551 -0.140 -18.875 -0.137 -18.990 -0.157 5.399 0.167 4.143 0.350 43.017 41.727
89.200 -17.922 -0.130 -18.071 -0.102 -18.542 -0.132 -18.856 -0.126 -18.982 -0.152 5.441 0.157 4.058 0.316 43.012 41.674
89.600 -17.932 -0.128 -18.079 -0.101 -18.534 -0.124 -18.836 -0.114 -18.973 -0.147 5.487 0.147 3.968 0.283 43.007 41.618
90.000 -17.943 -0.126 -18.088 -0.099 -18.526 -0.116 -18.817 -0.100 -18.963 -0.142 5.536 0.138 3.878 0.254 43.003 41.557
90.400 -17.954 -0.125 -18.097 -0.098 -18.519 -0.108 -18.798 -0.085 -18.952 -0.139 5.586 0.131 3.787 0.227 42.998 41.491
90.800 -17.966 -0.126 -18.106 -0.099 -18.512 -0.103 -18.780 -0.073 -18.940 -0.138 5.641 0.123 3.693 0.202 42.993 41.417
91.200 -17.977 -0.130 -18.115 -0.103 -18.506 -0.101 -18.763 -0.065 -18.928 -0.140 5.703 0.117 3.589 0.179 42.987 41.340
91.600 -17.988 -0.139 -18.124 -0.111 -18.499 -0.104 -18.746 -0.068 -18.916 -0.148 5.776 0.111 3.470 0.160 42.980 41.280
92.000 -17.998 -0.152 -18.131 -0.124 -18.493 -0.113 -18.731 -0.082 -18.902 -0.161 5.855 0.108 3.348 0.147 42.972 41.243
92.400 -18.007 -0.169 -18.138 -0.141 -18.487 -0.127 -18.716 -0.102 -18.889 -0.178 5.932 0.107 3.236 0.138 42.966 41.220
92.800 -18.016 -0.189 -18.144 -0.160 -18.480 -0.145 -18.702 -0.126 -18.874 -0.198 6.004 0.108 3.136 0.133 42.960 41.206
