"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4735.89 g-4735.89_err g-4746.48 g-4746.48_err i-7645.77 i-7645.77_err orange-6629.82 orange-6629.82_err r-6198.96 r-6198.96_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-30.000 -19.436 -0.099 -19.436 -0.099 -19.445 -0.089 -19.458 -0.093 -19.460 -0.097 -19.463 -0.105 -19.475 -0.148 10.822 0.290 1.687 0.071 43.444 41.861
-29.600 -19.461 -0.096 -19.461 -0.096 -19.470 -0.086 -19.484 -0.091 -19.486 -0.095 -19.489 -0.103 -19.501 -0.146 10.817 0.286 1.708 0.071 43.454 41.864
-29.200 -19.486 -0.094 -19.486 -0.094 -19.496 -0.084 -19.510 -0.089 -19.512 -0.093 -19.515 -0.101 -19.526 -0.144 10.810 0.282 1.730 0.071 43.464 41.867
-28.800 -19.511 -0.092 -19.511 -0.091 -19.521 -0.082 -19.536 -0.087 -19.538 -0.091 -19.541 -0.099 -19.552 -0.142 10.803 0.279 1.752 0.071 43.474 41.870
-28.400 -19.536 -0.090 -19.536 -0.089 -19.547 -0.080 -19.562 -0.085 -19.564 -0.089 -19.567 -0.097 -19.578 -0.140 10.794 0.275 1.775 0.071 43.484 41.873
-28.000 -19.561 -0.088 -19.561 -0.087 -19.572 -0.078 -19.589 -0.083 -19.590 -0.087 -19.593 -0.095 -19.603 -0.138 10.785 0.271 1.799 0.071 43.494 41.876
-27.600 -19.586 -0.086 -19.586 -0.086 -19.598 -0.076 -19.615 -0.082 -19.617 -0.086 -19.619 -0.094 -19.629 -0.137 10.774 0.267 1.823 0.071 43.504 41.878
-27.200 -19.611 -0.085 -19.611 -0.084 -19.623 -0.075 -19.641 -0.080 -19.643 -0.084 -19.646 -0.092 -19.655 -0.135 10.762 0.264 1.848 0.071 43.514 41.881
-26.800 -19.635 -0.083 -19.636 -0.083 -19.649 -0.074 -19.667 -0.079 -19.669 -0.083 -19.672 -0.091 -19.681 -0.134 10.749 0.260 1.873 0.072 43.524 41.883
-26.400 -19.660 -0.082 -19.660 -0.082 -19.674 -0.073 -19.693 -0.078 -19.695 -0.082 -19.698 -0.090 -19.707 -0.133 10.735 0.256 1.900 0.072 43.533 41.886
-26.000 -19.685 -0.081 -19.685 -0.081 -19.699 -0.072 -19.719 -0.078 -19.722 -0.081 -19.724 -0.089 -19.733 -0.131 10.719 0.253 1.926 0.072 43.543 41.888
-25.600 -19.709 -0.080 -19.710 -0.080 -19.725 -0.071 -19.745 -0.077 -19.748 -0.081 -19.751 -0.088 -19.758 -0.130 10.703 0.249 1.954 0.072 43.553 41.890
-25.200 -19.733 -0.080 -19.734 -0.079 -19.750 -0.071 -19.771 -0.076 -19.774 -0.080 -19.777 -0.088 -19.784 -0.129 10.685 0.245 1.982 0.072 43.562 41.892
-24.800 -19.758 -0.079 -19.758 -0.079 -19.774 -0.070 -19.797 -0.076 -19.800 -0.080 -19.803 -0.087 -19.810 -0.128 10.666 0.242 2.011 0.072 43.572 41.894
-24.400 -19.782 -0.079 -19.782 -0.078 -19.799 -0.070 -19.823 -0.075 -19.825 -0.079 -19.829 -0.086 -19.835 -0.127 10.647 0.238 2.040 0.073 43.581 41.896
-24.000 -19.805 -0.078 -19.806 -0.078 -19.824 -0.069 -19.849 -0.075 -19.851 -0.079 -19.854 -0.086 -19.860 -0.126 10.627 0.235 2.069 0.073 43.590 41.898
-23.600 -19.829 -0.078 -19.829 -0.077 -19.848 -0.069 -19.874 -0.074 -19.877 -0.078 -19.880 -0.085 -19.885 -0.126 10.606 0.231 2.100 0.073 43.599 41.899
-23.200 -19.852 -0.077 -19.853 -0.077 -19.872 -0.069 -19.899 -0.074 -19.902 -0.078 -19.905 -0.085 -19.910 -0.125 10.585 0.228 2.130 0.073 43.608 41.900
-22.800 -19.875 -0.077 -19.876 -0.077 -19.896 -0.069 -19.924 -0.074 -19.927 -0.077 -19.930 -0.085 -19.935 -0.124 10.563 0.224 2.161 0.073 43.617 41.901
-22.400 -19.898 -0.076 -19.899 -0.076 -19.919 -0.068 -19.949 -0.073 -19.952 -0.077 -19.955 -0.084 -19.960 -0.123 10.541 0.221 2.192 0.074 43.626 41.902
-22.000 -19.921 -0.076 -19.921 -0.076 -19.942 -0.068 -19.974 -0.073 -19.976 -0.077 -19.980 -0.084 -19.984 -0.123 10.520 0.217 2.224 0.074 43.635 41.903
-21.600 -19.943 -0.076 -19.943 -0.075 -19.965 -0.068 -19.998 -0.073 -20.001 -0.076 -20.004 -0.083 -20.008 -0.122 10.497 0.214 2.255 0.074 43.644 41.903
-21.200 -19.965 -0.075 -19.965 -0.075 -19.988 -0.067 -20.022 -0.072 -20.025 -0.076 -20.029 -0.083 -20.032 -0.121 10.475 0.210 2.287 0.074 43.652 41.904
-20.800 -19.986 -0.075 -19.987 -0.074 -20.010 -0.067 -20.045 -0.072 -20.049 -0.075 -20.052 -0.082 -20.056 -0.121 10.453 0.207 2.319 0.074 43.660 41.904
-20.400 -20.007 -0.074 -20.008 -0.074 -20.032 -0.066 -20.068 -0.071 -20.072 -0.075 -20.076 -0.082 -20.079 -0.120 10.431 0.204 2.351 0.075 43.669 41.904
-20.000 -20.028 -0.073 -20.029 -0.073 -20.054 -0.066 -20.091 -0.071 -20.095 -0.074 -20.099 -0.081 -20.102 -0.119 10.409 0.201 2.383 0.075 43.677 41.904
-19.600 -20.049 -0.073 -20.049 -0.073 -20.075 -0.065 -20.114 -0.070 -20.118 -0.074 -20.122 -0.080 -20.125 -0.119 10.387 0.198 2.416 0.075 43.685 41.903
-19.200 -20.069 -0.072 -20.069 -0.072 -20.096 -0.065 -20.136 -0.070 -20.140 -0.073 -20.144 -0.080 -20.147 -0.118 10.365 0.195 2.448 0.075 43.693 41.903
-18.800 -20.088 -0.071 -20.089 -0.071 -20.116 -0.064 -20.158 -0.069 -20.162 -0.072 -20.166 -0.079 -20.169 -0.117 10.343 0.192 2.480 0.075 43.700 41.902
-18.400 -20.108 -0.071 -20.108 -0.070 -20.136 -0.063 -20.179 -0.068 -20.183 -0.072 -20.188 -0.078 -20.190 -0.116 10.322 0.189 2.512 0.075 43.708 41.902
-18.000 -20.126 -0.070 -20.127 -0.069 -20.156 -0.062 -20.200 -0.068 -20.204 -0.071 -20.209 -0.078 -20.212 -0.116 10.301 0.187 2.543 0.076 43.715 41.901
-17.600 -20.145 -0.069 -20.145 -0.068 -20.175 -0.061 -20.220 -0.067 -20.224 -0.070 -20.229 -0.077 -20.232 -0.115 10.280 0.184 2.575 0.076 43.722 41.900
-17.200 -20.162 -0.068 -20.163 -0.067 -20.193 -0.060 -20.240 -0.066 -20.244 -0.069 -20.250 -0.076 -20.253 -0.114 10.259 0.182 2.606 0.076 43.729 41.899
-16.800 -20.180 -0.067 -20.181 -0.066 -20.211 -0.059 -20.259 -0.065 -20.264 -0.068 -20.269 -0.075 -20.272 -0.114 10.238 0.180 2.637 0.077 43.736 41.899
-16.400 -20.197 -0.066 -20.197 -0.065 -20.229 -0.058 -20.278 -0.064 -20.283 -0.068 -20.288 -0.074 -20.292 -0.113 10.218 0.178 2.667 0.077 43.742 41.898
-16.000 -20.213 -0.065 -20.214 -0.064 -20.246 -0.057 -20.296 -0.063 -20.301 -0.067 -20.307 -0.073 -20.311 -0.112 10.198 0.176 2.697 0.077 43.749 41.897
-15.600 -20.229 -0.063 -20.230 -0.063 -20.262 -0.056 -20.314 -0.062 -20.319 -0.066 -20.325 -0.073 -20.329 -0.112 10.179 0.174 2.727 0.078 43.755 41.897
-15.200 -20.244 -0.062 -20.245 -0.062 -20.278 -0.055 -20.331 -0.061 -20.336 -0.065 -20.342 -0.072 -20.347 -0.111 10.160 0.173 2.756 0.078 43.761 41.896
-14.800 -20.259 -0.061 -20.260 -0.061 -20.293 -0.054 -20.347 -0.060 -20.353 -0.064 -20.359 -0.071 -20.364 -0.110 10.141 0.172 2.785 0.079 43.767 41.896
-14.400 -20.273 -0.060 -20.274 -0.060 -20.308 -0.052 -20.363 -0.059 -20.369 -0.063 -20.375 -0.070 -20.381 -0.109 10.122 0.171 2.813 0.080 43.772 41.896
