"Time (MJD)" g-4769.9 g-4769.9_err i-7774.3 i-7774.3_err r-6370.44 r-6370.44_err z-9154.88 z-9154.88_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-15.000 -20.234 -0.226 -20.258 -0.179 -20.176 -0.187 -19.963 -0.254 9.000 227.878 1.000 70.015 42.670 44.286
-14.600 -20.342 -0.210 -20.377 -0.165 -20.296 -0.167 -20.066 -0.234 9.000 254.803 1.000 78.281 42.670 44.334
-14.200 -20.452 -0.198 -20.499 -0.155 -20.419 -0.151 -20.172 -0.217 9.000 285.851 1.000 87.745 42.670 44.382
-13.800 -20.564 -0.189 -20.622 -0.149 -20.543 -0.138 -20.279 -0.203 26.069 1.648 0.763 0.064 44.283 43.248
-13.400 -20.676 -0.184 -20.745 -0.146 -20.666 -0.129 -20.387 -0.193 26.062 1.909 0.807 0.078 44.330 43.362
-13.000 -20.789 -0.180 -20.868 -0.146 -20.788 -0.123 -20.493 -0.186 26.092 2.158 0.850 0.093 44.378 43.465
-12.600 -20.902 -0.177 -20.989 -0.146 -20.906 -0.122 -20.598 -0.181 26.166 2.377 0.893 0.107 44.425 43.556
-12.200 -21.012 -0.174 -21.108 -0.147 -21.020 -0.123 -20.700 -0.180 26.284 2.552 0.933 0.119 44.472 43.632
-11.800 -21.120 -0.170 -21.223 -0.146 -21.127 -0.127 -20.798 -0.180 26.428 2.687 0.973 0.130 44.517 43.698
-11.400 -21.225 -0.165 -21.334 -0.145 -21.229 -0.132 -20.893 -0.181 26.575 2.794 1.012 0.140 44.561 43.755
-11.000 -21.325 -0.159 -21.440 -0.142 -21.325 -0.137 -20.983 -0.182 26.707 2.881 1.052 0.150 44.603 43.805
-10.600 -21.421 -0.151 -21.541 -0.138 -21.416 -0.141 -21.070 -0.183 26.808 2.952 1.092 0.161 44.642 43.849
-10.200 -21.510 -0.143 -21.636 -0.132 -21.501 -0.145 -21.151 -0.184 26.863 3.008 1.134 0.171 44.678 43.886
-9.800 -21.593 -0.133 -21.724 -0.126 -21.581 -0.148 -21.228 -0.183 26.859 3.045 1.178 0.182 44.711 43.916
-9.400 -21.669 -0.123 -21.805 -0.118 -21.655 -0.150 -21.301 -0.182 26.788 3.062 1.224 0.193 44.740 43.939
-9.000 -21.737 -0.113 -21.879 -0.111 -21.723 -0.151 -21.368 -0.179 26.656 3.060 1.273 0.205 44.765 43.954
-8.600 -21.796 -0.105 -21.946 -0.106 -21.787 -0.153 -21.432 -0.175 26.490 3.048 1.321 0.216 44.787 43.966
-8.200 -21.846 -0.101 -22.004 -0.103 -21.844 -0.154 -21.490 -0.169 26.344 3.046 1.364 0.226 44.805 43.980
-7.800 -21.886 -0.103 -22.054 -0.106 -21.897 -0.156 -21.544 -0.161 26.269 3.068 1.397 0.233 44.821 44.004
-7.400 -21.916 -0.110 -22.097 -0.113 -21.943 -0.157 -21.594 -0.152 26.247 3.102 1.421 0.237 44.835 44.035
-7.000 -21.937 -0.122 -22.131 -0.123 -21.985 -0.159 -21.640 -0.141 26.214 3.119 1.442 0.237 44.845 44.065
-6.600 -21.950 -0.134 -22.159 -0.134 -22.021 -0.161 -21.683 -0.129 26.118 3.098 1.463 0.235 44.851 44.087
-6.200 -21.954 -0.147 -22.180 -0.146 -22.053 -0.162 -21.721 -0.116 25.928 3.033 1.488 0.231 44.853 44.100
-5.800 -21.952 -0.159 -22.194 -0.156 -22.080 -0.164 -21.756 -0.104 25.629 2.923 1.519 0.225 44.851 44.100
-5.400 -21.943 -0.169 -22.204 -0.166 -22.103 -0.166 -21.787 -0.093 25.207 2.777 1.560 0.220 44.845 44.087
-5.000 -21.928 -0.177 -22.208 -0.173 -22.122 -0.167 -21.816 -0.086 24.659 2.607 1.614 0.218 44.836 44.062
-4.600 -21.909 -0.183 -22.208 -0.178 -22.138 -0.168 -21.842 -0.085 23.994 2.428 1.681 0.220 44.824 44.022
-4.200 -21.885 -0.187 -22.204 -0.182 -22.151 -0.168 -21.865 -0.090 23.262 2.249 1.761 0.227 44.811 43.972
-3.800 -21.857 -0.188 -22.197 -0.183 -22.161 -0.167 -21.886 -0.098 22.518 2.075 1.849 0.235 44.797 43.916
-3.400 -21.826 -0.187 -22.188 -0.182 -22.169 -0.165 -21.905 -0.105 21.799 1.912 1.943 0.245 44.783 43.856
