"Time (MJD)" G-5850.88 G-5850.88_err cyan-5182.42 cyan-5182.42_err g-4671.78 g-4671.78_err g-4746.48 g-4746.48_err i-7457.89 i-7457.89_err orange-6629.82 orange-6629.82_err r-6141.12 r-6141.12_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-43.000 -20.420 -0.116 -20.433 -0.110 -20.499 -0.092 -20.584 -0.077 -20.623 -0.067 -20.653 -0.060 -20.679 -0.059 -20.673 -0.126 20.471 14.370 1.360 0.892 44.365 44.542
-42.600 -20.429 -0.115 -20.442 -0.109 -20.508 -0.090 -20.594 -0.075 -20.633 -0.066 -20.663 -0.059 -20.690 -0.058 -20.683 -0.125 8.063 0.148 4.545 0.146 43.794 41.872
-42.200 -20.437 -0.113 -20.451 -0.108 -20.518 -0.089 -20.603 -0.074 -20.643 -0.065 -20.673 -0.058 -20.701 -0.056 -20.694 -0.123 8.049 0.149 4.579 0.148 43.797 41.877
-41.800 -20.446 -0.112 -20.460 -0.106 -20.527 -0.088 -20.613 -0.073 -20.653 -0.064 -20.684 -0.056 -20.711 -0.055 -20.704 -0.122 8.036 0.150 4.614 0.150 43.801 41.881
-41.400 -20.455 -0.111 -20.468 -0.105 -20.536 -0.087 -20.623 -0.072 -20.663 -0.063 -20.694 -0.055 -20.722 -0.054 -20.715 -0.120 8.023 0.150 4.648 0.152 43.805 41.885
-41.000 -20.463 -0.110 -20.477 -0.104 -20.545 -0.086 -20.632 -0.072 -20.673 -0.062 -20.704 -0.054 -20.732 -0.053 -20.725 -0.119 8.010 0.151 4.683 0.154 43.808 41.889
-40.600 -20.472 -0.108 -20.486 -0.103 -20.554 -0.085 -20.642 -0.071 -20.683 -0.061 -20.714 -0.054 -20.742 -0.052 -20.736 -0.118 7.997 0.151 4.717 0.156 43.812 41.893
-40.200 -20.480 -0.107 -20.494 -0.102 -20.563 -0.084 -20.651 -0.070 -20.693 -0.060 -20.724 -0.053 -20.753 -0.051 -20.746 -0.117 7.985 0.151 4.751 0.158 43.815 41.896
-39.800 -20.489 -0.106 -20.503 -0.101 -20.572 -0.083 -20.661 -0.069 -20.703 -0.060 -20.734 -0.052 -20.763 -0.050 -20.757 -0.116 7.973 0.152 4.785 0.160 43.819 41.900
-39.400 -20.497 -0.105 -20.512 -0.100 -20.581 -0.082 -20.670 -0.068 -20.712 -0.059 -20.745 -0.051 -20.773 -0.049 -20.767 -0.115 7.962 0.152 4.819 0.162 43.823 41.903
-39.000 -20.506 -0.105 -20.520 -0.099 -20.590 -0.082 -20.680 -0.068 -20.722 -0.058 -20.754 -0.051 -20.784 -0.048 -20.778 -0.114 7.950 0.152 4.852 0.163 43.826 41.905
-38.600 -20.514 -0.104 -20.529 -0.098 -20.599 -0.081 -20.689 -0.067 -20.732 -0.058 -20.764 -0.050 -20.794 -0.048 -20.788 -0.113 7.940 0.152 4.885 0.165 43.830 41.908
-38.200 -20.523 -0.103 -20.537 -0.097 -20.608 -0.080 -20.699 -0.067 -20.742 -0.057 -20.774 -0.050 -20.804 -0.047 -20.798 -0.112 7.930 0.152 4.918 0.166 43.833 41.910
-37.800 -20.531 -0.102 -20.546 -0.097 -20.617 -0.079 -20.708 -0.066 -20.751 -0.057 -20.784 -0.049 -20.814 -0.047 -20.809 -0.111 7.920 0.152 4.950 0.168 43.837 41.912
-37.400 -20.540 -0.101 -20.554 -0.096 -20.626 -0.079 -20.717 -0.065 -20.761 -0.056 -20.794 -0.049 -20.824 -0.047 -20.819 -0.110 7.911 0.152 4.982 0.169 43.841 41.914
-37.000 -20.548 -0.100 -20.563 -0.095 -20.635 -0.078 -20.727 -0.065 -20.770 -0.056 -20.804 -0.049 -20.834 -0.046 -20.829 -0.109 7.902 0.152 5.014 0.171 43.844 41.916
-36.600 -20.556 -0.100 -20.571 -0.094 -20.644 -0.077 -20.736 -0.064 -20.780 -0.055 -20.813 -0.048 -20.843 -0.046 -20.839 -0.108 7.894 0.152 5.045 0.172 43.848 41.918
-36.200 -20.565 -0.099 -20.580 -0.094 -20.653 -0.077 -20.745 -0.064 -20.789 -0.055 -20.823 -0.048 -20.853 -0.046 -20.850 -0.107 7.886 0.152 5.075 0.173 43.851 41.920
-35.800 -20.573 -0.098 -20.588 -0.093 -20.662 -0.076 -20.754 -0.063 -20.799 -0.055 -20.832 -0.048 -20.863 -0.046 -20.860 -0.107 7.878 0.151 5.106 0.174 43.855 41.921
-35.400 -20.581 -0.098 -20.597 -0.093 -20.671 -0.075 -20.763 -0.063 -20.808 -0.054 -20.842 -0.048 -20.873 -0.046 -20.870 -0.106 7.871 0.151 5.136 0.175 43.858 41.923
-35.000 -20.589 -0.097 -20.605 -0.092 -20.679 -0.075 -20.772 -0.062 -20.817 -0.054 -20.851 -0.048 -20.882 -0.046 -20.880 -0.105 7.865 0.151 5.165 0.177 43.862 41.924
