"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err g-4793.46 g-4793.46_err i-7589.41 i-7589.41_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6120.65 r-6120.65_err r-6366.38 r-6366.38_err z-8970.57 z-8970.57_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-20.000 -21.951 -0.084 -21.949 -0.082 -21.929 -0.073 -21.841 -0.067 -21.808 -0.067 -21.767 -0.068 -21.585 -0.081 -21.536 -0.087 -21.293 -0.142 30.137 7.923 1.474 0.337 45.106 44.882
-19.600 -21.957 -0.081 -21.956 -0.079 -21.936 -0.070 -21.849 -0.065 -21.816 -0.065 -21.775 -0.066 -21.594 -0.080 -21.545 -0.085 -21.301 -0.140 18.615 0.682 2.392 0.099 44.690 43.503
-19.200 -21.964 -0.079 -21.962 -0.077 -21.943 -0.068 -21.857 -0.063 -21.824 -0.063 -21.784 -0.065 -21.603 -0.078 -21.554 -0.084 -21.310 -0.139 18.545 0.675 2.411 0.100 44.690 43.498
-18.800 -21.970 -0.076 -21.969 -0.075 -21.950 -0.066 -21.864 -0.062 -21.832 -0.062 -21.792 -0.063 -21.612 -0.077 -21.563 -0.082 -21.318 -0.138 18.474 0.667 2.430 0.100 44.690 43.493
-18.400 -21.977 -0.074 -21.975 -0.073 -21.957 -0.065 -21.872 -0.061 -21.840 -0.061 -21.800 -0.062 -21.621 -0.075 -21.572 -0.081 -21.327 -0.137 18.402 0.658 2.449 0.100 44.690 43.487
-18.000 -21.983 -0.072 -21.982 -0.070 -21.964 -0.063 -21.880 -0.059 -21.848 -0.059 -21.808 -0.061 -21.630 -0.074 -21.581 -0.080 -21.335 -0.135 18.329 0.648 2.469 0.100 44.691 43.480
-17.600 -21.989 -0.070 -21.988 -0.068 -21.970 -0.061 -21.887 -0.058 -21.856 -0.058 -21.816 -0.060 -21.639 -0.073 -21.590 -0.079 -21.344 -0.134 18.255 0.638 2.489 0.100 44.691 43.473
-17.200 -21.995 -0.068 -21.994 -0.067 -21.977 -0.060 -21.895 -0.057 -21.864 -0.057 -21.824 -0.059 -21.648 -0.072 -21.599 -0.078 -21.352 -0.134 18.179 0.628 2.510 0.100 44.690 43.465
-16.800 -22.002 -0.066 -22.000 -0.065 -21.983 -0.058 -21.902 -0.056 -21.871 -0.056 -21.832 -0.058 -21.657 -0.071 -21.608 -0.076 -21.361 -0.133 18.104 0.617 2.531 0.100 44.690 43.457
-16.400 -22.008 -0.064 -22.006 -0.063 -21.990 -0.057 -21.909 -0.055 -21.879 -0.055 -21.840 -0.057 -21.666 -0.070 -21.617 -0.076 -21.369 -0.132 18.027 0.605 2.552 0.100 44.690 43.448
-16.000 -22.013 -0.063 -22.012 -0.061 -21.996 -0.056 -21.917 -0.054 -21.886 -0.054 -21.848 -0.056 -21.675 -0.069 -21.626 -0.075 -21.378 -0.131 17.950 0.593 2.573 0.100 44.690 43.438
-15.600 -22.019 -0.061 -22.018 -0.059 -22.002 -0.054 -21.924 -0.054 -21.894 -0.054 -21.856 -0.055 -21.684 -0.068 -21.635 -0.074 -21.387 -0.131 17.872 0.581 2.595 0.099 44.690 43.428
-15.200 -22.025 -0.059 -22.024 -0.058 -22.009 -0.053 -21.931 -0.053 -21.901 -0.053 -21.864 -0.055 -21.693 -0.067 -21.644 -0.073 -21.395 -0.130 17.794 0.569 2.616 0.099 44.689 43.418
-14.800 -22.030 -0.058 -22.029 -0.056 -22.015 -0.052 -21.938 -0.052 -21.908 -0.052 -21.871 -0.054 -21.701 -0.067 -21.653 -0.072 -21.404 -0.130 17.715 0.556 2.639 0.099 44.689 43.407
-14.400 -22.036 -0.056 -22.035 -0.055 -22.021 -0.051 -21.944 -0.051 -21.915 -0.052 -21.879 -0.053 -21.710 -0.066 -21.662 -0.072 -21.412 -0.129 17.636 0.543 2.661 0.098 44.688 43.395
-14.000 -22.041 -0.054 -22.040 -0.053 -22.026 -0.050 -21.951 -0.051 -21.922 -0.051 -21.886 -0.053 -21.719 -0.065 -21.670 -0.071 -21.421 -0.129 17.556 0.530 2.684 0.097 44.688 43.383
-13.600 -22.046 -0.053 -22.046 -0.052 -22.032 -0.049 -21.958 -0.050 -21.929 -0.050 -21.894 -0.052 -21.728 -0.065 -21.679 -0.070 -21.429 -0.128 17.476 0.516 2.706 0.097 44.687 43.370
-13.200 -22.051 -0.052 -22.051 -0.050 -22.038 -0.048 -21.964 -0.050 -21.936 -0.050 -21.901 -0.052 -21.736 -0.064 -21.688 -0.070 -21.437 -0.128 17.396 0.503 2.730 0.096 44.687 43.357
-12.800 -22.056 -0.050 -22.056 -0.049 -22.043 -0.047 -21.970 -0.049 -21.942 -0.049 -21.908 -0.051 -21.745 -0.063 -21.697 -0.069 -21.446 -0.128 17.315 0.490 2.753 0.095 44.686 43.343
-12.400 -22.061 -0.049 -22.061 -0.048 -22.048 -0.046 -21.976 -0.049 -21.949 -0.049 -21.915 -0.051 -21.753 -0.063 -21.706 -0.069 -21.454 -0.128 17.235 0.477 2.776 0.094 44.685 43.330
-12.000 -22.066 -0.047 -22.065 -0.046 -22.053 -0.045 -21.983 -0.048 -21.955 -0.048 -21.922 -0.050 -21.762 -0.062 -21.714 -0.068 -21.462 -0.128 17.154 0.464 2.800 0.093 44.685 43.316
-11.600 -22.070 -0.046 -22.070 -0.045 -22.058 -0.045 -21.989 -0.048 -21.962 -0.048 -21.929 -0.050 -21.770 -0.062 -21.723 -0.068 -21.471 -0.128 17.073 0.451 2.824 0.093 44.684 43.302
-11.200 -22.075 -0.045 -22.074 -0.044 -22.063 -0.044 -21.994 -0.047 -21.968 -0.048 -21.936 -0.049 -21.779 -0.061 -21.731 -0.067 -21.479 -0.127 16.991 0.439 2.849 0.092 44.683 43.287
-10.800 -22.079 -0.044 -22.078 -0.043 -22.068 -0.043 -22.000 -0.047 -21.974 -0.047 -21.942 -0.049 -21.787 -0.061 -21.740 -0.067 -21.487 -0.127 16.910 0.427 2.873 0.091 44.682 43.273
-10.400 -22.083 -0.043 -22.082 -0.042 -22.073 -0.043 -22.006 -0.046 -21.980 -0.047 -21.949 -0.049 -21.795 -0.060 -21.748 -0.066 -21.495 -0.127 16.829 0.416 2.898 0.090 44.681 43.259
-10.000 -22.087 -0.042 -22.086 -0.041 -22.077 -0.042 -22.012 -0.046 -21.986 -0.046 -21.955 -0.048 -21.803 -0.060 -21.756 -0.066 -21.503 -0.127 16.747 0.405 2.923 0.090 44.680 43.246
-9.600 -22.090 -0.041 -22.090 -0.040 -22.082 -0.041 -22.017 -0.046 -21.992 -0.046 -21.962 -0.048 -21.811 -0.059 -21.765 -0.066 -21.511 -0.127 16.666 0.395 2.948 0.089 44.679 43.233
-9.200 -22.094 -0.040 -22.094 -0.039 -22.086 -0.041 -22.023 -0.045 -21.998 -0.046 -21.968 -0.048 -21.819 -0.059 -21.773 -0.065 -21.519 -0.127 16.584 0.386 2.973 0.089 44.678 43.220
-8.800 -22.097 -0.040 -22.097 -0.039 -22.090 -0.041 -22.028 -0.045 -22.004 -0.046 -21.974 -0.048 -21.827 -0.058 -21.781 -0.065 -21.526 -0.128 16.503 0.378 2.999 0.088 44.677 43.208
-8.400 -22.100 -0.039 -22.100 -0.038 -22.094 -0.040 -22.033 -0.045 -22.009 -0.045 -21.981 -0.048 -21.835 -0.058 -21.789 -0.065 -21.534 -0.128 16.422 0.370 3.024 0.088 44.676 43.197
-8.000 -22.103 -0.039 -22.103 -0.038 -22.097 -0.040 -22.038 -0.045 -22.015 -0.045 -21.987 -0.047 -21.843 -0.058 -21.796 -0.064 -21.542 -0.128 16.342 0.363 3.050 0.088 44.675 43.186
-7.600 -22.106 -0.038 -22.106 -0.037 -22.101 -0.040 -22.043 -0.044 -22.021 -0.045 -21.993 -0.047 -21.850 -0.057 -21.804 -0.064 -21.549 -0.128 16.262 0.357 3.076 0.088 44.674 43.177
-7.200 -22.109 -0.038 -22.109 -0.037 -22.105 -0.040 -22.048 -0.044 -22.026 -0.045 -21.999 -0.047 -21.858 -0.057 -21.812 -0.064 -21.557 -0.128 16.183 0.351 3.102 0.088 44.672 43.168
-6.800 -22.111 -0.038 -22.112 -0.037 -22.108 -0.040 -22.053 -0.044 -22.031 -0.045 -22.005 -0.047 -21.865 -0.057 -21.819 -0.064 -21.564 -0.128 16.105 0.346 3.128 0.088 44.671 43.161
-6.400 -22.113 -0.038 -22.114 -0.037 -22.111 -0.040 -22.058 -0.044 -22.037 -0.045 -22.010 -0.047 -21.872 -0.057 -21.827 -0.064 -21.571 -0.128 16.028 0.342 3.154 0.089 44.670 43.154
-6.000 -22.116 -0.038 -22.116 -0.037 -22.114 -0.040 -22.063 -0.044 -22.042 -0.045 -22.016 -0.047 -21.879 -0.057 -21.834 -0.063 -21.578 -0.128 15.952 0.339 3.179 0.089 44.669 43.149
-5.600 -22.118 -0.038 -22.119 -0.038 -22.118 -0.040 -22.068 -0.044 -22.047 -0.045 -22.022 -0.047 -21.886 -0.056 -21.841 -0.063 -21.585 -0.128 15.878 0.337 3.205 0.090 44.668 43.144
-5.200 -22.120 -0.039 -22.121 -0.038 -22.120 -0.041 -22.072 -0.045 -22.052 -0.045 -22.027 -0.048 -21.893 -0.056 -21.848 -0.063 -21.592 -0.128 15.806 0.335 3.230 0.091 44.667 43.141
-4.800 -22.122 -0.039 -22.123 -0.038 -22.123 -0.041 -22.077 -0.045 -22.057 -0.046 -22.032 -0.048 -21.900 -0.056 -21.855 -0.063 -21.599 -0.129 15.735 0.333 3.255 0.092 44.665 43.138
-4.400 -22.123 -0.040 -22.124 -0.039 -22.126 -0.041 -22.081 -0.045 -22.062 -0.046 -22.038 -0.048 -21.906 -0.056 -21.861 -0.063 -21.605 -0.129 15.665 0.333 3.280 0.093 44.664 43.137
-4.000 -22.125 -0.040 -22.126 -0.040 -22.128 -0.042 -22.086 -0.046 -22.067 -0.046 -22.043 -0.048 -21.912 -0.057 -21.868 -0.064 -21.612 -0.129 15.597 0.332 3.305 0.094 44.663 43.136
-3.600 -22.126 -0.041 -22.128 -0.040 -22.131 -0.042 -22.090 -0.046 -22.071 -0.047 -22.048 -0.048 -21.919 -0.057 -21.874 -0.064 -21.618 -0.129 15.529 0.333 3.329 0.096 44.662 43.135
-3.200 -22.128 -0.042 -22.129 -0.041 -22.133 -0.043 -22.094 -0.046 -22.076 -0.047 -22.052 -0.049 -21.925 -0.057 -21.880 -0.064 -21.624 -0.129 15.463 0.333 3.353 0.097 44.661 43.135
-2.800 -22.129 -0.043 -22.130 -0.042 -22.135 -0.043 -22.098 -0.047 -22.080 -0.047 -22.057 -0.049 -21.930 -0.057 -21.886 -0.064 -21.630 -0.129 15.398 0.333 3.377 0.098 44.660 43.136
-2.400 -22.130 -0.044 -22.132 -0.043 -22.137 -0.044 -22.102 -0.047 -22.084 -0.048 -22.062 -0.049 -21.936 -0.057 -21.892 -0.064 -21.636 -0.129 15.334 0.334 3.401 0.100 44.659 43.136
-2.000 -22.131 -0.044 -22.132 -0.044 -22.139 -0.045 -22.105 -0.048 -22.088 -0.048 -22.066 -0.050 -21.942 -0.058 -21.898 -0.064 -21.642 -0.129 15.270 0.335 3.425 0.101 44.658 43.136
