"Time (MJD)" G-5850.88 G-5850.88_err cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-45.000 -17.622 -0.130 -17.363 -0.160 -17.132 -0.178 -17.067 -0.161 -17.042 -0.201 24.395 9.436 0.253 0.084 43.208 43.155
-44.600 -17.671 -0.125 -17.417 -0.158 -17.192 -0.175 -17.129 -0.155 -17.102 -0.195 26.804 10.005 0.240 0.074 43.326 43.271
-44.200 -17.721 -0.120 -17.471 -0.157 -17.253 -0.173 -17.192 -0.150 -17.163 -0.190 28.804 10.366 0.233 0.067 43.424 43.361
-43.800 -17.770 -0.118 -17.525 -0.156 -17.315 -0.171 -17.256 -0.145 -17.225 -0.186 30.378 10.569 0.229 0.062 43.503 43.432
-43.400 -17.819 -0.116 -17.580 -0.156 -17.378 -0.169 -17.320 -0.141 -17.287 -0.182 31.155 10.438 0.231 0.060 43.553 43.468
-43.000 -17.868 -0.116 -17.635 -0.157 -17.441 -0.169 -17.385 -0.137 -17.350 -0.178 31.530 10.245 0.235 0.059 43.588 43.492
-42.600 -17.917 -0.118 -17.690 -0.159 -17.504 -0.168 -17.451 -0.133 -17.413 -0.175 29.674 8.666 0.253 0.058 43.547 43.398
-42.200 -17.965 -0.120 -17.745 -0.161 -17.567 -0.168 -17.517 -0.130 -17.476 -0.172 29.015 8.068 0.264 0.058 43.547 43.374
-41.800 -18.013 -0.123 -17.801 -0.164 -17.631 -0.169 -17.583 -0.127 -17.540 -0.169 28.013 7.371 0.279 0.059 43.534 43.333
-41.400 -18.061 -0.127 -17.856 -0.167 -17.696 -0.169 -17.649 -0.124 -17.604 -0.167 26.763 6.597 0.298 0.060 43.511 43.277
-41.000 -18.109 -0.131 -17.912 -0.170 -17.760 -0.170 -17.716 -0.121 -17.668 -0.164 25.340 5.765 0.320 0.061 43.479 43.203
-40.600 -18.157 -0.135 -17.967 -0.174 -17.824 -0.171 -17.783 -0.117 -17.732 -0.162 20.500 3.134 0.397 0.056 43.297 42.815
-40.200 -18.204 -0.140 -18.023 -0.177 -17.889 -0.172 -17.850 -0.114 -17.795 -0.160 19.386 2.653 0.430 0.056 43.270 42.729
-39.800 -18.251 -0.145 -18.078 -0.181 -17.953 -0.173 -17.916 -0.111 -17.859 -0.158 18.406 2.266 0.465 0.056 43.248 42.650
-39.400 -18.298 -0.149 -18.133 -0.185 -18.017 -0.174 -17.982 -0.107 -17.922 -0.156 17.541 1.954 0.502 0.056 43.230 42.579
-39.000 -18.345 -0.154 -18.188 -0.188 -18.081 -0.175 -18.049 -0.104 -17.986 -0.154 16.773 1.703 0.540 0.056 43.216 42.514
-38.600 -18.391 -0.159 -18.243 -0.192 -18.144 -0.176 -18.114 -0.100 -18.048 -0.152 16.090 1.501 0.579 0.057 43.205 42.457
-38.200 -18.438 -0.164 -18.297 -0.195 -18.208 -0.177 -18.179 -0.096 -18.110 -0.150 15.481 1.342 0.621 0.058 43.198 42.408
-37.800 -18.483 -0.169 -18.351 -0.199 -18.271 -0.179 -18.244 -0.092 -18.172 -0.147 14.936 1.219 0.664 0.059 43.193 42.368
-37.400 -18.529 -0.173 -18.405 -0.202 -18.333 -0.180 -18.308 -0.088 -18.233 -0.145 14.448 1.126 0.708 0.061 43.192 42.336
-37.000 -18.574 -0.178 -18.459 -0.206 -18.394 -0.181 -18.371 -0.084 -18.293 -0.143 14.012 1.058 0.753 0.064 43.192 42.314
-36.600 -18.619 -0.182 -18.512 -0.209 -18.456 -0.182 -18.434 -0.080 -18.352 -0.141 13.621 1.013 0.799 0.068 43.195 42.301
-36.200 -18.664 -0.187 -18.564 -0.212 -18.516 -0.183 -18.495 -0.076 -18.411 -0.140 13.274 0.984 0.846 0.073 43.200 42.296
-35.800 -18.708 -0.191 -18.616 -0.214 -18.575 -0.183 -18.555 -0.073 -18.468 -0.138 12.967 0.970 0.893 0.079 43.206 42.299
-35.400 -18.752 -0.195 -18.668 -0.217 -18.634 -0.184 -18.614 -0.071 -18.525 -0.136 12.699 0.965 0.940 0.085 43.214 42.306
-35.000 -18.796 -0.200 -18.719 -0.220 -18.692 -0.185 -18.672 -0.069 -18.580 -0.135 12.469 0.967 0.986 0.092 43.224 42.318
-34.600 -18.839 -0.204 -18.769 -0.222 -18.749 -0.186 -18.729 -0.069 -18.634 -0.134 12.276 0.973 1.031 0.100 43.235 42.332
-34.200 -18.882 -0.208 -18.819 -0.224 -18.805 -0.186 -18.784 -0.070 -18.687 -0.133 12.118 0.981 1.073 0.107 43.248 42.347
-33.800 -18.924 -0.213 -18.868 -0.226 -18.860 -0.187 -18.837 -0.071 -18.739 -0.132 11.991 0.989 1.113 0.114 43.261 42.364
-33.400 -18.966 -0.217 -18.916 -0.228 -18.914 -0.187 -18.889 -0.074 -18.789 -0.131 11.889 0.998 1.151 0.121 43.276 42.381
-33.000 -19.008 -0.221 -18.964 -0.230 -18.967 -0.188 -18.940 -0.077 -18.839 -0.131 11.811 1.007 1.187 0.127 43.291 42.400
-32.600 -19.048 -0.225 -19.011 -0.232 -19.019 -0.188 -18.989 -0.081 -18.886 -0.131 11.751 1.018 1.221 0.134 43.307 42.419
-32.200 -19.089 -0.229 -19.058 -0.233 -19.070 -0.188 -19.037 -0.085 -18.933 -0.130 11.708 1.031 1.253 0.140 43.323 42.440
-31.800 -19.129 -0.232 -19.103 -0.234 -19.119 -0.188 -19.084 -0.089 -18.978 -0.130 11.680 1.046 1.283 0.146 43.339 42.462
-31.400 -19.168 -0.236 -19.148 -0.235 -19.168 -0.188 -19.129 -0.093 -19.022 -0.130 11.664 1.064 1.311 0.152 43.355 42.485
-31.000 -19.207 -0.239 -19.192 -0.236 -19.215 -0.188 -19.172 -0.097 -19.065 -0.130 11.660 1.085 1.337 0.159 43.372 42.510
-30.600 -19.245 -0.242 -19.235 -0.236 -19.261 -0.187 -19.215 -0.101 -19.106 -0.131 11.667 1.110 1.362 0.165 43.389 42.536
-30.200 -19.283 -0.245 -19.277 -0.237 -19.306 -0.186 -19.256 -0.104 -19.146 -0.131 11.684 1.138 1.385 0.172 43.406 42.564
-29.800 -19.320 -0.247 -19.319 -0.237 -19.349 -0.185 -19.295 -0.107 -19.185 -0.131 11.710 1.170 1.406 0.179 43.423 42.593
-29.400 -19.356 -0.249 -19.360 -0.237 -19.392 -0.184 -19.334 -0.111 -19.222 -0.131 11.747 1.206 1.425 0.186 43.440 42.623
-29.000 -19.392 -0.251 -19.399 -0.236 -19.433 -0.183 -19.371 -0.113 -19.258 -0.131 11.792 1.247 1.442 0.193 43.457 42.654
-28.600 -19.427 -0.253 -19.438 -0.236 -19.473 -0.181 -19.406 -0.116 -19.292 -0.131 11.847 1.292 1.458 0.201 43.475 42.687
-28.200 -19.461 -0.255 -19.476 -0.235 -19.512 -0.179 -19.441 -0.118 -19.326 -0.131 11.910 1.341 1.471 0.209 43.492 42.721
-27.800 -19.494 -0.256 -19.513 -0.234 -19.549 -0.176 -19.474 -0.120 -19.358 -0.131 11.982 1.395 1.483 0.217 43.509 42.756
