"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4735.89 g-4735.89_err g-4746.48 g-4746.48_err i-7645.77 i-7645.77_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6198.96 r-6198.96_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-31.000 -21.086 -0.086 -21.085 -0.085 -21.046 -0.073 -20.931 -0.066 -20.909 -0.066 -20.874 -0.068 -20.729 -0.089 -20.703 -0.097 16.658 0.036 1.861 0.005 44.279 41.839
-30.600 -21.114 -0.083 -21.113 -0.082 -21.075 -0.071 -20.961 -0.065 -20.939 -0.065 -20.903 -0.066 -20.757 -0.087 -20.731 -0.096 16.645 0.030 1.887 0.004 44.290 41.776
-30.200 -21.143 -0.080 -21.142 -0.080 -21.104 -0.069 -20.991 -0.063 -20.969 -0.063 -20.933 -0.064 -20.786 -0.086 -20.759 -0.094 16.629 0.030 1.915 0.004 44.301 41.788
-29.800 -21.171 -0.078 -21.170 -0.077 -21.133 -0.067 -21.020 -0.062 -20.998 -0.062 -20.963 -0.064 -20.815 -0.085 -20.788 -0.093 16.611 0.036 1.943 0.005 44.312 41.871
-29.400 -21.199 -0.076 -21.198 -0.075 -21.162 -0.065 -21.050 -0.061 -21.028 -0.062 -20.992 -0.063 -20.843 -0.084 -20.816 -0.092 16.591 0.044 1.972 0.006 44.322 41.977
-29.000 -21.227 -0.074 -21.226 -0.074 -21.191 -0.064 -21.080 -0.061 -21.058 -0.061 -21.022 -0.063 -20.872 -0.084 -20.845 -0.092 16.569 0.055 2.002 0.008 44.333 42.077
-28.600 -21.255 -0.072 -21.254 -0.072 -21.220 -0.063 -21.110 -0.061 -21.088 -0.061 -21.052 -0.063 -20.901 -0.084 -20.873 -0.092 16.544 0.066 2.033 0.010 44.344 42.165
-28.200 -21.283 -0.071 -21.282 -0.071 -21.249 -0.062 -21.140 -0.061 -21.118 -0.061 -21.082 -0.063 -20.930 -0.084 -20.902 -0.092 16.518 0.076 2.064 0.011 44.354 42.241
-27.800 -21.311 -0.070 -21.310 -0.069 -21.277 -0.061 -21.169 -0.061 -21.148 -0.062 -21.111 -0.063 -20.958 -0.085 -20.930 -0.092 16.489 0.087 2.096 0.013 44.364 42.306
-27.400 -21.339 -0.069 -21.338 -0.068 -21.306 -0.061 -21.199 -0.061 -21.177 -0.062 -21.141 -0.064 -20.987 -0.085 -20.959 -0.093 16.459 0.097 2.128 0.015 44.375 42.364
-27.000 -21.366 -0.068 -21.366 -0.067 -21.334 -0.060 -21.228 -0.062 -21.207 -0.063 -21.171 -0.065 -21.016 -0.086 -20.987 -0.094 16.427 0.107 2.162 0.017 44.385 42.415
-26.600 -21.394 -0.066 -21.393 -0.066 -21.362 -0.060 -21.257 -0.062 -21.236 -0.063 -21.200 -0.065 -21.044 -0.087 -21.015 -0.094 16.394 0.117 2.195 0.019 44.395 42.459
-26.200 -21.421 -0.065 -21.420 -0.065 -21.390 -0.059 -21.286 -0.063 -21.265 -0.064 -21.229 -0.066 -21.072 -0.088 -21.043 -0.095 16.359 0.125 2.230 0.021 44.404 42.498
-25.800 -21.448 -0.064 -21.447 -0.064 -21.418 -0.059 -21.315 -0.064 -21.294 -0.065 -21.258 -0.067 -21.101 -0.089 -21.071 -0.096 16.323 0.133 2.265 0.022 44.414 42.533
-25.400 -21.474 -0.063 -21.474 -0.063 -21.445 -0.058 -21.344 -0.064 -21.322 -0.065 -21.286 -0.068 -21.128 -0.090 -21.099 -0.097 16.285 0.140 2.300 0.024 44.424 42.563
-25.000 -21.500 -0.062 -21.500 -0.062 -21.473 -0.058 -21.372 -0.065 -21.351 -0.066 -21.315 -0.068 -21.156 -0.091 -21.126 -0.098 16.245 0.147 2.336 0.026 44.433 42.590
-24.600 -21.526 -0.061 -21.526 -0.061 -21.499 -0.057 -21.400 -0.065 -21.379 -0.066 -21.343 -0.069 -21.184 -0.092 -21.153 -0.099 16.205 0.152 2.373 0.027 44.442 42.613
-24.200 -21.552 -0.060 -21.551 -0.059 -21.526 -0.057 -21.427 -0.065 -21.406 -0.067 -21.370 -0.070 -21.211 -0.093 -21.180 -0.100 16.163 0.157 2.410 0.029 44.451 42.633
-23.800 -21.577 -0.058 -21.577 -0.058 -21.552 -0.056 -21.454 -0.066 -21.433 -0.067 -21.398 -0.070 -21.238 -0.094 -21.207 -0.101 16.120 0.161 2.447 0.030 44.460 42.650
-23.400 -21.602 -0.057 -21.601 -0.057 -21.578 -0.055 -21.481 -0.066 -21.460 -0.068 -21.424 -0.071 -21.264 -0.095 -21.234 -0.102 16.075 0.164 2.485 0.032 44.468 42.665
