"Time (MJD)" g-4769.9 g-4769.9_err i-7774.3 i-7774.3_err r-6370.44 r-6370.44_err z-9154.88 z-9154.88_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-19.000 -19.634 -0.090 -19.381 -0.117 -19.219 -0.104 -19.066 -0.149 23.317 1.358 0.576 0.038 43.844 42.868
-18.600 -19.739 -0.079 -19.486 -0.112 -19.322 -0.097 -19.165 -0.141 23.462 1.259 0.600 0.036 43.891 42.876
-18.200 -19.845 -0.073 -19.592 -0.110 -19.425 -0.094 -19.265 -0.135 23.587 1.180 0.626 0.036 43.937 42.890
-17.800 -19.951 -0.071 -19.698 -0.110 -19.527 -0.094 -19.365 -0.131 23.684 1.127 0.654 0.035 43.982 42.914
-17.400 -20.057 -0.074 -19.805 -0.112 -19.629 -0.096 -19.465 -0.130 23.756 1.095 0.684 0.036 44.026 42.948
-17.000 -20.162 -0.080 -19.910 -0.115 -19.731 -0.100 -19.565 -0.130 23.814 1.076 0.716 0.036 44.070 42.987
-16.600 -20.266 -0.087 -20.015 -0.118 -19.831 -0.105 -19.664 -0.132 23.867 1.062 0.748 0.037 44.112 43.027
-16.200 -20.368 -0.093 -20.119 -0.121 -19.930 -0.109 -19.763 -0.134 23.917 1.050 0.782 0.038 44.154 43.067
-15.800 -20.469 -0.100 -20.221 -0.124 -20.028 -0.114 -19.861 -0.136 23.964 1.040 0.817 0.039 44.196 43.107
-15.400 -20.568 -0.105 -20.321 -0.127 -20.124 -0.117 -19.957 -0.137 24.004 1.036 0.854 0.040 44.236 43.147
-15.000 -20.665 -0.109 -20.419 -0.128 -20.218 -0.120 -20.053 -0.139 24.033 1.038 0.891 0.042 44.276 43.189
-14.600 -20.759 -0.112 -20.514 -0.129 -20.311 -0.122 -20.146 -0.139 24.046 1.050 0.930 0.044 44.314 43.233
