"Time (MJD)" g-4769.9 g-4769.9_err i-7774.3 i-7774.3_err r-6370.44 r-6370.44_err z-9154.88 z-9154.88_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-17.000 -19.003 -0.141 -19.178 -0.092 -19.241 -0.088 -19.242 -0.114 11.711 0.526 1.347 0.097 43.386 42.039
-16.600 -19.031 -0.136 -19.208 -0.090 -19.271 -0.085 -19.270 -0.109 11.703 0.512 1.366 0.096 43.397 42.039
-16.200 -19.058 -0.133 -19.238 -0.088 -19.300 -0.083 -19.298 -0.106 11.698 0.497 1.386 0.095 43.409 42.039
-15.800 -19.085 -0.129 -19.268 -0.087 -19.330 -0.082 -19.326 -0.103 11.695 0.482 1.406 0.093 43.420 42.038
-15.400 -19.112 -0.127 -19.299 -0.086 -19.359 -0.082 -19.354 -0.101 11.692 0.467 1.425 0.092 43.432 42.037
-15.000 -19.140 -0.125 -19.329 -0.087 -19.388 -0.083 -19.382 -0.099 11.691 0.451 1.445 0.090 43.444 42.035
-14.600 -19.167 -0.123 -19.358 -0.087 -19.417 -0.084 -19.410 -0.098 11.689 0.435 1.465 0.088 43.456 42.032
-14.200 -19.193 -0.122 -19.388 -0.088 -19.446 -0.085 -19.438 -0.097 11.687 0.419 1.486 0.086 43.467 42.028
-13.800 -19.220 -0.121 -19.418 -0.090 -19.475 -0.086 -19.466 -0.097 11.684 0.403 1.506 0.084 43.479 42.024
-13.400 -19.246 -0.121 -19.447 -0.091 -19.504 -0.088 -19.494 -0.096 11.680 0.387 1.527 0.082 43.490 42.019
-13.000 -19.272 -0.120 -19.476 -0.093 -19.532 -0.090 -19.522 -0.097 11.675 0.372 1.549 0.080 43.502 42.014
-12.600 -19.298 -0.120 -19.505 -0.094 -19.560 -0.091 -19.549 -0.097 11.668 0.358 1.570 0.078 43.513 42.008
-12.200 -19.323 -0.120 -19.533 -0.096 -19.588 -0.093 -19.576 -0.097 11.659 0.344 1.593 0.077 43.524 42.002
-11.800 -19.348 -0.120 -19.561 -0.097 -19.616 -0.094 -19.604 -0.098 11.648 0.331 1.615 0.075 43.534 41.996
-11.400 -19.372 -0.121 -19.589 -0.099 -19.643 -0.095 -19.630 -0.098 11.636 0.319 1.638 0.073 43.545 41.991
-11.000 -19.396 -0.121 -19.616 -0.100 -19.670 -0.096 -19.657 -0.098 11.621 0.307 1.662 0.072 43.555 41.985
-10.600 -19.419 -0.121 -19.643 -0.101 -19.697 -0.097 -19.683 -0.098 11.605 0.296 1.686 0.071 43.565 41.979
-10.200 -19.441 -0.120 -19.669 -0.101 -19.723 -0.098 -19.709 -0.098 11.587 0.285 1.710 0.069 43.575 41.973
-9.800 -19.464 -0.120 -19.695 -0.102 -19.749 -0.098 -19.735 -0.098 11.566 0.276 1.735 0.068 43.584 41.967
-9.400 -19.485 -0.120 -19.720 -0.102 -19.774 -0.098 -19.761 -0.098 11.544 0.267 1.761 0.067 43.594 41.962
-9.000 -19.506 -0.119 -19.745 -0.102 -19.799 -0.098 -19.786 -0.097 11.520 0.258 1.787 0.066 43.603 41.957
-8.600 -19.526 -0.118 -19.769 -0.101 -19.824 -0.098 -19.811 -0.097 11.494 0.251 1.813 0.066 43.611 41.953
-8.200 -19.545 -0.117 -19.792 -0.101 -19.848 -0.097 -19.835 -0.096 11.465 0.244 1.840 0.065 43.620 41.949
-7.800 -19.563 -0.116 -19.815 -0.100 -19.872 -0.096 -19.859 -0.095 11.435 0.238 1.867 0.065 43.628 41.946
-7.400 -19.581 -0.114 -19.836 -0.098 -19.895 -0.095 -19.883 -0.093 11.403 0.232 1.895 0.064 43.636 41.943
-7.000 -19.598 -0.113 -19.858 -0.097 -19.917 -0.094 -19.906 -0.092 11.368 0.228 1.923 0.064 43.644 41.941
-6.600 -19.614 -0.111 -19.878 -0.095 -19.939 -0.092 -19.929 -0.090 11.331 0.224 1.952 0.065 43.651 41.940
