"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err g-4793.46 g-4793.46_err i-7589.41 i-7589.41_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6120.65 r-6120.65_err r-6366.38 r-6366.38_err z-8970.57 z-8970.57_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-57.000 -19.671 -0.166 -19.674 -0.162 -19.690 -0.138 -19.679 -0.110 -19.664 -0.108 -19.641 -0.109 -19.516 -0.126 -19.478 -0.134 -19.295 -0.204 14.735 0.634 1.196 0.063 43.682 42.519
-56.600 -19.697 -0.163 -19.700 -0.160 -19.718 -0.135 -19.711 -0.108 -19.695 -0.106 -19.673 -0.107 -19.548 -0.124 -19.510 -0.132 -19.324 -0.203 13.482 0.334 1.358 0.044 43.638 42.198
-56.200 -19.724 -0.161 -19.727 -0.158 -19.746 -0.133 -19.742 -0.106 -19.727 -0.104 -19.705 -0.105 -19.579 -0.123 -19.541 -0.131 -19.353 -0.202 13.422 0.350 1.386 0.047 43.647 42.226
-55.800 -19.750 -0.159 -19.753 -0.156 -19.774 -0.132 -19.774 -0.104 -19.760 -0.103 -19.738 -0.104 -19.611 -0.122 -19.573 -0.130 -19.382 -0.201 13.360 0.365 1.414 0.051 43.657 42.254
-55.400 -19.776 -0.158 -19.780 -0.154 -19.802 -0.130 -19.806 -0.103 -19.792 -0.102 -19.771 -0.103 -19.644 -0.121 -19.604 -0.130 -19.411 -0.200 13.296 0.380 1.443 0.054 43.666 42.280
-55.000 -19.802 -0.157 -19.806 -0.153 -19.830 -0.129 -19.837 -0.102 -19.825 -0.101 -19.803 -0.102 -19.676 -0.121 -19.636 -0.129 -19.440 -0.199 13.231 0.395 1.473 0.058 43.676 42.305
-54.600 -19.828 -0.155 -19.832 -0.152 -19.859 -0.128 -19.869 -0.101 -19.857 -0.100 -19.836 -0.101 -19.708 -0.121 -19.668 -0.129 -19.469 -0.199 13.164 0.409 1.504 0.062 43.685 42.329
-54.200 -19.854 -0.154 -19.859 -0.151 -19.887 -0.127 -19.901 -0.101 -19.890 -0.100 -19.869 -0.101 -19.741 -0.121 -19.700 -0.129 -19.498 -0.199 13.097 0.423 1.536 0.066 43.694 42.351
-53.800 -19.880 -0.154 -19.885 -0.150 -19.915 -0.127 -19.933 -0.101 -19.922 -0.100 -19.902 -0.101 -19.773 -0.121 -19.732 -0.130 -19.528 -0.199 13.028 0.436 1.569 0.070 43.704 42.373
-53.400 -19.906 -0.153 -19.911 -0.150 -19.943 -0.127 -19.965 -0.101 -19.955 -0.100 -19.935 -0.101 -19.806 -0.122 -19.765 -0.130 -19.557 -0.199 12.958 0.449 1.603 0.075 43.713 42.393
-53.000 -19.932 -0.153 -19.937 -0.149 -19.971 -0.126 -19.997 -0.101 -19.987 -0.100 -19.968 -0.102 -19.839 -0.123 -19.797 -0.131 -19.587 -0.200 12.888 0.461 1.637 0.079 43.722 42.412
-52.600 -19.958 -0.152 -19.963 -0.149 -19.999 -0.126 -20.029 -0.101 -20.020 -0.100 -20.001 -0.102 -19.871 -0.124 -19.829 -0.132 -19.617 -0.200 12.818 0.472 1.673 0.084 43.731 42.431
-52.200 -19.984 -0.152 -19.989 -0.149 -20.026 -0.127 -20.061 -0.102 -20.052 -0.101 -20.034 -0.103 -19.904 -0.125 -19.861 -0.133 -19.646 -0.201 12.747 0.483 1.709 0.089 43.740 42.448
-51.800 -20.009 -0.152 -20.015 -0.149 -20.054 -0.127 -20.093 -0.102 -20.085 -0.101 -20.067 -0.103 -19.937 -0.126 -19.894 -0.134 -19.676 -0.202 12.675 0.493 1.747 0.093 43.749 42.465
-51.400 -20.034 -0.152 -20.040 -0.149 -20.081 -0.127 -20.124 -0.103 -20.117 -0.102 -20.100 -0.104 -19.969 -0.127 -19.926 -0.136 -19.706 -0.203 12.604 0.503 1.785 0.098 43.758 42.481
-51.000 -20.060 -0.152 -20.066 -0.149 -20.109 -0.127 -20.156 -0.104 -20.149 -0.103 -20.133 -0.105 -20.002 -0.128 -19.958 -0.137 -19.735 -0.204 12.532 0.512 1.824 0.103 43.767 42.495
-50.600 -20.085 -0.152 -20.091 -0.149 -20.136 -0.128 -20.187 -0.104 -20.181 -0.104 -20.165 -0.106 -20.034 -0.130 -19.990 -0.139 -19.765 -0.205 12.461 0.520 1.864 0.109 43.776 42.510
-50.200 -20.110 -0.152 -20.116 -0.149 -20.163 -0.128 -20.218 -0.105 -20.213 -0.105 -20.197 -0.107 -20.067 -0.131 -20.022 -0.140 -19.795 -0.207 12.389 0.527 1.905 0.114 43.785 42.523
-49.800 -20.134 -0.152 -20.141 -0.149 -20.190 -0.129 -20.249 -0.106 -20.245 -0.106 -20.230 -0.108 -20.099 -0.133 -20.054 -0.142 -19.824 -0.208 12.318 0.534 1.947 0.119 43.794 42.536
-49.400 -20.159 -0.153 -20.166 -0.150 -20.216 -0.130 -20.280 -0.107 -20.276 -0.106 -20.262 -0.109 -20.131 -0.134 -20.086 -0.143 -19.854 -0.209 12.247 0.541 1.990 0.125 43.803 42.548
-49.000 -20.183 -0.153 -20.190 -0.150 -20.243 -0.130 -20.310 -0.108 -20.308 -0.107 -20.293 -0.110 -20.163 -0.135 -20.118 -0.145 -19.883 -0.211 12.177 0.546 2.033 0.130 43.811 42.559
-48.600 -20.207 -0.153 -20.215 -0.150 -20.269 -0.131 -20.341 -0.109 -20.339 -0.108 -20.325 -0.111 -20.195 -0.137 -20.149 -0.146 -19.912 -0.212 12.107 0.551 2.077 0.136 43.820 42.570
-48.200 -20.231 -0.154 -20.239 -0.151 -20.295 -0.131 -20.371 -0.109 -20.369 -0.109 -20.356 -0.112 -20.226 -0.138 -20.181 -0.148 -19.942 -0.213 12.037 0.555 2.122 0.141 43.829 42.579
-47.800 -20.255 -0.154 -20.263 -0.151 -20.321 -0.132 -20.400 -0.110 -20.400 -0.110 -20.387 -0.113 -20.258 -0.140 -20.212 -0.149 -19.971 -0.215 11.968 0.559 2.168 0.147 43.837 42.589
-47.400 -20.279 -0.154 -20.286 -0.151 -20.346 -0.132 -20.430 -0.111 -20.430 -0.111 -20.418 -0.114 -20.289 -0.141 -20.243 -0.151 -20.000 -0.216 11.899 0.562 2.215 0.152 43.846 42.597
