"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-40.000 -20.260 -0.094 -20.216 -0.083 -20.099 -0.101 -20.074 -0.112 16.246 0.324 1.311 0.033 43.931 42.407
-39.600 -20.321 -0.090 -20.277 -0.079 -20.160 -0.097 -20.134 -0.108 16.260 0.320 1.347 0.034 43.956 42.425
-39.200 -20.382 -0.087 -20.339 -0.077 -20.221 -0.095 -20.195 -0.105 16.268 0.314 1.385 0.034 43.981 42.442
-38.800 -20.443 -0.085 -20.400 -0.075 -20.282 -0.093 -20.256 -0.104 16.270 0.306 1.424 0.034 44.006 42.456
-38.400 -20.505 -0.085 -20.462 -0.075 -20.344 -0.092 -20.318 -0.102 16.265 0.298 1.466 0.034 44.030 42.468
-38.000 -20.566 -0.085 -20.524 -0.075 -20.406 -0.091 -20.380 -0.102 16.256 0.289 1.509 0.034 44.054 42.480
-37.600 -20.628 -0.085 -20.586 -0.076 -20.468 -0.091 -20.442 -0.102 16.243 0.279 1.554 0.034 44.079 42.490
-37.200 -20.689 -0.086 -20.648 -0.077 -20.530 -0.092 -20.503 -0.102 16.227 0.271 1.601 0.034 44.103 42.501
-36.800 -20.750 -0.088 -20.709 -0.078 -20.592 -0.092 -20.565 -0.102 16.209 0.262 1.649 0.034 44.127 42.512
-36.400 -20.810 -0.089 -20.770 -0.080 -20.653 -0.093 -20.626 -0.102 16.189 0.254 1.699 0.034 44.150 42.522
-36.000 -20.870 -0.090 -20.831 -0.081 -20.714 -0.094 -20.687 -0.103 16.167 0.247 1.750 0.034 44.174 42.533
-35.600 -20.930 -0.092 -20.891 -0.083 -20.775 -0.095 -20.747 -0.103 16.144 0.239 1.803 0.034 44.197 42.544
-35.200 -20.989 -0.093 -20.950 -0.084 -20.835 -0.095 -20.807 -0.104 16.120 0.233 1.856 0.034 44.219 42.555
-34.800 -21.047 -0.094 -21.009 -0.085 -20.894 -0.096 -20.866 -0.104 16.097 0.227 1.910 0.034 44.242 42.567
-34.400 -21.104 -0.094 -21.067 -0.086 -20.952 -0.096 -20.925 -0.104 16.074 0.221 1.966 0.034 44.264 42.578
-34.000 -21.161 -0.095 -21.124 -0.086 -21.010 -0.096 -20.982 -0.105 16.051 0.216 2.022 0.034 44.286 42.590
-33.600 -21.216 -0.095 -21.180 -0.087 -21.066 -0.096 -21.039 -0.105 16.028 0.211 2.079 0.035 44.308 42.602
-33.200 -21.271 -0.096 -21.235 -0.087 -21.122 -0.096 -21.094 -0.104 16.004 0.207 2.136 0.035 44.329 42.615
-32.800 -21.325 -0.096 -21.289 -0.087 -21.177 -0.096 -21.149 -0.104 15.980 0.203 2.194 0.035 44.350 42.627
