"Time (MJD)" g-4671.78 g-4671.78_err i-7457.89 i-7457.89_err r-6141.12 r-6141.12_err z-8922.78 z-8922.78_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-18.000 -20.834 -0.248 -20.627 -0.159 -20.279 -0.195 -19.946 -0.271 23.267 4.264 1.172 0.188 44.458 44.077
-17.600 -20.856 -0.244 -20.650 -0.154 -20.301 -0.191 -19.968 -0.266 23.278 4.376 1.184 0.195 44.468 44.098
-17.200 -20.877 -0.239 -20.674 -0.149 -20.323 -0.188 -19.989 -0.263 23.282 4.484 1.197 0.201 44.477 44.118
-16.800 -20.899 -0.236 -20.698 -0.145 -20.346 -0.186 -20.010 -0.259 23.281 4.588 1.210 0.208 44.486 44.137
-16.400 -20.920 -0.232 -20.722 -0.141 -20.368 -0.183 -20.032 -0.256 23.273 4.687 1.223 0.215 44.495 44.155
-16.000 -20.941 -0.228 -20.745 -0.138 -20.391 -0.181 -20.053 -0.252 23.259 4.780 1.237 0.222 44.504 44.172
-15.600 -20.962 -0.225 -20.768 -0.135 -20.413 -0.179 -20.074 -0.249 23.237 4.865 1.251 0.229 44.512 44.188
-15.200 -20.983 -0.222 -20.792 -0.132 -20.435 -0.177 -20.096 -0.247 23.207 4.941 1.265 0.236 44.520 44.203
-14.800 -21.004 -0.219 -20.815 -0.130 -20.457 -0.176 -20.117 -0.244 23.170 5.006 1.280 0.243 44.527 44.216
-14.400 -21.024 -0.216 -20.837 -0.128 -20.479 -0.175 -20.138 -0.241 23.125 5.061 1.296 0.249 44.534 44.228
-14.000 -21.044 -0.214 -20.860 -0.126 -20.500 -0.173 -20.160 -0.239 23.071 5.104 1.311 0.255 44.541 44.239
-13.600 -21.064 -0.211 -20.882 -0.125 -20.522 -0.172 -20.181 -0.237 23.010 5.135 1.328 0.261 44.547 44.248
-13.200 -21.084 -0.209 -20.904 -0.124 -20.543 -0.171 -20.202 -0.234 22.941 5.155 1.344 0.267 44.552 44.256
-12.800 -21.103 -0.206 -20.926 -0.123 -20.564 -0.171 -20.223 -0.232 22.864 5.164 1.361 0.272 44.557 44.263
-12.400 -21.122 -0.204 -20.948 -0.122 -20.585 -0.170 -20.244 -0.230 22.780 5.162 1.378 0.277 44.562 44.268
-12.000 -21.141 -0.202 -20.969 -0.122 -20.606 -0.169 -20.265 -0.228 22.689 5.151 1.396 0.282 44.566 44.272
-11.600 -21.159 -0.200 -20.990 -0.122 -20.626 -0.168 -20.285 -0.226 22.592 5.129 1.414 0.286 44.570 44.275
-11.200 -21.177 -0.198 -21.010 -0.121 -20.646 -0.168 -20.306 -0.224 22.488 5.100 1.433 0.290 44.573 44.277
-10.800 -21.195 -0.195 -21.030 -0.121 -20.666 -0.167 -20.326 -0.222 22.378 5.061 1.452 0.294 44.576 44.278
-10.400 -21.212 -0.193 -21.050 -0.121 -20.685 -0.166 -20.346 -0.220 22.262 5.015 1.471 0.298 44.578 44.278
-10.000 -21.229 -0.191 -21.069 -0.121 -20.704 -0.165 -20.366 -0.218 22.140 4.962 1.491 0.301 44.580 44.277
-9.600 -21.245 -0.189 -21.088 -0.120 -20.723 -0.164 -20.386 -0.215 22.012 4.901 1.511 0.304 44.582 44.274
-9.200 -21.261 -0.187 -21.107 -0.120 -20.741 -0.164 -20.406 -0.213 21.879 4.834 1.532 0.307 44.583 44.271
-8.800 -21.276 -0.184 -21.124 -0.120 -20.759 -0.163 -20.425 -0.211 21.740 4.760 1.553 0.310 44.584 44.267
-8.400 -21.291 -0.182 -21.142 -0.119 -20.777 -0.161 -20.445 -0.209 21.596 4.681 1.574 0.312 44.584 44.261
-8.000 -21.305 -0.179 -21.159 -0.119 -20.794 -0.160 -20.464 -0.206 21.446 4.595 1.596 0.314 44.584 44.255
-7.600 -21.319 -0.177 -21.175 -0.118 -20.811 -0.159 -20.482 -0.203 21.291 4.504 1.618 0.315 44.584 44.247
-7.200 -21.332 -0.174 -21.190 -0.118 -20.827 -0.158 -20.501 -0.201 21.131 4.407 1.641 0.317 44.583 44.239
-6.800 -21.345 -0.171 -21.206 -0.117 -20.843 -0.156 -20.519 -0.198 20.966 4.305 1.664 0.318 44.581 44.229
-6.400 -21.357 -0.169 -21.220 -0.116 -20.858 -0.155 -20.537 -0.195 20.797 4.198 1.688 0.318 44.579 44.218
-6.000 -21.369 -0.166 -21.234 -0.115 -20.873 -0.153 -20.554 -0.192 20.622 4.085 1.712 0.318 44.577 44.206
-5.600 -21.379 -0.163 -21.247 -0.114 -20.887 -0.151 -20.572 -0.189 20.443 3.968 1.736 0.318 44.574 44.192
-5.200 -21.390 -0.159 -21.259 -0.113 -20.901 -0.149 -20.589 -0.186 20.259 3.845 1.761 0.317 44.571 44.177
-4.800 -21.399 -0.156 -21.271 -0.111 -20.914 -0.147 -20.605 -0.182 20.070 3.718 1.787 0.316 44.567 44.161
-4.400 -21.408 -0.152 -21.282 -0.110 -20.926 -0.145 -20.622 -0.179 19.878 3.586 1.813 0.314 44.563 44.143
-4.000 -21.416 -0.149 -21.292 -0.109 -20.938 -0.142 -20.638 -0.175 19.682 3.450 1.839 0.311 44.558 44.123
-3.600 -21.424 -0.145 -21.302 -0.107 -20.950 -0.140 -20.653 -0.171 19.481 3.309 1.866 0.308 44.553 44.102
-3.200 -21.431 -0.141 -21.310 -0.106 -20.961 -0.137 -20.669 -0.168 19.278 3.166 1.893 0.304 44.547 44.080
-2.800 -21.437 -0.137 -21.318 -0.104 -20.971 -0.134 -20.684 -0.164 19.071 3.021 1.921 0.300 44.541 44.055
-2.400 -21.442 -0.133 -21.325 -0.103 -20.981 -0.132 -20.698 -0.159 18.862 2.874 1.949 0.295 44.535 44.029
-2.000 -21.447 -0.129 -21.332 -0.101 -20.990 -0.129 -20.712 -0.155 18.649 2.726 1.977 0.289 44.528 44.001
-1.600 -21.450 -0.124 -21.337 -0.099 -20.999 -0.125 -20.726 -0.151 18.435 2.577 2.007 0.283 44.520 43.971
-1.200 -21.453 -0.120 -21.342 -0.097 -21.007 -0.122 -20.739 -0.146 18.218 2.429 2.036 0.276 44.512 43.940
-0.800 -21.456 -0.115 -21.346 -0.096 -21.015 -0.119 -20.752 -0.142 18.000 2.282 2.066 0.268 44.504 43.906
-0.400 -21.457 -0.110 -21.349 -0.094 -21.022 -0.116 -20.765 -0.137 17.781 2.136 2.096 0.260 44.496 43.870
-0.000 -21.458 -0.105 -21.352 -0.092 -21.028 -0.112 -20.777 -0.132 17.560 1.992 2.127 0.252 44.487 43.833
0.400 -21.458 -0.100 -21.353 -0.090 -21.034 -0.108 -20.789 -0.128 17.338 1.851 2.159 0.243 44.477 43.793
0.800 -21.457 -0.095 -21.354 -0.088 -21.039 -0.105 -20.800 -0.123 17.116 1.712 2.190 0.233 44.467 43.751
1.200 -21.455 -0.090 -21.354 -0.086 -21.044 -0.101 -20.810 -0.118 16.894 1.576 2.222 0.223 44.457 43.706
1.600 -21.452 -0.085 -21.353 -0.084 -21.048 -0.097 -20.821 -0.113 16.673 1.444 2.255 0.212 44.447 43.658
2.000 -21.449 -0.080 -21.351 -0.082 -21.051 -0.094 -20.831 -0.108 16.452 1.317 2.288 0.201 44.436 43.608
2.400 -21.444 -0.074 -21.349 -0.081 -21.054 -0.090 -20.840 -0.103 16.237 1.196 2.320 0.190 44.426 43.556
2.800 -21.439 -0.069 -21.346 -0.079 -21.057 -0.086 -20.849 -0.098 16.024 1.082 2.353 0.179 44.415 43.501
3.200 -21.433 -0.064 -21.342 -0.077 -21.059 -0.082 -20.857 -0.093 15.811 0.975 2.386 0.168 44.404 43.444
3.600 -21.426 -0.058 -21.338 -0.075 -21.060 -0.079 -20.865 -0.089 15.579 0.873 2.423 0.158 44.392 43.382
4.000 -21.418 -0.053 -21.333 -0.073 -21.061 -0.075 -20.872 -0.084 15.366 0.782 2.458 0.148 44.380 43.320
4.400 -21.409 -0.048 -21.327 -0.071 -21.062 -0.072 -20.879 -0.080 15.154 0.700 2.493 0.138 44.368 43.256
4.800 -21.400 -0.044 -21.321 -0.069 -21.062 -0.068 -20.885 -0.076 14.945 0.627 2.529 0.130 44.357 43.192
5.200 -21.389 -0.039 -21.314 -0.067 -21.061 -0.065 -20.891 -0.073 14.739 0.564 2.565 0.123 44.345 43.128
5.600 -21.377 -0.035 -21.307 -0.066 -21.061 -0.063 -20.896 -0.070 14.534 0.511 2.601 0.117 44.333 43.066
6.000 -21.365 -0.032 -21.299 -0.064 -21.059 -0.060 -20.900 -0.067 14.332 0.468 2.638 0.112 44.321 43.008
6.400 -21.351 -0.030 -21.291 -0.062 -21.058 -0.058 -20.904 -0.065 14.133 0.434 2.675 0.109 44.309 42.958
6.800 -21.337 -0.029 -21.282 -0.060 -21.056 -0.056 -20.908 -0.064 13.935 0.410 2.713 0.107 44.296 42.918
7.200 -21.321 -0.029 -21.273 -0.059 -21.054 -0.055 -20.910 -0.064 13.738 0.395 2.752 0.107 44.284 42.889
7.600 -21.305 -0.029 -21.263 -0.057 -21.051 -0.054 -20.913 -0.064 13.544 0.385 2.791 0.108 44.271 42.869
8.000 -21.287 -0.031 -21.254 -0.056 -21.048 -0.053 -20.914 -0.065 13.352 0.378 2.830 0.109 44.259 42.854
8.400 -21.269 -0.033 -21.244 -0.055 -21.045 -0.053 -20.915 -0.066 13.162 0.374 2.870 0.111 44.246 42.842
8.800 -21.251 -0.035 -21.233 -0.054 -21.041 -0.053 -20.916 -0.068 12.976 0.370 2.910 0.114 44.233 42.830
9.200 -21.231 -0.037 -21.223 -0.053 -21.037 -0.053 -20.915 -0.069 12.792 0.367 2.951 0.116 44.220 42.817
9.600 -21.211 -0.039 -21.212 -0.052 -21.033 -0.052 -20.915 -0.072 12.612 0.362 2.991 0.119 44.208 42.802
10.000 -21.190 -0.040 -21.201 -0.051 -21.028 -0.052 -20.913 -0.074 12.435 0.358 3.032 0.121 44.195 42.785
10.400 -21.168 -0.042 -21.189 -0.050 -21.023 -0.052 -20.912 -0.077 12.262 0.352 3.073 0.123 44.182 42.767
10.800 -21.146 -0.043 -21.178 -0.049 -21.017 -0.052 -20.909 -0.079 12.092 0.347 3.114 0.126 44.170 42.747
11.200 -21.124 -0.044 -21.166 -0.048 -21.011 -0.051 -20.906 -0.082 11.926 0.342 3.156 0.128 44.157 42.727
11.600 -21.100 -0.044 -21.154 -0.047 -21.005 -0.051 -20.903 -0.084 11.764 0.337 3.197 0.131 44.145 42.707
12.000 -21.077 -0.045 -21.141 -0.046 -20.998 -0.050 -20.899 -0.087 11.605 0.333 3.239 0.134 44.132 42.686
12.400 -21.053 -0.045 -21.129 -0.045 -20.991 -0.049 -20.894 -0.089 11.450 0.329 3.281 0.138 44.120 42.667
12.800 -21.028 -0.045 -21.116 -0.044 -20.984 -0.048 -20.889 -0.092 11.298 0.326 3.323 0.141 44.108 42.648
13.200 -21.003 -0.044 -21.103 -0.043 -20.976 -0.047 -20.884 -0.094 11.150 0.325 3.364 0.146 44.096 42.629
13.600 -20.978 -0.044 -21.090 -0.041 -20.968 -0.046 -20.878 -0.097 11.006 0.324 3.406 0.151 44.084 42.612
14.000 -20.953 -0.043 -21.077 -0.040 -20.960 -0.045 -20.872 -0.099 10.865 0.323 3.448 0.156 44.072 42.595
14.400 -20.927 -0.043 -21.063 -0.040 -20.951 -0.044 -20.865 -0.102 10.728 0.323 3.489 0.161 44.060 42.579
14.800 -20.901 -0.042 -21.049 -0.039 -20.942 -0.043 -20.858 -0.104 10.595 0.324 3.530 0.167 44.049 42.564
15.200 -20.874 -0.042 -21.035 -0.039 -20.932 -0.043 -20.850 -0.107 10.468 0.324 3.569 0.173 44.037 42.549
15.600 -20.848 -0.042 -21.021 -0.039 -20.922 -0.043 -20.842 -0.109 10.345 0.324 3.608 0.179 44.026 42.534
16.000 -20.821 -0.043 -21.006 -0.039 -20.911 -0.043 -20.833 -0.111 10.227 0.324 3.644 0.185 44.015 42.519
16.400 -20.794 -0.044 -20.990 -0.040 -20.900 -0.044 -20.824 -0.114 10.116 0.324 3.679 0.190 44.004 42.504
16.800 -20.767 -0.045 -20.974 -0.041 -20.888 -0.045 -20.815 -0.116 10.009 0.324 3.711 0.195 43.993 42.489
17.200 -20.740 -0.047 -20.958 -0.042 -20.875 -0.046 -20.805 -0.119 9.908 0.323 3.741 0.200 43.983 42.475
17.600 -20.713 -0.049 -20.941 -0.043 -20.862 -0.048 -20.795 -0.121 9.812 0.323 3.769 0.205 43.972 42.461
18.000 -20.686 -0.051 -20.924 -0.045 -20.849 -0.050 -20.784 -0.123 9.720 0.322 3.794 0.209 43.962 42.448
18.400 -20.659 -0.054 -20.907 -0.047 -20.835 -0.052 -20.774 -0.126 9.633 0.322 3.818 0.214 43.952 42.435
18.800 -20.631 -0.056 -20.889 -0.048 -20.821 -0.055 -20.762 -0.128 9.549 0.322 3.840 0.218 43.941 42.422
19.200 -20.604 -0.059 -20.870 -0.050 -20.806 -0.057 -20.751 -0.130 9.469 0.322 3.860 0.222 43.931 42.410
19.600 -20.576 -0.062 -20.852 -0.051 -20.791 -0.060 -20.739 -0.132 9.392 0.322 3.879 0.226 43.921 42.398
20.000 -20.549 -0.064 -20.833 -0.053 -20.775 -0.062 -20.727 -0.135 9.317 0.322 3.896 0.231 43.911 42.386
20.400 -20.521 -0.067 -20.814 -0.054 -20.760 -0.064 -20.715 -0.137 9.246 0.322 3.911 0.235 43.901 42.375
20.800 -20.493 -0.070 -20.795 -0.056 -20.744 -0.066 -20.703 -0.139 9.176 0.323 3.926 0.239 43.891 42.364
21.200 -20.465 -0.072 -20.775 -0.057 -20.728 -0.068 -20.690 -0.141 9.109 0.323 3.939 0.243 43.881 42.352
21.600 -20.437 -0.075 -20.756 -0.058 -20.711 -0.071 -20.677 -0.143 9.044 0.323 3.951 0.246 43.872 42.341
22.000 -20.409 -0.078 -20.736 -0.059 -20.695 -0.072 -20.664 -0.146 8.981 0.323 3.962 0.250 43.862 42.330
22.400 -20.381 -0.080 -20.716 -0.060 -20.678 -0.074 -20.651 -0.148 8.919 0.323 3.972 0.254 43.852 42.318
22.800 -20.353 -0.083 -20.695 -0.061 -20.661 -0.076 -20.637 -0.150 8.859 0.323 3.982 0.257 43.843 42.307
23.200 -20.325 -0.085 -20.675 -0.062 -20.644 -0.078 -20.623 -0.152 8.800 0.324 3.991 0.261 43.833 42.296
23.600 -20.296 -0.088 -20.655 -0.062 -20.627 -0.079 -20.610 -0.154 8.742 0.324 3.999 0.265 43.823 42.285
24.000 -20.268 -0.090 -20.634 -0.063 -20.609 -0.080 -20.596 -0.156 8.686 0.325 4.007 0.269 43.814 42.274
24.400 -20.239 -0.092 -20.614 -0.063 -20.592 -0.081 -20.582 -0.158 8.631 0.326 4.014 0.273 43.804 42.264
24.800 -20.211 -0.094 -20.593 -0.063 -20.575 -0.082 -20.568 -0.160 8.577 0.327 4.021 0.277 43.795 42.253
25.200 -20.182 -0.096 -20.572 -0.063 -20.557 -0.083 -20.553 -0.161 8.523 0.328 4.028 0.282 43.785 42.243
25.600 -20.153 -0.098 -20.551 -0.063 -20.539 -0.084 -20.539 -0.163 8.471 0.330 4.035 0.287 43.776 42.233
26.000 -20.125 -0.100 -20.530 -0.063 -20.522 -0.085 -20.524 -0.165 8.419 0.332 4.041 0.292 43.767 42.223
26.400 -20.096 -0.101 -20.509 -0.062 -20.504 -0.085 -20.510 -0.166 8.368 0.334 4.047 0.297 43.758 42.213
26.800 -20.067 -0.103 -20.489 -0.062 -20.487 -0.086 -20.495 -0.167 8.318 0.336 4.053 0.302 43.749 42.203
27.200 -20.038 -0.104 -20.468 -0.061 -20.469 -0.086 -20.481 -0.169 8.268 0.338 4.060 0.308 43.739 42.193
27.600 -20.009 -0.106 -20.447 -0.061 -20.451 -0.087 -20.466 -0.170 8.219 0.339 4.066 0.313 43.730 42.182
28.000 -19.980 -0.107 -20.426 -0.060 -20.434 -0.087 -20.451 -0.171 8.170 0.340 4.073 0.318 43.721 42.171
28.400 -19.951 -0.108 -20.405 -0.060 -20.416 -0.088 -20.437 -0.172 8.121 0.341 4.079 0.322 43.712 42.160
28.800 -19.922 -0.110 -20.384 -0.060 -20.399 -0.088 -20.422 -0.172 8.072 0.341 4.087 0.326 43.703 42.149
29.200 -19.893 -0.111 -20.363 -0.060 -20.381 -0.089 -20.407 -0.173 8.022 0.339 4.094 0.329 43.694 42.137
29.600 -19.864 -0.112 -20.342 -0.060 -20.364 -0.089 -20.393 -0.174 7.973 0.337 4.102 0.331 43.685 42.126
30.000 -19.835 -0.113 -20.321 -0.061 -20.347 -0.090 -20.378 -0.174 7.923 0.333 4.111 0.332 43.676 42.113
30.400 -19.805 -0.114 -20.299 -0.062 -20.330 -0.091 -20.363 -0.174 7.873 0.328 4.120 0.332 43.667 42.101
30.800 -19.776 -0.115 -20.278 -0.063 -20.313 -0.092 -20.348 -0.174 7.823 0.322 4.130 0.330 43.658 42.089
31.200 -19.747 -0.116 -20.257 -0.065 -20.296 -0.093 -20.334 -0.174 7.772 0.315 4.140 0.328 43.649 42.077
31.600 -19.717 -0.117 -20.236 -0.067 -20.279 -0.094 -20.319 -0.174 7.722 0.308 4.151 0.325 43.640 42.065
32.000 -19.688 -0.118 -20.215 -0.068 -20.263 -0.095 -20.304 -0.174 7.671 0.300 4.163 0.322 43.631 42.054
32.400 -19.658 -0.118 -20.194 -0.071 -20.246 -0.096 -20.290 -0.173 7.621 0.293 4.175 0.319 43.622 42.043
32.800 -19.628 -0.119 -20.173 -0.073 -20.229 -0.097 -20.275 -0.173 7.571 0.285 4.188 0.315 43.613 42.033
33.200 -19.599 -0.119 -20.152 -0.075 -20.213 -0.098 -20.260 -0.172 7.521 0.277 4.201 0.312 43.605 42.023
33.600 -19.569 -0.120 -20.131 -0.077 -20.197 -0.099 -20.246 -0.171 7.471 0.270 4.214 0.309 43.596 42.014
34.000 -19.539 -0.120 -20.110 -0.079 -20.180 -0.100 -20.231 -0.170 7.422 0.263 4.228 0.306 43.587 42.005
34.400 -19.509 -0.120 -20.089 -0.080 -20.164 -0.101 -20.217 -0.169 7.373 0.257 4.242 0.304 43.579 41.997
34.800 -19.479 -0.120 -20.068 -0.082 -20.148 -0.101 -20.202 -0.168 7.324 0.251 4.257 0.301 43.570 41.990
35.200 -19.448 -0.120 -20.047 -0.084 -20.131 -0.102 -20.188 -0.166 7.276 0.246 4.272 0.300 43.562 41.983
