"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-16.000 -19.452 -0.097 -19.386 -0.086 -19.179 -0.085 -19.128 -0.089 -18.889 -0.139 14.680 1.169 1.055 0.094 43.567 42.723
-15.600 -19.504 -0.089 -19.439 -0.078 -19.232 -0.078 -19.181 -0.081 -18.937 -0.133 17.016 0.397 0.923 0.022 43.707 42.370
-15.200 -19.556 -0.081 -19.492 -0.071 -19.286 -0.071 -19.234 -0.075 -18.985 -0.128 17.013 0.457 0.946 0.026 43.728 42.451
-14.800 -19.607 -0.074 -19.546 -0.065 -19.339 -0.065 -19.287 -0.068 -19.033 -0.123 16.994 0.515 0.970 0.030 43.748 42.523
-14.400 -19.659 -0.067 -19.599 -0.059 -19.393 -0.060 -19.340 -0.063 -19.080 -0.120 16.955 0.569 0.997 0.034 43.767 42.585
-14.000 -19.709 -0.060 -19.651 -0.054 -19.447 -0.055 -19.393 -0.058 -19.128 -0.117 16.895 0.616 1.025 0.039 43.785 42.637
-13.600 -19.759 -0.054 -19.703 -0.050 -19.499 -0.050 -19.445 -0.054 -19.175 -0.115 16.812 0.652 1.055 0.043 43.802 42.678
-13.200 -19.808 -0.049 -19.754 -0.045 -19.551 -0.046 -19.496 -0.049 -19.221 -0.113 16.704 0.675 1.087 0.046 43.817 42.708
-12.800 -19.856 -0.043 -19.803 -0.042 -19.602 -0.042 -19.546 -0.045 -19.266 -0.112 16.572 0.681 1.121 0.049 43.830 42.724
-12.400 -19.901 -0.037 -19.850 -0.038 -19.651 -0.038 -19.595 -0.042 -19.310 -0.111 16.414 0.671 1.158 0.050 43.841 42.728
-12.000 -19.944 -0.032 -19.896 -0.035 -19.698 -0.034 -19.642 -0.039 -19.353 -0.111 16.233 0.644 1.196 0.051 43.850 42.719
-11.600 -19.986 -0.026 -19.938 -0.032 -19.743 -0.031 -19.686 -0.036 -19.395 -0.111 16.036 0.605 1.236 0.051 43.858 42.697
-11.200 -20.024 -0.022 -19.978 -0.030 -19.785 -0.028 -19.729 -0.034 -19.435 -0.111 15.836 0.563 1.277 0.050 43.864 42.669
-10.800 -20.059 -0.020 -20.015 -0.030 -19.825 -0.027 -19.769 -0.033 -19.474 -0.112 15.654 0.534 1.316 0.051 43.870 42.649
-10.400 -20.092 -0.020 -20.049 -0.030 -19.862 -0.027 -19.806 -0.034 -19.511 -0.112 15.509 0.534 1.351 0.053 43.877 42.657
-10.000 -20.121 -0.022 -20.080 -0.031 -19.896 -0.029 -19.841 -0.035 -19.547 -0.113 15.393 0.559 1.383 0.057 43.883 42.687
-9.600 -20.147 -0.025 -20.108 -0.033 -19.928 -0.032 -19.873 -0.037 -19.580 -0.114 15.285 0.588 1.412 0.062 43.890 42.718
-9.200 -20.170 -0.029 -20.133 -0.035 -19.956 -0.035 -19.902 -0.040 -19.612 -0.114 15.172 0.611 1.441 0.066 43.895 42.742
-8.800 -20.191 -0.032 -20.155 -0.037 -19.982 -0.037 -19.929 -0.042 -19.642 -0.115 15.047 0.623 1.471 0.069 43.898 42.756
-8.400 -20.209 -0.034 -20.175 -0.039 -20.006 -0.040 -19.953 -0.045 -19.671 -0.116 14.909 0.622 1.501 0.072 43.899 42.758
-8.000 -20.225 -0.036 -20.192 -0.040 -20.027 -0.042 -19.976 -0.047 -19.697 -0.116 14.760 0.610 1.531 0.073 43.899 42.750
-7.600 -20.239 -0.037 -20.207 -0.041 -20.047 -0.044 -19.996 -0.048 -19.722 -0.117 14.603 0.589 1.562 0.073 43.898 42.734
-7.200 -20.251 -0.037 -20.221 -0.041 -20.064 -0.045 -20.015 -0.049 -19.745 -0.117 14.442 0.561 1.594 0.073 43.896 42.711
