"Time (MJD)" g-4769.9 g-4769.9_err i-7774.3 i-7774.3_err r-6370.44 r-6370.44_err z-9154.88 z-9154.88_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-18.000 -18.944 -0.068 -18.705 -0.062 -18.506 -0.066 -18.324 -0.080 12.824 3.312 0.910 0.325 43.203 42.747
-17.600 -19.024 -0.059 -18.789 -0.055 -18.592 -0.061 -18.407 -0.072 19.967 0.652 0.552 0.019 43.538 42.331
-17.200 -19.104 -0.051 -18.874 -0.050 -18.678 -0.057 -18.490 -0.065 19.880 0.587 0.576 0.018 43.568 42.312
-16.800 -19.185 -0.046 -18.960 -0.047 -18.765 -0.056 -18.575 -0.059 19.775 0.523 0.603 0.017 43.597 42.289
-16.400 -19.265 -0.043 -19.045 -0.047 -18.853 -0.056 -18.660 -0.054 19.646 0.459 0.631 0.016 43.626 42.262
-16.000 -19.346 -0.042 -19.131 -0.048 -18.940 -0.057 -18.745 -0.051 19.503 0.396 0.662 0.015 43.655 42.229
-15.600 -19.426 -0.043 -19.217 -0.050 -19.028 -0.058 -18.830 -0.048 19.359 0.336 0.694 0.013 43.683 42.190
-15.200 -19.506 -0.045 -19.303 -0.053 -19.116 -0.060 -18.915 -0.045 19.226 0.279 0.727 0.012 43.711 42.145
-14.800 -19.586 -0.046 -19.388 -0.056 -19.203 -0.062 -18.999 -0.042 19.108 0.230 0.760 0.010 43.740 42.096
-14.400 -19.664 -0.047 -19.473 -0.058 -19.289 -0.063 -19.082 -0.040 19.008 0.192 0.794 0.009 43.769 42.051
-14.000 -19.742 -0.047 -19.556 -0.059 -19.374 -0.064 -19.164 -0.038 18.925 0.170 0.829 0.008 43.798 42.032
-13.600 -19.819 -0.046 -19.638 -0.060 -19.457 -0.064 -19.244 -0.037 18.858 0.169 0.863 0.008 43.827 42.060
-13.200 -19.895 -0.045 -19.718 -0.060 -19.539 -0.064 -19.322 -0.037 18.804 0.188 0.897 0.010 43.856 42.132
-12.800 -19.969 -0.043 -19.796 -0.060 -19.619 -0.063 -19.398 -0.040 18.756 0.220 0.932 0.012 43.884 42.222
-12.400 -20.041 -0.041 -19.872 -0.058 -19.697 -0.062 -19.471 -0.043 18.711 0.257 0.967 0.015 43.912 42.309
-12.000 -20.112 -0.038 -19.946 -0.056 -19.772 -0.061 -19.541 -0.047 18.665 0.294 1.003 0.018 43.939 42.383
-11.600 -20.180 -0.034 -20.016 -0.053 -19.844 -0.059 -19.609 -0.050 18.616 0.326 1.039 0.022 43.965 42.441
-11.200 -20.246 -0.030 -20.084 -0.050 -19.913 -0.056 -19.674 -0.054 18.566 0.348 1.074 0.025 43.990 42.480
-10.800 -20.309 -0.025 -20.147 -0.046 -19.978 -0.053 -19.735 -0.057 18.515 0.359 1.110 0.027 44.014 42.500
-10.400 -20.369 -0.019 -20.207 -0.041 -20.040 -0.049 -19.794 -0.060 18.467 0.359 1.145 0.028 44.036 42.501
-10.000 -20.426 -0.014 -20.262 -0.035 -20.098 -0.045 -19.849 -0.062 18.429 0.349 1.178 0.029 44.057 42.487
-9.600 -20.478 -0.010 -20.313 -0.030 -20.151 -0.040 -19.900 -0.063 18.410 0.342 1.209 0.030 44.078 42.482
-9.200 -20.527 -0.010 -20.359 -0.023 -20.200 -0.035 -19.948 -0.064 18.417 0.359 1.235 0.032 44.097 42.536
-8.800 -20.571 -0.013 -20.400 -0.017 -20.244 -0.030 -19.992 -0.065 18.450 0.427 1.257 0.036 44.115 42.668
-8.400 -20.610 -0.015 -20.436 -0.011 -20.283 -0.025 -20.032 -0.065 18.475 0.562 1.275 0.046 44.130 42.834
-8.000 -20.644 -0.016 -20.466 -0.010 -20.316 -0.021 -20.068 -0.064 18.402 0.691 1.300 0.057 44.140 42.944
-7.600 -20.672 -0.016 -20.491 -0.014 -20.344 -0.019 -20.101 -0.063 18.291 0.669 1.329 0.058 44.149 42.935
-7.200 -20.694 -0.014 -20.511 -0.018 -20.366 -0.020 -20.130 -0.062 18.279 0.577 1.346 0.052 44.158 42.862
-6.800 -20.709 -0.011 -20.526 -0.022 -20.383 -0.023 -20.156 -0.059 18.279 0.503 1.357 0.048 44.165 42.778
-6.400 -20.718 -0.010 -20.536 -0.024 -20.396 -0.025 -20.178 -0.057 18.213 0.467 1.369 0.046 44.167 42.727
-6.000 -20.719 -0.011 -20.542 -0.025 -20.404 -0.027 -20.197 -0.053 18.048 0.474 1.388 0.048 44.163 42.739
-5.600 -20.715 -0.015 -20.544 -0.024 -20.410 -0.028 -20.213 -0.049 17.799 0.505 1.411 0.052 44.154 42.782
-5.200 -20.705 -0.017 -20.543 -0.022 -20.412 -0.027 -20.227 -0.044 17.492 0.551 1.438 0.057 44.140 42.829
-4.800 -20.691 -0.019 -20.540 -0.018 -20.412 -0.025 -20.238 -0.039 17.144 0.610 1.469 0.065 44.123 42.875
-4.400 -20.675 -0.020 -20.535 -0.014 -20.411 -0.022 -20.247 -0.033 16.760 0.679 1.503 0.075 44.104 42.915
-4.000 -20.656 -0.019 -20.529 -0.010 -20.408 -0.018 -20.254 -0.028 16.329 0.721 1.544 0.084 44.082 42.929
-3.600 -20.637 -0.019 -20.523 -0.011 -20.405 -0.013 -20.260 -0.023 15.921 0.622 1.591 0.076 44.064 42.862
-3.200 -20.618 -0.018 -20.517 -0.016 -20.402 -0.010 -20.264 -0.020 15.669 0.471 1.623 0.059 44.054 42.754
-2.800 -20.600 -0.020 -20.511 -0.021 -20.399 -0.012 -20.268 -0.020 15.446 0.412 1.650 0.054 44.043 42.686
-2.400 -20.583 -0.023 -20.507 -0.027 -20.397 -0.017 -20.270 -0.023 15.225 0.381 1.677 0.052 44.032 42.635
-2.000 -20.567 -0.027 -20.503 -0.031 -20.396 -0.023 -20.271 -0.028 15.027 0.354 1.702 0.051 44.022 42.587
-1.600 -20.553 -0.031 -20.501 -0.035 -20.396 -0.027 -20.273 -0.032 14.852 0.324 1.724 0.049 44.013 42.538
-1.200 -20.540 -0.034 -20.499 -0.037 -20.396 -0.031 -20.274 -0.035 14.695 0.291 1.745 0.045 44.005 42.481
-0.800 -20.529 -0.036 -20.499 -0.038 -20.397 -0.033 -20.275 -0.037 14.554 0.254 1.765 0.041 43.998 42.414
-0.400 -20.518 -0.037 -20.500 -0.039 -20.399 -0.035 -20.276 -0.038 14.424 0.214 1.784 0.035 43.992 42.332
-0.000 -20.508 -0.037 -20.501 -0.037 -20.401 -0.034 -20.277 -0.038 14.305 0.172 1.803 0.029 43.987 42.232
0.400 -20.500 -0.036 -20.504 -0.035 -20.404 -0.033 -20.279 -0.037 14.193 0.129 1.821 0.022 43.982 42.102
0.800 -20.492 -0.034 -20.507 -0.032 -20.408 -0.030 -20.281 -0.034 14.088 0.087 1.839 0.015 43.978 41.926
1.200 -20.485 -0.031 -20.510 -0.027 -20.412 -0.027 -20.283 -0.031 13.986 0.048 1.858 0.009 43.974 41.664
1.600 -20.478 -0.027 -20.514 -0.022 -20.417 -0.022 -20.287 -0.027 13.887 0.024 1.877 0.004 43.970 41.350
2.000 -20.472 -0.023 -20.518 -0.016 -20.422 -0.016 -20.291 -0.023 13.791 0.043 1.897 0.008 43.967 41.609
2.400 -20.467 -0.020 -20.522 -0.011 -20.427 -0.011 -20.296 -0.020 13.702 0.075 1.916 0.014 43.965 41.849
2.800 -20.461 -0.020 -20.525 -0.011 -20.432 -0.010 -20.301 -0.019 13.605 0.091 1.937 0.017 43.962 41.936
3.200 -20.457 -0.023 -20.527 -0.015 -20.438 -0.014 -20.308 -0.020 13.493 0.089 1.961 0.018 43.958 41.924
3.600 -20.452 -0.027 -20.529 -0.021 -20.444 -0.020 -20.315 -0.022 13.388 0.083 1.984 0.017 43.955 41.894
4.000 -20.447 -0.032 -20.530 -0.026 -20.449 -0.025 -20.323 -0.025 13.285 0.075 2.007 0.015 43.952 41.849
4.400 -20.442 -0.037 -20.531 -0.030 -20.455 -0.029 -20.331 -0.026 13.182 0.064 2.031 0.013 43.948 41.786
4.800 -20.438 -0.041 -20.531 -0.034 -20.460 -0.032 -20.339 -0.026 13.079 0.052 2.056 0.011 43.945 41.700
5.200 -20.433 -0.045 -20.531 -0.036 -20.465 -0.034 -20.347 -0.025 12.977 0.039 2.081 0.008 43.942 41.582
5.600 -20.428 -0.047 -20.531 -0.037 -20.469 -0.035 -20.354 -0.023 12.876 0.026 2.105 0.006 43.939 41.420
6.000 -20.422 -0.049 -20.530 -0.036 -20.473 -0.035 -20.361 -0.020 12.776 0.016 2.130 0.003 43.935 41.205
6.400 -20.416 -0.050 -20.529 -0.035 -20.476 -0.034 -20.367 -0.015 12.679 0.011 2.154 0.002 43.932 41.083
6.800 -20.410 -0.050 -20.528 -0.033 -20.478 -0.032 -20.373 -0.011 12.585 0.016 2.178 0.003 43.928 41.231
7.200 -20.404 -0.050 -20.526 -0.030 -20.480 -0.029 -20.377 -0.010 12.497 0.022 2.199 0.005 43.925 41.371
7.600 -20.397 -0.049 -20.524 -0.027 -20.480 -0.026 -20.380 -0.012 12.420 0.027 2.218 0.006 43.921 41.441
8.000 -20.390 -0.049 -20.521 -0.024 -20.481 -0.023 -20.382 -0.015 12.353 0.029 2.234 0.007 43.918 41.457
8.400 -20.383 -0.048 -20.519 -0.023 -20.480 -0.019 -20.383 -0.018 12.296 0.029 2.246 0.007 43.915 41.427
8.800 -20.375 -0.048 -20.516 -0.024 -20.479 -0.017 -20.383 -0.019 12.246 0.024 2.257 0.006 43.912 41.342
9.200 -20.366 -0.048 -20.513 -0.026 -20.477 -0.015 -20.382 -0.020 12.201 0.016 2.266 0.004 43.909 41.172
9.600 -20.358 -0.048 -20.509 -0.028 -20.475 -0.012 -20.380 -0.019 12.160 0.008 2.274 0.002 43.906 40.892
10.000 -20.349 -0.047 -20.506 -0.030 -20.472 -0.010 -20.378 -0.018 12.122 0.015 2.280 0.004 43.903 41.136
10.400 -20.340 -0.046 -20.502 -0.031 -20.470 -0.010 -20.375 -0.018 12.086 0.032 2.286 0.008 43.900 41.459
10.800 -20.330 -0.044 -20.499 -0.032 -20.467 -0.012 -20.371 -0.020 12.049 0.049 2.292 0.013 43.897 41.644
11.200 -20.320 -0.041 -20.495 -0.031 -20.464 -0.015 -20.367 -0.022 12.008 0.066 2.299 0.017 43.894 41.759
11.600 -20.311 -0.038 -20.492 -0.029 -20.462 -0.017 -20.363 -0.024 11.964 0.082 2.306 0.022 43.890 41.841
12.000 -20.301 -0.034 -20.488 -0.025 -20.459 -0.017 -20.359 -0.025 11.916 0.099 2.315 0.028 43.887 41.902
12.400 -20.291 -0.029 -20.485 -0.021 -20.457 -0.016 -20.355 -0.025 11.864 0.115 2.326 0.033 43.883 41.950
12.800 -20.281 -0.024 -20.481 -0.016 -20.454 -0.014 -20.350 -0.024 11.809 0.131 2.339 0.039 43.880 41.988
13.200 -20.271 -0.020 -20.477 -0.012 -20.452 -0.011 -20.347 -0.022 11.758 0.148 2.351 0.045 43.877 42.026
13.600 -20.261 -0.020 -20.473 -0.010 -20.450 -0.010 -20.343 -0.020 11.722 0.169 2.359 0.051 43.874 42.076
14.000 -20.252 -0.023 -20.469 -0.013 -20.449 -0.013 -20.340 -0.019 11.701 0.191 2.358 0.058 43.871 42.142
14.400 -20.242 -0.028 -20.465 -0.018 -20.448 -0.017 -20.337 -0.020 11.677 0.207 2.359 0.063 43.868 42.187
14.800 -20.233 -0.034 -20.460 -0.022 -20.447 -0.020 -20.335 -0.024 11.631 0.218 2.369 0.066 43.864 42.208
15.200 -20.223 -0.039 -20.455 -0.025 -20.446 -0.023 -20.333 -0.028 11.573 0.227 2.384 0.070 43.861 42.219
15.600 -20.214 -0.044 -20.451 -0.026 -20.446 -0.024 -20.331 -0.033 11.508 0.235 2.402 0.074 43.858 42.225
16.000 -20.205 -0.049 -20.446 -0.027 -20.445 -0.024 -20.330 -0.038 11.440 0.243 2.422 0.078 43.855 42.230
16.400 -20.195 -0.052 -20.442 -0.026 -20.444 -0.023 -20.329 -0.042 11.370 0.248 2.443 0.081 43.852 42.231
16.800 -20.186 -0.055 -20.437 -0.024 -20.444 -0.020 -20.327 -0.045 11.293 0.250 2.467 0.083 43.849 42.228
17.200 -20.176 -0.057 -20.433 -0.022 -20.443 -0.016 -20.326 -0.048 11.213 0.245 2.493 0.082 43.845 42.219
17.600 -20.167 -0.058 -20.429 -0.020 -20.441 -0.012 -20.325 -0.050 11.135 0.234 2.519 0.079 43.842 42.203
18.000 -20.157 -0.058 -20.425 -0.019 -20.440 -0.010 -20.324 -0.051 11.072 0.228 2.538 0.077 43.839 42.194
18.400 -20.147 -0.057 -20.422 -0.020 -20.438 -0.013 -20.322 -0.051 11.040 0.241 2.545 0.084 43.836 42.204
18.800 -20.137 -0.056 -20.418 -0.023 -20.435 -0.017 -20.320 -0.050 11.017 0.258 2.547 0.092 43.833 42.219
19.200 -20.127 -0.053 -20.415 -0.026 -20.432 -0.022 -20.318 -0.048 10.992 0.269 2.549 0.098 43.830 42.228
19.600 -20.116 -0.050 -20.411 -0.029 -20.429 -0.025 -20.315 -0.046 10.964 0.275 2.551 0.102 43.826 42.232
20.000 -20.106 -0.046 -20.408 -0.031 -20.425 -0.028 -20.312 -0.043 10.931 0.278 2.554 0.105 43.822 42.233
