"Time (MJD)" g-4746.48 g-4746.48_err i-7829.03 i-7829.03_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-35.000 -18.651 -0.152 -18.883 -0.115 -18.969 -0.186 8.798 0.381 1.785 0.139 43.134 41.624
-34.600 -18.669 -0.149 -18.904 -0.112 -18.989 -0.183 8.786 0.370 1.806 0.137 43.141 41.617
-34.200 -18.687 -0.146 -18.925 -0.110 -19.009 -0.181 8.774 0.359 1.827 0.135 43.149 41.609
-33.800 -18.706 -0.143 -18.946 -0.107 -19.029 -0.178 8.761 0.348 1.849 0.133 43.157 41.602
-33.400 -18.724 -0.140 -18.967 -0.105 -19.050 -0.176 8.748 0.336 1.871 0.130 43.165 41.593
-33.000 -18.742 -0.137 -18.988 -0.103 -19.070 -0.174 8.734 0.325 1.894 0.128 43.172 41.585
-32.600 -18.761 -0.134 -19.010 -0.101 -19.091 -0.172 8.721 0.314 1.917 0.126 43.180 41.576
-32.200 -18.779 -0.132 -19.031 -0.099 -19.112 -0.170 8.706 0.303 1.941 0.123 43.188 41.566
-31.800 -18.797 -0.130 -19.052 -0.098 -19.132 -0.169 8.692 0.291 1.965 0.120 43.196 41.557
-31.400 -18.816 -0.127 -19.073 -0.097 -19.153 -0.167 8.677 0.280 1.989 0.118 43.204 41.547
-31.000 -18.834 -0.125 -19.095 -0.096 -19.174 -0.165 8.662 0.269 2.015 0.115 43.212 41.536
-30.600 -18.852 -0.124 -19.116 -0.095 -19.194 -0.164 8.646 0.259 2.040 0.113 43.219 41.525
-30.200 -18.870 -0.122 -19.137 -0.094 -19.215 -0.163 8.630 0.248 2.066 0.110 43.227 41.514
-29.800 -18.888 -0.120 -19.158 -0.093 -19.236 -0.161 8.613 0.238 2.093 0.107 43.235 41.503
-29.400 -18.906 -0.119 -19.179 -0.092 -19.256 -0.160 8.596 0.228 2.120 0.104 43.243 41.492
-29.000 -18.924 -0.117 -19.201 -0.092 -19.277 -0.159 8.579 0.218 2.148 0.102 43.250 41.480
-28.600 -18.942 -0.116 -19.221 -0.091 -19.298 -0.158 8.561 0.209 2.176 0.099 43.258 41.468
-28.200 -18.960 -0.115 -19.242 -0.091 -19.318 -0.157 8.543 0.199 2.204 0.096 43.266 41.455
-27.800 -18.977 -0.114 -19.263 -0.091 -19.339 -0.156 8.524 0.190 2.233 0.094 43.273 41.443
-27.400 -18.994 -0.113 -19.284 -0.090 -19.359 -0.155 8.505 0.182 2.263 0.091 43.281 41.430
-27.000 -19.011 -0.112 -19.304 -0.090 -19.380 -0.154 8.486 0.173 2.293 0.088 43.288 41.417
-26.600 -19.028 -0.111 -19.324 -0.090 -19.400 -0.153 8.467 0.165 2.323 0.086 43.296 41.403
-26.200 -19.045 -0.110 -19.345 -0.089 -19.420 -0.152 8.448 0.157 2.354 0.083 43.303 41.389
-25.800 -19.062 -0.110 -19.365 -0.089 -19.440 -0.151 8.428 0.150 2.385 0.080 43.311 41.376
-25.400 -19.078 -0.109 -19.384 -0.089 -19.460 -0.150 8.408 0.142 2.416 0.078 43.318 41.362
-25.000 -19.094 -0.108 -19.404 -0.089 -19.480 -0.150 8.388 0.135 2.448 0.075 43.325 41.348
-24.600 -19.110 -0.108 -19.423 -0.088 -19.499 -0.149 8.368 0.129 2.480 0.073 43.332 41.334
-24.200 -19.126 -0.107 -19.443 -0.088 -19.519 -0.148 8.348 0.123 2.512 0.071 43.339 41.320
-23.800 -19.142 -0.107 -19.462 -0.088 -19.538 -0.147 8.328 0.117 2.544 0.069 43.346 41.307
-23.400 -19.157 -0.106 -19.480 -0.087 -19.557 -0.146 8.307 0.111 2.577 0.067 43.353 41.294
-23.000 -19.172 -0.106 -19.499 -0.087 -19.576 -0.146 8.287 0.106 2.610 0.065 43.360 41.281
-22.600 -19.187 -0.106 -19.517 -0.086 -19.595 -0.145 8.267 0.102 2.643 0.063 43.366 41.268
-22.200 -19.201 -0.105 -19.535 -0.086 -19.614 -0.144 8.246 0.097 2.677 0.061 43.373 41.257
-21.800 -19.216 -0.105 -19.553 -0.086 -19.632 -0.143 8.225 0.093 2.710 0.059 43.379 41.245
-21.400 -19.230 -0.105 -19.570 -0.085 -19.651 -0.142 8.205 0.089 2.744 0.058 43.386 41.234
-21.000 -19.244 -0.105 -19.587 -0.085 -19.669 -0.142 8.184 0.086 2.778 0.057 43.392 41.224
-20.600 -19.257 -0.105 -19.604 -0.084 -19.687 -0.141 8.163 0.082 2.813 0.055 43.398 41.214
-20.200 -19.270 -0.105 -19.621 -0.084 -19.704 -0.140 8.142 0.079 2.847 0.054 43.405 41.205
-19.800 -19.283 -0.105 -19.637 -0.083 -19.722 -0.139 8.121 0.077 2.882 0.053 43.411 41.197
-19.400 -19.296 -0.105 -19.653 -0.083 -19.739 -0.138 8.100 0.074 2.916 0.052 43.416 41.190
-19.000 -19.308 -0.105 -19.669 -0.083 -19.756 -0.138 8.079 0.072 2.951 0.052 43.422 41.183
-18.600 -19.320 -0.105 -19.685 -0.082 -19.773 -0.137 8.058 0.070 2.986 0.051 43.428 41.178
-18.200 -19.332 -0.105 -19.700 -0.082 -19.789 -0.136 8.037 0.069 3.021 0.051 43.434 41.175
-17.800 -19.344 -0.105 -19.715 -0.081 -19.805 -0.135 8.017 0.067 3.056 0.050 43.439 41.173
-17.400 -19.355 -0.105 -19.729 -0.081 -19.821 -0.134 7.996 0.066 3.091 0.050 43.444 41.172
-17.000 -19.366 -0.106 -19.743 -0.080 -19.837 -0.134 7.975 0.065 3.126 0.051 43.450 41.173
-16.600 -19.376 -0.106 -19.757 -0.080 -19.852 -0.133 7.955 0.065 3.161 0.051 43.455 41.176
-16.200 -19.387 -0.106 -19.771 -0.079 -19.868 -0.132 7.934 0.065 3.196 0.052 43.460 41.180
-15.800 -19.397 -0.106 -19.784 -0.078 -19.883 -0.132 7.914 0.065 3.231 0.052 43.465 41.186
-15.400 -19.406 -0.107 -19.797 -0.078 -19.897 -0.131 7.893 0.065 3.265 0.053 43.470 41.193
-15.000 -19.416 -0.107 -19.809 -0.077 -19.912 -0.130 7.873 0.065 3.300 0.055 43.474 41.201
-14.600 -19.425 -0.107 -19.822 -0.077 -19.926 -0.130 7.853 0.066 3.335 0.056 43.479 41.209
-14.200 -19.434 -0.108 -19.834 -0.076 -19.939 -0.129 7.833 0.067 3.369 0.057 43.483 41.219
-13.800 -19.442 -0.108 -19.845 -0.076 -19.953 -0.129 7.813 0.068 3.403 0.059 43.488 41.229
-13.400 -19.450 -0.109 -19.856 -0.075 -19.966 -0.128 7.793 0.069 3.437 0.060 43.492 41.239
-13.000 -19.458 -0.109 -19.867 -0.075 -19.979 -0.128 7.773 0.070 3.471 0.062 43.496 41.249
-12.600 -19.466 -0.109 -19.878 -0.074 -19.991 -0.128 7.754 0.071 3.505 0.064 43.500 41.260
-12.200 -19.473 -0.110 -19.888 -0.074 -20.004 -0.127 7.735 0.072 3.538 0.066 43.504 41.270
-11.800 -19.480 -0.110 -19.898 -0.074 -20.015 -0.127 7.716 0.073 3.571 0.067 43.508 41.281
-11.400 -19.487 -0.111 -19.908 -0.073 -20.027 -0.127 7.697 0.074 3.603 0.069 43.512 41.292
-11.000 -19.493 -0.111 -19.917 -0.073 -20.038 -0.126 7.678 0.075 3.635 0.071 43.515 41.303
-10.600 -19.499 -0.112 -19.926 -0.072 -20.049 -0.126 7.660 0.076 3.667 0.074 43.518 41.314
-10.200 -19.505 -0.112 -19.935 -0.072 -20.060 -0.126 7.642 0.078 3.698 0.076 43.522 41.326
-9.800 -19.510 -0.112 -19.943 -0.072 -20.070 -0.126 7.624 0.080 3.729 0.079 43.525 41.339
-9.400 -19.515 -0.113 -19.951 -0.071 -20.080 -0.125 7.606 0.081 3.760 0.081 43.528 41.352
-9.000 -19.520 -0.113 -19.958 -0.071 -20.089 -0.125 7.589 0.083 3.790 0.084 43.531 41.367
-8.600 -19.525 -0.113 -19.966 -0.071 -20.099 -0.125 7.572 0.086 3.819 0.087 43.534 41.382
