"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4735.89 g-4735.89_err g-4746.48 g-4746.48_err i-7645.77 i-7645.77_err orange-6629.82 orange-6629.82_err r-6198.96 r-6198.96_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-20.000 -20.875 -0.106 -20.874 -0.105 -20.827 -0.093 -20.704 -0.095 -20.683 -0.098 -20.650 -0.106 -20.529 -0.156 17.025 0.229 1.635 0.026 44.204 42.547
-19.600 -20.906 -0.102 -20.905 -0.102 -20.859 -0.089 -20.736 -0.091 -20.715 -0.095 -20.682 -0.103 -20.560 -0.153 17.009 0.215 1.661 0.025 44.216 42.533
-19.200 -20.937 -0.100 -20.936 -0.100 -20.891 -0.087 -20.769 -0.088 -20.748 -0.092 -20.714 -0.099 -20.591 -0.150 16.983 0.201 1.688 0.024 44.228 42.515
-18.800 -20.969 -0.099 -20.968 -0.098 -20.923 -0.085 -20.802 -0.086 -20.781 -0.089 -20.748 -0.097 -20.623 -0.147 16.946 0.187 1.718 0.023 44.239 42.495
-18.400 -21.000 -0.098 -20.999 -0.098 -20.956 -0.085 -20.836 -0.084 -20.814 -0.088 -20.781 -0.095 -20.655 -0.145 16.899 0.172 1.750 0.021 44.250 42.470
-18.000 -21.032 -0.098 -21.031 -0.098 -20.988 -0.085 -20.869 -0.083 -20.848 -0.087 -20.815 -0.094 -20.687 -0.144 16.844 0.156 1.784 0.020 44.261 42.441
-17.600 -21.063 -0.099 -21.062 -0.099 -21.021 -0.085 -20.903 -0.083 -20.882 -0.087 -20.849 -0.094 -20.720 -0.143 16.783 0.141 1.819 0.018 44.272 42.406
-17.200 -21.094 -0.100 -21.094 -0.100 -21.053 -0.086 -20.938 -0.084 -20.917 -0.087 -20.883 -0.094 -20.753 -0.142 16.717 0.125 1.855 0.017 44.282 42.366
-16.800 -21.126 -0.102 -21.125 -0.101 -21.086 -0.088 -20.972 -0.084 -20.951 -0.087 -20.917 -0.094 -20.786 -0.142 16.647 0.109 1.893 0.015 44.293 42.318
-16.400 -21.157 -0.103 -21.156 -0.103 -21.118 -0.090 -21.006 -0.085 -20.985 -0.088 -20.952 -0.094 -20.819 -0.141 16.575 0.094 1.933 0.013 44.303 42.263
-16.000 -21.188 -0.105 -21.187 -0.105 -21.150 -0.092 -21.040 -0.086 -21.020 -0.089 -20.986 -0.095 -20.851 -0.141 16.501 0.079 1.973 0.011 44.313 42.199
-15.600 -21.218 -0.107 -21.218 -0.107 -21.182 -0.093 -21.074 -0.087 -21.054 -0.090 -21.020 -0.096 -20.884 -0.142 16.426 0.065 2.014 0.010 44.323 42.128
-15.200 -21.249 -0.109 -21.248 -0.109 -21.213 -0.095 -21.108 -0.089 -21.087 -0.091 -21.054 -0.097 -20.917 -0.142 16.350 0.054 2.056 0.008 44.333 42.054
-14.800 -21.279 -0.111 -21.278 -0.111 -21.245 -0.097 -21.141 -0.090 -21.121 -0.092 -21.087 -0.098 -20.949 -0.143 16.274 0.046 2.098 0.007 44.342 41.992
-14.400 -21.308 -0.113 -21.308 -0.112 -21.275 -0.099 -21.174 -0.091 -21.154 -0.093 -21.120 -0.099 -20.981 -0.143 16.199 0.042 2.141 0.007 44.352 41.965
-14.000 -21.337 -0.114 -21.337 -0.114 -21.306 -0.100 -21.206 -0.092 -21.186 -0.094 -21.153 -0.100 -21.013 -0.144 16.125 0.043 2.184 0.007 44.361 41.987
-13.600 -21.366 -0.116 -21.365 -0.115 -21.335 -0.102 -21.238 -0.093 -21.218 -0.095 -21.185 -0.100 -21.044 -0.144 16.053 0.048 2.227 0.008 44.371 42.041
-13.200 -21.394 -0.117 -21.393 -0.117 -21.364 -0.103 -21.269 -0.093 -21.249 -0.095 -21.216 -0.101 -21.074 -0.145 15.982 0.054 2.270 0.009 44.380 42.103
-12.800 -21.421 -0.118 -21.420 -0.118 -21.393 -0.104 -21.299 -0.094 -21.279 -0.096 -21.246 -0.102 -21.105 -0.146 15.914 0.060 2.313 0.011 44.388 42.159
-12.400 -21.447 -0.119 -21.447 -0.119 -21.420 -0.105 -21.328 -0.095 -21.309 -0.097 -21.276 -0.102 -21.134 -0.146 15.848 0.065 2.356 0.012 44.397 42.205
-12.000 -21.473 -0.120 -21.473 -0.119 -21.447 -0.105 -21.357 -0.095 -21.337 -0.097 -21.305 -0.103 -21.163 -0.147 15.784 0.070 2.398 0.013 44.405 42.242
-11.600 -21.498 -0.120 -21.498 -0.120 -21.473 -0.106 -21.384 -0.096 -21.365 -0.098 -21.333 -0.103 -21.191 -0.147 15.722 0.073 2.440 0.014 44.414 42.271
-11.200 -21.523 -0.121 -21.522 -0.120 -21.499 -0.106 -21.411 -0.096 -21.392 -0.098 -21.360 -0.104 -21.218 -0.148 15.661 0.076 2.481 0.015 44.422 42.294
-10.800 -21.546 -0.121 -21.546 -0.121 -21.523 -0.106 -21.437 -0.096 -21.418 -0.098 -21.387 -0.104 -21.245 -0.148 15.602 0.078 2.522 0.016 44.429 42.311
-10.400 -21.569 -0.121 -21.568 -0.121 -21.547 -0.106 -21.462 -0.096 -21.443 -0.098 -21.412 -0.104 -21.271 -0.149 15.543 0.079 2.563 0.016 44.436 42.324
-10.000 -21.591 -0.121 -21.590 -0.121 -21.569 -0.106 -21.486 -0.096 -21.468 -0.098 -21.436 -0.104 -21.296 -0.149 15.486 0.079 2.603 0.017 44.443 42.333
-9.600 -21.612 -0.121 -21.611 -0.120 -21.591 -0.105 -21.509 -0.096 -21.491 -0.098 -21.460 -0.104 -21.320 -0.149 15.428 0.079 2.642 0.017 44.450 42.338
-9.200 -21.632 -0.120 -21.632 -0.120 -21.612 -0.105 -21.532 -0.096 -21.514 -0.098 -21.483 -0.104 -21.344 -0.149 15.372 0.078 2.682 0.017 44.457 42.340
-8.800 -21.651 -0.120 -21.651 -0.119 -21.632 -0.104 -21.553 -0.095 -21.535 -0.098 -21.505 -0.104 -21.367 -0.150 15.316 0.077 2.720 0.017 44.463 42.340
-8.400 -21.670 -0.119 -21.670 -0.119 -21.652 -0.104 -21.574 -0.095 -21.556 -0.097 -21.526 -0.104 -21.389 -0.150 15.260 0.076 2.758 0.018 44.468 42.336
-8.000 -21.687 -0.119 -21.687 -0.118 -21.670 -0.103 -21.593 -0.094 -21.576 -0.097 -21.546 -0.104 -21.410 -0.150 15.204 0.074 2.796 0.017 44.474 42.331
-7.600 -21.704 -0.118 -21.704 -0.118 -21.687 -0.102 -21.612 -0.094 -21.595 -0.097 -21.565 -0.104 -21.430 -0.150 15.149 0.072 2.832 0.017 44.479 42.323
-7.200 -21.720 -0.118 -21.720 -0.117 -21.704 -0.101 -21.630 -0.094 -21.613 -0.096 -21.584 -0.103 -21.449 -0.150 15.093 0.070 2.869 0.017 44.483 42.314
-6.800 -21.735 -0.117 -21.735 -0.117 -21.720 -0.100 -21.647 -0.093 -21.630 -0.096 -21.601 -0.103 -21.468 -0.150 15.037 0.067 2.904 0.017 44.488 42.303
-6.400 -21.749 -0.117 -21.749 -0.116 -21.734 -0.100 -21.663 -0.093 -21.646 -0.096 -21.618 -0.103 -21.486 -0.150 14.980 0.065 2.940 0.017 44.491 42.291
-6.000 -21.762 -0.116 -21.762 -0.116 -21.748 -0.099 -21.678 -0.093 -21.662 -0.096 -21.634 -0.103 -21.503 -0.150 14.923 0.063 2.974 0.016 44.495 42.278
-5.600 -21.774 -0.116 -21.774 -0.115 -21.761 -0.099 -21.692 -0.092 -21.676 -0.096 -21.649 -0.103 -21.519 -0.150 14.866 0.061 3.008 0.016 44.498 42.265
-5.200 -21.786 -0.116 -21.785 -0.115 -21.773 -0.099 -21.706 -0.092 -21.690 -0.096 -21.663 -0.103 -21.535 -0.150 14.808 0.058 3.042 0.016 44.501 42.251
-4.800 -21.796 -0.116 -21.796 -0.115 -21.784 -0.099 -21.718 -0.092 -21.703 -0.096 -21.676 -0.103 -21.549 -0.150 14.750 0.056 3.074 0.015 44.503 42.238
-4.400 -21.805 -0.116 -21.805 -0.116 -21.794 -0.100 -21.730 -0.093 -21.715 -0.096 -21.688 -0.103 -21.563 -0.150 14.692 0.054 3.106 0.015 44.506 42.225
-4.000 -21.814 -0.116 -21.814 -0.116 -21.803 -0.100 -21.741 -0.093 -21.726 -0.096 -21.700 -0.103 -21.576 -0.150 14.634 0.053 3.137 0.015 44.507 42.212
-3.600 -21.822 -0.117 -21.822 -0.116 -21.812 -0.101 -21.751 -0.094 -21.736 -0.097 -21.710 -0.103 -21.588 -0.150 14.575 0.051 3.168 0.015 44.509 42.201
-3.200 -21.829 -0.117 -21.829 -0.117 -21.819 -0.102 -21.760 -0.094 -21.745 -0.097 -21.720 -0.104 -21.600 -0.149 14.517 0.050 3.197 0.015 44.510 42.192
-2.800 -21.835 -0.118 -21.835 -0.118 -21.826 -0.103 -21.768 -0.095 -21.754 -0.098 -21.729 -0.104 -21.611 -0.149 14.459 0.049 3.226 0.015 44.511 42.187
-2.400 -21.841 -0.119 -21.841 -0.118 -21.832 -0.104 -21.776 -0.096 -21.762 -0.098 -21.738 -0.105 -21.621 -0.149 14.401 0.049 3.254 0.015 44.511 42.185
-2.000 -21.845 -0.119 -21.845 -0.119 -21.837 -0.104 -21.783 -0.096 -21.769 -0.099 -21.745 -0.105 -21.630 -0.149 14.343 0.050 3.281 0.015 44.511 42.187
-1.600 -21.849 -0.120 -21.849 -0.119 -21.842 -0.105 -21.789 -0.097 -21.775 -0.100 -21.752 -0.106 -21.639 -0.149 14.285 0.050 3.307 0.016 44.511 42.193
-1.200 -21.852 -0.120 -21.852 -0.120 -21.845 -0.106 -21.794 -0.098 -21.781 -0.100 -21.758 -0.106 -21.647 -0.148 14.228 0.052 3.333 0.016 44.511 42.203
-0.800 -21.855 -0.121 -21.855 -0.121 -21.848 -0.107 -21.799 -0.099 -21.786 -0.101 -21.763 -0.107 -21.654 -0.148 14.170 0.053 3.358 0.017 44.510 42.215
-0.400 -21.857 -0.122 -21.857 -0.121 -21.851 -0.108 -21.803 -0.100 -21.790 -0.102 -21.768 -0.107 -21.660 -0.147 14.113 0.055 3.381 0.018 44.510 42.230
-0.000 -21.858 -0.122 -21.858 -0.122 -21.853 -0.109 -21.806 -0.100 -21.794 -0.102 -21.772 -0.107 -21.666 -0.147 14.057 0.058 3.404 0.019 44.508 42.247
0.400 -21.858 -0.122 -21.858 -0.122 -21.854 -0.109 -21.809 -0.101 -21.797 -0.103 -21.776 -0.108 -21.671 -0.146 14.001 0.060 3.427 0.020 44.507 42.264
0.800 -21.858 -0.122 -21.858 -0.122 -21.854 -0.110 -21.811 -0.101 -21.799 -0.103 -21.779 -0.108 -21.676 -0.145 13.945 0.063 3.448 0.021 44.506 42.282
1.200 -21.858 -0.122 -21.858 -0.122 -21.854 -0.110 -21.812 -0.101 -21.801 -0.103 -21.781 -0.108 -21.680 -0.144 13.890 0.066 3.468 0.023 44.504 42.300
