"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4735.89 g-4735.89_err g-4746.48 g-4746.48_err i-7645.77 i-7645.77_err orange-6629.82 orange-6629.82_err r-6198.96 r-6198.96_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-24.000 -20.995 -0.092 -20.994 -0.091 -20.955 -0.076 -20.819 -0.065 -20.791 -0.065 -20.746 -0.069 -20.555 -0.120 16.938 0.295 1.769 0.035 44.264 42.755
-23.600 -21.017 -0.087 -21.017 -0.087 -20.979 -0.072 -20.844 -0.062 -20.817 -0.062 -20.771 -0.066 -20.579 -0.117 16.858 0.308 1.799 0.037 44.270 42.780
-23.200 -21.040 -0.083 -21.039 -0.083 -21.003 -0.069 -20.870 -0.059 -20.842 -0.059 -20.797 -0.063 -20.603 -0.115 16.772 0.320 1.830 0.039 44.276 42.802
-22.800 -21.062 -0.080 -21.062 -0.079 -21.027 -0.066 -20.895 -0.057 -20.868 -0.057 -20.823 -0.061 -20.627 -0.113 16.679 0.331 1.863 0.042 44.282 42.823
-22.400 -21.085 -0.077 -21.084 -0.077 -21.050 -0.063 -20.921 -0.056 -20.894 -0.056 -20.848 -0.060 -20.651 -0.112 16.582 0.342 1.896 0.045 44.287 42.841
-22.000 -21.106 -0.075 -21.106 -0.074 -21.073 -0.061 -20.946 -0.055 -20.919 -0.055 -20.874 -0.059 -20.675 -0.112 16.481 0.352 1.931 0.047 44.292 42.859
-21.600 -21.128 -0.073 -21.127 -0.072 -21.096 -0.060 -20.971 -0.055 -20.945 -0.055 -20.900 -0.059 -20.699 -0.112 16.378 0.361 1.967 0.050 44.297 42.874
-21.200 -21.149 -0.071 -21.148 -0.071 -21.119 -0.059 -20.996 -0.055 -20.970 -0.056 -20.925 -0.060 -20.722 -0.112 16.273 0.370 2.003 0.053 44.302 42.889
-20.800 -21.170 -0.070 -21.169 -0.069 -21.141 -0.058 -21.021 -0.056 -20.995 -0.056 -20.950 -0.060 -20.746 -0.113 16.169 0.379 2.040 0.056 44.307 42.901
-20.400 -21.190 -0.069 -21.189 -0.068 -21.163 -0.058 -21.045 -0.056 -21.019 -0.057 -20.974 -0.061 -20.769 -0.114 16.065 0.386 2.077 0.059 44.311 42.913
