"Time (MJD)" B-4369.53 B-4369.53_err UVM2-2245.03 UVM2-2245.03_err UVW1-2681.67 UVW1-2681.67_err UVW2-2083.95 UVW2-2083.95_err V-5467.57 V-5467.57_err g-4671.78 g-4671.78_err i-7457.89 i-7457.89_err i-7503.03 i-7503.03_err r-6141.12 r-6141.12_err r-6155.47 r-6155.47_err u-3608.04 u-3608.04_err z-8922.78 z-8922.78_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
76.600 -12.564 -0.414 -12.904 -0.389 -13.834 -0.339 -15.635 -0.240 -16.666 -0.112 -16.955 -0.078 -17.526 -0.122 -17.809 -0.079 -17.813 -0.079 -18.034 -0.114 -18.039 -0.115 -18.197 -0.124 5.564 0.127 2.577 0.160 42.657 41.276
77.000 -12.536 -0.407 -12.876 -0.382 -13.810 -0.333 -15.618 -0.237 -16.653 -0.112 -16.943 -0.078 -17.515 -0.121 -17.799 -0.078 -17.803 -0.078 -18.026 -0.114 -18.031 -0.115 -18.185 -0.123 5.559 0.127 2.571 0.160 42.653 41.275
77.400 -12.507 -0.401 -12.849 -0.375 -13.787 -0.328 -15.602 -0.235 -16.640 -0.111 -16.932 -0.078 -17.505 -0.121 -17.790 -0.078 -17.794 -0.078 -18.017 -0.114 -18.022 -0.115 -18.174 -0.122 5.555 0.127 2.564 0.160 42.649 41.275
77.800 -12.479 -0.394 -12.821 -0.368 -13.763 -0.322 -15.586 -0.232 -16.627 -0.111 -16.920 -0.079 -17.495 -0.120 -17.781 -0.078 -17.785 -0.078 -18.009 -0.114 -18.014 -0.115 -18.163 -0.121 5.551 0.127 2.556 0.160 42.645 41.276
78.200 -12.451 -0.387 -12.794 -0.361 -13.739 -0.316 -15.570 -0.229 -16.615 -0.111 -16.909 -0.079 -17.485 -0.120 -17.772 -0.079 -17.776 -0.079 -18.001 -0.114 -18.006 -0.115 -18.152 -0.120 5.548 0.128 2.548 0.161 42.642 41.277
78.600 -12.423 -0.380 -12.767 -0.354 -13.716 -0.309 -15.554 -0.226 -16.603 -0.110 -16.898 -0.080 -17.475 -0.119 -17.763 -0.079 -17.768 -0.079 -17.993 -0.114 -17.998 -0.115 -18.141 -0.119 5.546 0.128 2.539 0.161 42.638 41.279
79.000 -12.395 -0.372 -12.741 -0.347 -13.693 -0.303 -15.538 -0.223 -16.591 -0.110 -16.887 -0.081 -17.465 -0.118 -17.755 -0.080 -17.759 -0.080 -17.985 -0.115 -17.990 -0.116 -18.131 -0.118 5.543 0.128 2.530 0.161 42.634 41.282
79.400 -12.368 -0.365 -12.714 -0.340 -13.670 -0.297 -15.522 -0.220 -16.579 -0.110 -16.877 -0.082 -17.456 -0.118 -17.746 -0.081 -17.751 -0.081 -17.978 -0.115 -17.982 -0.116 -18.120 -0.117 5.541 0.129 2.522 0.162 42.631 41.284
79.800 -12.341 -0.358 -12.688 -0.332 -13.647 -0.290 -15.507 -0.217 -16.568 -0.109 -16.867 -0.083 -17.446 -0.117 -17.738 -0.081 -17.742 -0.081 -17.970 -0.115 -17.975 -0.116 -18.110 -0.116 5.538 0.129 2.514 0.162 42.627 41.287
80.200 -12.314 -0.351 -12.662 -0.325 -13.624 -0.283 -15.491 -0.213 -16.556 -0.109 -16.856 -0.084 -17.437 -0.116 -17.730 -0.082 -17.734 -0.082 -17.963 -0.116 -17.967 -0.117 -18.100 -0.114 5.535 0.129 2.506 0.162 42.623 41.289
80.600 -12.288 -0.343 -12.637 -0.317 -13.602 -0.277 -15.476 -0.210 -16.545 -0.108 -16.846 -0.084 -17.428 -0.115 -17.722 -0.082 -17.726 -0.082 -17.955 -0.116 -17.960 -0.117 -18.090 -0.113 5.532 0.129 2.499 0.163 42.620 41.291
81.000 -12.262 -0.336 -12.611 -0.310 -13.579 -0.270 -15.460 -0.206 -16.534 -0.107 -16.836 -0.084 -17.419 -0.114 -17.714 -0.081 -17.718 -0.081 -17.948 -0.116 -17.953 -0.117 -18.080 -0.112 5.528 0.129 2.493 0.163 42.617 41.293
81.400 -12.236 -0.329 -12.586 -0.302 -13.557 -0.263 -15.445 -0.203 -16.523 -0.106 -16.826 -0.084 -17.410 -0.112 -17.706 -0.081 -17.710 -0.081 -17.941 -0.116 -17.945 -0.117 -18.070 -0.110 5.524 0.129 2.488 0.163 42.613 41.294
81.800 -12.210 -0.322 -12.561 -0.295 -13.535 -0.256 -15.430 -0.199 -16.512 -0.105 -16.817 -0.083 -17.401 -0.111 -17.698 -0.080 -17.703 -0.080 -17.934 -0.115 -17.938 -0.116 -18.060 -0.108 5.519 0.129 2.483 0.163 42.610 41.295
82.200 -12.185 -0.315 -12.537 -0.288 -13.513 -0.250 -15.415 -0.195 -16.501 -0.104 -16.807 -0.082 -17.393 -0.109 -17.690 -0.078 -17.695 -0.078 -17.927 -0.115 -17.931 -0.116 -18.050 -0.106 5.514 0.129 2.479 0.163 42.607 41.295
82.600 -12.160 -0.309 -12.512 -0.281 -13.492 -0.243 -15.400 -0.192 -16.490 -0.103 -16.797 -0.081 -17.384 -0.108 -17.683 -0.077 -17.687 -0.077 -17.920 -0.114 -17.924 -0.115 -18.040 -0.104 5.508 0.129 2.476 0.163 42.604 41.295
83.000 -12.135 -0.303 -12.489 -0.274 -13.471 -0.237 -15.385 -0.188 -16.479 -0.101 -16.787 -0.080 -17.375 -0.106 -17.675 -0.075 -17.680 -0.075 -17.913 -0.114 -17.917 -0.114 -18.031 -0.103 5.501 0.128 2.474 0.163 42.602 41.294
83.400 -12.111 -0.297 -12.465 -0.268 -13.449 -0.231 -15.370 -0.185 -16.468 -0.100 -16.777 -0.079 -17.367 -0.104 -17.667 -0.073 -17.672 -0.073 -17.906 -0.113 -17.910 -0.113 -18.021 -0.101 5.495 0.128 2.473 0.164 42.599 41.294
83.800 -12.087 -0.292 -12.442 -0.262 -13.429 -0.225 -15.354 -0.182 -16.457 -0.098 -16.768 -0.078 -17.358 -0.102 -17.660 -0.070 -17.664 -0.071 -17.899 -0.112 -17.904 -0.113 -18.012 -0.099 5.487 0.128 2.473 0.164 42.596 41.292
84.200 -12.064 -0.287 -12.419 -0.257 -13.408 -0.220 -15.339 -0.179 -16.446 -0.097 -16.758 -0.076 -17.349 -0.100 -17.652 -0.068 -17.657 -0.068 -17.893 -0.111 -17.897 -0.112 -18.002 -0.098 5.479 0.128 2.473 0.164 42.594 41.291
84.600 -12.041 -0.282 -12.396 -0.252 -13.387 -0.215 -15.324 -0.176 -16.435 -0.096 -16.748 -0.076 -17.341 -0.098 -17.645 -0.066 -17.649 -0.066 -17.886 -0.110 -17.890 -0.111 -17.993 -0.097 5.471 0.128 2.473 0.165 42.592 41.291
85.000 -12.018 -0.279 -12.374 -0.248 -13.367 -0.211 -15.308 -0.174 -16.424 -0.096 -16.737 -0.075 -17.332 -0.097 -17.637 -0.064 -17.642 -0.064 -17.879 -0.110 -17.883 -0.110 -17.983 -0.097 5.463 0.128 2.474 0.165 42.589 41.290
85.400 -11.996 -0.276 -12.352 -0.245 -13.347 -0.208 -15.293 -0.172 -16.412 -0.095 -16.727 -0.076 -17.323 -0.096 -17.630 -0.063 -17.634 -0.063 -17.872 -0.110 -17.877 -0.110 -17.973 -0.098 5.455 0.128 2.475 0.166 42.587 41.292
85.800 -11.975 -0.274 -12.331 -0.242 -13.327 -0.205 -15.277 -0.171 -16.400 -0.096 -16.717 -0.077 -17.314 -0.095 -17.622 -0.063 -17.627 -0.063 -17.866 -0.110 -17.870 -0.110 -17.964 -0.099 5.448 0.129 2.474 0.167 42.585 41.294
86.200 -11.953 -0.273 -12.310 -0.241 -13.307 -0.204 -15.261 -0.171 -16.388 -0.097 -16.706 -0.079 -17.305 -0.095 -17.614 -0.063 -17.619 -0.064 -17.859 -0.111 -17.863 -0.111 -17.954 -0.102 5.441 0.130 2.473 0.169 42.582 41.299
86.600 -11.933 -0.273 -12.290 -0.241 -13.288 -0.203 -15.245 -0.171 -16.376 -0.099 -16.695 -0.082 -17.296 -0.095 -17.607 -0.065 -17.612 -0.065 -17.852 -0.112 -17.856 -0.113 -17.945 -0.106 5.434 0.131 2.470 0.171 42.579 41.306
87.000 -11.913 -0.274 -12.270 -0.241 -13.269 -0.203 -15.228 -0.172 -16.364 -0.103 -16.684 -0.086 -17.287 -0.097 -17.599 -0.068 -17.604 -0.068 -17.846 -0.115 -17.850 -0.115 -17.936 -0.110 5.429 0.132 2.465 0.173 42.575 41.314
87.400 -11.893 -0.276 -12.250 -0.243 -13.250 -0.205 -15.211 -0.174 -16.351 -0.107 -16.673 -0.091 -17.278 -0.099 -17.591 -0.072 -17.596 -0.073 -17.839 -0.118 -17.843 -0.118 -17.926 -0.116 5.424 0.133 2.459 0.176 42.572 41.325
87.800 -11.874 -0.279 -12.231 -0.246 -13.231 -0.207 -15.194 -0.177 -16.337 -0.112 -16.661 -0.097 -17.269 -0.103 -17.583 -0.078 -17.588 -0.078 -17.832 -0.122 -17.836 -0.122 -17.917 -0.123 5.420 0.134 2.451 0.179 42.568 41.336
88.200 -11.855 -0.284 -12.212 -0.250 -13.212 -0.211 -15.177 -0.180 -16.324 -0.117 -16.649 -0.103 -17.259 -0.107 -17.575 -0.084 -17.580 -0.085 -17.825 -0.126 -17.829 -0.127 -17.908 -0.131 5.416 0.136 2.443 0.182 42.563 41.349
88.600 -11.837 -0.289 -12.194 -0.256 -13.194 -0.216 -15.160 -0.185 -16.310 -0.124 -16.637 -0.111 -17.249 -0.112 -17.566 -0.091 -17.571 -0.092 -17.818 -0.132 -17.822 -0.133 -17.899 -0.139 5.412 0.137 2.435 0.185 42.559 41.361
