"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-21.000 -19.021 -0.107 -18.994 -0.094 -18.924 -0.113 -18.904 -0.127 9.848 1.273 1.557 0.321 43.211 42.279
-20.600 -19.084 -0.100 -19.059 -0.089 -18.986 -0.108 -18.965 -0.121 12.139 0.242 1.177 0.032 43.331 41.749
-20.200 -19.149 -0.096 -19.123 -0.085 -19.049 -0.105 -19.027 -0.118 12.179 0.230 1.206 0.031 43.358 41.753
-19.800 -19.213 -0.093 -19.189 -0.084 -19.112 -0.103 -19.090 -0.116 12.213 0.214 1.238 0.030 43.385 41.750
-19.400 -19.277 -0.092 -19.254 -0.085 -19.176 -0.102 -19.153 -0.114 12.237 0.197 1.272 0.028 43.412 41.740
-19.000 -19.341 -0.093 -19.318 -0.086 -19.239 -0.103 -19.216 -0.114 12.248 0.177 1.308 0.026 43.438 41.722
-18.600 -19.403 -0.095 -19.382 -0.088 -19.302 -0.103 -19.279 -0.114 12.247 0.158 1.347 0.024 43.464 41.699
-18.200 -19.465 -0.097 -19.445 -0.091 -19.365 -0.103 -19.341 -0.113 12.237 0.140 1.388 0.021 43.488 41.673
-17.800 -19.525 -0.099 -19.508 -0.093 -19.428 -0.104 -19.403 -0.113 12.218 0.124 1.431 0.020 43.512 41.645
-17.400 -19.585 -0.102 -19.569 -0.095 -19.489 -0.103 -19.464 -0.112 12.192 0.109 1.476 0.018 43.535 41.616
-17.000 -19.644 -0.103 -19.629 -0.097 -19.550 -0.102 -19.525 -0.111 12.162 0.096 1.522 0.016 43.558 41.587
-16.600 -19.702 -0.105 -19.688 -0.098 -19.610 -0.101 -19.585 -0.109 12.129 0.085 1.570 0.015 43.580 41.558
-16.200 -19.758 -0.105 -19.746 -0.098 -19.670 -0.099 -19.643 -0.106 12.093 0.076 1.619 0.014 43.602 41.531
-15.800 -19.814 -0.105 -19.803 -0.098 -19.728 -0.096 -19.701 -0.103 12.058 0.068 1.669 0.013 43.623 41.506
-15.400 -19.869 -0.105 -19.859 -0.097 -19.785 -0.092 -19.758 -0.099 12.023 0.062 1.719 0.012 43.643 41.485
-15.000 -19.922 -0.103 -19.914 -0.095 -19.840 -0.088 -19.813 -0.095 11.992 0.056 1.769 0.011 43.664 41.469
-14.600 -19.974 -0.102 -19.967 -0.094 -19.895 -0.084 -19.867 -0.091 11.965 0.052 1.819 0.011 43.684 41.461
-14.200 -20.026 -0.100 -20.020 -0.092 -19.948 -0.079 -19.920 -0.086 11.944 0.050 1.868 0.010 43.704 41.462
-13.800 -20.076 -0.098 -20.071 -0.090 -19.999 -0.075 -19.970 -0.082 11.931 0.049 1.915 0.010 43.724 41.474
