"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-23.000 -19.878 -0.092 -19.850 -0.078 -19.715 -0.074 -19.675 -0.078 -19.472 -0.121 15.364 0.313 1.211 0.029 43.765 42.303
-22.600 -19.944 -0.086 -19.919 -0.072 -19.785 -0.069 -19.743 -0.072 -19.535 -0.114 15.361 0.366 1.250 0.035 43.793 42.399
-22.200 -20.011 -0.082 -19.988 -0.068 -19.854 -0.064 -19.812 -0.068 -19.599 -0.109 15.355 0.419 1.291 0.041 43.820 42.485
-21.800 -20.077 -0.080 -20.056 -0.066 -19.923 -0.062 -19.881 -0.065 -19.663 -0.105 15.346 0.472 1.333 0.048 43.846 42.563
-21.400 -20.141 -0.078 -20.123 -0.064 -19.992 -0.060 -19.949 -0.063 -19.727 -0.102 15.334 0.524 1.376 0.055 43.872 42.635
-21.000 -20.205 -0.078 -20.188 -0.064 -20.059 -0.060 -20.016 -0.063 -19.790 -0.099 15.315 0.574 1.420 0.062 43.898 42.700
-20.600 -20.266 -0.078 -20.252 -0.065 -20.124 -0.060 -20.081 -0.063 -19.852 -0.097 15.288 0.618 1.465 0.069 43.922 42.758
-20.200 -20.325 -0.079 -20.313 -0.067 -20.188 -0.062 -20.144 -0.064 -19.913 -0.096 15.249 0.656 1.511 0.076 43.944 42.807
-19.800 -20.381 -0.081 -20.370 -0.069 -20.248 -0.064 -20.205 -0.066 -19.973 -0.095 15.196 0.685 1.559 0.082 43.965 42.848
-19.400 -20.435 -0.083 -20.425 -0.072 -20.307 -0.066 -20.264 -0.068 -20.031 -0.094 15.130 0.706 1.608 0.088 43.985 42.881
-19.000 -20.486 -0.086 -20.477 -0.074 -20.362 -0.068 -20.321 -0.070 -20.087 -0.093 15.052 0.718 1.658 0.093 44.003 42.908
-18.600 -20.534 -0.088 -20.526 -0.077 -20.415 -0.071 -20.374 -0.072 -20.142 -0.093 14.965 0.722 1.710 0.097 44.019 42.928
-18.200 -20.580 -0.090 -20.573 -0.080 -20.465 -0.073 -20.425 -0.074 -20.194 -0.092 14.870 0.719 1.761 0.101 44.034 42.943
-17.800 -20.623 -0.093 -20.616 -0.082 -20.513 -0.075 -20.474 -0.075 -20.245 -0.092 14.769 0.710 1.814 0.103 44.047 42.952
