"Time (MJD)" g-4769.9 g-4769.9_err i-7774.3 i-7774.3_err r-6370.44 r-6370.44_err z-9154.88 z-9154.88_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-26.000 -20.167 -0.109 -20.808 -0.060 -20.698 -0.071 -20.618 -0.079 12.440 1.313 2.424 0.438 44.001 42.993
-25.600 -20.207 -0.105 -20.847 -0.057 -20.735 -0.068 -20.653 -0.075 12.483 1.340 2.453 0.449 44.017 43.019
-25.200 -20.247 -0.101 -20.887 -0.055 -20.772 -0.066 -20.687 -0.072 12.521 1.361 2.483 0.459 44.033 43.042
-24.800 -20.287 -0.098 -20.926 -0.054 -20.809 -0.065 -20.721 -0.070 12.553 1.374 2.515 0.468 44.049 43.064
-24.400 -20.328 -0.095 -20.965 -0.052 -20.845 -0.064 -20.756 -0.068 12.580 1.381 2.548 0.474 44.064 43.083
-24.000 -20.368 -0.092 -21.003 -0.052 -20.882 -0.063 -20.790 -0.066 12.602 1.382 2.582 0.480 44.079 43.100
-23.600 -20.409 -0.090 -21.040 -0.051 -20.918 -0.063 -20.824 -0.064 12.620 1.378 2.618 0.484 44.093 43.114
-23.200 -20.449 -0.087 -21.078 -0.051 -20.954 -0.063 -20.858 -0.063 12.635 1.370 2.655 0.488 44.107 43.127
-22.800 -20.489 -0.085 -21.114 -0.051 -20.990 -0.062 -20.891 -0.062 12.647 1.359 2.693 0.491 44.121 43.139
-22.400 -20.528 -0.083 -21.150 -0.051 -21.025 -0.062 -20.924 -0.062 12.658 1.345 2.732 0.493 44.135 43.149
-22.000 -20.568 -0.081 -21.186 -0.051 -21.060 -0.063 -20.957 -0.061 12.668 1.330 2.770 0.495 44.149 43.159
-21.600 -20.607 -0.079 -21.220 -0.052 -21.095 -0.063 -20.989 -0.061 12.678 1.314 2.809 0.496 44.162 43.167
-21.200 -20.645 -0.077 -21.254 -0.052 -21.129 -0.062 -21.021 -0.060 12.687 1.298 2.849 0.498 44.176 43.175
-20.800 -20.683 -0.074 -21.288 -0.052 -21.162 -0.062 -21.053 -0.060 12.697 1.282 2.888 0.499 44.189 43.183
-20.400 -20.721 -0.072 -21.320 -0.051 -21.195 -0.062 -21.083 -0.060 12.706 1.266 2.927 0.500 44.202 43.189
-20.000 -20.757 -0.070 -21.352 -0.051 -21.228 -0.062 -21.114 -0.059 12.716 1.250 2.966 0.502 44.215 43.196
-19.600 -20.793 -0.068 -21.383 -0.051 -21.260 -0.061 -21.143 -0.059 12.725 1.235 3.006 0.503 44.227 43.202
-19.200 -20.828 -0.066 -21.414 -0.050 -21.291 -0.061 -21.173 -0.058 12.733 1.220 3.045 0.505 44.240 43.208
-18.800 -20.863 -0.063 -21.443 -0.049 -21.321 -0.060 -21.201 -0.058 12.740 1.206 3.085 0.507 44.252 43.213
-18.400 -20.896 -0.061 -21.472 -0.048 -21.351 -0.059 -21.229 -0.057 12.746 1.192 3.125 0.509 44.264 43.218
-18.000 -20.928 -0.058 -21.500 -0.047 -21.380 -0.057 -21.257 -0.056 12.749 1.179 3.165 0.512 44.275 43.223
-17.600 -20.959 -0.056 -21.527 -0.046 -21.409 -0.056 -21.284 -0.055 12.750 1.166 3.206 0.515 44.287 43.227
-17.200 -20.990 -0.053 -21.553 -0.044 -21.436 -0.055 -21.310 -0.054 12.748 1.153 3.248 0.518 44.298 43.230
-16.800 -21.018 -0.050 -21.579 -0.042 -21.463 -0.053 -21.335 -0.053 12.742 1.140 3.291 0.522 44.308 43.233
-16.400 -21.046 -0.047 -21.603 -0.041 -21.489 -0.051 -21.360 -0.051 12.732 1.127 3.336 0.527 44.319 43.235
-16.000 -21.072 -0.044 -21.626 -0.039 -21.514 -0.049 -21.384 -0.050 12.717 1.115 3.381 0.532 44.329 43.236
-15.600 -21.097 -0.042 -21.649 -0.037 -21.538 -0.047 -21.407 -0.049 12.697 1.101 3.429 0.537 44.338 43.237
-15.200 -21.121 -0.039 -21.671 -0.035 -21.562 -0.045 -21.430 -0.047 12.672 1.088 3.478 0.543 44.347 43.237
-14.800 -21.143 -0.037 -21.691 -0.033 -21.584 -0.043 -21.452 -0.046 12.642 1.074 3.529 0.549 44.355 43.236
-14.400 -21.163 -0.034 -21.711 -0.032 -21.606 -0.042 -21.473 -0.045 12.608 1.060 3.581 0.555 44.363 43.234
-14.000 -21.182 -0.032 -21.730 -0.030 -21.627 -0.040 -21.494 -0.044 12.569 1.047 3.635 0.563 44.371 43.233
