"Time (MJD)" G-5850.88 G-5850.88_err cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-23.000 -21.390 -0.134 -21.322 -0.106 -21.211 -0.082 -21.125 -0.089 -21.083 -0.102 27.261 10.608 1.409 0.447 44.893 44.859
-22.600 -21.416 -0.131 -21.348 -0.102 -21.237 -0.077 -21.152 -0.083 -21.109 -0.096 16.645 0.136 2.251 0.019 44.443 42.635
-22.200 -21.442 -0.130 -21.374 -0.101 -21.264 -0.074 -21.178 -0.080 -21.136 -0.093 16.616 0.133 2.283 0.019 44.452 42.636
-21.800 -21.467 -0.130 -21.400 -0.101 -21.290 -0.074 -21.205 -0.078 -21.162 -0.091 16.565 0.129 2.318 0.019 44.460 42.633
-21.400 -21.492 -0.132 -21.426 -0.103 -21.317 -0.075 -21.232 -0.079 -21.190 -0.091 16.497 0.125 2.357 0.019 44.467 42.627
-21.000 -21.518 -0.134 -21.452 -0.106 -21.344 -0.078 -21.259 -0.081 -21.217 -0.092 16.417 0.121 2.398 0.019 44.474 42.618
-20.600 -21.542 -0.138 -21.477 -0.109 -21.371 -0.082 -21.287 -0.084 -21.245 -0.094 16.327 0.116 2.442 0.018 44.480 42.609
-20.200 -21.567 -0.141 -21.503 -0.114 -21.397 -0.086 -21.314 -0.087 -21.272 -0.097 16.230 0.112 2.488 0.018 44.486 42.600
-19.800 -21.592 -0.146 -21.528 -0.118 -21.424 -0.091 -21.342 -0.091 -21.300 -0.100 16.128 0.109 2.536 0.018 44.492 42.593
-19.400 -21.616 -0.150 -21.553 -0.123 -21.451 -0.096 -21.369 -0.095 -21.328 -0.103 16.023 0.106 2.585 0.018 44.497 42.587
-19.000 -21.640 -0.155 -21.578 -0.128 -21.477 -0.101 -21.396 -0.099 -21.355 -0.106 15.916 0.103 2.636 0.018 44.502 42.582
-18.600 -21.663 -0.159 -21.603 -0.133 -21.503 -0.105 -21.423 -0.103 -21.382 -0.110 15.807 0.101 2.687 0.019 44.507 42.579
