"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err g-4793.46 g-4793.46_err i-7589.41 i-7589.41_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6120.65 r-6120.65_err r-6366.38 r-6366.38_err z-8970.57 z-8970.57_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-21.000 -21.445 -0.131 -21.442 -0.129 -21.415 -0.112 -21.327 -0.099 -21.300 -0.098 -21.270 -0.099 -21.151 -0.113 -21.120 -0.119 -20.972 -0.182 15.861 0.091 2.343 0.016 44.394 42.371
-20.600 -21.463 -0.128 -21.460 -0.126 -21.434 -0.109 -21.346 -0.096 -21.320 -0.096 -21.290 -0.097 -21.172 -0.110 -21.141 -0.116 -20.992 -0.179 15.812 0.087 2.373 0.016 44.399 42.356
-20.200 -21.480 -0.125 -21.478 -0.123 -21.452 -0.107 -21.366 -0.094 -21.339 -0.093 -21.310 -0.094 -21.193 -0.107 -21.162 -0.114 -21.012 -0.176 15.760 0.083 2.403 0.015 44.405 42.342
-19.800 -21.498 -0.123 -21.495 -0.120 -21.470 -0.104 -21.385 -0.092 -21.359 -0.091 -21.330 -0.092 -21.214 -0.105 -21.183 -0.111 -21.032 -0.173 15.707 0.080 2.435 0.015 44.410 42.330
-19.400 -21.515 -0.120 -21.513 -0.118 -21.488 -0.102 -21.405 -0.090 -21.379 -0.090 -21.350 -0.091 -21.234 -0.102 -21.203 -0.109 -21.053 -0.171 15.652 0.077 2.467 0.015 44.415 42.319
-19.000 -21.532 -0.118 -21.530 -0.116 -21.506 -0.100 -21.424 -0.089 -21.399 -0.088 -21.370 -0.089 -21.255 -0.100 -21.224 -0.106 -21.073 -0.168 15.595 0.074 2.500 0.014 44.421 42.310
-18.600 -21.549 -0.116 -21.547 -0.114 -21.524 -0.099 -21.443 -0.087 -21.418 -0.087 -21.390 -0.088 -21.276 -0.099 -21.245 -0.105 -21.093 -0.166 15.537 0.073 2.534 0.014 44.426 42.304
-18.200 -21.566 -0.114 -21.564 -0.112 -21.542 -0.097 -21.463 -0.086 -21.438 -0.086 -21.410 -0.086 -21.297 -0.097 -21.266 -0.103 -21.113 -0.164 15.478 0.071 2.568 0.014 44.431 42.301
-17.800 -21.583 -0.112 -21.581 -0.110 -21.559 -0.096 -21.482 -0.085 -21.457 -0.085 -21.430 -0.085 -21.317 -0.095 -21.287 -0.101 -21.133 -0.162 15.417 0.071 2.603 0.015 44.436 42.302
-17.400 -21.600 -0.111 -21.598 -0.108 -21.577 -0.095 -21.501 -0.084 -21.477 -0.084 -21.450 -0.084 -21.338 -0.094 -21.307 -0.099 -21.153 -0.160 15.356 0.070 2.639 0.015 44.441 42.306
