"Time (MJD)" G-5850.88 G-5850.88_err cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-21.000 -19.448 -0.093 -19.316 -0.085 -19.109 -0.096 -18.962 -0.117 -18.894 -0.132 35.201 0.955 0.456 0.009 44.358 43.194
-20.600 -19.505 -0.083 -19.374 -0.076 -19.167 -0.089 -19.019 -0.109 -18.951 -0.125 35.186 1.060 0.469 0.010 44.380 43.261
-20.200 -19.562 -0.075 -19.432 -0.069 -19.225 -0.083 -19.077 -0.103 -19.008 -0.119 35.005 1.160 0.483 0.012 44.398 43.320
-19.800 -19.619 -0.067 -19.490 -0.063 -19.284 -0.078 -19.136 -0.098 -19.067 -0.114 34.641 1.245 0.500 0.013 44.409 43.365
-19.400 -19.675 -0.061 -19.548 -0.058 -19.343 -0.075 -19.195 -0.094 -19.125 -0.109 34.080 1.300 0.520 0.015 44.415 43.394
-19.000 -19.731 -0.057 -19.605 -0.056 -19.402 -0.073 -19.255 -0.092 -19.185 -0.106 33.323 1.316 0.543 0.016 44.414 43.406
-18.600 -19.785 -0.056 -19.662 -0.056 -19.461 -0.073 -19.314 -0.089 -19.244 -0.103 32.382 1.297 0.570 0.017 44.405 43.401
-18.200 -19.837 -0.056 -19.717 -0.057 -19.519 -0.072 -19.373 -0.088 -19.303 -0.101 31.279 1.257 0.600 0.019 44.391 43.384
-17.800 -19.888 -0.059 -19.770 -0.059 -19.576 -0.073 -19.432 -0.087 -19.362 -0.099 30.070 1.200 0.635 0.020 44.371 43.357
-17.400 -19.936 -0.062 -19.822 -0.062 -19.633 -0.074 -19.490 -0.086 -19.420 -0.098 28.819 1.130 0.673 0.021 44.347 43.322
-17.000 -19.982 -0.066 -19.872 -0.066 -19.688 -0.075 -19.547 -0.086 -19.477 -0.097 27.574 1.051 0.714 0.022 44.322 43.279
-16.600 -20.027 -0.070 -19.920 -0.070 -19.741 -0.077 -19.603 -0.085 -19.533 -0.096 26.370 0.969 0.758 0.023 44.297 43.233
-16.200 -20.070 -0.075 -19.966 -0.073 -19.792 -0.078 -19.657 -0.085 -19.588 -0.095 25.232 0.888 0.804 0.024 44.271 43.184
-15.800 -20.110 -0.079 -20.011 -0.076 -19.842 -0.079 -19.709 -0.085 -19.641 -0.094 24.175 0.811 0.852 0.024 44.248 43.134
-15.400 -20.150 -0.082 -20.054 -0.079 -19.890 -0.080 -19.760 -0.085 -19.693 -0.094 23.203 0.738 0.902 0.025 44.225 43.083
-15.000 -20.187 -0.085 -20.095 -0.082 -19.936 -0.082 -19.809 -0.085 -19.743 -0.093 22.312 0.669 0.953 0.025 44.205 43.031
-14.600 -20.223 -0.087 -20.134 -0.084 -19.981 -0.082 -19.857 -0.085 -19.792 -0.093 21.492 0.603 1.005 0.025 44.186 42.977
-14.200 -20.257 -0.089 -20.171 -0.085 -20.023 -0.083 -19.902 -0.085 -19.839 -0.092 20.737 0.539 1.058 0.025 44.169 42.920
-13.800 -20.290 -0.090 -20.207 -0.086 -20.064 -0.083 -19.946 -0.085 -19.884 -0.091 20.038 0.477 1.112 0.025 44.153 42.859
-13.400 -20.322 -0.091 -20.242 -0.086 -20.104 -0.083 -19.989 -0.084 -19.928 -0.090 19.389 0.419 1.168 0.024 44.138 42.796
-13.000 -20.352 -0.091 -20.275 -0.086 -20.142 -0.083 -20.030 -0.083 -19.971 -0.089 18.786 0.365 1.225 0.023 44.124 42.729
-12.600 -20.381 -0.090 -20.307 -0.086 -20.179 -0.082 -20.070 -0.082 -20.013 -0.088 18.225 0.314 1.283 0.022 44.112 42.658
-12.200 -20.409 -0.089 -20.338 -0.085 -20.214 -0.082 -20.109 -0.081 -20.053 -0.087 17.700 0.268 1.342 0.020 44.100 42.583
-11.800 -20.436 -0.088 -20.367 -0.083 -20.249 -0.081 -20.147 -0.080 -20.093 -0.085 17.211 0.227 1.402 0.019 44.089 42.504
-11.400 -20.462 -0.085 -20.396 -0.081 -20.282 -0.079 -20.184 -0.079 -20.131 -0.084 16.753 0.189 1.463 0.017 44.080 42.421
-11.000 -20.488 -0.083 -20.424 -0.079 -20.315 -0.078 -20.220 -0.077 -20.169 -0.082 16.325 0.157 1.526 0.015 44.071 42.333
-10.600 -20.512 -0.080 -20.452 -0.077 -20.347 -0.077 -20.255 -0.076 -20.206 -0.081 15.926 0.128 1.589 0.014 44.063 42.241
-10.200 -20.536 -0.077 -20.478 -0.075 -20.378 -0.076 -20.290 -0.075 -20.242 -0.080 15.556 0.104 1.653 0.012 44.057 42.147
