"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err g-4793.46 g-4793.46_err i-7589.41 i-7589.41_err orange-6629.82 orange-6629.82_err r-6120.65 r-6120.65_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-36.000 -20.055 -0.128 -20.046 -0.126 -19.972 -0.114 -19.788 -0.122 -19.741 -0.130 -19.691 -0.140 -19.529 -0.198 19.442 0.736 0.952 0.038 43.965 42.821
-35.600 -20.077 -0.126 -20.068 -0.124 -19.994 -0.112 -19.810 -0.120 -19.763 -0.128 -19.713 -0.138 -19.550 -0.196 21.193 0.241 0.880 0.010 44.046 42.403
-35.200 -20.099 -0.124 -20.090 -0.122 -20.017 -0.110 -19.832 -0.119 -19.785 -0.126 -19.735 -0.137 -19.572 -0.194 21.194 0.232 0.888 0.010 44.055 42.394
-34.800 -20.121 -0.123 -20.112 -0.120 -20.039 -0.109 -19.855 -0.118 -19.807 -0.125 -19.758 -0.135 -19.594 -0.192 21.188 0.222 0.898 0.009 44.064 42.383
-34.400 -20.143 -0.122 -20.134 -0.119 -20.062 -0.108 -19.878 -0.117 -19.830 -0.125 -19.780 -0.135 -19.616 -0.191 21.175 0.211 0.908 0.009 44.072 42.371
-34.000 -20.165 -0.121 -20.157 -0.119 -20.084 -0.108 -19.901 -0.117 -19.853 -0.124 -19.803 -0.134 -19.638 -0.189 21.156 0.201 0.918 0.009 44.080 42.358
-33.600 -20.187 -0.121 -20.179 -0.118 -20.107 -0.108 -19.924 -0.117 -19.876 -0.124 -19.826 -0.134 -19.660 -0.189 21.132 0.191 0.929 0.008 44.088 42.343
-33.200 -20.210 -0.120 -20.202 -0.118 -20.130 -0.108 -19.947 -0.117 -19.899 -0.124 -19.849 -0.134 -19.683 -0.188 21.102 0.180 0.940 0.008 44.096 42.326
-32.800 -20.232 -0.121 -20.224 -0.119 -20.153 -0.109 -19.970 -0.118 -19.923 -0.125 -19.873 -0.134 -19.705 -0.187 21.066 0.169 0.952 0.008 44.104 42.307
-32.400 -20.255 -0.121 -20.247 -0.119 -20.176 -0.109 -19.994 -0.118 -19.946 -0.125 -19.896 -0.134 -19.728 -0.187 21.026 0.158 0.964 0.007 44.112 42.286
-32.000 -20.277 -0.121 -20.269 -0.120 -20.199 -0.110 -20.017 -0.119 -19.970 -0.126 -19.920 -0.135 -19.751 -0.186 20.981 0.147 0.976 0.007 44.119 42.262
-31.600 -20.300 -0.122 -20.292 -0.120 -20.222 -0.111 -20.041 -0.120 -19.994 -0.126 -19.943 -0.135 -19.775 -0.186 20.932 0.135 0.989 0.007 44.126 42.235
-31.200 -20.322 -0.123 -20.314 -0.121 -20.245 -0.112 -20.065 -0.121 -20.017 -0.127 -19.967 -0.136 -19.798 -0.186 20.879 0.124 1.002 0.006 44.134 42.205
-30.800 -20.345 -0.124 -20.337 -0.122 -20.268 -0.113 -20.089 -0.122 -20.041 -0.128 -19.991 -0.137 -19.821 -0.186 20.823 0.113 1.016 0.006 44.141 42.171
-30.400 -20.368 -0.124 -20.360 -0.123 -20.291 -0.114 -20.113 -0.123 -20.065 -0.129 -20.015 -0.137 -19.845 -0.186 20.763 0.102 1.030 0.005 44.148 42.134
