"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err i-7457.89 i-7457.89_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-30.000 -20.891 -0.080 -20.853 -0.068 -20.727 -0.059 -20.695 -0.064 -20.595 -0.111 16.012 0.165 1.795 0.022 44.179 42.403
-29.600 -20.923 -0.075 -20.885 -0.064 -20.758 -0.055 -20.726 -0.060 -20.625 -0.108 16.046 0.149 1.817 0.020 44.193 42.373
-29.200 -20.955 -0.070 -20.918 -0.059 -20.790 -0.051 -20.758 -0.057 -20.655 -0.105 16.080 0.134 1.839 0.018 44.207 42.339
-28.800 -20.987 -0.065 -20.950 -0.056 -20.822 -0.048 -20.789 -0.054 -20.685 -0.102 16.115 0.118 1.861 0.016 44.221 42.298
-28.400 -21.019 -0.061 -20.983 -0.052 -20.854 -0.046 -20.820 -0.051 -20.715 -0.100 16.154 0.103 1.883 0.014 44.236 42.252
-28.000 -21.051 -0.057 -21.016 -0.049 -20.885 -0.044 -20.852 -0.050 -20.744 -0.099 16.197 0.089 1.905 0.013 44.250 42.202
-27.600 -21.084 -0.053 -21.048 -0.047 -20.917 -0.043 -20.883 -0.048 -20.774 -0.097 16.247 0.077 1.926 0.011 44.265 42.149
-27.200 -21.116 -0.050 -21.081 -0.044 -20.948 -0.042 -20.914 -0.047 -20.804 -0.096 16.305 0.066 1.946 0.009 44.280 42.094
-26.800 -21.149 -0.047 -21.114 -0.042 -20.979 -0.041 -20.944 -0.046 -20.833 -0.095 16.368 0.056 1.965 0.008 44.295 42.035
-26.400 -21.182 -0.043 -21.147 -0.040 -21.010 -0.040 -20.974 -0.045 -20.863 -0.094 16.435 0.047 1.984 0.007 44.311 41.976
-26.000 -21.214 -0.041 -21.179 -0.039 -21.040 -0.039 -21.005 -0.045 -20.892 -0.094 16.504 0.041 2.003 0.006 44.326 41.930
-25.600 -21.246 -0.038 -21.212 -0.037 -21.070 -0.039 -21.034 -0.044 -20.921 -0.094 16.570 0.039 2.022 0.006 44.342 41.920
-25.200 -21.278 -0.035 -21.244 -0.036 -21.100 -0.038 -21.064 -0.044 -20.950 -0.093 16.633 0.042 2.041 0.006 44.356 41.959
-24.800 -21.309 -0.032 -21.275 -0.034 -21.130 -0.037 -21.094 -0.043 -20.979 -0.093 16.687 0.048 2.062 0.007 44.371 42.029
-24.400 -21.340 -0.030 -21.306 -0.033 -21.159 -0.037 -21.123 -0.042 -21.008 -0.093 16.731 0.055 2.084 0.008 44.385 42.104
-24.000 -21.370 -0.027 -21.337 -0.032 -21.188 -0.036 -21.152 -0.042 -21.036 -0.093 16.762 0.063 2.108 0.010 44.398 42.169
-23.600 -21.399 -0.025 -21.366 -0.031 -21.217 -0.035 -21.181 -0.041 -21.064 -0.093 16.776 0.069 2.135 0.011 44.410 42.217
-23.200 -21.427 -0.023 -21.395 -0.031 -21.246 -0.034 -21.209 -0.040 -21.092 -0.093 16.772 0.073 2.163 0.012 44.421 42.249
-22.800 -21.455 -0.022 -21.423 -0.030 -21.275 -0.033 -21.238 -0.039 -21.120 -0.093 16.746 0.075 2.196 0.012 44.432 42.268
-22.400 -21.481 -0.021 -21.450 -0.030 -21.303 -0.032 -21.266 -0.039 -21.147 -0.093 16.694 0.077 2.232 0.013 44.440 42.287
-22.000 -21.506 -0.020 -21.476 -0.030 -21.331 -0.031 -21.293 -0.038 -21.174 -0.093 16.616 0.080 2.272 0.014 44.448 42.311
-21.600 -21.529 -0.020 -21.501 -0.029 -21.358 -0.031 -21.321 -0.037 -21.200 -0.093 16.512 0.084 2.316 0.015 44.454 42.339
-21.200 -21.551 -0.020 -21.525 -0.029 -21.384 -0.030 -21.347 -0.037 -21.226 -0.093 16.389 0.089 2.364 0.016 44.458 42.368
-20.800 -21.572 -0.020 -21.548 -0.030 -21.411 -0.030 -21.374 -0.037 -21.252 -0.093 16.252 0.093 2.415 0.018 44.462 42.394
-20.400 -21.592 -0.021 -21.569 -0.030 -21.436 -0.029 -21.399 -0.036 -21.277 -0.093 16.103 0.097 2.468 0.019 44.465 42.417
-20.000 -21.610 -0.021 -21.590 -0.030 -21.461 -0.029 -21.424 -0.036 -21.301 -0.093 15.949 0.101 2.523 0.020 44.468 42.437
-19.600 -21.628 -0.022 -21.609 -0.030 -21.485 -0.029 -21.449 -0.036 -21.325 -0.093 15.790 0.104 2.580 0.022 44.470 42.455
-19.200 -21.645 -0.023 -21.627 -0.031 -21.508 -0.028 -21.472 -0.035 -21.348 -0.093 15.631 0.107 2.637 0.023 44.471 42.471
-18.800 -21.660 -0.023 -21.645 -0.031 -21.530 -0.028 -21.495 -0.035 -21.371 -0.093 15.472 0.110 2.696 0.025 44.472 42.486
-18.400 -21.675 -0.024 -21.661 -0.031 -21.552 -0.028 -21.517 -0.035 -21.392 -0.093 15.314 0.114 2.755 0.027 44.473 42.500
-18.000 -21.689 -0.025 -21.676 -0.032 -21.572 -0.028 -21.537 -0.035 -21.413 -0.093 15.158 0.116 2.814 0.028 44.474 42.513
-17.600 -21.701 -0.025 -21.690 -0.032 -21.591 -0.028 -21.557 -0.035 -21.433 -0.093 15.003 0.119 2.872 0.030 44.474 42.521
-17.200 -21.713 -0.026 -21.703 -0.032 -21.609 -0.028 -21.575 -0.035 -21.453 -0.093 14.852 0.120 2.931 0.031 44.474 42.525
-16.800 -21.723 -0.026 -21.714 -0.032 -21.625 -0.028 -21.593 -0.035 -21.471 -0.093 14.704 0.119 2.988 0.032 44.474 42.522
-16.400 -21.731 -0.027 -21.724 -0.032 -21.640 -0.028 -21.609 -0.035 -21.489 -0.094 14.560 0.117 3.045 0.033 44.473 42.512
-16.000 -21.739 -0.027 -21.733 -0.033 -21.654 -0.028 -21.623 -0.035 -21.506 -0.094 14.418 0.113 3.101 0.033 44.471 42.496
-15.600 -21.745 -0.027 -21.740 -0.033 -21.666 -0.029 -21.637 -0.035 -21.522 -0.094 14.276 0.109 3.157 0.033 44.470 42.475
-15.200 -21.750 -0.027 -21.746 -0.032 -21.678 -0.029 -21.649 -0.036 -21.537 -0.094 14.134 0.105 3.213 0.033 44.468 42.453
-14.800 -21.753 -0.027 -21.751 -0.032 -21.688 -0.029 -21.661 -0.036 -21.551 -0.094 13.990 0.101 3.269 0.033 44.465 42.430
-14.400 -21.756 -0.026 -21.755 -0.032 -21.697 -0.030 -21.671 -0.036 -21.564 -0.094 13.845 0.098 3.326 0.033 44.462 42.408
-14.000 -21.757 -0.026 -21.757 -0.032 -21.705 -0.030 -21.680 -0.037 -21.577 -0.094 13.699 0.095 3.383 0.033 44.458 42.387
-13.600 -21.757 -0.025 -21.759 -0.031 -21.712 -0.030 -21.689 -0.037 -21.589 -0.094 13.554 0.094 3.440 0.034 44.454 42.371
-13.200 -21.756 -0.025 -21.760 -0.031 -21.719 -0.030 -21.696 -0.037 -21.600 -0.095 13.412 0.094 3.498 0.036 44.450 42.358
-12.800 -21.754 -0.024 -21.760 -0.030 -21.725 -0.031 -21.703 -0.037 -21.611 -0.095 13.275 0.094 3.554 0.037 44.446 42.349
-12.400 -21.752 -0.023 -21.760 -0.030 -21.730 -0.031 -21.710 -0.038 -21.620 -0.095 13.144 0.096 3.608 0.039 44.442 42.342
-12.000 -21.750 -0.022 -21.759 -0.029 -21.735 -0.031 -21.716 -0.038 -21.630 -0.095 13.021 0.097 3.661 0.041 44.439 42.335
-11.600 -21.748 -0.021 -21.758 -0.029 -21.739 -0.031 -21.721 -0.038 -21.638 -0.095 12.906 0.098 3.712 0.043 44.435 42.327
-11.200 -21.746 -0.020 -21.758 -0.028 -21.743 -0.031 -21.726 -0.038 -21.646 -0.095 12.802 0.099 3.759 0.045 44.432 42.316
-10.800 -21.744 -0.019 -21.758 -0.028 -21.747 -0.031 -21.731 -0.037 -21.654 -0.095 12.712 0.099 3.801 0.046 44.430 42.306
-10.400 -21.744 -0.019 -21.759 -0.028 -21.750 -0.030 -21.735 -0.037 -21.661 -0.095 12.641 0.099 3.836 0.047 44.428 42.300
-10.000 -21.744 -0.019 -21.760 -0.028 -21.754 -0.030 -21.739 -0.037 -21.668 -0.095 12.592 0.101 3.863 0.049 44.427 42.307
-9.600 -21.746 -0.019 -21.762 -0.028 -21.757 -0.030 -21.743 -0.037 -21.675 -0.095 12.566 0.106 3.880 0.051 44.427 42.326
-9.200 -21.749 -0.019 -21.764 -0.028 -21.760 -0.030 -21.747 -0.037 -21.681 -0.095 12.555 0.111 3.890 0.054 44.428 42.350
-8.800 -21.753 -0.020 -21.767 -0.028 -21.763 -0.029 -21.750 -0.036 -21.686 -0.095 12.557 0.116 3.895 0.056 44.430 42.375
-8.400 -21.757 -0.020 -21.770 -0.028 -21.766 -0.029 -21.753 -0.036 -21.692 -0.095 12.568 0.121 3.897 0.058 44.431 42.400
-8.000 -21.762 -0.020 -21.774 -0.028 -21.768 -0.029 -21.756 -0.036 -21.697 -0.095 12.585 0.126 3.895 0.060 44.433 42.422
-7.600 -21.766 -0.020 -21.777 -0.028 -21.771 -0.028 -21.759 -0.035 -21.701 -0.094 12.603 0.130 3.893 0.062 44.435 42.442
-7.200 -21.770 -0.020 -21.780 -0.028 -21.773 -0.027 -21.762 -0.035 -21.706 -0.094 12.619 0.133 3.891 0.063 44.437 42.457
-6.800 -21.773 -0.020 -21.783 -0.028 -21.775 -0.027 -21.764 -0.034 -21.710 -0.094 12.629 0.135 3.891 0.064 44.438 42.467
-6.400 -21.775 -0.020 -21.785 -0.028 -21.777 -0.026 -21.766 -0.034 -21.714 -0.094 12.630 0.135 3.894 0.064 44.439 42.470
