"Time (MJD)" g-4671.78 g-4671.78_err i-7457.89 i-7457.89_err r-6141.12 r-6141.12_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-2.000 -20.770 -0.196 -21.054 -0.137 -20.871 -0.044 9.560 1.208 3.961 0.662 43.970 43.218
-1.600 -20.761 -0.192 -21.049 -0.135 -20.869 -0.042 9.512 1.183 3.983 0.656 43.966 43.205
-1.200 -20.751 -0.189 -21.044 -0.133 -20.867 -0.040 9.453 1.157 4.010 0.651 43.962 43.190
-0.800 -20.741 -0.185 -21.038 -0.131 -20.866 -0.039 9.391 1.130 4.041 0.648 43.957 43.175
-0.400 -20.731 -0.182 -21.033 -0.130 -20.864 -0.038 9.325 1.103 4.075 0.647 43.952 43.158
-0.000 -20.720 -0.179 -21.027 -0.128 -20.862 -0.039 9.257 1.077 4.111 0.646 43.946 43.140
0.400 -20.710 -0.175 -21.021 -0.126 -20.860 -0.040 9.186 1.050 4.149 0.646 43.941 43.120
0.800 -20.699 -0.172 -21.015 -0.125 -20.858 -0.041 9.115 1.024 4.189 0.648 43.936 43.101
1.200 -20.687 -0.170 -21.009 -0.124 -20.856 -0.043 9.042 0.998 4.231 0.650 43.931 43.080
1.600 -20.676 -0.167 -21.002 -0.123 -20.854 -0.045 8.968 0.972 4.275 0.652 43.926 43.058
2.000 -20.664 -0.164 -20.995 -0.122 -20.852 -0.048 8.894 0.947 4.320 0.655 43.920 43.036
2.400 -20.653 -0.161 -20.988 -0.121 -20.850 -0.050 8.820 0.922 4.366 0.658 43.915 43.013
2.800 -20.640 -0.159 -20.981 -0.120 -20.847 -0.052 8.747 0.897 4.413 0.662 43.910 42.990
3.200 -20.628 -0.156 -20.974 -0.119 -20.845 -0.055 8.673 0.873 4.461 0.665 43.904 42.966
3.600 -20.615 -0.154 -20.967 -0.118 -20.842 -0.057 8.601 0.849 4.509 0.669 43.899 42.942
4.000 -20.603 -0.151 -20.959 -0.117 -20.839 -0.059 8.529 0.826 4.558 0.672 43.894 42.918
4.400 -20.589 -0.149 -20.951 -0.116 -20.836 -0.062 8.458 0.804 4.607 0.675 43.889 42.893
4.800 -20.576 -0.147 -20.943 -0.116 -20.833 -0.064 8.388 0.782 4.657 0.678 43.884 42.868
5.200 -20.562 -0.144 -20.934 -0.115 -20.829 -0.066 8.319 0.760 4.706 0.680 43.878 42.844
5.600 -20.548 -0.142 -20.926 -0.114 -20.826 -0.068 8.251 0.739 4.756 0.683 43.873 42.819
6.000 -20.534 -0.140 -20.917 -0.113 -20.822 -0.069 8.184 0.719 4.805 0.685 43.868 42.794
6.400 -20.519 -0.138 -20.907 -0.112 -20.818 -0.071 8.118 0.699 4.854 0.686 43.863 42.769
6.800 -20.504 -0.135 -20.898 -0.111 -20.814 -0.073 8.053 0.679 4.904 0.688 43.858 42.744
7.200 -20.489 -0.133 -20.889 -0.110 -20.809 -0.074 7.989 0.660 4.953 0.689 43.853 42.719
7.600 -20.473 -0.131 -20.879 -0.109 -20.805 -0.075 7.926 0.642 5.002 0.690 43.847 42.695
8.000 -20.458 -0.129 -20.869 -0.108 -20.800 -0.077 7.864 0.624 5.051 0.690 43.842 42.671
