"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-18.000 -20.667 -0.166 -20.628 -0.158 -20.519 -0.164 -20.496 -0.172 14.873 0.271 1.803 0.042 44.054 42.489
-17.600 -20.711 -0.159 -20.672 -0.150 -20.563 -0.157 -20.539 -0.164 14.892 0.266 1.837 0.042 44.073 42.499
-17.200 -20.756 -0.153 -20.717 -0.144 -20.607 -0.150 -20.583 -0.157 14.900 0.260 1.873 0.042 44.091 42.508
-16.800 -20.801 -0.148 -20.762 -0.138 -20.652 -0.144 -20.628 -0.151 14.900 0.254 1.912 0.041 44.109 42.514
-16.400 -20.846 -0.143 -20.808 -0.133 -20.698 -0.138 -20.674 -0.145 14.894 0.246 1.954 0.041 44.127 42.520
-16.000 -20.891 -0.138 -20.854 -0.129 -20.744 -0.133 -20.720 -0.140 14.883 0.238 1.998 0.041 44.145 42.524
-15.600 -20.937 -0.135 -20.900 -0.125 -20.791 -0.129 -20.766 -0.135 14.868 0.230 2.043 0.040 44.162 42.527
-15.200 -20.982 -0.131 -20.946 -0.121 -20.837 -0.124 -20.812 -0.131 14.851 0.221 2.090 0.040 44.180 42.528
-14.800 -21.028 -0.127 -20.992 -0.117 -20.884 -0.120 -20.858 -0.126 14.833 0.212 2.138 0.039 44.198 42.528
-14.400 -21.073 -0.124 -21.038 -0.114 -20.930 -0.115 -20.904 -0.122 14.814 0.203 2.187 0.038 44.215 42.526
-14.000 -21.117 -0.120 -21.083 -0.110 -20.975 -0.111 -20.949 -0.117 14.793 0.194 2.237 0.037 44.232 42.524
-13.600 -21.160 -0.116 -21.127 -0.106 -21.020 -0.106 -20.994 -0.112 14.773 0.184 2.287 0.036 44.249 42.520
-13.200 -21.203 -0.112 -21.171 -0.102 -21.064 -0.101 -21.037 -0.107 14.752 0.175 2.337 0.035 44.266 42.515
-12.800 -21.245 -0.108 -21.213 -0.097 -21.107 -0.096 -21.080 -0.102 14.731 0.166 2.387 0.034 44.282 42.508
-12.400 -21.285 -0.104 -21.254 -0.093 -21.148 -0.091 -21.121 -0.096 14.710 0.157 2.437 0.033 44.297 42.501
-12.000 -21.323 -0.099 -21.293 -0.088 -21.188 -0.085 -21.160 -0.091 14.689 0.149 2.486 0.032 44.312 42.493
-11.600 -21.360 -0.095 -21.331 -0.083 -21.226 -0.079 -21.198 -0.085 14.668 0.141 2.534 0.031 44.326 42.485
-11.200 -21.395 -0.090 -21.367 -0.078 -21.262 -0.073 -21.234 -0.079 14.646 0.134 2.581 0.030 44.339 42.477
-10.800 -21.428 -0.085 -21.400 -0.073 -21.296 -0.068 -21.268 -0.074 14.623 0.128 2.627 0.029 44.352 42.470
-10.400 -21.459 -0.081 -21.432 -0.068 -21.328 -0.062 -21.300 -0.069 14.598 0.124 2.671 0.029 44.363 42.467
-10.000 -21.487 -0.076 -21.461 -0.064 -21.358 -0.057 -21.329 -0.064 14.572 0.121 2.713 0.029 44.374 42.469
-9.600 -21.513 -0.072 -21.487 -0.060 -21.385 -0.053 -21.357 -0.060 14.543 0.122 2.754 0.029 44.383 42.481
-9.200 -21.537 -0.069 -21.511 -0.057 -21.410 -0.051 -21.382 -0.057 14.515 0.125 2.791 0.031 44.392 42.501
-8.800 -21.558 -0.065 -21.532 -0.054 -21.432 -0.049 -21.404 -0.056 14.493 0.130 2.825 0.032 44.400 42.524
-8.400 -21.578 -0.062 -21.551 -0.052 -21.452 -0.049 -21.424 -0.056 14.478 0.136 2.855 0.034 44.407 42.550
-8.000 -21.595 -0.060 -21.569 -0.050 -21.470 -0.050 -21.442 -0.056 14.470 0.144 2.880 0.037 44.413 42.576
-7.600 -21.611 -0.058 -21.584 -0.049 -21.486 -0.051 -21.458 -0.057 14.469 0.152 2.902 0.039 44.420 42.602
-7.200 -21.626 -0.056 -21.598 -0.049 -21.500 -0.052 -21.473 -0.058 14.477 0.160 2.919 0.042 44.426 42.628
-6.800 -21.639 -0.055 -21.611 -0.048 -21.512 -0.053 -21.486 -0.060 14.492 0.168 2.932 0.044 44.432 42.653
-6.400 -21.651 -0.054 -21.623 -0.047 -21.523 -0.055 -21.497 -0.061 14.514 0.176 2.942 0.047 44.437 42.676
-6.000 -21.662 -0.053 -21.633 -0.047 -21.533 -0.055 -21.507 -0.062 14.542 0.184 2.948 0.049 44.442 42.697
-5.600 -21.672 -0.051 -21.642 -0.046 -21.541 -0.056 -21.515 -0.062 14.576 0.191 2.951 0.051 44.447 42.716
-5.200 -21.681 -0.050 -21.650 -0.045 -21.548 -0.057 -21.522 -0.063 14.614 0.198 2.952 0.052 44.452 42.735
-4.800 -21.688 -0.049 -21.657 -0.045 -21.554 -0.058 -21.528 -0.064 14.658 0.205 2.949 0.054 44.457 42.752
-4.400 -21.695 -0.048 -21.663 -0.044 -21.559 -0.058 -21.533 -0.065 14.703 0.212 2.945 0.056 44.461 42.769
-4.000 -21.701 -0.047 -21.668 -0.044 -21.563 -0.059 -21.537 -0.066 14.751 0.218 2.939 0.057 44.465 42.783
-3.600 -21.706 -0.047 -21.672 -0.044 -21.566 -0.060 -21.540 -0.067 14.798 0.223 2.933 0.058 44.468 42.796
-3.200 -21.710 -0.048 -21.676 -0.045 -21.568 -0.061 -21.542 -0.068 14.845 0.226 2.925 0.058 44.471 42.807
-2.800 -21.714 -0.049 -21.679 -0.046 -21.570 -0.061 -21.544 -0.068 14.892 0.228 2.917 0.058 44.475 42.816
-2.400 -21.718 -0.051 -21.682 -0.047 -21.571 -0.062 -21.545 -0.068 14.941 0.230 2.908 0.058 44.478 42.824
-2.000 -21.721 -0.052 -21.684 -0.048 -21.572 -0.062 -21.545 -0.068 14.992 0.231 2.898 0.058 44.480 42.830
-1.600 -21.723 -0.053 -21.686 -0.049 -21.572 -0.061 -21.546 -0.068 15.044 0.231 2.887 0.057 44.483 42.836
-1.200 -21.726 -0.054 -21.688 -0.049 -21.572 -0.061 -21.546 -0.068 15.100 0.231 2.875 0.056 44.486 42.840
-0.800 -21.728 -0.055 -21.689 -0.049 -21.572 -0.061 -21.545 -0.068 15.159 0.230 2.862 0.055 44.489 42.842
-0.400 -21.730 -0.056 -21.691 -0.050 -21.572 -0.061 -21.544 -0.068 15.222 0.227 2.848 0.054 44.492 42.840
-0.000 -21.732 -0.056 -21.692 -0.050 -21.571 -0.061 -21.544 -0.068 15.286 0.221 2.834 0.052 44.495 42.834
0.400 -21.733 -0.057 -21.693 -0.051 -21.570 -0.061 -21.542 -0.068 15.349 0.216 2.820 0.050 44.498 42.826
0.800 -21.734 -0.058 -21.694 -0.051 -21.569 -0.061 -21.541 -0.068 15.406 0.209 2.807 0.048 44.500 42.817
1.200 -21.734 -0.059 -21.694 -0.052 -21.568 -0.061 -21.539 -0.069 15.451 0.204 2.796 0.046 44.502 42.807
