"Time (MJD)" B-4369.53 B-4369.53_err UVM2-2245.03 UVM2-2245.03_err UVW1-2681.67 UVW1-2681.67_err UVW2-2083.95 UVW2-2083.95_err g-4671.78 g-4671.78_err i-7457.89 i-7457.89_err r-6141.12 r-6141.12_err u-3520.88 u-3520.88_err z-8922.78 z-8922.78_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-25.000 -18.585 -0.198 -18.627 -0.176 -18.729 -0.178 -18.942 -0.190 -19.135 -0.166 -19.188 -0.171 -19.295 -0.137 -19.070 -0.203 -18.808 -0.244 14.104 0.712 1.015 0.093 43.463 42.282
-24.600 -18.612 -0.194 -18.656 -0.172 -18.761 -0.175 -18.978 -0.187 -19.179 -0.163 -19.233 -0.168 -19.340 -0.134 -19.118 -0.200 -18.852 -0.240 14.039 0.705 1.043 0.096 43.478 42.296
-24.200 -18.639 -0.190 -18.685 -0.169 -18.792 -0.173 -19.013 -0.185 -19.222 -0.160 -19.279 -0.166 -19.385 -0.132 -19.165 -0.196 -18.895 -0.237 13.974 0.699 1.070 0.099 43.493 42.309
-23.800 -18.666 -0.187 -18.714 -0.166 -18.824 -0.171 -19.047 -0.183 -19.266 -0.159 -19.324 -0.164 -19.429 -0.130 -19.213 -0.194 -18.938 -0.234 13.910 0.694 1.098 0.101 43.508 42.323
-23.400 -18.693 -0.184 -18.742 -0.165 -18.855 -0.170 -19.081 -0.181 -19.309 -0.157 -19.369 -0.162 -19.473 -0.130 -19.260 -0.191 -18.982 -0.233 13.847 0.689 1.127 0.104 43.522 42.336
-23.000 -18.719 -0.182 -18.769 -0.164 -18.886 -0.170 -19.115 -0.180 -19.353 -0.157 -19.414 -0.161 -19.517 -0.130 -19.307 -0.190 -19.025 -0.232 13.783 0.684 1.156 0.107 43.536 42.350
-22.600 -18.744 -0.181 -18.796 -0.163 -18.916 -0.169 -19.147 -0.180 -19.396 -0.156 -19.459 -0.161 -19.560 -0.130 -19.355 -0.188 -19.068 -0.232 13.719 0.680 1.186 0.110 43.550 42.364
-22.200 -18.769 -0.180 -18.823 -0.163 -18.946 -0.169 -19.179 -0.179 -19.439 -0.156 -19.504 -0.160 -19.603 -0.131 -19.402 -0.187 -19.111 -0.232 13.654 0.677 1.216 0.114 43.564 42.378
-21.800 -18.793 -0.179 -18.849 -0.163 -18.976 -0.169 -19.211 -0.179 -19.482 -0.156 -19.548 -0.160 -19.645 -0.132 -19.449 -0.185 -19.154 -0.233 13.588 0.674 1.247 0.117 43.577 42.392
-21.400 -18.817 -0.179 -18.874 -0.163 -19.005 -0.169 -19.241 -0.178 -19.524 -0.156 -19.592 -0.160 -19.687 -0.134 -19.495 -0.184 -19.197 -0.234 13.520 0.671 1.280 0.121 43.591 42.406
-21.000 -18.840 -0.179 -18.899 -0.163 -19.033 -0.170 -19.271 -0.178 -19.566 -0.156 -19.636 -0.160 -19.728 -0.135 -19.542 -0.183 -19.239 -0.235 13.451 0.669 1.312 0.125 43.604 42.420
-20.600 -18.862 -0.178 -18.923 -0.164 -19.061 -0.170 -19.300 -0.178 -19.608 -0.156 -19.680 -0.160 -19.769 -0.136 -19.588 -0.182 -19.281 -0.236 13.381 0.668 1.346 0.130 43.617 42.435
-20.200 -18.883 -0.178 -18.947 -0.164 -19.088 -0.170 -19.328 -0.177 -19.649 -0.156 -19.723 -0.159 -19.810 -0.138 -19.634 -0.181 -19.323 -0.238 13.309 0.667 1.381 0.134 43.630 42.450
-19.800 -18.904 -0.177 -18.969 -0.164 -19.114 -0.170 -19.356 -0.177 -19.690 -0.155 -19.766 -0.159 -19.850 -0.139 -19.679 -0.179 -19.365 -0.239 13.235 0.666 1.416 0.139 43.642 42.465
-19.400 -18.923 -0.177 -18.991 -0.164 -19.139 -0.169 -19.382 -0.176 -19.731 -0.155 -19.808 -0.158 -19.889 -0.139 -19.724 -0.178 -19.406 -0.240 13.161 0.666 1.453 0.144 43.654 42.480
-19.000 -18.942 -0.176 -19.011 -0.163 -19.164 -0.169 -19.407 -0.175 -19.771 -0.154 -19.850 -0.157 -19.928 -0.140 -19.769 -0.176 -19.447 -0.242 13.085 0.666 1.490 0.150 43.666 42.495
-18.600 -18.960 -0.175 -19.031 -0.163 -19.187 -0.168 -19.432 -0.174 -19.810 -0.153 -19.891 -0.155 -19.967 -0.140 -19.813 -0.174 -19.488 -0.243 13.008 0.667 1.528 0.155 43.678 42.510
-18.200 -18.977 -0.174 -19.050 -0.162 -19.210 -0.167 -19.455 -0.172 -19.849 -0.151 -19.932 -0.154 -20.005 -0.141 -19.856 -0.172 -19.529 -0.244 12.930 0.668 1.567 0.162 43.689 42.526
-17.800 -18.992 -0.172 -19.067 -0.160 -19.232 -0.165 -19.477 -0.171 -19.887 -0.149 -19.972 -0.152 -20.042 -0.140 -19.899 -0.169 -19.569 -0.245 12.850 0.670 1.607 0.168 43.701 42.542
-17.400 -19.007 -0.170 -19.084 -0.159 -19.252 -0.163 -19.498 -0.169 -19.925 -0.147 -20.011 -0.149 -20.079 -0.140 -19.941 -0.167 -19.608 -0.246 12.770 0.672 1.648 0.175 43.711 42.557
-17.000 -19.020 -0.168 -19.099 -0.157 -19.272 -0.161 -19.517 -0.166 -19.962 -0.144 -20.050 -0.146 -20.115 -0.140 -19.983 -0.163 -19.647 -0.246 12.688 0.675 1.689 0.182 43.722 42.573
-16.600 -19.032 -0.165 -19.113 -0.154 -19.290 -0.159 -19.536 -0.164 -19.998 -0.141 -20.088 -0.143 -20.151 -0.139 -20.024 -0.160 -19.686 -0.247 12.606 0.678 1.732 0.190 43.732 42.589
-16.200 -19.042 -0.162 -19.125 -0.151 -19.307 -0.156 -19.553 -0.161 -20.033 -0.138 -20.125 -0.140 -20.186 -0.138 -20.064 -0.156 -19.724 -0.247 12.522 0.681 1.774 0.198 43.742 42.604
-15.800 -19.052 -0.159 -19.137 -0.148 -19.323 -0.153 -19.569 -0.158 -20.068 -0.134 -20.161 -0.136 -20.220 -0.137 -20.103 -0.152 -19.762 -0.246 12.438 0.684 1.818 0.207 43.751 42.620
-15.400 -19.060 -0.155 -19.146 -0.145 -19.337 -0.150 -19.583 -0.154 -20.101 -0.130 -20.196 -0.131 -20.254 -0.136 -20.142 -0.148 -19.800 -0.246 12.353 0.688 1.863 0.216 43.760 42.636
-15.000 -19.066 -0.152 -19.154 -0.141 -19.350 -0.146 -19.597 -0.150 -20.134 -0.126 -20.230 -0.126 -20.287 -0.134 -20.180 -0.143 -19.836 -0.245 12.267 0.692 1.908 0.225 43.769 42.651
-14.600 -19.071 -0.147 -19.161 -0.137 -19.362 -0.142 -19.608 -0.146 -20.166 -0.121 -20.264 -0.121 -20.320 -0.133 -20.217 -0.138 -19.873 -0.244 12.179 0.696 1.954 0.235 43.777 42.667
-14.200 -19.074 -0.143 -19.166 -0.132 -19.372 -0.138 -19.619 -0.142 -20.197 -0.116 -20.296 -0.116 -20.351 -0.131 -20.253 -0.133 -19.908 -0.242 12.091 0.700 2.001 0.246 43.785 42.682
-13.800 -19.076 -0.138 -19.169 -0.127 -19.381 -0.133 -19.628 -0.137 -20.227 -0.110 -20.327 -0.110 -20.382 -0.129 -20.288 -0.127 -19.944 -0.240 12.001 0.703 2.049 0.257 43.793 42.697
-13.400 -19.076 -0.133 -19.171 -0.122 -19.389 -0.129 -19.635 -0.133 -20.256 -0.105 -20.357 -0.104 -20.412 -0.127 -20.322 -0.121 -19.978 -0.238 11.909 0.707 2.099 0.268 43.800 42.712
-13.000 -19.075 -0.127 -19.171 -0.117 -19.394 -0.124 -19.641 -0.128 -20.284 -0.099 -20.386 -0.098 -20.441 -0.124 -20.355 -0.116 -20.012 -0.235 11.816 0.710 2.149 0.279 43.807 42.726
-12.600 -19.072 -0.122 -19.168 -0.111 -19.398 -0.119 -19.646 -0.123 -20.311 -0.093 -20.414 -0.092 -20.470 -0.122 -20.386 -0.109 -20.045 -0.233 11.721 0.712 2.201 0.291 43.814 42.739
-12.200 -19.067 -0.116 -19.164 -0.106 -19.401 -0.114 -19.650 -0.117 -20.336 -0.087 -20.440 -0.085 -20.497 -0.119 -20.417 -0.103 -20.078 -0.229 11.624 0.713 2.255 0.303 43.820 42.752
-11.800 -19.060 -0.110 -19.159 -0.100 -19.402 -0.108 -19.652 -0.112 -20.360 -0.080 -20.465 -0.078 -20.524 -0.117 -20.447 -0.097 -20.110 -0.226 11.525 0.713 2.310 0.315 43.827 42.764
-11.400 -19.052 -0.105 -19.151 -0.094 -19.401 -0.103 -19.653 -0.107 -20.383 -0.074 -20.489 -0.072 -20.550 -0.114 -20.475 -0.091 -20.142 -0.222 11.424 0.712 2.368 0.326 43.833 42.775
-11.000 -19.042 -0.099 -19.141 -0.088 -19.398 -0.098 -19.653 -0.101 -20.404 -0.069 -20.511 -0.065 -20.575 -0.111 -20.502 -0.085 -20.172 -0.218 11.321 0.710 2.427 0.338 43.839 42.785
-10.600 -19.030 -0.093 -19.129 -0.083 -19.393 -0.093 -19.651 -0.096 -20.424 -0.063 -20.532 -0.059 -20.599 -0.109 -20.528 -0.079 -20.202 -0.213 11.217 0.707 2.488 0.350 43.844 42.794
-10.200 -19.016 -0.088 -19.115 -0.077 -19.386 -0.088 -19.649 -0.091 -20.442 -0.058 -20.552 -0.053 -20.622 -0.106 -20.553 -0.074 -20.232 -0.209 11.113 0.703 2.551 0.362 43.850 42.802
-9.800 -19.001 -0.083 -19.099 -0.072 -19.378 -0.084 -19.646 -0.086 -20.458 -0.054 -20.570 -0.048 -20.644 -0.103 -20.576 -0.069 -20.260 -0.204 11.011 0.700 2.612 0.374 43.854 42.810
-9.400 -18.984 -0.078 -19.082 -0.068 -19.367 -0.080 -19.642 -0.081 -20.472 -0.051 -20.587 -0.044 -20.665 -0.101 -20.598 -0.065 -20.288 -0.198 10.915 0.698 2.671 0.387 43.858 42.820
-9.000 -18.966 -0.074 -19.063 -0.064 -19.354 -0.077 -19.637 -0.077 -20.484 -0.049 -20.602 -0.041 -20.685 -0.099 -20.618 -0.062 -20.315 -0.193 10.829 0.699 2.721 0.402 43.861 42.834
-8.600 -18.945 -0.070 -19.042 -0.061 -19.338 -0.074 -19.632 -0.074 -20.494 -0.049 -20.617 -0.040 -20.704 -0.097 -20.637 -0.060 -20.342 -0.187 10.773 0.707 2.749 0.418 43.860 42.851
-8.200 -18.924 -0.068 -19.020 -0.059 -19.320 -0.072 -19.627 -0.070 -20.502 -0.050 -20.630 -0.041 -20.723 -0.095 -20.655 -0.059 -20.367 -0.181 10.718 0.718 2.771 0.438 43.859 42.872
-7.800 -18.901 -0.066 -18.996 -0.057 -19.300 -0.071 -19.621 -0.068 -20.508 -0.052 -20.642 -0.042 -20.740 -0.093 -20.671 -0.059 -20.392 -0.175 10.670 0.733 2.785 0.459 43.855 42.894
-7.400 -18.877 -0.065 -18.972 -0.056 -19.278 -0.070 -19.614 -0.066 -20.512 -0.055 -20.653 -0.044 -20.756 -0.092 -20.686 -0.059 -20.417 -0.169 10.624 0.749 2.794 0.482 43.850 42.914
-7.000 -18.853 -0.064 -18.948 -0.056 -19.255 -0.070 -19.607 -0.064 -20.514 -0.058 -20.662 -0.047 -20.771 -0.090 -20.700 -0.060 -20.440 -0.162 10.575 0.765 2.804 0.503 43.845 42.931
-6.600 -18.828 -0.064 -18.922 -0.056 -19.229 -0.071 -19.599 -0.063 -20.515 -0.060 -20.670 -0.049 -20.786 -0.089 -20.712 -0.060 -20.462 -0.155 10.517 0.779 2.819 0.523 43.841 42.944
-6.200 -18.803 -0.064 -18.897 -0.057 -19.202 -0.071 -19.590 -0.063 -20.515 -0.063 -20.677 -0.051 -20.799 -0.088 -20.724 -0.061 -20.484 -0.149 10.448 0.788 2.843 0.542 43.836 42.956
-5.800 -18.778 -0.065 -18.871 -0.058 -19.174 -0.072 -19.581 -0.062 -20.514 -0.066 -20.683 -0.052 -20.811 -0.087 -20.735 -0.061 -20.505 -0.142 10.367 0.794 2.877 0.561 43.833 42.964
-5.400 -18.753 -0.066 -18.846 -0.059 -19.146 -0.074 -19.571 -0.062 -20.511 -0.068 -20.687 -0.054 -20.823 -0.086 -20.745 -0.061 -20.526 -0.135 10.272 0.794 2.923 0.578 43.831 42.971
-5.000 -18.728 -0.067 -18.820 -0.060 -19.116 -0.075 -19.560 -0.062 -20.507 -0.071 -20.691 -0.054 -20.833 -0.086 -20.754 -0.061 -20.545 -0.128 10.165 0.791 2.981 0.595 43.830 42.977
-4.600 -18.703 -0.067 -18.794 -0.061 -19.087 -0.077 -19.548 -0.062 -20.503 -0.072 -20.693 -0.055 -20.843 -0.085 -20.762 -0.060 -20.564 -0.121 10.049 0.784 3.050 0.611 43.830 42.981
-4.200 -18.678 -0.068 -18.768 -0.062 -19.057 -0.078 -19.536 -0.062 -20.498 -0.074 -20.694 -0.054 -20.851 -0.084 -20.770 -0.059 -20.581 -0.114 9.924 0.774 3.129 0.626 43.830 42.984
-3.800 -18.654 -0.069 -18.743 -0.063 -19.028 -0.079 -19.523 -0.063 -20.491 -0.075 -20.695 -0.054 -20.858 -0.083 -20.777 -0.058 -20.598 -0.108 9.792 0.761 3.219 0.641 43.832 42.985
-3.400 -18.629 -0.070 -18.718 -0.064 -18.999 -0.081 -19.510 -0.063 -20.485 -0.076 -20.694 -0.053 -20.865 -0.082 -20.783 -0.056 -20.614 -0.101 9.655 0.744 3.319 0.653 43.834 42.984
-3.000 -18.605 -0.072 -18.694 -0.066 -18.970 -0.082 -19.496 -0.063 -20.477 -0.076 -20.693 -0.052 -20.870 -0.082 -20.789 -0.055 -20.630 -0.095 9.516 0.726 3.428 0.664 43.837 42.981
-2.600 -18.582 -0.073 -18.670 -0.067 -18.942 -0.084 -19.482 -0.064 -20.469 -0.076 -20.691 -0.050 -20.875 -0.081 -20.795 -0.053 -20.644 -0.089 9.378 0.705 3.544 0.671 43.840 42.976
-2.200 -18.558 -0.074 -18.646 -0.068 -18.914 -0.085 -19.467 -0.064 -20.460 -0.076 -20.688 -0.048 -20.878 -0.081 -20.800 -0.051 -20.658 -0.084 9.182 0.675 3.726 0.684 43.847 42.970
-1.800 -18.534 -0.075 -18.622 -0.069 -18.886 -0.086 -19.452 -0.065 -20.451 -0.076 -20.685 -0.046 -20.881 -0.080 -20.805 -0.049 -20.670 -0.078 9.095 0.658 3.803 0.680 43.848 42.959
-1.400 -18.511 -0.076 -18.599 -0.070 -18.859 -0.087 -19.436 -0.065 -20.441 -0.076 -20.681 -0.044 -20.883 -0.079 -20.810 -0.046 -20.682 -0.074 8.943 0.634 3.956 0.684 43.853 42.948
-1.000 -18.487 -0.078 -18.575 -0.071 -18.832 -0.088 -19.419 -0.066 -20.431 -0.075 -20.676 -0.041 -20.884 -0.079 -20.814 -0.044 -20.693 -0.069 8.865 0.618 4.031 0.678 43.854 42.935
-0.600 -18.463 -0.079 -18.551 -0.072 -18.805 -0.090 -19.402 -0.066 -20.420 -0.075 -20.670 -0.039 -20.885 -0.078 -20.818 -0.042 -20.703 -0.066 8.738 0.600 4.164 0.680 43.858 42.922
