"Time (MJD)" B-4345.28 B-4345.28_err U-3520.88 U-3520.88_err UVM2-2245.03 UVM2-2245.03_err UVW1-2681.67 UVW1-2681.67_err V-5411.45 V-5411.45_err cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err g-4793.46 g-4793.46_err i-7589.41 i-7589.41_err orange-6629.82 orange-6629.82_err r-6120.65 r-6120.65_err r-6366.38 r-6366.38_err z-8970.57 z-8970.57_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
31.800 -18.105 -0.219 -18.930 -0.197 -20.303 -0.164 -21.094 -0.093 -21.167 -0.050 -21.168 -0.049 -21.181 -0.067 -21.217 -0.080 -21.344 -0.055 -21.323 -0.050 -21.267 -0.067 -21.112 -0.092 -21.177 -0.116 8.918 0.257 5.322 0.308 44.106 42.572
32.200 -18.090 -0.221 -18.917 -0.199 -20.293 -0.165 -21.084 -0.093 -21.157 -0.050 -21.159 -0.049 -21.174 -0.067 -21.211 -0.080 -21.339 -0.055 -21.318 -0.050 -21.264 -0.068 -21.111 -0.092 -21.177 -0.116 8.901 0.253 5.327 0.305 44.104 42.562
32.600 -18.074 -0.223 -18.904 -0.200 -20.284 -0.166 -21.073 -0.094 -21.147 -0.050 -21.149 -0.049 -21.167 -0.067 -21.206 -0.080 -21.334 -0.055 -21.314 -0.050 -21.260 -0.068 -21.110 -0.092 -21.177 -0.116 8.883 0.250 5.333 0.302 44.101 42.552
33.000 -18.059 -0.225 -18.890 -0.202 -20.274 -0.167 -21.063 -0.094 -21.138 -0.050 -21.139 -0.049 -21.160 -0.067 -21.201 -0.080 -21.330 -0.055 -21.310 -0.051 -21.257 -0.068 -21.109 -0.092 -21.176 -0.116 8.866 0.246 5.340 0.299 44.099 42.542
33.400 -18.044 -0.227 -18.876 -0.203 -20.264 -0.168 -21.053 -0.094 -21.128 -0.049 -21.130 -0.048 -21.154 -0.067 -21.196 -0.080 -21.325 -0.055 -21.305 -0.051 -21.253 -0.068 -21.108 -0.092 -21.176 -0.115 8.848 0.243 5.347 0.296 44.096 42.532
33.800 -18.028 -0.229 -18.863 -0.205 -20.255 -0.169 -21.044 -0.095 -21.119 -0.049 -21.121 -0.048 -21.148 -0.067 -21.191 -0.080 -21.321 -0.055 -21.301 -0.051 -21.250 -0.068 -21.107 -0.092 -21.176 -0.115 8.829 0.239 5.355 0.294 44.094 42.522
34.200 -18.012 -0.230 -18.849 -0.207 -20.245 -0.171 -21.034 -0.095 -21.110 -0.049 -21.112 -0.048 -21.142 -0.067 -21.186 -0.080 -21.317 -0.055 -21.297 -0.051 -21.247 -0.068 -21.106 -0.092 -21.176 -0.115 8.811 0.236 5.364 0.291 44.092 42.513
34.600 -17.997 -0.232 -18.835 -0.208 -20.235 -0.172 -21.025 -0.096 -21.101 -0.049 -21.104 -0.048 -21.136 -0.067 -21.182 -0.080 -21.312 -0.055 -21.294 -0.051 -21.244 -0.068 -21.106 -0.092 -21.176 -0.115 8.792 0.233 5.373 0.289 44.090 42.503
35.000 -17.981 -0.234 -18.821 -0.210 -20.225 -0.173 -21.015 -0.096 -21.093 -0.049 -21.095 -0.047 -21.130 -0.067 -21.177 -0.080 -21.309 -0.055 -21.290 -0.050 -21.242 -0.068 -21.105 -0.092 -21.176 -0.114 8.773 0.230 5.384 0.286 44.088 42.494
35.400 -17.965 -0.236 -18.807 -0.211 -20.216 -0.174 -21.006 -0.096 -21.084 -0.048 -21.087 -0.047 -21.125 -0.067 -21.173 -0.080 -21.305 -0.055 -21.287 -0.050 -21.239 -0.068 -21.105 -0.092 -21.176 -0.114 8.754 0.227 5.395 0.284 44.086 42.486
35.800 -17.949 -0.238 -18.793 -0.212 -20.206 -0.174 -20.997 -0.097 -21.077 -0.048 -21.080 -0.047 -21.120 -0.067 -21.169 -0.080 -21.301 -0.055 -21.283 -0.050 -21.237 -0.068 -21.104 -0.092 -21.177 -0.114 8.735 0.224 5.407 0.282 44.084 42.477
36.200 -17.933 -0.239 -18.779 -0.214 -20.196 -0.175 -20.989 -0.097 -21.069 -0.048 -21.072 -0.047 -21.115 -0.066 -21.165 -0.081 -21.298 -0.055 -21.280 -0.050 -21.235 -0.068 -21.104 -0.092 -21.177 -0.114 8.716 0.221 5.419 0.281 44.082 42.469
36.600 -17.916 -0.241 -18.765 -0.215 -20.186 -0.176 -20.980 -0.097 -21.062 -0.048 -21.065 -0.046 -21.110 -0.067 -21.162 -0.081 -21.294 -0.054 -21.277 -0.050 -21.233 -0.068 -21.104 -0.092 -21.177 -0.113 8.696 0.219 5.433 0.279 44.080 42.462
37.000 -17.900 -0.243 -18.750 -0.216 -20.176 -0.177 -20.972 -0.098 -21.055 -0.047 -21.058 -0.046 -21.106 -0.067 -21.158 -0.081 -21.291 -0.054 -21.274 -0.050 -21.231 -0.068 -21.104 -0.092 -21.177 -0.113 8.676 0.216 5.447 0.278 44.078 42.455
37.400 -17.883 -0.244 -18.736 -0.218 -20.166 -0.178 -20.964 -0.098 -21.048 -0.047 -21.052 -0.046 -21.102 -0.067 -21.155 -0.081 -21.288 -0.054 -21.272 -0.050 -21.229 -0.068 -21.104 -0.092 -21.177 -0.113 8.657 0.214 5.462 0.277 44.077 42.448
37.800 -17.867 -0.246 -18.721 -0.219 -20.157 -0.179 -20.956 -0.098 -21.042 -0.047 -21.046 -0.045 -21.098 -0.067 -21.152 -0.081 -21.286 -0.054 -21.269 -0.050 -21.227 -0.068 -21.105 -0.092 -21.177 -0.113 8.637 0.212 5.478 0.276 44.075 42.443
38.200 -17.850 -0.247 -18.707 -0.220 -20.147 -0.179 -20.948 -0.098 -21.036 -0.046 -21.040 -0.045 -21.094 -0.067 -21.149 -0.081 -21.283 -0.054 -21.267 -0.049 -21.226 -0.068 -21.105 -0.092 -21.177 -0.113 8.617 0.210 5.494 0.276 44.074 42.438
38.600 -17.833 -0.249 -18.692 -0.221 -20.137 -0.180 -20.941 -0.099 -21.030 -0.046 -21.035 -0.045 -21.091 -0.067 -21.147 -0.081 -21.281 -0.054 -21.265 -0.049 -21.225 -0.068 -21.105 -0.092 -21.177 -0.112 8.597 0.208 5.511 0.275 44.073 42.433
39.000 -17.816 -0.250 -18.677 -0.222 -20.127 -0.181 -20.933 -0.099 -21.025 -0.046 -21.030 -0.045 -21.088 -0.067 -21.144 -0.081 -21.279 -0.054 -21.264 -0.049 -21.224 -0.068 -21.106 -0.092 -21.176 -0.112 8.576 0.207 5.529 0.276 44.071 42.430
39.400 -17.800 -0.251 -18.662 -0.223 -20.117 -0.181 -20.926 -0.099 -21.020 -0.046 -21.025 -0.045 -21.085 -0.067 -21.142 -0.081 -21.277 -0.054 -21.262 -0.049 -21.223 -0.068 -21.106 -0.092 -21.176 -0.112 8.556 0.206 5.548 0.276 44.070 42.427
39.800 -17.782 -0.253 -18.647 -0.224 -20.107 -0.182 -20.919 -0.099 -21.016 -0.046 -21.021 -0.045 -21.082 -0.067 -21.140 -0.081 -21.275 -0.054 -21.261 -0.049 -21.222 -0.068 -21.107 -0.092 -21.176 -0.112 8.535 0.204 5.568 0.277 44.069 42.425
40.200 -17.765 -0.254 -18.632 -0.225 -20.097 -0.182 -20.913 -0.100 -21.012 -0.046 -21.017 -0.045 -21.080 -0.068 -21.138 -0.082 -21.274 -0.054 -21.259 -0.049 -21.221 -0.068 -21.108 -0.091 -21.176 -0.112 8.515 0.204 5.588 0.278 44.068 42.424
40.600 -17.748 -0.255 -18.617 -0.226 -20.087 -0.183 -20.906 -0.100 -21.008 -0.046 -21.014 -0.045 -21.078 -0.068 -21.137 -0.082 -21.272 -0.055 -21.259 -0.049 -21.221 -0.068 -21.108 -0.091 -21.175 -0.112 8.494 0.203 5.609 0.279 44.067 42.424
41.000 -17.731 -0.256 -18.602 -0.227 -20.077 -0.183 -20.900 -0.100 -21.005 -0.046 -21.011 -0.045 -21.076 -0.068 -21.135 -0.082 -21.271 -0.055 -21.258 -0.049 -21.220 -0.068 -21.109 -0.091 -21.175 -0.112 8.473 0.202 5.631 0.281 44.066 42.425
41.400 -17.713 -0.257 -18.587 -0.228 -20.067 -0.184 -20.893 -0.100 -21.002 -0.046 -21.008 -0.045 -21.074 -0.068 -21.134 -0.082 -21.270 -0.055 -21.257 -0.049 -21.220 -0.068 -21.110 -0.092 -21.174 -0.112 8.452 0.202 5.654 0.283 44.065 42.427
41.800 -17.696 -0.258 -18.571 -0.228 -20.057 -0.184 -20.887 -0.100 -20.999 -0.047 -21.006 -0.045 -21.073 -0.069 -21.133 -0.083 -21.270 -0.055 -21.257 -0.049 -21.220 -0.068 -21.111 -0.091 -21.174 -0.112 8.431 0.202 5.677 0.285 44.065 42.429
42.200 -17.678 -0.259 -18.556 -0.229 -20.047 -0.184 -20.881 -0.101 -20.996 -0.047 -21.004 -0.046 -21.072 -0.069 -21.132 -0.083 -21.269 -0.056 -21.257 -0.049 -21.220 -0.068 -21.112 -0.091 -21.173 -0.112 8.410 0.202 5.701 0.288 44.064 42.432
42.600 -17.661 -0.260 -18.540 -0.230 -20.037 -0.184 -20.876 -0.101 -20.994 -0.047 -21.002 -0.046 -21.071 -0.069 -21.131 -0.083 -21.269 -0.056 -21.257 -0.050 -21.220 -0.068 -21.113 -0.091 -21.173 -0.112 8.389 0.202 5.726 0.291 44.063 42.436
43.000 -17.643 -0.261 -18.525 -0.230 -20.027 -0.185 -20.870 -0.101 -20.992 -0.048 -21.000 -0.046 -21.070 -0.070 -21.130 -0.083 -21.269 -0.056 -21.257 -0.050 -21.221 -0.068 -21.114 -0.091 -21.172 -0.112 8.368 0.203 5.751 0.294 44.063 42.441
43.400 -17.625 -0.262 -18.509 -0.231 -20.016 -0.185 -20.864 -0.101 -20.990 -0.048 -20.998 -0.047 -21.070 -0.070 -21.130 -0.084 -21.269 -0.057 -21.257 -0.050 -21.221 -0.068 -21.115 -0.091 -21.171 -0.112 8.346 0.203 5.777 0.297 44.062 42.445
43.800 -17.607 -0.263 -18.494 -0.231 -20.006 -0.185 -20.859 -0.101 -20.989 -0.048 -20.997 -0.047 -21.069 -0.071 -21.129 -0.084 -21.269 -0.057 -21.258 -0.050 -21.222 -0.068 -21.116 -0.091 -21.170 -0.112 8.325 0.204 5.803 0.301 44.062 42.451
44.200 -17.589 -0.263 -18.478 -0.232 -19.996 -0.185 -20.854 -0.101 -20.987 -0.049 -20.996 -0.048 -21.069 -0.071 -21.129 -0.084 -21.269 -0.058 -21.258 -0.050 -21.222 -0.068 -21.118 -0.091 -21.169 -0.112 8.304 0.205 5.830 0.305 44.061 42.457
44.600 -17.571 -0.264 -18.462 -0.232 -19.986 -0.185 -20.848 -0.101 -20.986 -0.049 -20.995 -0.048 -21.069 -0.071 -21.129 -0.084 -21.269 -0.058 -21.259 -0.051 -21.223 -0.068 -21.119 -0.091 -21.168 -0.112 8.283 0.206 5.857 0.309 44.061 42.463
45.000 -17.553 -0.264 -18.446 -0.232 -19.975 -0.185 -20.843 -0.101 -20.985 -0.049 -20.994 -0.048 -21.068 -0.072 -21.129 -0.084 -21.270 -0.058 -21.260 -0.051 -21.224 -0.068 -21.120 -0.091 -21.167 -0.112 8.262 0.207 5.884 0.314 44.060 42.469
45.400 -17.535 -0.265 -18.430 -0.233 -19.965 -0.185 -20.838 -0.101 -20.984 -0.049 -20.993 -0.049 -21.068 -0.072 -21.128 -0.085 -21.271 -0.059 -21.261 -0.051 -21.224 -0.068 -21.121 -0.090 -21.165 -0.112 8.241 0.208 5.911 0.318 44.060 42.475
45.800 -17.517 -0.265 -18.414 -0.233 -19.955 -0.185 -20.833 -0.101 -20.982 -0.050 -20.992 -0.049 -21.068 -0.072 -21.128 -0.085 -21.271 -0.059 -21.262 -0.052 -21.225 -0.068 -21.122 -0.090 -21.164 -0.112 8.220 0.209 5.939 0.323 44.060 42.482
46.200 -17.499 -0.266 -18.398 -0.233 -19.944 -0.185 -20.828 -0.101 -20.981 -0.050 -20.992 -0.049 -21.068 -0.073 -21.128 -0.085 -21.272 -0.059 -21.263 -0.052 -21.226 -0.068 -21.123 -0.090 -21.162 -0.112 8.200 0.210 5.967 0.328 44.059 42.489
46.600 -17.481 -0.266 -18.382 -0.233 -19.934 -0.185 -20.823 -0.101 -20.980 -0.050 -20.991 -0.049 -21.068 -0.073 -21.128 -0.085 -21.273 -0.059 -21.264 -0.052 -21.227 -0.068 -21.124 -0.089 -21.161 -0.112 8.179 0.211 5.994 0.333 44.059 42.496
47.000 -17.462 -0.266 -18.366 -0.233 -19.923 -0.185 -20.817 -0.101 -20.979 -0.050 -20.990 -0.049 -21.068 -0.073 -21.128 -0.085 -21.273 -0.059 -21.265 -0.052 -21.227 -0.068 -21.125 -0.089 -21.159 -0.111 8.159 0.213 6.022 0.338 44.059 42.502
47.400 -17.444 -0.267 -18.349 -0.233 -19.913 -0.184 -20.812 -0.101 -20.978 -0.050 -20.989 -0.049 -21.068 -0.073 -21.128 -0.085 -21.274 -0.059 -21.266 -0.052 -21.228 -0.068 -21.126 -0.088 -21.158 -0.111 8.140 0.214 6.049 0.344 44.059 42.509
47.800 -17.425 -0.267 -18.333 -0.233 -19.902 -0.184 -20.807 -0.101 -20.977 -0.050 -20.988 -0.049 -21.068 -0.073 -21.128 -0.085 -21.275 -0.059 -21.267 -0.052 -21.229 -0.068 -21.127 -0.087 -21.156 -0.111 8.120 0.215 6.076 0.349 44.058 42.516
48.200 -17.407 -0.267 -18.317 -0.233 -19.891 -0.184 -20.802 -0.101 -20.976 -0.050 -20.987 -0.049 -21.067 -0.074 -21.127 -0.085 -21.276 -0.059 -21.268 -0.052 -21.230 -0.068 -21.127 -0.087 -21.154 -0.111 8.101 0.217 6.103 0.355 44.058 42.522
48.600 -17.388 -0.267 -18.300 -0.232 -19.881 -0.183 -20.797 -0.101 -20.974 -0.050 -20.986 -0.049 -21.067 -0.074 -21.127 -0.085 -21.276 -0.059 -21.269 -0.052 -21.230 -0.068 -21.128 -0.086 -21.152 -0.110 8.083 0.218 6.129 0.360 44.058 42.528
49.000 -17.370 -0.267 -18.284 -0.232 -19.870 -0.183 -20.791 -0.101 -20.973 -0.050 -20.985 -0.049 -21.067 -0.074 -21.127 -0.085 -21.277 -0.059 -21.270 -0.052 -21.231 -0.068 -21.129 -0.085 -21.150 -0.110 8.064 0.220 6.155 0.366 44.058 42.535
49.400 -17.351 -0.267 -18.267 -0.232 -19.859 -0.183 -20.786 -0.101 -20.971 -0.049 -20.983 -0.048 -21.066 -0.074 -21.126 -0.085 -21.277 -0.059 -21.271 -0.052 -21.231 -0.068 -21.129 -0.084 -21.148 -0.110 8.046 0.221 6.180 0.371 44.057 42.540
49.800 -17.332 -0.266 -18.250 -0.231 -19.848 -0.182 -20.780 -0.101 -20.969 -0.049 -20.982 -0.048 -21.065 -0.074 -21.126 -0.085 -21.278 -0.058 -21.272 -0.052 -21.232 -0.068 -21.130 -0.083 -21.145 -0.109 8.029 0.223 6.205 0.377 44.057 42.546
50.200 -17.313 -0.266 -18.234 -0.231 -19.837 -0.182 -20.775 -0.101 -20.967 -0.048 -20.980 -0.048 -21.064 -0.073 -21.125 -0.085 -21.278 -0.058 -21.272 -0.051 -21.232 -0.068 -21.130 -0.082 -21.143 -0.109 8.012 0.224 6.229 0.383 44.057 42.551
50.600 -17.295 -0.266 -18.217 -0.230 -19.827 -0.181 -20.769 -0.101 -20.964 -0.048 -20.978 -0.047 -21.063 -0.073 -21.124 -0.085 -21.279 -0.057 -21.273 -0.051 -21.232 -0.068 -21.130 -0.081 -21.140 -0.108 7.995 0.226 6.252 0.388 44.056 42.556
51.000 -17.276 -0.265 -18.200 -0.230 -19.815 -0.181 -20.763 -0.100 -20.962 -0.047 -20.975 -0.047 -21.062 -0.073 -21.123 -0.085 -21.279 -0.057 -21.273 -0.051 -21.232 -0.068 -21.130 -0.080 -21.138 -0.108 7.978 0.227 6.275 0.393 44.056 42.561
51.400 -17.257 -0.265 -18.183 -0.229 -19.804 -0.180 -20.757 -0.100 -20.959 -0.047 -20.973 -0.046 -21.061 -0.073 -21.122 -0.085 -21.279 -0.056 -21.273 -0.050 -21.232 -0.068 -21.130 -0.079 -21.135 -0.107 7.962 0.228 6.297 0.398 44.055 42.565
51.800 -17.238 -0.265 -18.166 -0.228 -19.793 -0.180 -20.751 -0.100 -20.956 -0.046 -20.970 -0.045 -21.059 -0.073 -21.121 -0.085 -21.278 -0.056 -21.273 -0.050 -21.232 -0.068 -21.130 -0.078 -21.132 -0.107 7.946 0.230 6.318 0.404 44.055 42.569
52.200 -17.219 -0.264 -18.150 -0.228 -19.782 -0.179 -20.745 -0.100 -20.952 -0.045 -20.967 -0.045 -21.057 -0.072 -21.119 -0.085 -21.278 -0.055 -21.273 -0.049 -21.231 -0.067 -21.130 -0.077 -21.130 -0.106 7.931 0.231 6.338 0.408 44.054 42.573
52.600 -17.200 -0.263 -18.133 -0.227 -19.771 -0.178 -20.738 -0.100 -20.949 -0.045 -20.963 -0.044 -21.055 -0.072 -21.118 -0.084 -21.278 -0.054 -21.273 -0.049 -21.230 -0.067 -21.130 -0.076 -21.127 -0.105 7.916 0.232 6.357 0.413 44.053 42.576
53.000 -17.181 -0.263 -18.115 -0.226 -19.759 -0.178 -20.732 -0.099 -20.944 -0.044 -20.959 -0.043 -21.053 -0.072 -21.116 -0.084 -21.277 -0.053 -21.272 -0.048 -21.229 -0.067 -21.129 -0.074 -21.124 -0.104 7.901 0.233 6.375 0.418 44.052 42.579
53.400 -17.162 -0.262 -18.098 -0.225 -19.748 -0.177 -20.725 -0.099 -20.940 -0.043 -20.955 -0.042 -21.050 -0.072 -21.114 -0.084 -21.276 -0.053 -21.271 -0.048 -21.228 -0.067 -21.128 -0.073 -21.120 -0.104 7.886 0.234 6.393 0.422 44.052 42.581
53.800 -17.143 -0.261 -18.081 -0.224 -19.736 -0.176 -20.718 -0.099 -20.935 -0.043 -20.950 -0.042 -21.047 -0.071 -21.111 -0.084 -21.274 -0.052 -21.270 -0.047 -21.227 -0.067 -21.128 -0.072 -21.117 -0.103 7.871 0.234 6.409 0.426 44.051 42.583
54.200 -17.124 -0.261 -18.064 -0.223 -19.725 -0.176 -20.711 -0.099 -20.930 -0.042 -20.945 -0.041 -21.044 -0.071 -21.109 -0.083 -21.273 -0.051 -21.269 -0.047 -21.225 -0.067 -21.126 -0.070 -21.114 -0.102 7.857 0.235 6.425 0.429 44.050 42.585
54.600 -17.105 -0.260 -18.047 -0.222 -19.713 -0.175 -20.703 -0.099 -20.924 -0.041 -20.940 -0.040 -21.041 -0.071 -21.106 -0.083 -21.271 -0.050 -21.267 -0.046 -21.224 -0.067 -21.125 -0.069 -21.110 -0.101 7.842 0.236 6.440 0.433 44.048 42.586
55.000 -17.086 -0.259 -18.030 -0.221 -19.701 -0.174 -20.696 -0.098 -20.918 -0.041 -20.934 -0.040 -21.037 -0.070 -21.103 -0.083 -21.269 -0.049 -21.265 -0.045 -21.222 -0.066 -21.124 -0.068 -21.106 -0.101 7.828 0.236 6.454 0.436 44.047 42.587
55.400 -17.066 -0.258 -18.012 -0.219 -19.689 -0.174 -20.688 -0.098 -20.912 -0.040 -20.928 -0.039 -21.033 -0.070 -21.100 -0.082 -21.267 -0.048 -21.263 -0.045 -21.219 -0.066 -21.122 -0.067 -21.103 -0.100 7.813 0.236 6.468 0.439 44.046 42.588
55.800 -17.047 -0.257 -17.995 -0.218 -19.678 -0.173 -20.680 -0.098 -20.905 -0.040 -20.922 -0.039 -21.029 -0.069 -21.097 -0.082 -21.264 -0.048 -21.261 -0.045 -21.217 -0.066 -21.121 -0.065 -21.099 -0.099 7.798 0.236 6.481 0.441 44.044 42.588
56.200 -17.028 -0.256 -17.978 -0.217 -19.666 -0.172 -20.672 -0.098 -20.898 -0.040 -20.915 -0.038 -21.025 -0.069 -21.093 -0.082 -21.261 -0.047 -21.258 -0.044 -21.214 -0.066 -21.119 -0.064 -21.095 -0.098 7.782 0.236 6.493 0.444 44.042 42.588
56.600 -17.009 -0.255 -17.960 -0.215 -19.654 -0.171 -20.664 -0.097 -20.891 -0.039 -20.908 -0.038 -21.020 -0.069 -21.089 -0.082 -21.258 -0.046 -21.254 -0.044 -21.211 -0.066 -21.116 -0.063 -21.091 -0.097 7.767 0.236 6.505 0.446 44.040 42.589
57.000 -16.990 -0.253 -17.943 -0.214 -19.641 -0.170 -20.656 -0.097 -20.883 -0.039 -20.900 -0.038 -21.015 -0.068 -21.085 -0.081 -21.254 -0.046 -21.251 -0.044 -21.208 -0.066 -21.114 -0.062 -21.087 -0.097 7.751 0.236 6.517 0.448 44.038 42.589
57.400 -16.971 -0.252 -17.926 -0.212 -19.629 -0.169 -20.647 -0.097 -20.875 -0.039 -20.893 -0.037 -21.010 -0.068 -21.081 -0.081 -21.250 -0.045 -21.247 -0.044 -21.204 -0.066 -21.112 -0.061 -21.082 -0.096 7.734 0.236 6.529 0.449 44.036 42.589
57.800 -16.952 -0.251 -17.908 -0.211 -19.617 -0.168 -20.638 -0.097 -20.867 -0.039 -20.885 -0.037 -21.005 -0.068 -21.077 -0.081 -21.246 -0.045 -21.242 -0.043 -21.201 -0.066 -21.109 -0.060 -21.078 -0.095 7.717 0.235 6.540 0.451 44.034 42.590
58.200 -16.932 -0.250 -17.891 -0.209 -19.605 -0.167 -20.629 -0.096 -20.859 -0.039 -20.877 -0.038 -20.999 -0.067 -21.072 -0.080 -21.241 -0.044 -21.238 -0.043 -21.197 -0.066 -21.106 -0.059 -21.073 -0.095 7.699 0.235 6.552 0.452 44.031 42.590
58.600 -16.913 -0.249 -17.873 -0.208 -19.592 -0.166 -20.620 -0.096 -20.850 -0.040 -20.868 -0.038 -20.994 -0.067 -21.067 -0.080 -21.236 -0.044 -21.233 -0.044 -21.193 -0.066 -21.102 -0.059 -21.069 -0.094 7.680 0.234 6.564 0.454 44.029 42.590
59.000 -16.894 -0.247 -17.856 -0.206 -19.580 -0.165 -20.611 -0.096 -20.841 -0.040 -20.860 -0.038 -20.988 -0.067 -21.062 -0.080 -21.231 -0.044 -21.228 -0.044 -21.188 -0.066 -21.099 -0.058 -21.064 -0.094 7.661 0.233 6.577 0.455 44.026 42.591
59.400 -16.875 -0.246 -17.838 -0.204 -19.567 -0.164 -20.602 -0.096 -20.832 -0.040 -20.851 -0.039 -20.982 -0.067 -21.057 -0.079 -21.225 -0.044 -21.222 -0.044 -21.184 -0.066 -21.095 -0.058 -21.059 -0.093 7.641 0.232 6.590 0.456 44.023 42.591
59.800 -16.856 -0.244 -17.821 -0.202 -19.554 -0.163 -20.592 -0.095 -20.823 -0.041 -20.842 -0.039 -20.976 -0.066 -21.052 -0.079 -21.219 -0.044 -21.216 -0.044 -21.179 -0.067 -21.091 -0.058 -21.054 -0.093 7.621 0.231 6.603 0.456 44.020 42.592
60.200 -16.837 -0.243 -17.803 -0.201 -19.542 -0.162 -20.583 -0.095 -20.814 -0.042 -20.833 -0.040 -20.969 -0.066 -21.046 -0.079 -21.213 -0.045 -21.210 -0.044 -21.174 -0.067 -21.087 -0.058 -21.049 -0.092 7.601 0.230 6.616 0.457 44.017 42.592
60.600 -16.818 -0.242 -17.786 -0.199 -19.529 -0.161 -20.573 -0.095 -20.804 -0.042 -20.824 -0.041 -20.962 -0.066 -21.040 -0.079 -21.206 -0.045 -21.204 -0.044 -21.169 -0.067 -21.083 -0.058 -21.044 -0.092 7.580 0.229 6.629 0.458 44.014 42.593
61.000 -16.799 -0.240 -17.768 -0.197 -19.516 -0.160 -20.563 -0.095 -20.795 -0.043 -20.814 -0.041 -20.956 -0.066 -21.034 -0.078 -21.199 -0.045 -21.197 -0.045 -21.164 -0.067 -21.078 -0.058 -21.038 -0.092 7.559 0.227 6.642 0.458 44.011 42.593
61.400 -16.780 -0.239 -17.751 -0.195 -19.503 -0.159 -20.553 -0.094 -20.785 -0.044 -20.805 -0.042 -20.949 -0.065 -21.028 -0.078 -21.192 -0.045 -21.190 -0.045 -21.158 -0.067 -21.074 -0.058 -21.033 -0.091 7.539 0.226 6.654 0.459 44.008 42.594
61.800 -16.761 -0.237 -17.733 -0.193 -19.490 -0.158 -20.543 -0.094 -20.775 -0.045 -20.795 -0.043 -20.942 -0.065 -21.022 -0.078 -21.185 -0.046 -21.183 -0.045 -21.152 -0.068 -21.069 -0.058 -21.028 -0.091 7.518 0.224 6.667 0.459 44.005 42.594
62.200 -16.742 -0.236 -17.716 -0.191 -19.477 -0.156 -20.533 -0.094 -20.765 -0.045 -20.786 -0.044 -20.935 -0.065 -21.016 -0.077 -21.177 -0.046 -21.176 -0.046 -21.146 -0.068 -21.064 -0.058 -21.022 -0.091 7.497 0.223 6.680 0.460 44.002 42.594
62.600 -16.723 -0.235 -17.698 -0.189 -19.464 -0.155 -20.523 -0.093 -20.755 -0.046 -20.776 -0.044 -20.928 -0.065 -21.009 -0.077 -21.169 -0.047 -21.168 -0.046 -21.140 -0.068 -21.059 -0.058 -21.017 -0.091 7.477 0.222 6.692 0.460 43.999 42.594
63.000 -16.704 -0.233 -17.681 -0.187 -19.451 -0.154 -20.512 -0.093 -20.745 -0.047 -20.766 -0.045 -20.920 -0.065 -21.003 -0.077 -21.161 -0.047 -21.161 -0.046 -21.134 -0.069 -21.054 -0.059 -21.011 -0.091 7.456 0.220 6.705 0.461 43.996 42.595
63.400 -16.685 -0.232 -17.663 -0.185 -19.437 -0.153 -20.502 -0.093 -20.735 -0.047 -20.756 -0.046 -20.913 -0.065 -20.996 -0.076 -21.153 -0.047 -21.153 -0.047 -21.127 -0.069 -21.049 -0.059 -21.006 -0.090 7.436 0.218 6.717 0.461 43.993 42.595
63.800 -16.667 -0.230 -17.646 -0.183 -19.424 -0.151 -20.491 -0.092 -20.725 -0.048 -20.746 -0.046 -20.905 -0.065 -20.989 -0.076 -21.145 -0.048 -21.145 -0.047 -21.121 -0.069 -21.044 -0.059 -21.000 -0.090 7.416 0.217 6.729 0.461 43.990 42.595
64.200 -16.648 -0.229 -17.628 -0.181 -19.411 -0.150 -20.481 -0.092 -20.715 -0.048 -20.736 -0.047 -20.898 -0.064 -20.982 -0.076 -21.136 -0.048 -21.137 -0.048 -21.114 -0.070 -21.038 -0.060 -20.995 -0.090 7.396 0.215 6.741 0.462 43.986 42.594
64.600 -16.629 -0.228 -17.611 -0.179 -19.397 -0.149 -20.470 -0.092 -20.705 -0.049 -20.726 -0.048 -20.890 -0.064 -20.975 -0.075 -21.128 -0.048 -21.129 -0.048 -21.107 -0.070 -21.033 -0.060 -20.989 -0.091 7.377 0.214 6.754 0.462 43.983 42.594
65.000 -16.611 -0.226 -17.593 -0.177 -19.384 -0.147 -20.459 -0.091 -20.695 -0.050 -20.716 -0.048 -20.882 -0.064 -20.968 -0.075 -21.119 -0.049 -21.121 -0.048 -21.100 -0.070 -21.027 -0.060 -20.984 -0.091 7.357 0.212 6.766 0.462 43.980 42.594
65.400 -16.592 -0.225 -17.576 -0.176 -19.370 -0.146 -20.449 -0.091 -20.685 -0.050 -20.706 -0.049 -20.875 -0.064 -20.961 -0.075 -21.110 -0.049 -21.112 -0.049 -21.093 -0.071 -21.022 -0.061 -20.978 -0.091 7.338 0.211 6.779 0.463 43.977 42.594
65.800 -16.574 -0.224 -17.558 -0.174 -19.356 -0.145 -20.438 -0.091 -20.675 -0.050 -20.697 -0.049 -20.867 -0.064 -20.953 -0.074 -21.101 -0.049 -21.104 -0.049 -21.086 -0.071 -21.016 -0.061 -20.973 -0.091 7.318 0.209 6.792 0.463 43.974 42.594
