"Time (MJD)" G-5850.88 G-5850.88_err cyan-5182.42 cyan-5182.42_err g-4671.78 g-4671.78_err g-4746.48 g-4746.48_err i-7457.89 i-7457.89_err orange-6629.82 orange-6629.82_err r-6141.12 r-6141.12_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-35.000 -20.700 -0.081 -20.690 -0.077 -20.632 -0.065 -20.532 -0.059 -20.484 -0.058 -20.445 -0.059 -20.397 -0.066 -20.245 -0.115 16.972 0.124 1.558 0.012 44.157 42.289
-34.600 -20.727 -0.078 -20.718 -0.074 -20.661 -0.062 -20.562 -0.056 -20.514 -0.055 -20.476 -0.056 -20.428 -0.063 -20.274 -0.112 16.865 0.140 1.590 0.014 44.164 42.352
-34.200 -20.754 -0.075 -20.745 -0.071 -20.689 -0.060 -20.592 -0.054 -20.545 -0.053 -20.507 -0.054 -20.459 -0.060 -20.304 -0.109 16.752 0.157 1.624 0.017 44.170 42.407
-33.800 -20.781 -0.072 -20.772 -0.069 -20.718 -0.058 -20.622 -0.053 -20.576 -0.051 -20.538 -0.052 -20.490 -0.058 -20.333 -0.107 16.634 0.172 1.659 0.019 44.177 42.456
-33.400 -20.808 -0.070 -20.800 -0.067 -20.746 -0.057 -20.653 -0.052 -20.607 -0.049 -20.569 -0.050 -20.521 -0.056 -20.363 -0.106 16.514 0.188 1.695 0.021 44.183 42.499
-33.000 -20.835 -0.068 -20.827 -0.065 -20.775 -0.056 -20.683 -0.051 -20.638 -0.048 -20.601 -0.049 -20.553 -0.055 -20.393 -0.104 16.392 0.202 1.733 0.024 44.189 42.539
-32.600 -20.862 -0.067 -20.854 -0.064 -20.803 -0.055 -20.714 -0.051 -20.669 -0.048 -20.632 -0.048 -20.584 -0.054 -20.423 -0.103 16.270 0.216 1.771 0.026 44.195 42.574
-32.200 -20.889 -0.066 -20.881 -0.063 -20.831 -0.055 -20.744 -0.051 -20.700 -0.048 -20.663 -0.048 -20.615 -0.054 -20.453 -0.102 16.150 0.229 1.811 0.029 44.201 42.606
-31.800 -20.916 -0.065 -20.908 -0.062 -20.859 -0.055 -20.774 -0.051 -20.731 -0.048 -20.694 -0.048 -20.646 -0.053 -20.483 -0.101 16.034 0.241 1.850 0.031 44.207 42.634
-31.400 -20.942 -0.065 -20.935 -0.062 -20.887 -0.055 -20.804 -0.051 -20.762 -0.049 -20.725 -0.049 -20.677 -0.054 -20.513 -0.101 15.921 0.252 1.890 0.034 44.214 42.661
-31.000 -20.969 -0.065 -20.961 -0.062 -20.915 -0.056 -20.834 -0.052 -20.792 -0.049 -20.756 -0.049 -20.708 -0.054 -20.543 -0.100 15.812 0.262 1.931 0.036 44.220 42.685
-30.600 -20.995 -0.065 -20.988 -0.062 -20.943 -0.056 -20.863 -0.053 -20.822 -0.050 -20.786 -0.050 -20.739 -0.055 -20.572 -0.100 15.708 0.272 1.971 0.039 44.227 42.706
-30.200 -21.021 -0.065 -21.014 -0.062 -20.970 -0.056 -20.893 -0.053 -20.852 -0.051 -20.816 -0.051 -20.769 -0.055 -20.602 -0.100 15.608 0.280 2.012 0.041 44.234 42.727
-29.800 -21.047 -0.065 -21.040 -0.062 -20.997 -0.057 -20.922 -0.054 -20.882 -0.052 -20.846 -0.052 -20.799 -0.056 -20.631 -0.100 15.511 0.288 2.053 0.044 44.240 42.745
