# Wavelength Flux
# STATUS = PUBLIC
# OBJECT = PS111ap
# TELESCOPE = WHT
# INSTRUMENT = ISIS
# DATE-OBS = 2011-02-22
# MJD = 55614.0
# EXPTIME =
# SLIT =
# DISPERSER = R300B/R158R
# SOURCE = 2014MNRAS.437..656M
# FILTER =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED =
# PHOTOMETRY_CALIBRATED =
# FLUX_UNITS =
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT =
3160.0 7.718946e-18
3160.86081828 2.904703e-18
3161.72163656 1.874873e-17
3162.58245484001 6.644168e-18
3163.44327312001 7.417171e-18
3164.30409140001 3.59502e-17
3165.16490968001 2.834632e-17
3166.02572796001 1.319513e-17
3166.88654624002 1.028544e-17
3167.74736452002 1.915553e-17
3168.60818280002 2.613898e-17
3169.46900108002 1.518144e-17
3170.32981936002 7.27471e-18
3171.19063764003 7.724471e-18
3172.05145592003 1.976165e-17
3172.91227420003 2.693951e-17
3173.77309248003 2.440083e-17
3174.63391076004 -2.261558e-19
3175.49472904004 -3.615053e-18
3176.35554732004 2.149743e-17
3177.21636560004 1.307348e-18
3178.07718388004 5.439234e-18
3178.93800216005 3.866907e-17
3179.79882044005 2.373269e-17
3180.65963872005 -1.053359e-17
3181.52045700005 -1.077511e-17
3182.38127528005 -2.569648e-18
3183.24209356006 1.953314e-17
3184.10291184006 2.952198e-17
3184.96373012006 3.497033e-17
3185.82454840006 3.366322e-17
3186.68536668006 2.436858e-17
3187.54618496007 -1.00175e-17
3188.40700324007 2.281162e-18
3189.26782152007 -9.085062e-18
3190.12863980007 1.567745e-17
3190.98945808007 4.416447e-17
3191.85027636008 9.512369e-18
3192.71109464008 -1.537711e-17
3193.57191292008 3.810592e-18
3194.43273120008 3.211097e-17
3195.29354948008 2.661196e-17
3196.15436776009 -2.058519e-19
3197.01518604009 -1.462577e-17
3197.87600432009 -7.130969e-18
3198.73682260009 1.187053e-17
3199.5976408801 1.174427e-17
3200.4584591601 1.833e-18
3201.3192774401 9.262497e-18
3202.1800957201 1.529907e-17
3203.0409140001 1.425617e-17
3203.9017322801 1.515357e-17
3204.76255056011 8.815005e-18
3205.62336884011 2.288059e-20
3206.48418712011 -1.054432e-17
3207.34500540011 1.482437e-17
3208.20582368012 3.500033e-17
3209.06664196012 1.679522e-17
3209.92746024012 1.589286e-17
3210.78827852012 9.793318e-18
3211.64909680012 1.284831e-17
3212.50991508013 3.180968e-17
3213.37073336013 4.477877e-17
3214.23155164013 4.693478e-17
3215.09236992013 3.916593e-17
3215.95318820013 2.546693e-17
3216.81400648014 9.476672e-18
3217.67482476014 5.954843e-18
3218.53564304014 9.655343e-18
3219.39646132014 1.918984e-17
3220.25727960014 2.374732e-17
3221.11809788015 1.842102e-17
3221.97891616015 1.712592e-17
3222.83973444015 2.657836e-17
3223.70055272015 3.88359e-17
3224.56137100015 1.373057e-17
3225.42218928016 1.292198e-17
3226.28300756016 2.523103e-17
3227.14382584016 2.868294e-17
3228.00464412016 1.062694e-17
3228.86546240016 1.2799e-19
3229.72628068017 1.280911e-17
3230.58709896017 1.562012e-17
3231.44791724017 9.962251e-18
3232.30873552017 1.762057e-17
3233.16955380017 2.773771e-17
3234.03037208018 3.078868e-17
3234.89119036018 2.718366e-17
3235.75200864018 1.14517e-17
3236.61282692018 1.276204e-17
3237.47364520019 3.863826e-17
3238.33446348019 5.536952e-17
3239.19528176019 1.320482e-17
3240.05610004019 2.822065e-18
3240.91691832019 1.526538e-17
3241.7777366002 2.319692e-17
3242.6385548802 4.709937e-17
3243.4993731602 3.430118e-17
3244.3601914402 1.890414e-17
3245.2210097202 1.875274e-17
3246.08182800021 1.755912e-17
3246.94264628021 1.328536e-17
3247.80346456021 8.7448e-18
3248.66428284021 2.501867e-17
3249.52510112021 2.885332e-17
3250.38591940022 1.58728e-17
3251.24673768022 1.432337e-17
3252.10755596022 1.373504e-17
3252.96837424022 2.151616e-18
3253.82919252022 1.256753e-17
3254.69001080023 1.568159e-17
3255.55082908023 2.280498e-17
3256.41164736023 1.571131e-17
3257.27246564023 2.404799e-17
3258.13328392023 3.177979e-17
3258.99410220024 3.263064e-17
3259.85492048024 2.50305e-17
3260.71573876024 3.685914e-17
3261.57655704024 4.624805e-17
3262.43737532025 3.745453e-17
3263.29819360025 2.864477e-17
3264.15901188025 2.040215e-17
3265.01983016025 2.70105e-17
3265.88064844025 3.799082e-17
3266.74146672026 2.377217e-17
3267.60228500026 1.27937e-17
3268.46310328026 1.652699e-17
3269.32392156026 3.00191e-17
3270.18473984026 2.581036e-17
3271.04555812027 -7.889537e-20
3271.90637640027 -1.392705e-17
3272.76719468027 7.693548e-18
3273.62801296027 1.639288e-17
3274.48883124027 1.824352e-17
3275.34964952028 3.147171e-17
3276.21046780028 3.215344e-17
3277.07128608028 2.140799e-17
3277.93210436028 2.039434e-17
3278.79292264028 2.358936e-17
3279.65374092029 1.664595e-17
3280.51455920029 1.865121e-18
3281.37537748029 1.167042e-17
3282.23619576029 2.608597e-17
3283.09701404029 3.678147e-17
3283.9578323203 4.712811e-17
3284.8186506003 1.529804e-17
3285.6794688803 1.051149e-17
3286.5402871603 2.029636e-17
3287.40110544031 2.913898e-17
3288.26192372031 3.889344e-17
3289.12274200031 4.360578e-17
3289.98356028031 3.647919e-17
3290.84437856031 2.046829e-17
3291.70519684032 4.333254e-17
3292.56601512032 4.115939e-17
3293.42683340032 2.619243e-17
3294.28765168032 2.237225e-17
3295.14846996032 5.802904e-18
3296.00928824033 2.3652e-18
3296.87010652033 2.023937e-18
3297.73092480033 2.49205e-18
3298.59174308033 6.087417e-18
3299.45256136033 1.533417e-17
3300.31337964034 8.534399e-18
3301.17419792034 1.58227e-17
3302.03501620034 2.206001e-17
3302.89583448034 1.06618e-17
3303.75665276034 1.178167e-17
3304.61747104035 2.411921e-17
3305.47828932035 2.640128e-17
3306.33910760035 2.269237e-17
3307.19992588035 2.835291e-17
3308.06074416035 3.214439e-17
