 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB  mejecta    kappa  kappagamma      vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
  -27.33571   0.2259  3.03854     13.92099  1.62535  0.86267  2.08139  0.19497     0.01719   9813.23762   4957.54301  0.75242         3553.47963     18.53013  0.00188  57184.02429  1.19565  0.47018   2004978.9113  45.21235  21.01877  57233.65863       51.12       44.58097   23.62625  25.38229   34.5    0.39892  -21.61798  0.97483 
  -25.99074  0.02038  3.21306     14.05601  1.71106  0.85913  4.40175  0.08727     0.01179   9765.85461   5070.04877  0.61827         3699.58351     16.17865    1e-05  57185.36926  2.50422  0.08971  1267322.71742  45.38539  21.08485   57236.1223    51.14551       44.63542   17.21922  25.16655   34.5    0.38704  -21.58754  0.99497 
  -25.71376  0.46103  3.14155     14.18745  1.64607  0.70638  3.68744  0.12145      0.0195  10518.17956   4574.13835  0.57385           3581.091      17.1761    8e-05  57185.64624  2.43351  1.70002   636293.69595  45.68735  21.02376   57236.1223    51.12154       44.63575   18.32803  22.73318   34.5    0.38606  -21.61003  0.91204 
  -29.08383  0.24774  3.29328     14.23369  1.88327  0.62016  1.69773  0.25692     0.02994   9694.28005   4976.91302   0.5285         3721.03724     19.00659  0.00564  57182.27617  0.95176  0.42059   646564.15138  45.69789  21.03546   57236.1223     51.1094       44.59521   19.65258  24.22581   34.5    0.37588   -21.5846  0.97893 
  -26.40034  0.00392  3.47099     14.26048   1.8796  0.47981   3.1709  0.11591     0.01682  10756.68069   4727.87246  0.58141         3703.42444     17.53252  0.00019  57184.95966   2.1886  0.01244   633626.99418  45.66017  21.00251   57236.1223     51.1118       44.60353   22.51744  23.98856   34.5    0.38982  -21.66443  0.99929 
  -21.03188  0.05585  3.98461     14.23806  1.99666  0.72402  2.66243  0.13608     0.02751   11143.9404   4923.46762  1.10043         2998.46981     18.00466  0.00056  57190.32812  1.97235   0.1487    983489.5403  45.37561  21.02305  57233.65863    51.05984       44.52295   22.51744  26.49111   34.0    0.40871  -21.60922  0.98987 
  -22.57379  0.13354  3.62858     14.22193  1.93096  0.83324  2.37779  0.14803     0.02584   9680.12996   4990.09965  0.85174         3652.31992     17.28315  0.00011  57188.78621  1.32911  0.31754   849575.23255  45.50594  21.01159   57236.1223    51.13142       44.62287   22.51744  23.84199   34.0     0.3949  -21.59228  0.98141 
  -28.81642  0.00183  3.08425      13.9539  1.65549  1.16595  2.39279  0.18191      0.0274  10203.08365   4820.01083  0.55414          3658.4789     19.05969  0.00637  57182.54358  1.48592  0.00439  1808176.22866  45.25223  20.97284  57233.65863    51.12347       44.62886   20.97714  22.73318   34.5    0.37079  -21.60903  0.99976 
  -19.34028  0.00312  2.66372     13.96527  1.35909  1.07182  1.61665  0.18802     0.04144   9229.58828   4858.64588  0.78869         4292.33977     16.92606    5e-05  57192.01972   0.8215  0.00505   1050772.9254  45.52961  21.01841   57236.1223    51.10665       44.59146   20.99327  24.20968   34.0    0.40528  -21.62174  0.99973 
  -29.58656  0.00158  2.65354     14.21921  1.48334  0.29918  2.31731  0.20195     0.01359   9839.18817   4990.61378  0.67244         3520.73748     18.70448  0.00281  57181.77344  1.33823  0.00366   353420.71991  46.04414  21.00483  57233.65863    51.18372       44.68003   19.86833  23.84199   34.0    0.38135  -21.61503  0.99982 
  -22.38964  0.00275  2.81134     14.15199    1.469  0.63186  2.51988  0.13046     0.02257   9112.16294   4893.24252  0.77103         3901.04378     16.61431    2e-05  57188.97036   1.2481  0.00693   535409.51945  45.80935  21.05421  57233.65863    51.02994       44.46692   23.84199  26.65127   34.0    0.39048  -21.57918  0.99963 
  -25.67258  0.40646  3.25231     14.32541  1.64533  0.41901  1.71047  0.22276     0.04202  10761.74525   4911.06685  0.50895         3427.23581     18.89789  0.00439  57185.68742  1.18171  0.69524    361105.1257  45.90308  21.03754   57236.1223     51.1188       44.58965   22.51744  25.16655   35.5    0.38616  -21.58582  0.95921 
  -28.80872  0.14086  3.37432     14.33858  1.86851  0.39642  2.99435  0.18239     0.01536  10368.81795   4975.06902  0.81584         3085.23769     19.15175  0.00788  57182.55128  1.92038  0.42178   415447.38999  45.86545  20.98688  57233.65863    51.16416       44.65791   21.19288  24.01006   33.5    0.36478  -21.60371  0.97743 
  -26.07642  0.20262  2.47553     13.62737  1.38365  0.98861   1.7502  0.21728     0.01595  10458.40104   4828.13687  0.84305         3235.87707     19.55291  0.01984  57185.28358  1.14194  0.35463  4379596.88563   44.9811  21.03974  57233.65863     51.1447       44.62437   21.19288  25.16655   35.5    0.38992  -21.65259  0.98353 
  -25.46006  0.00166  2.87621     13.98419  1.62037  0.50704  1.38337  0.24198     0.02201  10517.63725   4778.09228  0.77061         3407.24636     18.76734  0.00325  57185.89994  0.91286   0.0023  1338715.72487  45.43413  20.99774  57233.65863     51.2353       44.73836   19.86833  23.89035   35.5    0.39202  -21.64872  0.99988 
  -23.14686  0.15508    2.008     14.81045  1.50431  0.18983  2.64806   0.2199     0.06726  10394.31208   4707.71552  0.66098         3520.30023     19.86903  0.04109  57188.21314  1.70666  0.41066    13482.65767  47.71088  20.98653  57233.65863    51.11313        44.6176   22.30169  22.73318   34.0    0.35241   -21.6381   0.9894 
  -24.14336  0.21278  3.21304      14.6815  1.92901  0.26956  3.71018   0.1138        0.02  10149.99381   4977.72402  0.62069         3683.56588     20.01403  0.05738  57187.21664   2.2801  0.78947    80165.76648  46.63636    21.025  57233.65863    51.13046       44.62843   18.54377  23.84199   34.5    0.37791  -21.66143  0.96447 
  -24.66551  0.00514  3.25469     14.21154   1.6784  0.55042  2.19905   0.1663     0.02466   9837.00181   4905.97629  0.75871         3642.17172     19.36262   0.0128  57186.69449  1.26937  0.01131   623228.95606  45.67407  21.07233   57236.1223    51.25692       44.76941   18.54377  23.84199   34.5    0.39886  -21.60517  0.99933 
  -24.08252   0.0639   3.4745      13.8564  1.99025  1.15106  2.89034  0.13516     0.01283  11285.82238   4808.55399  1.17878         2873.97058     19.44106  0.01534  57187.27748  2.19605  0.18469  4322202.87766  44.85026  20.98057   57236.1223    51.12956        44.6263   22.51744  23.84199   35.0    0.40359  -21.66772  0.99014 
  -23.35608  0.08956  2.79807     14.06493  1.83576  1.12447  4.87699  0.07895     0.01069   9717.52097   4866.32971  0.57897         3916.99424     20.38402  0.13451  57188.00392   2.7472  0.43681   989641.42012  45.64347  21.07372   57236.1223    51.25993       44.75715   21.19288  23.09806   33.0    0.41433  -21.74517  0.98362 
  -23.94489    0.003  3.09277     14.07465  1.58139  0.51146  2.86401  0.09818     0.01374  10280.19326   4879.71586  0.73905         3651.01906     17.39357  0.00014  57187.41511  1.80553  0.00858   995967.27143  45.48894  21.00549   57236.1223    51.10572       44.60188   21.19288  23.98856   35.0    0.41172  -21.62894  0.99949 
  -18.55659  0.03447  2.45141     14.15592  1.72947  1.27732   9.9963  0.04566     0.01478  10781.54383   5006.34005  0.74238         3702.36772      20.2957  0.10976  57192.80341  6.93152  0.34458   470664.83198  46.05521  21.06272   57236.1223    51.17875       44.69223   17.21922  24.42261   33.5    0.39665  -21.74911  0.98919 
  -25.73621  0.00538  3.34058     13.92365  1.73973  0.98708  2.36836  0.18053      0.0194   10595.9558   4761.36224  1.13772         2976.54324     16.29068    1e-05  57185.62379  1.58619  0.01273  2562365.87205  45.05304  20.98389  57233.65863    51.04296       44.50393   21.19288  26.49111   34.5    0.39275  -21.62835  0.99923 
