 log(Bfield)      Mns    Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    14.13425  1.95794  0.99947       1.83318         2797.17828   0.0042  0.07842     0.46002  36.97568     17.03798   9006.66866   -57.23188   0.7041   7151.18481    6e-05  58637.22812  52.41692   0.35969  19.31548      58713.5 
    13.73767  1.67321  1.44652       0.17228          5005.6842  0.10324  0.15523     0.02328  11.05895     18.10967   3598.69406   -69.46505  0.94646   7002.90755  0.00072  58624.99495  52.29969   7.03644  19.36959     58711.42 
    14.02959   1.8921  1.02336       0.69876         2496.30156  0.00142  0.14843     0.21651  16.32297     17.22817   4310.00853   -61.01034  0.78691   7189.27576    9e-05  58633.44966  52.35697   0.10511  19.29749  58715.54365 
    13.97452  2.15996  1.48207       2.97259         2057.32419  0.00222  0.09225     0.37842  25.51612     19.29381   3814.38451   -52.44266  1.19917   7839.96667  0.01093  58642.01734  52.46868   0.17777  19.31252     58711.42 
     13.7614  1.48031  0.88427       0.00154         4569.77644  0.03134  0.16691     0.07439  16.38959     18.29119   9288.33364   -65.13237  1.01534   7863.94379  0.00109  58629.32763  52.43523   2.31449   19.3742     58714.48 
    14.01389  1.97474  0.87684       2.39964         2134.99104  0.02857  0.07508     0.05237   46.4832      16.2473   3649.18181   -67.34375  0.95926   7975.60993    1e-05  58627.11625  52.52816   2.54073  19.33793     58711.42 
    14.54677  1.94391  1.10156       1.19698         2164.61695  0.34922  0.11262     0.01463  27.32528     20.20962   4987.53114    -62.6216  0.22177   8786.28402  0.09002   58631.8384  52.57299  28.36954  19.29987  58708.10986 
    14.25417  1.67641  0.80031       0.02175         3227.00833  0.00522  0.13003     0.04258  26.90357       18.666   6683.39577   -64.11431  0.35498   8065.94458  0.00257  58630.34569  52.49749   0.42314  19.30938     58712.44 
    13.94885  1.74956  0.86412       0.05142         4321.61068  0.01628    0.045     0.18473  68.68073     18.84829   6186.65813   -68.29293  0.86744   7476.23358  0.00392  58626.16707  52.49873    1.5395  19.33072     58711.42 
    13.61519  1.53201  1.51707        1.8367         2449.44768  0.00279  0.15833     0.02045  12.82741     18.16145   4671.56941   -64.35152  1.18542   7330.63846  0.00081  58630.10848  52.35287   0.19626  19.27694      58713.5 
    13.96858  2.01971  0.97116       0.22252         3572.01446  0.00726  0.06327      0.4306  42.97962     20.01125   4829.26633   -70.22719  0.98507   6979.86077  0.05701  58624.23281  52.40675   0.63769   19.2833  58705.55481 
    13.94578  1.87694  1.05156       3.09689         2019.40406  0.02773  0.04434     0.04936  74.54734     16.91843    8086.4672   -51.09835  1.29167   9035.16712    5e-05  58643.36165  52.66865   2.65551  19.32659     58712.44 
    13.74814  1.24187  0.85018       0.00618         5527.86578  0.03565  0.11388     0.01326  24.63674      17.6497   4772.15546   -71.19373  0.65808   7210.14783  0.00025  58623.26627  52.39319   2.84307  19.37193     58714.48 
    14.06798  1.61933  0.70941       2.17781         2234.69275  0.03231  0.11657     0.46036  33.25479       19.837    3138.7965   -47.42514  0.66752  10088.01085  0.03817  58647.03486  52.70792   2.71647  19.35382     58711.42 
    14.21254  1.81185  0.79847       0.11535         5731.35468  0.01604  0.07022      0.0212  42.23195     16.05858   5520.82035   -71.31649  0.45007   7430.71091    1e-05  58623.14351  52.45986   1.40417  19.31745  58702.58674 
    13.99367  1.88925  1.05352       2.83435          2343.5296  0.00516  0.19938     0.44307  14.45068     20.20464   5975.26459   -48.55691  0.94119   8237.89848    0.089  58645.90309  52.46474   0.37137  19.31612  58708.10986 
    13.93343  1.98286  1.05488        0.9924         2540.94442  0.20508  0.11223     0.01395  28.39715     19.83626   4686.78819   -78.16012  1.06826   7524.19444  0.03811  58616.29988  52.44127  16.77392   19.3677  58717.63137 
    14.03382   1.8547   1.1951        1.8355         2552.46279  0.00191  0.13439     0.08551  25.55319     18.61287   7668.48186   -51.11693  0.77147   9058.45582  0.00228  58643.34307  52.59428   0.15355  19.32407     58712.44 
     13.8955  1.86275  0.74595       0.32515         3179.51288  0.02404  0.04261     0.27043  72.66255     19.95195   3920.95881   -63.86445  1.56403   7890.16674  0.04974  58630.59555  52.54926   2.29262  19.29247      58698.5 
