 log(Bfield)      Mns     Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    14.65478  1.60926   9.79998       4.35408         4394.94173  0.00717  0.01558     0.04092    2.7613     17.37694   9388.11016    -6.11431   0.5386   2577.00617  0.00013  59894.03508   51.2799   0.34458  18.20097  59913.62243 
    14.53195  1.66169  10.91389       4.53176         3836.66104    0.105  0.02187     0.39432   9.34667     20.51468   9687.76857    -7.14414  0.98721  10043.00854  0.18172  59893.00525  52.59707     6.901  18.17641  59913.62243 
    14.44651  1.77476   10.0121       2.13596         4286.74524  0.03392  0.02737     0.28708   3.54579     19.66648   9581.91815     -7.0117  1.02711   6978.82595  0.02578  59893.13769  52.17673   1.75376  18.20312  59913.62243 
    14.29697   1.5007   9.19492       2.80591         4530.07499  0.04333  0.01433     0.47035   5.60664     19.96483   8357.42319    -7.77912   0.9213   6695.49616  0.05123  59892.37027   52.1931   2.52763  18.22721  59913.62243 
    14.87021  2.12541  15.02836       3.53063         4043.92348  0.43817  0.02703     0.47814   4.02303     20.53559   9298.86101     -4.3854  1.36285   6733.67672  0.19069  59895.76399  52.16074  23.45578  18.19253  59913.62243 
    15.11354  1.57623  10.63412       4.21816         3968.00194  0.29058    0.027     0.01573   5.49134     16.74948   7589.13611    -3.61934  0.88575    7294.5441    3e-05  59896.53005  52.26529  16.86267   18.2804  59912.13886 
    14.96829  1.72709   9.94857       4.10797         3949.79299  0.00127  0.01332      0.2775   7.07841     16.92744   9296.29801    -7.08334  0.20921   6598.19076    5e-05  59893.06606  52.20478   0.07854  18.23211  59913.89089 
    14.79893  1.74885   13.6707       4.41327          3965.8369  0.39155   0.0354     0.13099   4.15038     20.40765   7992.65692      -5.615  1.14652   7196.79248  0.14203  59894.53439  52.22216  21.13697  18.30748  59913.62243 
    15.02815  2.11806  13.24487       2.37361         3456.69926  0.24249  0.02728      0.0384   7.02945     16.06891   5641.37114    -5.57279  0.88038    9815.3652    1e-05   59894.5766  52.54904  14.93818   18.2467  59912.13886 
    14.77117  1.78767   9.43569       3.23739         4266.14603  0.00417  0.01865     0.02316   3.64821     20.33751   7795.39706    -5.79387  0.48802   3973.31038  0.12085  59894.35552  51.69091   0.21729  18.38048  59913.89089 
     14.3482  1.78461   6.62432       2.03797         3745.16405  0.00652   0.0316     0.19577   3.84489     20.87705   9459.83257    -8.85064  1.25145   5568.55211  0.41858  59891.29875  51.99038   0.34458  18.25345  59913.62243 
    14.69369  1.73395  11.75854        4.0622          4149.0168  0.05697  0.01132     0.02665   8.95639     18.42975   9618.02195    -6.08689  0.66501   6008.87344  0.00149   59894.0625  52.14683   3.70882  18.20336  59913.89089 
    14.52268   1.8052   9.68746       2.44772         3222.93615  0.16005  0.01424     0.24674   7.36974     20.43185   6718.46714    -4.97926  1.48025   8387.03174  0.15017  59895.17013  52.41724   9.96913  18.27667  59913.62243 
