          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 58567.230468  19.2793  19.3407    0.05        P48         ZTF       r  False      AB   False             ThisWork 
 58575.253906  19.7338  19.8197  0.1012        P48         ZTF       g  False      AB   False             ThisWork 
 58580.203125  20.2188  20.3047   0.087        P48         ZTF       g  False      AB   False             ThisWork 
     58581.21    20.39      nan    -1.0        P48         ZTF       g   True      AB    True  2023ApJ...943...41C 
 58581.210937  20.0737  20.1596  0.1425        P48         ZTF       g  False      AB   False             ThisWork 
 58581.234375  19.6327  19.6941  0.1979        P48         ZTF       r  False      AB   False             ThisWork 
  58582.21875  19.6013  19.6627  0.1272        P48         ZTF       r  False      AB   False             ThisWork 
   58584.1875  19.5348  19.5962  0.1131        P48         ZTF       r  False      AB   False             ThisWork 
 58584.226562   20.126  20.2119   0.117        P48         ZTF       g  False      AB   False             ThisWork 
 58585.203125  19.8783  19.9642  0.0869        P48         ZTF       g  False      AB   False             ThisWork 
 58587.207031  19.7999  19.8858  0.1212        P48         ZTF       g  False      AB   False             ThisWork 
 58587.277343  19.4325  19.4939  0.1617        P48         ZTF       r  False      AB   False             ThisWork 
      58591.0    19.29      nan    0.15         LT         IOO       i  False      AB   False  2023ApJ...943...41C 
      58591.0    19.46      nan    0.21         LT         IOO       z  False      AB   False  2023ApJ...943...41C 
      58591.0    19.74      nan    -1.0         LT         IOO       r   True      AB    True  2023ApJ...943...41C 
      58591.0    19.82      nan    -1.0         LT         IOO       g   True      AB    True  2023ApJ...943...41C 
 58592.136718  19.8924  19.9783  0.1721        P48         ZTF       g  False      AB   False             ThisWork 
 58592.246093  20.2057  20.2671  0.0967        P48         ZTF       r  False      AB   False             ThisWork 
 58597.297596   21.573  21.6363  0.0972        PS1          --       w  False      AB   False  2015ATel.7153....1H 
 58597.309333  21.5409  21.6042    0.09        PS1          --       w  False      AB   False  2015ATel.7153....1H 
 58597.321055   21.564  21.6273    0.09        PS1          --       w  False      AB   False  2015ATel.7153....1H 
 58597.332789   21.552  21.6153  0.1229        PS1          --       w  False      AB   False  2015ATel.7153....1H 
   58598.1875  20.6695  20.7309  0.1059        P48         ZTF       r  False      AB   False             ThisWork 
 58598.226562   21.317  21.4029  0.1931        P48         ZTF       g  False      AB   False             ThisWork 
 58601.257812  20.6538  20.7152  0.1162        P48         ZTF       r  False      AB   False             ThisWork 
     58603.87    20.65      nan    0.09         LT         IOO       r  False      AB   False  2023ApJ...943...41C 
     58603.87    21.79      nan     0.2         LT         IOO       g  False      AB   False  2023ApJ...943...41C 
     58603.88    20.56      nan    0.09         LT         IOO       i  False      AB   False  2023ApJ...943...41C 
 58606.148437  20.3871   20.473    -1.0        P48         ZTF       g   True      AB    True             ThisWork 
 58606.171875  20.5006   20.562    -1.0        P48         ZTF       r   True      AB    True             ThisWork 
 58609.148437  21.2332  21.2946  0.1359        P48         ZTF       r  False      AB   False             ThisWork 
 58630.333742  21.8648  21.9281   0.102        PS1          --       w  False      AB   False  2015ATel.7153....1H 
 58630.345568   21.957  22.0203  0.1222        PS1          --       w  False      AB   False  2015ATel.7153....1H 
 58630.357377  21.7821  21.8454   0.087        PS1          --       w  False      AB   False  2015ATel.7153....1H 
 58630.369227   21.748  21.8113  0.1017        PS1          --       w  False      AB   False  2015ATel.7153....1H 
