 texplosion  fnickel     Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma      vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
   -6.08463  0.06634   7.36642     15.10448  1.71594  0.41508    3.4851  0.06063     0.19168   8247.79958   7129.57938  3.62664         2585.13702     16.90353    4e-05  56004.21537   1.41423   0.2312    53440.87642  46.04096  21.97649      56027.4    50.62458       44.35135    7.43972  13.14217   25.0    0.68024  -20.07381   0.9376 
   -8.40809   0.1793   3.16985     15.15009  1.81625  0.48665   5.06885  0.02512     0.07163   7469.02476    6774.9898  0.23478         4814.59934     18.55916  0.00201  56001.89191    1.6868  0.90885     8489.67175  47.59705  22.00137      56028.3    50.30642       43.89082   10.65097  18.63919   42.5    0.67132  -19.92087  0.97005 
   -6.91743  0.17101   2.59044     14.98339  1.88532  1.05398   2.90949  0.07363     0.25563   8768.49408   9781.10656  0.57447         3125.43416     16.56491    2e-05  56003.38257   1.33442  0.49757    12681.22605  47.61432  22.05794      56028.3    50.45684       44.08179   10.65097  17.30782   17.5    0.84445   -20.1472  0.99384 
   -7.02141  0.31736   8.95719     14.62427  1.37626  0.74518   2.60841  0.04108      0.0741    8555.3013   6529.23659  4.73331         2238.29526     18.71799   0.0029  56003.27859   1.13887  0.82779   578512.05897  44.74089  22.06315      56028.3    50.39062       44.01759   11.98234  17.30782   45.0    0.60095   -20.0754  0.66765 
   -6.12019  0.02766   7.01173     14.80354  1.69755  0.94883   8.57915  0.02271     0.02927   7394.95332   5208.57996  3.83799          2680.1088     19.55922  0.02013  56004.17981   2.79861  0.23733   191515.61129  45.52481  22.06717      56031.3    50.43903       44.07888    7.98822  19.97056   26.0    0.66018  -20.06579    0.941 
   -7.97727  0.00735   7.64317     14.57863  1.71963  1.55224   3.76262  0.03618     0.03013   7325.86223   4810.13903  2.58758         2281.93472     18.73867  0.00304  56002.32273   1.20458  0.02766   649441.01073  44.92519  21.97721      56028.3    50.49332       44.15583   10.65097   14.7099   30.5    0.65136  -19.98406  0.99145 
   -7.38506   0.0956   9.06389     14.66557  1.73682  1.20871   8.35525  0.01408     0.03768   8552.11043   3875.06575  2.75158         2136.37464     17.10604    7e-05  56002.91494    3.6453  0.79873   618110.13758   44.8029  21.99472  56027.36177    50.41857       43.97683   11.98234  19.97056   43.0    0.59505  -20.05646  0.74329 
   -7.53171  0.07877   6.46968      15.0913  1.64594  0.39959   8.62422  0.01725     0.37629   7694.87086    7740.2502  1.73218         2473.33001     19.75107  0.03132  56002.76829   3.04614  0.67937    42013.32023  46.24011  22.03242      56028.3     50.3606       43.90441   11.98234  18.63919   32.0    0.65093  -20.01885  0.86221 
   -6.92597  0.00236   8.13051     14.93457   1.9073  0.70396   2.22125  0.07897     0.08846    7647.3889   3301.26842  3.20881          2674.2409     16.19404    1e-05  56003.37403   0.77491  0.00524   158243.70503   45.5297  22.02749  56027.36177    50.45767       43.97926   10.65097  19.97056   24.0    0.75693  -20.05406  0.99843 
   -7.89318   0.0084   3.83018      14.7051  1.65488  1.17523   7.07924   0.0267     0.01088   7431.11577   8869.70756  1.41959         2557.86537     20.35667   0.1263  56002.40682   2.33196   0.0595    87664.31072  46.37835  22.02295      56028.3    50.32274       44.02839    6.65685  18.63919   20.5    0.71423   -20.0634  0.99551 
   -7.40425  0.01902    3.1274     14.76987  1.61636  1.23463  10.31596  0.01883     0.04028   7747.68471    9680.8267  0.74077         3291.04837     19.44799  0.01559  56002.89575   3.69386  0.19618    42362.47971  46.86004  21.99879      56028.3    50.44137        44.1739    6.65685  16.04127   18.0    0.78352  -20.01209  0.99181 
  -12.15064  0.02233   8.81662     14.62385  1.74006  0.72125   8.64158  0.01567     0.01038    7503.5944    6626.5069  3.69305         2207.93843     16.94417    5e-05  55998.14936   2.90241  0.19297   710035.53051  44.76752  22.02382      56028.3    50.46312       44.14441    9.31959   14.7099   39.0    0.48807  -20.01884  0.92641 
   -6.29346  0.03777   1.77612     14.96538  1.80525  1.03956   4.69586  0.04717     0.25471   9346.46272   8537.73426  0.60989         2102.17088     17.52375  0.00019  56004.00654   2.44702  0.17738     6202.15544  48.23389  22.03999      56028.3    50.35825       43.88599    9.31959  19.97056   16.5    0.92958  -19.96281  0.99941 
   -8.83488  0.00514   2.30246       14.731   1.6529  1.52731   9.17292   0.0169     0.31905   8091.37297    6305.4783  0.08659         2599.19183      18.0934  0.00069  56001.46512   3.58244  0.04717    28082.61089  47.31427  22.01596      56028.3    50.66662       44.37446   10.65097  14.24916   21.0    0.93326  -19.79518  0.99921 
   -6.33656  0.00255   1.87594     15.00519  1.83058  0.87985   7.97322  0.02742     0.04855   8566.87815   8809.47586  0.63718         2610.98751     16.06192    1e-05  56003.96344   3.49065  0.02034     5840.52071  48.21854  21.99925  56027.36177    50.26478       43.87998   10.65097  15.97645   16.0    0.95507  -20.34816  0.99991 
   -8.12437    0.031   6.50981     14.68985  1.28065  0.59243    4.1906  0.03188     0.23933   7600.46017   7913.82254  1.88175         2817.62298      16.6368    2e-05  56002.17563   1.44405  0.12992   210225.64257  45.42645  22.00493      56027.4     50.2962       43.92262   10.65097  17.30782   26.0    0.73288  -20.01962  0.95633 
   -2.85275  0.04355    1.6774     14.88848  1.31741  0.89598    3.9374  0.05565      0.3319   8926.83261   7220.02483  1.64824         2777.95588     18.94824  0.00493  56007.44725   1.87168  0.17145     5752.44258  48.17944  22.05297      56027.4    50.27891        43.8867   10.65097  18.63919   17.0    1.00055  -20.37921  0.99921 
    -9.1988  0.00382   9.18855     14.43953  1.65282   1.5367   1.62609  0.06768     0.02709   7661.47191   5788.99692  4.08616         2448.62285     17.14731    8e-05   56001.1012   0.56937   0.0062  1711846.88441  44.32711  21.97442  56027.36177    50.32756       43.93183   13.31371  17.30782   31.5    0.57783  -20.02535  0.99701 
