       MJD      Mag    Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 56433.845  20.5312  20.56     0.1        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56436.336  21.0009  21.05    -1.0        P60          --       B   True      AB    True  2014ApJ...797...24V 
 56440.339  20.6756   20.7    0.17        P60          --       i  False      AB   False  2014ApJ...797...24V 
 56440.341  21.1475  21.18    0.22        P60          --       r  False      AB   False  2014ApJ...797...24V 
 56440.346  22.7246  22.77    0.85        P60          --       g  False      AB   False  2014ApJ...797...24V 
 56440.358  20.5512  20.58    0.29        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56441.363  21.7146  21.76    -1.0        P60          --       g   True      AB    True  2014ApJ...797...24V 
 56441.639  21.8409  21.89    -1.0        P60          --       B   True      AB    True  2014ApJ...797...24V 
 56442.902  21.1012  21.13    0.15        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56443.209  20.8656  20.89    0.17        P60          --       i  False      AB   False  2014ApJ...797...24V 
 56443.211  21.0775  21.11    0.13        P60          --       r  False      AB   False  2014ApJ...797...24V 
 56443.216  22.2946  22.34    0.22        P60          --       g  False      AB   False  2014ApJ...797...24V 
 56444.301  21.0356  21.06    0.18        P60          --       i  False      AB   False  2014ApJ...797...24V 
 56444.306  21.9946  22.04     0.2        P60          --       g  False      AB   False  2014ApJ...797...24V 
  56444.81  21.2312  21.26    0.14        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56445.197  20.9856  21.01    0.11        P60          --       i  False      AB   False  2014ApJ...797...24V 
 56445.202  22.1646  22.21    0.14        P60          --       g  False      AB   False  2014ApJ...797...24V 
 56445.261  22.3309  22.38    0.24        P60          --       B  False      AB   False  2014ApJ...797...24V 
 56446.752  21.1912  21.22    0.12        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56447.834  22.7609  22.81    -1.0        P60          --       B   True      AB    True  2014ApJ...797...24V 
 56448.747  21.3812  21.41    0.14        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56449.294  21.3075  21.34    0.06        P60          --       r  False      AB   False  2014ApJ...797...24V 
 56450.748  21.0112  21.04    0.11        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56451.331  21.0156  21.04    0.11        P60          --       i  False      AB   False  2014ApJ...797...24V 
 56451.825  23.1009  23.15    0.31        P60          --       B  False      AB   False  2014ApJ...797...24V 
 56452.744  21.2412  21.27    0.13        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56454.739  21.3612  21.39    0.15        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56455.444  21.5375  21.57    0.22        P60          --       r  False      AB   False  2014ApJ...797...24V 
 56456.216  21.5475  21.58     0.1        P60          --       r  False      AB   False  2014ApJ...797...24V 
 56456.738  21.5712   21.6    0.18        P48          --       R  False      AB   False  2014ApJ...797...24V 
  56456.77  23.0509   23.1    0.36        P60          --       B  False      AB   False  2014ApJ...797...24V 
 56457.207  21.1556  21.18    0.14        P60          --       i  False      AB   False  2014ApJ...797...24V 
 56458.735  21.5212  21.55    0.18        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56460.243  22.4809  22.53    -1.0        P60          --       B   True      AB    True  2014ApJ...797...24V 
  56460.73  21.3012  21.33    0.18        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56462.293  21.7475  21.78    -1.0        P60          --       r   True      AB    True  2014ApJ...797...24V 
 56462.296  21.2509   21.3    -1.0        P60          --       B   True      AB    True  2014ApJ...797...24V 
 56462.727  21.9012  21.93    -1.0        P48          --       R   True      AB    True  2014ApJ...797...24V 
 56467.316  20.9456  20.97    0.29        P60          --       i  False      AB   False  2014ApJ...797...24V 
 56467.319  21.3175  21.35    -1.0        P60          --       r   True      AB    True  2014ApJ...797...24V 
 56468.446  21.1956  21.22    0.32        P60          --       i  False      AB   False  2014ApJ...797...24V 
 56468.448  21.4275  21.46    -1.0        P60          --       r   True      AB    True  2014ApJ...797...24V 
 56468.834  21.8309  21.88    -1.0        P60          --       B   True      AB    True  2014ApJ...797...24V 
 56469.205  21.4012  21.43    0.23        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56469.302  21.5056  21.53    0.29        P60          --       i  False      AB   False  2014ApJ...797...24V 
 56469.305  22.1375  22.17    0.35        P60          --       r  False      AB   False  2014ApJ...797...24V 
 56470.257  21.5775  21.61    0.13        P60          --       r  False      AB   False  2014ApJ...797...24V 
 56471.718  21.6312  21.66    0.21        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56473.303  21.3556  21.38    0.16        P60          --       i  False      AB   False  2014ApJ...797...24V 
 56473.718  21.5912  21.62    0.26        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56475.213  21.1856  21.21    0.18        P60          --       i  False      AB   False  2014ApJ...797...24V 
 56475.805  21.6512  21.68    -1.0        P48          --       R   True      AB    True  2014ApJ...797...24V 
 56477.038  22.0475  22.08    0.05        NOT      ALFOSC       r  False      AB   False  2014ApJ...797...24V 
 56477.046  21.7056  21.73    0.05        NOT      ALFOSC       i  False      AB   False  2014ApJ...797...24V 
 56477.057  21.6617  21.68    0.09        NOT      ALFOSC       z  False      AB   False  2014ApJ...797...24V 
 56477.297  21.6512  21.68    0.28        P48          --       R  False      AB   False  2014ApJ...797...24V 
 56477.303  21.9456  21.97    0.49        P60          --       i  False      AB   False  2014ApJ...797...24V 
 56477.306  21.4375  21.47    -1.0        P60          --       r   True      AB    True  2014ApJ...797...24V 
