       name  redshift_lo  redshift_med  redshift_up  texplosion_lo  texplosion_med  texplosion_up  fnickel_lo  fnickel_med  fnickel_up  Pspin_lo  Pspin_med  Pspin_up  log(Bfield)_lo  log(Bfield)_med  log(Bfield)_up   Mns_lo  Mns_med   Mns_up  thetaPB_lo  thetaPB_med  thetaPB_up  mejecta_lo  mejecta_med  mejecta_up  kappa_lo  kappa_med  kappa_up  kappagamma_lo  kappagamma_med  kappagamma_up  vejecta_lo  vejecta_med  vejecta_up  temperature_lo  temperature_med  temperature_up  alpha_lo  alpha_med  alpha_up  cutoff_wavelength_lo  cutoff_wavelength_med  cutoff_wavelength_up  log(nhhost)_lo  log(nhhost)_med  log(nhhost)_up   A_V_lo  A_V_med   A_V_up   MJD0_lo     MJD0_med   MJD0_up  log(kenergy)_lo  log(kenergy)_med  log(kenergy)_up  mnickel_lo  mnickel_med  mnickel_up  log(TSD)_lo  log(TSD)_med  log(TSD)_up  log(L0)_lo  log(L0)_med  log(L0)_up  Peak_mag_lo  Peak_mag_med  Peak_mag_up  Peak_MJD_lo  Peak_MJD_med  Peak_MJD_up  log(E_rad)_lo  log(E_rad)_med  log(E_rad)_up  log(Peak_lum)_lo  log(Peak_lum)_med  log(Peak_lum)_up  Rise_Time_lo  Rise_Time_med  Rise_Time_up  E_fold_lo  E_fold_med  E_fold_up  tau_1_lo  tau_1_med  tau_1_up  delta_m15_lo  delta_m15_med  delta_m15_up  r_peak_lo  r_peak_med  r_peak_up  frac_lo  frac_med  frac_up  1frac_lo  1frac_med  1frac_up  efficiency_lo  efficiency_med  efficiency_up 
     2010hy          0.0        0.1901          0.0        4.82718        -12.7043        3.86698     0.06511      0.10632       0.137   1.45004    4.32631   1.00599         0.20866         14.20289         0.27183  0.12664  1.64068  0.19934     0.37106       0.8537     0.42685     6.88774     13.17014    12.78944   0.02997    0.04934   0.06339        0.06547           0.125        0.16459  1596.29742    5195.6231  2265.84676       977.25974       6842.60486       1329.9529   1.34176    3.37714   1.00128             847.27964             4835.62124             497.43672         1.00285         17.84896         1.44902  0.00036   0.0004  0.01064   4.82718   55387.6967   3.86698          0.19803          51.31785          0.18528     1.12569      1.54142     1.58098      0.70513       6.00438      0.45615     0.52499     45.21442     0.79557      0.10808      18.08825       0.1015      3.63369   55433.81369      2.68047        0.06781        50.99297        0.11504           0.09509           44.10966           0.17131       7.96563       34.99327       4.61421   10.00786    55.05392    5.75826       6.5       58.5   7.67685       0.03059        0.16964       0.03859    0.16608   -21.49836    0.12719  0.17257   0.90824  0.06278   0.06278    0.09176   0.17257        0.20919         0.51035        0.36323 
     2010kd          0.0         0.101          0.0         2.5845       -24.34836        2.14878     0.00143      0.00282     0.03351   0.28742    2.94455   0.26286         0.10991         13.77963         0.15266  0.23345   1.7116  0.19377     0.43565      1.05645     0.33087     3.44694      6.41016      3.4887   0.02113    0.07276   0.05551        0.00144         0.01186         0.0066   517.83227   4210.50126   400.61686       348.86877       8597.75038       223.50184   0.13155    2.50935   0.14721             106.86819             3339.63127              88.98536         1.49623         18.34761         1.39367   0.0012  0.00124  0.02941    2.5845  55497.65164   2.14878          0.42043          50.82421          0.26631     0.01032      0.01578     0.28443      0.30452       6.57543      0.15858     0.14524     44.96408     0.33173      0.01906      16.67488      0.01881       0.6622   55553.04841      2.54091        0.00968        51.29872        0.02169           0.01339           44.44212           0.02295        2.4306        39.3556       2.30781    2.30781     55.3875    2.30781       2.5       79.0   3.17685       0.00721        0.10947       0.01019     0.0304   -21.51734    0.02255   0.0146   0.99927  0.00046   0.00046    0.00073    0.0146        1.40454          3.0169        4.72771 
     2010md          0.0        0.0987          0.0        0.76582        -3.01913        0.65256     0.05346      0.05996     0.08352   1.46523    4.69433   1.25787         0.15252         14.49915         0.19748  0.17505  1.71904  0.22238     0.36882      0.96278     0.39807     2.05946      7.16532     2.60395   0.01694    0.06426   0.02822         0.0039         0.01532        0.00801   458.77193   4752.01843   495.35005       173.22886       6676.39999       305.92204   0.18934    0.38327   0.23775             512.81336             5238.58377             511.36139         1.32814          18.0282         1.91118  0.00056  0.00059  0.04773   0.76582  55317.36187   0.65256           0.1401          50.95803          0.20697      0.4257      0.47396     0.51516      0.57869       5.52598      0.40189     0.53598     45.57262     0.91096       0.0199      18.00405      0.02146        0.166       55362.4      0.88431        0.04618        50.63564        0.07702            0.0586           43.94235           0.09761       2.52108       22.68975       3.00364    2.03854    37.33371    2.17397       1.5       46.5       1.5       0.01037        0.22084       0.01071    0.03859   -20.17938    0.02522  0.02298   0.96066   0.0339    0.0339    0.03935   0.02298        0.19525          0.4968        0.21245 
     2011ep          0.0          0.28          0.0       36.51065       -22.74946        8.73743     0.06708      0.45688     0.03099   5.49852    8.81246  18.53444         0.50062         14.30236         0.39048  0.13437  1.62138  0.13936     0.33352      0.87042      0.3292     7.07213     20.45056    26.00353   0.00655    0.02194    0.0088        0.02516          0.0464        0.08697  2374.88062   6659.49352   1037.8677      2013.43289       7803.44662      1511.04681   1.09775    2.44992   1.26578             516.41865             3905.21247             820.43186         0.61175          16.9828         0.86416    4e-05    6e-05  0.00034  36.51064  55625.69048   8.73743           0.0779          51.71684          0.05099     3.07923      9.51467     8.01859      1.28181       6.46515      1.47502     2.50982     44.13171     1.96254      0.26257      18.92825      0.31885      5.53678   55671.09659     18.33883        0.08668        51.20316        0.10287           0.10909           44.22508           0.17352       8.95451       28.65442      38.68595   45.66798    85.06781   36.71348  27.42685     104.75     17.75       0.08508         0.1373       0.12643    0.25912   -21.43084    0.29595   0.1786   0.18336  0.46183   0.46183    0.81664    0.1786        0.07468         0.31791         0.0917 
     2011ke          0.0        0.1428          0.0        0.38197        -1.74163        0.36054     0.00062      0.00183     0.00234   0.03638    0.75078    0.0839         0.09642         14.65854         0.15344  0.15122     1.85  0.18916     0.36772      1.03101     0.34369     3.93777     10.11717     9.64483    0.0252     0.0503   0.02984        0.09534         0.17332        0.19995   374.11686     4611.992   346.11308       402.32819       6789.12235       269.01103   0.11927    1.47138   0.11911             122.86846             5700.88511             126.79581         1.18144         17.85061          1.5733  0.00036   0.0004  0.01435   0.38197  55649.83837   0.36054            0.205          51.10476          0.27526      0.0142      0.02604     0.01718      0.31252       3.69946      0.17214     0.28809     49.09192     0.35376      0.03343      17.78836      0.03249          0.0   55680.62678          0.0        0.01547        50.89066        0.02218           0.01789           44.31626           0.02979           0.0       11.56194       1.77634    0.82255    33.40656    0.84004       1.0       34.0   0.67685       0.01978        0.26892       0.01688    0.29636   -21.17218    0.16179    1e-05   0.99999      0.0       0.0      1e-05     1e-05        0.29499         0.61351        0.37972 
     2011kf          0.0         0.245          0.0       10.57038       -17.01139        5.56674     0.03164      0.47201     0.02089   0.10178    0.83742   0.20313         0.16447         14.77083          0.1644  0.15664  1.71441  0.19664     0.30784      1.03592     0.26575     1.92679     13.89341     1.73786   0.03153     0.0858   0.05612        0.00275         0.01498        0.00496  1997.77218  16712.32175  1773.63206       244.26232       6206.02458       188.37908   1.21736     3.1824   0.99551             221.00852             4245.48157             274.66489         0.89393         18.66232         0.83861  0.00222  0.00256  0.01506  10.57038  55908.52861   5.56674          0.16105          52.36493           0.1101     0.77867      6.44678     0.79124      0.33848       3.51467      0.41526     0.57245     49.12933     0.46226      0.10086      18.21378      0.09186      7.41486   55934.69359      0.87421        0.04267        50.96224        0.06811           0.07232           44.32844             0.067       1.98523       15.88189       3.97047    5.95571    35.73426    5.57525      3.75      33.75      7.25       0.05016         0.3403       0.12262    0.25897   -21.72662    0.54354  0.00861   0.99682  0.00203   0.00203    0.00318   0.00861         0.0102         0.04055        0.01895 
     2011kg          0.0        0.1924          0.0        1.21309        -5.92096        1.01231     0.04616       0.1182     0.10215   0.14811    0.89018   0.28068         0.12819         14.52499         0.15478  0.18859  1.77812  0.15973     0.32579       0.9378     0.42368     7.47987     19.63366    14.66988   0.01703    0.04049   0.03387        0.08852         0.21788        0.14901   856.43791  11831.32997  1147.03566       627.40517        7129.5101       565.44033   0.17316    0.38322   0.14145             630.93761             5025.98597             367.11884         0.07663         21.22205         0.05765  0.14985  0.92636   0.1315   1.21309  55900.16104   1.01231          0.21235          52.22621          0.22408     0.29649      2.44714      0.4362      0.28635       4.08534      0.26836     0.47541     48.55821     0.34631      0.02797      18.92419      0.02701          0.0   55934.92416          0.0        0.09565        51.24339        0.11063           0.11948           44.67598           0.14129       1.51425       12.33158       0.64922    1.47197    28.77429    1.51425       2.0       33.0       2.0       0.02447        0.36306       0.02056    0.15396   -21.62686    0.18232  0.00611   0.99576  0.00203   0.00203    0.00423   0.00611        0.04876         0.10342        0.07577 
     2011kl          0.0         0.677          0.0        1.72964        -3.77023        1.38499     0.02617      0.02914     0.13384   0.78037    2.10015   0.89081         0.15836          14.4667         0.22659  0.27278   1.6673  0.31568      0.4082      0.94726     0.46046     2.07307      6.19923     2.23631   0.00453    0.01659   0.01273        0.23357         0.28291        0.17525  1043.80137   6042.67213   1094.2722      2048.53447       6563.80523      2035.30632   0.88282    3.66446   0.91834             208.73336             2375.33032             172.70252         0.03402         21.46292         0.02631  0.12155  1.61304  0.10075   1.72964   55910.2944   1.38499          0.18334          51.11811          0.15688     0.16103      0.18215     0.75052      0.52721       4.83301      0.58864     0.72463     46.95861     0.93004      0.07035      22.78503      0.07239      2.27459   55930.39654          0.0        0.11518        51.16739        0.11968           0.12071           44.85353           0.14939       1.20293        8.26821       1.35635    1.31948    14.91979    1.49162       3.5       24.0       7.5        0.0912        0.73506       0.08942    0.18948   -21.35711    0.15694  0.01603    0.9969   0.0027    0.0027    0.00309   0.01603        0.39741         1.09954        0.85051 
     2012aa          0.0         0.083          0.0        4.21963        -7.52912        2.61692     0.00162       0.0031     0.00363   1.95432    5.63086   2.10318          0.1609         14.71554         0.20713  0.22605  1.68762  0.21414     0.33435      0.90116      0.4416     9.39624     23.74802      23.773     0.015    0.02856   0.03179        0.03673         0.05844        0.22412    399.3974    2697.9066   405.08758       471.74862       6483.22047       649.70717   0.81505    3.99988   0.73318             144.77431             4865.61375             163.92842         1.55316         18.20242         1.68272  0.00086  0.00088  0.04193   4.21963  55922.00088   2.61692          0.16983          50.98724          0.29451     0.05894      0.09356     0.11885      0.64884        5.2587      0.52131     0.73555     45.75023     1.00527      0.05746       18.0303      0.06069      2.40793    55961.6825      2.40793        0.02233        50.20208        0.04164           0.03195           43.33201           0.04869       6.67017       33.35083       4.44678    2.22338     57.8081    2.22339   1.67685       54.0       2.5       0.01268        0.12816       0.01318    0.07828   -19.75583    0.09606  0.01574    0.9871   0.0075    0.0075     0.0129   0.01574         0.0782         0.16519        0.08249 
     2012il          0.0         0.175          0.0        1.40662       -10.02815        1.55011      0.0196      0.02384     0.03899   0.91064    4.08422   0.58213         0.12341         14.45236         0.14706  0.18158  1.72112  0.20735     0.37742      1.10941     0.32087     2.60589      8.50204     3.33379   0.00442    0.01608   0.00943        0.07931          0.1152        0.20066    552.3713    4563.5516   514.31341       372.66122        7076.7231       305.27526   0.25924    1.70372    0.2456             154.76393             4983.77858             134.41414         1.18193          17.7272         1.65337  0.00028   0.0003  0.01305   1.40662  55917.53185   1.55011          0.14245          50.98452          0.20116      0.1696       0.2034     0.38584      0.33441       5.52446       0.2681     0.37508      45.7668     0.46921      0.04711       18.1226      0.03781          0.0      55941.43      0.48055        0.03091        50.85313        0.06593           0.06146           44.37444            0.0802       2.05514       14.38599       0.07183    0.20308    20.55142    2.88684       1.5       30.0       1.5       0.05056        0.49296       0.06194    0.04233   -21.17475    0.06638  0.01878   0.98306  0.01284   0.01284    0.01695   0.01878        0.29824          0.7489         0.3283 
