       name  redshift_lo  redshift_med  redshift_up  texplosion_lo  texplosion_med  texplosion_up  fnickel_lo  fnickel_med  fnickel_up  Pspin_lo  Pspin_med  Pspin_up  log(Bfield)_lo  log(Bfield)_med  log(Bfield)_up   Mns_lo  Mns_med   Mns_up  thetaPB_lo  thetaPB_med  thetaPB_up  mejecta_lo  mejecta_med  mejecta_up  kappa_lo  kappa_med  kappa_up  kappagamma_lo  kappagamma_med  kappagamma_up  vejecta_lo  vejecta_med  vejecta_up  temperature_lo  temperature_med  temperature_up  alpha_lo  alpha_med  alpha_up  cutoff_wavelength_lo  cutoff_wavelength_med  cutoff_wavelength_up  log(nhhost)_lo  log(nhhost)_med  log(nhhost)_up   A_V_lo  A_V_med   A_V_up   MJD0_lo     MJD0_med   MJD0_up  log(kenergy)_lo  log(kenergy)_med  log(kenergy)_up  mnickel_lo  mnickel_med  mnickel_up  log(TSD)_lo  log(TSD)_med  log(TSD)_up  log(L0)_lo  log(L0)_med  log(L0)_up  Peak_mag_lo  Peak_mag_med  Peak_mag_up  Peak_MJD_lo  Peak_MJD_med  Peak_MJD_up  log(E_rad)_lo  log(E_rad)_med  log(E_rad)_up  log(Peak_lum)_lo  log(Peak_lum)_med  log(Peak_lum)_up  Rise_Time_lo  Rise_Time_med  Rise_Time_up  E_fold_lo  E_fold_med  E_fold_up  tau_1_lo  tau_1_med  tau_1_up  delta_m15_lo  delta_m15_med  delta_m15_up  r_peak_lo  r_peak_med  r_peak_up  frac_lo  frac_med  frac_up  1frac_lo  1frac_med  1frac_up  efficiency_lo  efficiency_med  efficiency_up 
    2018bym          0.0         0.274          0.0        0.46506        -9.73394        0.56864       0.015       0.0176      0.0643   0.29266    2.39975   0.26561         0.11102         13.50228         0.16288  0.20101  1.63899  0.17208     0.33203      1.08472     0.25931     0.47691      3.11422     1.14156   0.05619    0.23328   0.05192         0.0024         0.01324        0.00283   382.24173   8566.60466   353.56076       123.29425        6612.9841        97.63745   0.18514    2.29418   0.15993               97.2298             3463.44672              93.23411         0.95002         17.62149         1.04119   0.0002  0.00023  0.00232   0.46506  58222.74406   0.56864           0.0837          51.13403          0.12998     0.04475      0.05308     0.23922      0.25222       6.95754       0.1004     0.09239     44.76258     0.22314       0.0109       18.3546      0.01155       0.5161    58275.8906        0.437        0.00789        51.22784        0.01047           0.00947           44.50627            0.0132       0.94048       36.74095       0.21743    0.56966    39.13435    0.29972       0.5       48.5       0.5       0.00444        0.22146       0.00615    0.00912   -21.97078    0.01275   0.0088   0.99814  0.00153   0.00153    0.00185    0.0088        0.31114         1.23471         0.2747 
    2018cxa          0.0          0.19          0.0        0.60663         -1.9514        0.47307     0.00567      0.00856     0.02326   0.55486    1.47326   0.64142         0.13043         14.58318         0.10879  0.23443  1.74288  0.21836     0.28614      1.07199     0.31708     3.43698      8.29758     8.67411   0.02596    0.04716   0.03865        0.02901         0.04562        0.14052  1328.04127   7748.75955   1423.3215       745.63988       4210.10399      1026.82121   0.24324    1.08591   0.27976             410.99483             4263.61174              224.8327         1.51452         18.31364         1.41138  0.00111  0.00114  0.02835   0.60663  58257.51344   0.47306          0.37107          51.52945             0.33      0.0582      0.08534     0.18834      0.55235       4.43036      0.34673     0.63977     47.71854     1.00826      0.02264      18.34479         0.02      0.83314   58284.31361          0.0        0.09306        50.94779        0.09695           0.10877           44.50056           0.11876       1.31148       10.59457       1.63472    1.43149    23.65383    1.54297       1.0       27.0       0.5       0.03458        0.47346       0.03112    0.08011   -21.15532    0.08684  0.00127   0.99942  0.00048   0.00048    0.00058   0.00127        0.14783         0.28791        0.31204 
    2018don          0.0        0.0734          0.0        0.94029       -19.33698         1.0283     0.00354      0.00524     0.00859   0.83937     7.1274   0.95284         0.15714         13.76672         0.15287  0.19628  1.70902  0.18172     0.31753      0.96086      0.4151     1.03827      5.63688     2.00021   0.05728    0.26553   0.04825        0.00203         0.01274        0.00235   498.86027   5156.14438   551.54368       360.73138       4210.50074       444.92545   0.46061    4.47398   0.35235              62.57724             4578.90344              58.15456         3.21075         20.90962         0.30012   0.4509  0.45118  0.44927   0.94029  58198.90942    1.0283          0.19115          50.96009          0.19194     0.01762      0.02875     0.06285       0.2378       7.37768      0.22011     0.18377     43.36257     0.34078      0.00958       18.5285      0.00894      1.07334   58278.39934      0.79606        0.10602        50.26475        0.11188           0.13099            43.1922           0.14744       4.69071       76.80422       3.75578    6.37695    87.28884     7.9599       2.0       61.0       2.0       0.00428        0.10967       0.00327    0.39291   -19.50053    0.38288  0.02367   0.98962  0.00642   0.00642    0.01038   0.02367        0.08691         0.20125        0.14639 
    2018fcg          0.0        0.1011          0.0        0.21599        -2.77722        0.21506     0.00273      0.00451     0.00934   0.75048    7.63941   0.69329          0.0567         14.62264         0.08703   0.1736  1.70776  0.17601     0.22613      1.24193     0.24886     0.59969       1.8727     0.71988   0.03792    0.13738   0.06195        0.05781         0.17597        0.07933   249.68755   8984.14347   258.65482        95.86789       4842.49382       114.20221   0.19796    1.18637   0.41337             302.48547             3457.05802             204.35148         1.38237         17.99204         0.90958  0.00052  0.00054   0.0039   0.21599  58334.59278   0.21506          0.16486          50.95017          0.15896     0.00473      0.00786      0.0198      0.09257        5.7078      0.05636     0.08509      45.0311     0.10683      0.01131      18.03328        0.016          0.0   58357.72989      0.34011        0.01793        50.32627        0.01812           0.02241           43.88034           0.03047       0.13997       13.58116       0.90668     0.1934    19.90758    0.86696       0.5       24.5       0.5       0.02448        0.68589       0.01888    0.01255    -20.1888    0.01514  0.00616   0.99748  0.00156   0.00156    0.00252   0.00616        0.06988         0.23415        0.12032 
     2018fd          0.0         0.263          0.0       27.45564      -143.14203        22.6476     0.04389      0.06368      0.1384   0.62366    3.39842   0.66257         0.11876         13.70678         0.15481  0.22349  1.79032   0.2086     0.39276      0.99176      0.3888      16.946     38.18984    20.36459   0.03451    0.07782   0.08389        0.09636         0.13025        0.18637    707.6529   3270.19218  1003.20759       107.77146       9902.63436        71.40503   1.18005    3.48157   1.06241             196.70533              2363.5148             240.76349         0.85882          18.2768         0.64926   0.0009  0.00105  0.00364  27.45564  57926.35797   22.6476          0.16891          51.37831          0.14604     1.44224      2.24058       5.318      0.23727       6.86092      0.18996     0.29375     44.61132     0.29914      0.09426      19.49419      0.08143     16.09685    58083.6419     12.02671        0.03463        51.30948         0.0483           0.03808           43.99741           0.04115      14.28351      111.88746       9.52233    7.71824    149.9768   11.13406      12.0      134.0   16.7074       0.00539        0.02172       0.00907    0.08713   -20.88043     0.1205  0.32622    0.8994  0.06623   0.06623     0.1006   0.32622        0.29765         0.87866        0.43064 
    2018ffj          0.0         0.234          0.0        1.86606       -13.97458        1.67379     0.00117      0.00247      0.0065   0.37057    3.61462   0.52887         0.11009         14.12658         0.14796   0.1851  1.69946  0.21098     0.41946      1.08532     0.34922     1.28035      2.57334     1.98709   0.02036     0.0526    0.0479        0.00475         0.01558        0.01339   373.90085    4274.6243   493.45874       949.40802       4238.76306       906.42163   0.81442    3.84487   0.77573              98.35419             4069.64881             122.53004         1.15385         17.67138         1.42139  0.00024  0.00026  0.00661   1.86606   58307.5098   1.67379          0.32479          50.42299          0.37311     0.00329       0.0063     0.01573       0.2975       6.07232      0.18262     0.22874     45.30765     0.33344      0.04271      17.78748      0.04855      1.37899       58333.5      1.16149        0.03302        51.08828        0.06032           0.04237           44.53384           0.09741       1.47027       18.52863       2.05873    2.13546    26.12682    1.73297       1.5       32.5       1.5       0.02886         0.4471       0.03806    0.04051   -22.05033      0.051  0.00095    0.9995  0.00028   0.00028     0.0005   0.00095        2.57687         4.68811        5.04253 
    2018ffs          0.0         0.141          0.0         1.2729       -11.63575        1.07939     0.08172      0.11591     0.19623   0.70379    5.37996   0.66558         0.18282         14.22426         0.17128  0.17695  1.70513  0.21723     0.45429      1.06214     0.24868     2.11811      7.27926     1.51132   0.02459    0.11413   0.03649        0.00985         0.02358        0.02695   206.74399   9528.54953    207.7728        88.27308        5112.6433        134.2669   0.22132    0.28736   0.62499             651.57889             3072.35261            1170.92312         1.13442         18.23038         1.19003  0.00088  0.00095  0.01368    1.2729  58325.73823   1.07939          0.15883          51.59488          0.07707     0.64939      0.89096     1.02566      0.34748       6.19284      0.45168      0.4928     44.84028     0.46391      0.01517      18.15268      0.01315      0.13322   58373.40893      2.57507        0.02484        50.75482        0.02621           0.03165           44.02534           0.02946       2.31818       30.99577        2.6513    1.66551    41.17539    0.88597       1.0       41.0       0.5       0.00919        0.24552       0.01215    0.01985   -20.85765    0.01481  0.14691     0.873  0.09647   0.09647      0.127   0.14691        0.02402         0.14389         0.0615 
    2018gbw          0.0        0.3454          0.0        1.39443           -7.84        0.97973     0.01918      0.02356     0.05862   0.20834    0.97146   0.27449         0.30844         14.65543         0.26872  0.16037  1.76061  0.18458     0.16809      0.33354     0.24622     8.94051      25.6274    14.40688   0.00935    0.02682   0.01389        0.09214         0.12568        0.18932   906.91944  10532.56641   925.93282      2180.22352         6202.064      1585.79191    0.1212    0.17002   0.17039            1121.15627             3601.30555            1633.98117         1.36435         18.11184         1.34369  0.00068  0.00072  0.01515   1.39443     58303.35   0.97973          0.22578           52.2386          0.20694     0.42474      0.56128      1.2793       0.5872       3.90249      0.65636     0.84732     48.69858     0.55373      0.01704      18.88136      0.01745      1.00753      58346.18      1.31401        0.04884        51.54844         0.0702           0.06628           45.02434           0.08679       1.72554       13.80429       1.70783    2.14931    27.60857    1.72554       3.5       36.5       7.0       0.01902        0.31424       0.02448    0.06456   -21.85288    0.05689  0.00525   0.99734  0.00213   0.00213    0.00265   0.00525        0.09225         0.21635        0.13477 
    2018gft          0.0         0.232          0.0        0.55392        -4.09715        0.39778     0.01397      0.01679     0.08772    0.1899    1.85591   0.17771         0.10461         13.87598         0.11668  0.17679  1.70398  0.27795      0.0622      0.27714     0.06247     0.34074       7.6778     0.39489   0.03895    0.29495   0.02861        0.00021         0.01025        0.00047   143.84142   6364.03636   150.62298          154.12       4215.50276       257.30025   0.35542    2.53336   0.43116             169.89064             2907.75352             153.58343         1.14649         17.60399         1.02072   0.0002  0.00022  0.00212   0.55392  58334.51492   0.39778          0.01242          51.26729          0.02049     0.10786      0.12947     0.69734       0.2134       5.99449      0.16037     0.16895     45.97773     0.22617      0.01121      17.93978      0.01051      0.79344   58428.39276      0.83724         0.0082        51.50604        0.00795           0.00885           44.54648           0.00804       0.90902        65.5835        1.7034    0.82134    67.38945    0.64346       1.5       78.5       1.5       0.00228         0.0778       0.00189    0.01382   -22.08069    0.01039   0.0142   0.99746   0.0021    0.0021    0.00254    0.0142        0.06973         1.72531        0.07733 
    2018gkz          0.0        0.2405          0.0       23.85863      -104.05918       24.22392     0.09386      0.37406     0.09299   0.47596    1.53482   0.65401         0.23166         14.36026         0.20481  0.19503  1.84244  0.17676     0.34102      0.99168     0.33453       9.095     48.42328    15.82716   0.01813    0.04487   0.01861        0.03462          0.0701          0.103   704.21485   4741.71075  1136.88627       378.43566       6066.12315       648.53329   0.46508    2.40822   0.48149             140.72424             4037.03746             137.42535         1.34065         18.27018         1.38616  0.00099  0.00103  0.02418  23.85864  58265.43692  24.22391          0.20695          51.86442          0.12752     4.10889     18.48898      2.7246      0.54935       4.84918      0.71922     0.92286     47.32368     0.82542      0.06415      18.32713      0.04203     12.78129   58356.99796     10.61599        0.05835        51.46244        0.06373           0.04088           44.31782           0.04587      10.30333       56.66834      12.87917    7.10003   115.03531    6.02887   10.3537      122.0       4.5        0.0055        0.03994       0.01104    0.04868   -21.73783    0.12617  0.14762   0.85665  0.07455   0.07455    0.14335   0.14762        0.14267          0.4246        0.26101 
    2018hpq          0.0         0.124          0.0        0.77592        -6.66752        0.76492     0.00527        0.007     0.01319   0.88605    6.51562   0.67389         0.12825         14.27704         0.16588  0.17837     1.68  0.21973     0.36247      0.94372      0.3865     3.76012      8.69746     6.48814   0.02914    0.06859   0.05818        0.07975         0.15684        0.21035   507.70788   5253.37319   434.89193       546.66173       5184.86276       880.80179   0.25939    0.38552   0.65865             642.15109             2950.41654               873.106         1.40184         18.39878         1.27892  0.00133  0.00139  0.02506   0.77591  58382.46919   0.76493          0.21053          51.14862          0.21575     0.03804      0.05566     0.14029      0.36753       6.27707      0.23026     0.26464      44.6014     0.40732      0.02726      18.61638      0.02797      0.54587   58438.81278      2.76467        0.03309        50.63202        0.02562           0.04009            43.7633           0.04352       1.83152       36.27257       2.50034    3.08783    49.82162    4.29119       3.5       57.5       4.0       0.01035        0.16375       0.01187    0.04221   -20.10487    0.04699  0.02969   0.98728  0.00862   0.00862    0.01272   0.02969        0.11079         0.29639        0.19403 
    2018hsf          0.0         0.119          0.0        6.66006       -18.97116        3.52496     0.10705      0.17468     0.16109   9.33672   17.41112   6.02024         1.04451         14.65081         0.33586  0.13451  1.64966  0.17496      0.4018      0.98123     0.33046     2.62032      5.97912     3.78199   0.03746    0.06974   0.07163        0.05661         0.08362         0.1565  2443.79907   8985.81597  2881.86775      2027.97611       7063.19614       1926.6979   1.19334    2.16943   1.23267             901.72233             3663.95006             792.01573          1.1692         18.25766         1.55159  0.00094    0.001  0.03481   6.66006  58403.36322   3.52496          0.14884          51.44554          0.10149     0.55116      1.02328     0.46404      0.90762       6.43993      1.71655     1.63985     43.55995     1.15873      0.05092      19.05709      0.05889      3.04651   58434.28308      3.00989         0.1187        50.19134        0.12313           0.06409           43.37185           0.06705       4.21821       23.20013       4.38376   17.36725    55.12638   29.23772      16.5       53.5  27.17685       0.12951        0.33628       0.11215    0.06542   -19.59795    0.08462  0.22322   0.33321  0.34633   0.34633    0.66679   0.22322        0.01782         0.05649        0.03241 
    2018hti          0.0        0.0612          0.0        0.32262        -2.44451        0.28405     0.00697       0.0111     0.00983    0.2021    2.23538   0.24329         0.08638         13.79908          0.0923  0.22509  1.71196  0.18234     0.21691        1.153     0.18914     2.85143     15.13088     4.95928   0.01383    0.06168   0.01288         0.0051         0.01983        0.00415   240.89058   5945.04384   192.67952       397.92046       7881.70536       294.16437   0.16656    1.86503   0.18317              47.71718             3033.89037              51.87865         1.31687         17.88373         1.21005   0.0004  0.00042  0.00648   0.32262  58411.09339   0.28405          0.10286          51.50046          0.10553     0.11958       0.1809     0.15049      0.13449        6.3095      0.09353     0.10854     45.48482     0.16173      0.01631      15.30497      0.01399         1.06      58469.64       0.0794        0.00837        51.46401        0.01002           0.01075           44.61868           0.01343       0.38635       37.71638       0.54655    0.55597    52.45948    1.01105       2.0       74.0       2.5       0.00356        0.10752       0.00371    0.01828   -21.82854    0.01537  0.00424   0.99514  0.00311   0.00311    0.00486   0.00424        0.20142         0.92456        0.23325 
    2018ibb          0.0         0.166          0.0        1.82269       -18.67678        1.76508     0.11592       0.3574      0.0678   2.61314    5.53656   2.29822         0.22029         13.91972         0.21516  0.15984  1.70818  0.15828     0.40539      1.02232     0.36048    10.65197     66.48301    15.66355    0.0057    0.02246   0.00977        0.01513         0.02648         0.1182   166.90229   2361.86709   341.65289       379.83166        9510.1898       280.16023   1.69929    4.29188   0.49842             164.35478             3407.06308             153.98305         1.63278         18.45784         1.37043  0.00156   0.0016  0.03583   1.82269   58327.4335   1.76508          0.08841          51.36587          0.08104     7.64115     24.60044     2.57132      0.30609       6.70715      0.32738     0.59128     44.37274     0.70365       0.0162      17.77572      0.01142      2.93239   58459.22145      3.09105        0.02671        51.48716        0.06226           0.03511           44.25838           0.07051       6.49305       96.92641        4.0386    3.09558   130.59748    2.87106    6.7074      138.0       4.0       0.00251        0.02274       0.00205    0.04071   -21.49776    0.01768  0.08775   0.17792  0.37082   0.37082    0.82208   0.08775        0.26119         1.36296        0.35781 
    2018jfo          0.0         0.163          0.0        2.70635        -2.06077         1.5035      0.0985      0.28888     0.10416   2.33623    3.61956   3.98988         0.21474          14.8995         0.14957  0.16253  1.68568  0.19419     0.38638      1.03614     0.31555     2.29871      7.02938     2.53146   0.00346    0.01483   0.00944        0.05106         0.07829        0.20215  1383.21897    6315.9516  1909.45962      1647.84151       8009.77004      1433.05528   1.08434    4.07426   0.63132             522.49741             2807.32108             599.46335         2.39274         19.52479         1.37982  0.01852   0.0186  0.42745   2.70635  58427.42751    1.5035          0.21284          51.19073           0.2669      0.5177      1.83636     0.81379      1.01316       4.48753      0.89423     1.50227     46.83322     1.93605      0.09889      18.72888      0.07886      0.19305   58441.48763      2.25397        0.12552        50.68842        0.23817           0.21861           44.20914           0.32688       1.27903        8.41624       2.27005    2.94039     17.9811     3.0595  13.42685      40.75  16.78055       0.09915        0.64868       0.09998    0.54551    -20.4668    0.19366  0.24248   0.90044  0.09691   0.09691    0.09956   0.24248        0.15154         0.31608        0.32211 
    2018kyt          0.0         0.108          0.0        0.66976        -4.19363        0.56409     0.00596       0.0086     0.01978   0.71333    8.37372   0.74927         0.11549          14.1301         0.27507  0.16566  1.66996  0.19652     0.38433       0.8267     0.49051      2.2582      5.47244      5.2771   0.01859    0.04018   0.02366        0.02094         0.04291        0.02766   411.25277   5622.79156   411.75982       130.12721       7747.72401       147.25388   0.80456    4.36772   0.44594             163.50825             3000.48491             124.78799         1.22886         17.66909         1.46561  0.00024  0.00026  0.00732   0.66976  58460.31637   0.56409          0.23259           51.0026          0.28677      0.0449      0.05758     0.13597       0.4998       6.79257      0.22596     0.22552     43.85521     0.48251      0.02421      18.46962      0.03252      1.47561   58502.10125      0.53024        0.01445        50.48714        0.01753           0.02167           43.59218           0.02706       2.01814       30.64762       1.44543    3.08424       68.62    2.74757       3.0       78.0       3.0       0.00827        0.19209       0.00778    0.03268    -19.9355    0.03931  0.05566   0.97704  0.01772   0.01772    0.02296   0.05566           0.14         0.30086         0.2199 
    2018lfd          0.0        0.2686          0.0        1.82088       -11.81334        2.63419     0.00733      0.00932     0.03522    0.0849    0.82067   0.22454         0.09706          14.1411         0.11642  0.16555  1.71116  0.21568     0.32349      1.07396     0.28662     3.88454     12.84745     3.67018   0.01743    0.05968   0.03416        0.05489         0.09695        0.14495   756.89834   6766.98629   727.47579      1004.76886       7887.41934      1350.28731   0.20834     0.4091   0.28512             977.20942             4229.62479             378.30966         1.29065         17.80455          1.3473  0.00034  0.00036  0.00753   1.82088  58440.51146   2.63418          0.10956          51.50266          0.14772     0.08848      0.11408     0.50371       0.2482       4.79341      0.21321     0.39729     47.91437     0.27879      0.01341      18.49399      0.01675          0.0   58492.22621      0.89379        0.07145        51.58871        0.04632            0.0889           44.96876           0.05634       0.91277       16.80679       1.89598    1.50155    35.06473    1.83622   3.17685       44.5   3.17685       0.01115        0.19372       0.01108    0.02996   -21.69301    0.08073  0.00155   0.99958  0.00034   0.00034    0.00042   0.00155        0.36565         1.19219         0.3775 
    2018lfe          0.0          0.35          0.0        1.35161        -5.70341        1.06629     0.01766      0.02215     0.07065   0.48469    1.95944   0.73842         0.13147         14.27082         0.15687   0.1784  1.69625  0.22316     0.33858      1.01928     0.33455     3.91696      8.48927     8.63565   0.03122    0.05775    0.0525        0.06587          0.1031        0.23144  1447.05058   8209.70872  1636.52683      1517.38061        7789.4526      1147.23001   0.28621      0.603   0.43956            1124.25364             4119.62902            1246.70306         1.81041         18.37998         1.37439  0.00132  0.00134  0.03029   1.35162   58428.8005   1.06629          0.29299          51.54863          0.25441     0.18046      0.21315      0.6683      0.48082       5.25956      0.40913     0.67851     46.66248     0.75531      0.03875      19.34096      0.04665      1.79864   58468.54721       0.6541        0.08618        51.23452        0.09526           0.12177           44.68854           0.12246       1.81684        16.3516       1.94255    2.24887     27.2482    1.82133       4.0       37.5       4.5       0.01758        0.31661       0.02104    0.08565   -21.43992    0.06386  0.00956   0.99536  0.00378   0.00378    0.00464   0.00956        0.23002         0.48484        0.45361 
    2018lzv          0.0         0.434          0.0        1.44101         -4.8589        1.05214     0.01729      0.01981     0.15045   0.30075    1.39692   0.24484         0.10138         13.91912          0.0906  0.21206  1.70852  0.21206      0.2142      1.14054     0.27611     3.64504     13.65646     4.45248   0.05003    0.15719   0.10666        0.01263         0.02653        0.03291   894.65079   5655.95649  1429.01639       933.60915        8087.3362      1058.22843   1.10744    3.55762   0.84863             153.40125             3296.70134             130.47917         1.53366         18.15295         1.63652  0.00077  0.00079  0.03345   1.44101   58268.3911   1.05214           0.1116          51.38661          0.21166     0.22194      0.26187     1.94326      0.33602       5.68955      0.16312      0.3042     46.54073     0.48951      0.03356      19.19369       0.0285       2.7682   58340.15055          0.0        0.03451        51.48373        0.04891           0.03652           44.56016           0.05514       3.16863       41.77668       3.00681    2.22212     67.8558    2.16668      5.75      71.75   4.42685       0.00336        0.06998       0.00577    0.09216   -22.04697    0.06253  0.02361   0.99776  0.00182   0.00182    0.00225   0.02361        0.48577         1.25157        0.46589 
    2018lzw          0.0        0.3198          0.0       10.76402       -76.03135       11.54237     0.01216      0.01836     0.03068   0.23635     1.0242   0.80629         0.17389         14.24905         0.16939  0.21655  1.79458  0.21866     0.30156      0.77964     0.29178    10.24192     34.12182    15.97675   0.03842    0.09613   0.03248        0.02722         0.04149        0.10614  1237.69709   5770.28007   1638.8175       656.64883       8693.47874       595.71853   1.14286    3.81975   0.79261             338.04757             3262.71926             268.10882         1.61798         17.98092          1.9481  0.00052  0.00054  0.04664  10.76402  58284.48428  11.54237          0.27764           51.8222          0.29311     0.37065      0.59069     0.83353      0.43651       4.77904      0.58432     1.06124     47.77612     0.53966      0.06718      19.16801      0.06605      8.65381   58353.32858      8.65381        0.06692        51.26566        0.07182           0.06673           44.29412           0.06964       2.18564       37.15582       5.50569    4.37127    80.86854    4.37127   5.92685      73.25      6.25       0.00571        0.05797       0.01253    0.11373    -21.4164    0.39995   0.0073    0.9969  0.00213   0.00213     0.0031    0.0073        0.15232         0.28903        0.22457 
    2018lzx          0.0        0.4373          0.0        4.17522       -28.26594        8.57079     0.07973      0.10116     0.28012   0.26835     1.9473   0.33639         0.11919          13.6408         0.23197  0.19341  1.74504  0.19645     0.33177      0.95885     0.24789    10.02462     33.44944    19.43288   0.02699    0.05692   0.07046        0.03006         0.04856        0.15819   451.50176   4068.99776   600.07063       694.11134       9478.69525       402.19025   0.95584    2.62922   1.05588             190.30577             3263.76886             180.18134         0.95241         17.64697         1.29122  0.00022  0.00024  0.00458   4.17522  58309.08406   8.57079          0.10999          51.50194          0.23955     3.15922      3.89955     7.70595      0.52765        6.5773      0.26683     0.44097      45.3698      0.6165      0.01589      19.40216      0.01963      4.75403      58436.12         5.12        0.04111        51.66128        0.04636           0.04673           44.49584           0.06294       5.63292        76.3625       3.76004    7.37062   109.66453    7.83319      10.0      118.0      14.0         0.006        0.03407       0.00431    0.04257   -21.92617    0.04222   0.1535   0.93538  0.05347   0.05347    0.06461    0.1535        0.53554         1.43224        0.46183 
   2019aamp          0.0         0.404          0.0        4.71892       -19.66728        9.78854     0.08377      0.13094     0.20936   1.33777    2.31602   0.73622         0.19719         14.15358         0.25681  0.12799  1.70496  0.15102       0.377      0.98525     0.41747     2.72891      9.15968    11.47101   0.06138    0.17832   0.05286        0.05189         0.09941        0.17193    857.2648  10549.19985  1323.35428       924.89701       5167.03214      1004.86496    0.9515    3.86162   0.53167              101.1789              2953.3919             136.65106         1.37644         18.56112         1.62615  0.00193  0.00202  0.08356   4.71892  58536.77272   9.78854          0.14869          51.73655          0.49383     1.34164      1.73422     1.91584      1.26017       5.66656      0.49766     0.61813     46.02511     2.13501      0.02388      19.37785      0.02493      1.28765   58588.66765      0.79353         0.0254        51.23154        0.04557           0.02434           44.42797            0.0595         9.002       31.34807       3.68801     2.7639    48.96456    2.81993       3.0       52.0       3.5       0.01715        0.15388       0.01631    0.11061    -21.8425    0.05369  0.05702   0.98112   0.0127    0.0127    0.01888   0.05702        0.21222         0.31987        0.15085 
   2019aamq          0.0         0.386          0.0        4.55913       -21.70548        4.14405     0.01789      0.02052     0.12041   0.40831    2.10814   0.32589         0.15911         13.73134          0.2509  0.21712  1.70046  0.19798     0.43643      0.98572     0.37912     6.55686     17.43886    12.90103   0.04698    0.10963    0.0704        0.03429         0.04787        0.20234   734.55083   5681.21654   609.65602      1950.64179       6222.19702      2242.32844   0.23874    0.35236   0.42438            1097.81479             3828.27056            1389.38303         1.46682         18.30109         1.15932  0.00107  0.00111  0.01493   4.55913  58586.77452   4.14405          0.20186          51.52271          0.15164     0.36433      0.42092     2.28679      0.55916       6.38805      0.36676     0.40907     45.43266     0.72878      0.02099      19.45531      0.02204      3.06137   58694.45137      2.92863        0.04294        51.50031        0.04098           0.04206           44.47899           0.03861       5.50611       56.89641       7.34147    4.61221    78.02693    5.29221     10.25      87.25  18.42685        0.0054        0.05986       0.00467    0.06116   -21.70692     0.0499  0.04608   0.98942  0.00938   0.00938    0.01058   0.04608        0.28315         0.93932        0.54723 
   2019aamr          0.0          0.42          0.0        0.97154        -6.84489        0.88303     0.08949      0.14667     0.17755   1.18819    3.81104   0.70384         0.14695         14.28882         0.16679  0.15273  1.73546   0.1752      0.3873      0.99453     0.27239     3.89686       9.1053     4.09973   0.01703    0.03405   0.01433         0.0257         0.04332        0.11024  1883.36498   8416.76189  1875.40111      2158.43034       6509.08592      2493.01186   0.21856    0.65443   0.27422             644.88904             4917.87513             573.29314         1.12841         18.17147         1.54691  0.00076  0.00082  0.02824   0.97154   58653.3551   0.88303          0.12277           51.5314          0.13457     0.62061       1.2169     1.09388      0.55023       5.78736      0.39172     0.51715     45.56851     0.90047      0.04188      19.91477      0.03464      1.61623   58689.94079      1.22921         0.0471        51.07977        0.06652           0.05487            44.5338           0.06236       2.24721       17.43573       1.00468    1.42376    24.84596    2.27919      11.5       46.0      12.0       0.05116        0.34841       0.03991    0.08979   -21.31492    0.07476  0.08603   0.92656  0.04649   0.04649    0.07344   0.08603        0.10664         0.36415         0.1214 
   2019aams          0.0         0.636          0.0        4.37774       -13.90277        3.46399     0.02677      0.03073     0.18437   0.91458    2.14848     0.562         0.13182         14.17574         0.13308   0.1936   1.7656  0.12722     0.32198      0.94838     0.35249     1.81175      4.54579     3.03744   0.08338    0.19799   0.09179         0.0784         0.12077        0.15973  1650.20354  12710.53059  1589.37723      2361.27149       7123.76033      1161.91422   1.16306    1.54182   1.72286             255.72171             2360.95748             431.52657         1.41814         18.09027         1.72503  0.00066  0.00068  0.03566   4.37774  58680.49723   3.46399          0.20652          51.62403          0.27802      0.1222       0.1374     1.05709      0.68007       5.54645      0.40457     0.54379     46.28878     1.07019      0.04594      20.11721       0.0381       1.9675   58725.07068      2.47333         0.0725        51.32008        0.10192            0.0839           44.73232           0.12198       3.02362       19.65354        3.3746    2.39614    29.60873     2.3565       4.5       36.5    5.8537       0.02716        0.29793       0.03051    0.09843   -21.92958    0.09179  0.01467   0.99696  0.00273   0.00273    0.00304   0.01467        0.21066         0.49645        0.37687 
   2019aamt          0.0        0.2138          0.0        0.58406        -5.96998        0.67093     0.00318      0.00489     0.01071   0.15205     0.9278   0.36314         0.10801         14.42068         0.12323  0.18693  1.70476  0.20954     0.36503      1.19277     0.27082     2.86535      7.11781     5.35381   0.03199    0.07087   0.06288        0.01509         0.02584        0.17766   313.59475   5645.33992   261.45566      3334.76212       7511.97737      2166.34598   0.06181    0.08476   0.10511             855.99349             3348.84748            1228.43058         1.33451         18.06666          1.3868  0.00062  0.00064  0.01514   0.58405   58729.2683   0.67093          0.19911          51.11735          0.26012      0.0185      0.03439     0.08127      0.24324       4.31198      0.34747     0.60616     48.24626     0.43379      0.01918      19.11808      0.01986      0.77374   58775.29611          0.0        0.05749        51.10676        0.04694            0.0626           44.55011           0.05545       0.59509       12.98584       2.13478    1.41397    31.30091     1.3159       3.5       33.0       2.0       0.01239        0.27468       0.01661    0.05749   -20.65042    0.06914   0.0004    0.9999    8e-05     8e-05    0.00011    0.0004        0.46059         0.98357        0.52071 
