       Name        RA_deg        DEC_deg  Redshift         Method     EBV  Explosion      Peak  Quality  Survey
    2018bym  280.80595247    45.20783676     0.274     Host_lines  0.0517   58222.72  58276.33     Gold     ZTF
    2018cxa  337.14413091    11.61823091      0.19    SN_features  0.0821   58257.52   58285.4     Gold     ZTF
    2018don  208.78600701    58.49499496    0.0734     Host_lines  0.0089   58199.01  58277.33   Silver     ZTF
    2018fcg     317.40325        33.4832    0.1011     Host_lines  0.1435   58334.63  58358.07   Bronze     ZTF
     2018fd  137.65148436    35.72176827     0.263     Host_lines  0.0167    57934.0   58073.6   Silver     ZTF
    2018ffj   37.74919536   -17.34088179     0.234     Host_lines  0.0181   58307.49   58333.5     Gold     ZTF
    2018ffs   313.6547782     22.0810582     0.141     Host_lines  0.0967   58326.07  58373.41     Gold     ZTF
    2018gbw  238.90841111   28.360555572    0.3454     Host_lines  0.0386   58303.41  58346.69     Gold     ZTF
    2018gft   359.3247537    -15.6314773     0.232     Host_lines  0.0256   58334.49  58428.39     Gold     ZTF
    2018gkz   119.5481179     19.5188742    0.2405    SN_features   0.036   58279.35   58364.5   Silver     ZTF
    2018hpq    277.171917      75.813169     0.124        Unknown  0.0868   58382.41  58439.16     Gold     ZTF
    2018hsf    40.0532164    -19.9791496     0.119        Unknown  0.0273   58404.88  58433.07   Bronze     ZTF
    2018hti        55.224       11.77705    0.0612     Host_lines  0.3983    58411.1  58469.64     Gold   ATLAS
    2018ibb     69.737292      -20.66225     0.166     Host_lines  0.0275   58327.36  58459.42     Gold     ZTF
    2018jfo   170.9109101     25.9977633     0.163        Unknown   0.015   58426.88  58437.51   Bronze     ZTF
    2018kyt    186.984333      56.393219     0.108    SN_features  0.0091   58460.76  58502.27     Gold     ZTF
    2018lfd    348.747167      48.757719    0.2686     Host_lines  0.1506   58440.63  58492.49     Gold     ZTF
    2018lfe  143.37314815     0.05233008      0.35     Host_lines  0.0286   58429.05  58468.55     Gold     ZTF
    2018lzv    191.009667      56.029028     0.434     Host_lines  0.0081   58268.24   58341.3     Gold     ZTF
    2018lzw      114.8865    27.73408333    0.3198     Host_lines  0.0373   58291.57  58355.61   Silver     ZTF
    2018lzx      337.3635    13.17772222    0.4373     Host_lines  0.0529   58308.98  58436.12     Gold     ZTF
   2019aamp  219.45529167    20.30461111     0.404     Host_lines  0.0237   58544.36  58585.05     Gold     ZTF
   2019aamq  313.90058333    -8.67538889     0.386     Host_lines  0.0636   58591.78  58692.47     Gold     ZTF
   2019aamr    232.348125        38.1035      0.42    SN_features  0.0118   58653.86  58688.44     Gold     ZTF
   2019aams  355.90066667    12.48361111     0.636     Host_lines  0.0448   58680.37  58724.42     Gold     ZTF
   2019aamt  318.78333333    32.71702778    0.2138     Host_lines   0.126   58729.86   58772.2     Gold     ZTF
   2019aamu   43.78704167    11.45622222     0.259     Host_lines  0.1925   58768.15  58851.77     Gold     ZTF
   2019aamv    191.256875    33.55391667    0.3996     Host_lines  0.0127   58816.74  58913.31     Gold     ZTF
   2019aamw     357.22725    24.99994444      0.22    SN_features  0.0526   58779.86  58850.16   Silver     ZTF
   2019aamx    239.451125    27.46763889      0.41     Host_lines  0.0362    58632.2  58696.34     Gold     ZTF
    2019bgu  149.31393065    32.00156117     0.148        Unknown  0.0123   58528.74  58557.39     Gold     ZTF
    2019cca    180.714167     -16.663239    0.4103    SN_features  0.0462   58506.22  58555.75     Gold     ZTF
    2019cdt    124.474708      65.479589     0.153    SN_features  0.0441   58553.32  58582.35     Gold     ZTF
    2019cwu    222.905396      48.987147      0.32    SN_features  0.0186   58543.81   58604.5     Gold     ZTF
    2019dgr  146.38616667     4.93394444    0.3815     Host_lines  0.0348   58535.97  58576.39     Gold     ZTF
    2019dlr   169.3924172      0.5007742      0.26    SN_features  0.0309   58537.85  58589.51     Gold     ZTF
    2019dwa      234.7395       56.60505     0.082    SN_features    0.01   58576.27   58613.4   Silver     ZTF
    2019enz  209.27533561    27.99390938     0.255    SN_features  0.0121    58595.5   58628.7     Gold   ATLAS
    2019eot   270.1247529     50.2953602    0.3057    SN_features  0.0366   58574.98  58642.46     Gold     ZTF
    2019gam  154.82639333   17.212054444    0.1235     Host_lines  0.0272   58598.37  58676.61   Silver     ZTF
