SLSN z f/s v v_err vdot vdot_err texp texp_err tpeak tpeak_err
2002gh 0.3653 2 -19693.58870871932 2451.9115199744674 -379.1078180972395 173.3763262643361 52472.9 8.363395 52562.41 6.619785
2009jh 0.3499 2 -17663.3 100034.26087122402 -295.6662921348317 7072.484520073145 55001.55 6.90588 55079.38 10.813805
2010md 0.0987 2 -16376.467251077529 13057.051479613516 287.2580049389065 923.2729643536562 55317.38 0.70919 55362.01 0.525155
2011ke 0.1428 1 -16080.9 100027.52441147437 -397.07716320048223 5001.74235687492 55649.85 0.371255 55679.47 0.0
2011kg 0.1924 2 -18653.300000000003 100034.26087122402 -148.1627450980396 7072.6470061964255 55899.98 1.1127 55935.73 0.0
2012aa 0.083 2 -20140.549999999996 100010.40406703495 -466.96428571428567 7071.821137917588 55921.5 3.4182750000000004 55962.05 2.40793
2013dg 0.265 2 -12793.552653061219 100006.53900536754 0.1551020408163822 7071.411866654713 56413.59 2.6368 56447.62 1.138565
2015bn 0.1136 2 -16855.247180622988 1749.6770709825064 -323.9363403859023 123.72085217783466 57002.43 2.771035 57098.99 0.52
2016ard 0.2025 2 -15503.157333333333 100006.53900536754 -154.05333333333337 7071.567807557706 57417.17 2.688465 57453.85 1.4449999999999998
2016eay 0.1013 2 -18466.3 100036.0750686591 -391.6984614167958 5002.7709091901625 57508.09 1.01246 57550.6 0.416975
2016wi 0.224 2 -14006.3 100036.0750686591 -69.71563284226549 5003.378753139221 57332.9 7.15545 57384.66 1.9624549999999998
2018bgv 0.0795 1 -16186.3 100036.0750686591 -529.0279433066521 5007.898055460294 58241.08 0.2232 58257.92 0.3394
2018bsz 0.0267 1 -15726.300000000001 100036.0750686591 -14.45420560747716 7072.678656822905 58247.84 1.95786 58272.3 2.11665
2018gkz 0.2405 2 -15496.300000000001 100036.0750686591 -183.4971428571429 7072.473049971364 58279.35 24.041275 58364.5 11.698640000000001
2018hti 0.0612 2 -20440.899999999998 100027.52441147437 -165.1341577480529 5002.4295411687 58411.1 0.303335 58469.64 0.5697
2018ibb 0.166 2 -17074.082351417175 4614.827270301734 -264.11268655200945 326.31756568349607 58327.36 1.793885 58459.42 3.01172
2019gqi 0.3642 2 -24843.398041851888 6674.303240577336 -431.71913403964265 471.94450811075836 58589.59 1.268745 58630.64 1.7095799999999999
2019sgh 0.344 1 -25962.537209302296 100012.52501998388 -700.9883720930222 7071.779447175125 58734.4 1.52739 58762.29 0.995
2020uew 0.22367 2 -22819.64952227096 3641.719261137164 -577.8584010092954 257.5084384727752 59107.81 1.635125 59139.47 1.061415
2020wnt 0.032 2 -9289.393441351758 1027.4008545967472 -73.8235383624015 72.6482111282214 59133.42 0.6155600000000001 59207.3 1.007135
2020xga 0.44 2 -25502.45 100010.40406703495 -659.8125 7071.770987450827 59111.82 5.394265 59165.31 0.96109
2020xgd 0.454 2 -22900.9 100027.52441147437 -742.04808988764 7072.333911301505 59100.92 2.11176 59145.14 1.2045
2020znr 0.1 2 -19240.2800439791 1919.9022203339564 -311.47296713090935 135.75758792132498 59154.48 0.312855 59235.43 1.0517400000000001
2021bnw 0.098 2 -24723.3 100034.26087122402 -518.9339999999999 7072.510373248702 59224.42 0.38658499999999996 59270.38 0.7951900000000001
2021txk 0.46 2 -21860.9 100027.52441147437 -500.9036336556575 5001.602774040702 59371.75 5.80439 59416.12 3.733095
2021zcl 0.117 2 -19060.9 100027.52441147437 -422.7303125000005 7072.170696075958 59459.64 1.76639 59513.48 1.538705
iPTF15eov 0.0535 1 -19096.3 100036.0750686591 -267.4463124587659 5003.571931014415 57356.61 0.270015 57379.89 1.18271
iPTF16eh 0.427 2 -18256.3 100036.0750686591 -331.5229508196718 7073.077139433462 57369.39 2.04683 57435.3 1.15626
LSQ12dlf 0.255 2 -18423.63847927702 2237.129902029657 -317.5866165465777 158.18897241203672 56098.62 1.347985 56138.25 0.94429
LSQ14mo 0.256 2 -14400.9 100027.52441147437 -107.20429687499973 7072.4837929755995 56663.61 0.9931000000000001 56694.91 1.068
PTF09cnd 0.2584 2 -14774.19116428551 4511.5714698330585 188.39066805699886 319.01627801267153 55017.1 0.922595 55087.1 1.23508
PTF10bfz 0.1701 1 -22213.3 100034.26087122402 -626.6522500000009 7072.4088983065385 55207.1 4.63234 55231.69 2.296945
PTF12dam 0.1073 2 -26115.437681159412 100008.28536321377 -566.9420289855072 7071.856876361911 56020.06 0.815835 56103.23 1.4245
SSS120810 0.156 1 -18506.3 100036.0750686591 -660.0056321200387 5002.985140352452 56120.73 11.35897 56149.7 6.032975
